,Ticker,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Return on Assets,Return on Equity,EBITDA,Total Debt/Equity,Book Value Per Share,Beta,52 Week High,52 Week Low,50-Day Moving Average,Float,Payout Ratio,Dividend Date,Ex-Dividend Date,Last Split Factor (new per old),Last Split Date
0,ATVI,46.11,41.24,24.33,1.67,6.65,4.75,5.83%,12.27%,2.35,45.16,12.87,0.67,66.58,35.12,63.85,0.70738,20.27%,"May 10, 2017","Mar 28, 2017",2/1,"Sep 8, 2008"
1,ADBE,75.88,53.62,29.55,1.32,10.99,9.73,9.47%,20.61%,2.32,23.12,15.82,0.91,157.89,98.00,151.92,0.49137000000000003,0.00%,,"Mar 24, 2005",2/1,"May 24, 2005"
2,AKAM,8.7,28.99,18.80,1.58,3.60,2.66,6.14%,9.52%,0.6840900000000001,19.82,19.11,0.30,71.64,44.65,47.86,0.16651,,,,,
3,ALXN,31.38,60.98,19.72,1.34,9.20,3.55,4.54%,6.11%,1.34,36.63,39.62,1.30,149.34,96.18,142.03,0.22216,,,,2/1,"May 23, 2011"
4,GOOGL,692.36,36.53,25.11,1.65,6.97,4.71,9.70%,14.01%,32.25,2.67,214.01,0.95,"1,014.75",743.59,954.98,0.60057,,,,1998/1000,"Apr 3, 2014"
5,GOOG,690.41,35.87,24.65,1.62,6.95,4.62,9.70%,14.01%,32.25,2.67,214.01,0.98,997.21,727.54,940.16,0.60057,,,,10000000/10000000,"Apr 27, 2015"
6,AMZN,481.79,255.07,131.62,5.02,3.21,20.74,2.83%,9.67%,12.3,101.75,48.36,1.31,"1,083.31",710.10,970.06,0.40008,,,,2/1,"Sep 2, 1999"
7,AAL,25.67,13.08,10.39,4.94,0.62,6.92,6.24%,51.40%,7.12,669.15,7.62,1.30,54.48,38.21,46.99,0.43507,9.80%,"Aug 28, 2017","Aug 10, 2017",,
8,AMGN,133.54,16.67,14.28,3.24,5.79,4.22,8.27%,26.43%,12.36,110.53,43.41,1.82,191.10,133.64,183.15,0.72865,39.16%,"Sep 8, 2017","Aug 15, 2017",2/1,"Nov 22, 1999"
9,ADI,32.74,34.11,18.21,1.06,7.17,3.28,6.01%,9.07%,1.83,82.63,27.16,1.35,90.49,60.97,84.11,0.36615,84.88%,"Sep 19, 2017","Sep 7, 2017",2/1,"Mar 16, 2000"
10,AAPL,810.89,17.82,14.27,1.47,3.63,6.13,11.52%,36.03%,70.21,82.01,25.61,1.39,164.94,104.08,157.71,5.03,26.50%,"Aug 17, 2017","Aug 10, 2017",7/1,"Jun 9, 2014"
11,AMAT,57.53,19.18,14.86,0.58,4.15,6.60,13.53%,39.42%,3.95,60.84,8.17,1.76,54.13,27.74,47.83,1.06,14.23%,"Dec 14, 2017","Nov 22, 2017",2/1,"Apr 17, 2002"
12,ADSK,26.22,-44.75,98.87,-1.41,13.41,83.25,-6.39%,-71.61%,-0.3417,502.35,1.44,2.44,119.84,67.15,113.99,0.21869,0.00%,,"Mar 22, 2005",2/1,"Dec 21, 2004"
13,ADP,50.6,29.57,26.79,2.87,4.09,12.74,3.72%,40.99%,2.72,50.35,8.94,0.93,121.77,85.48,108.59,0.44376,58.18%,"Oct 1, 2017","Sep 7, 2017",1139/1000,"Oct 1, 2014"
14,BIDU,91.09,48.96,28.77,63.52,8.01,6.17,3.67%,13.79%,3.25,49.56,42.60,1.91,264.62,159.54,238.03,0.27311,,,,10/1,"May 12, 2010"
15,BIIB,71.39,22.16,14.56,2.37,6.09,6.16,15.30%,28.62%,6.42,56.28,54.79,0.47,338.94,244.28,317.04,0.21111000000000002,,,,3/1,"Jan 18, 2001"
16,BMRN,16.67,-88.57,-380.48,-5.29,13.88,5.96,-3.42%,-7.69%,-0.1067,24.19,15.95,1.88,100.51,78.42,91.36,0.17424,,,,,
17,AVGO,106.66,188.85,14.07,0.89,6.30,5.10,3.44%,2.78%,6.96,59.78,48.65,0.97,259.36,160.62,245.37,0.40744,272.52%,"Sep 29, 2017","Sep 18, 2017",,
18,CA,14.27,18.82,13.29,22.98,3.51,2.40,6.22%,13.37%,1.25,49.87,14.10,0.65,36.54,30.01,33.19,0.31661,56.67%,"Jun 13, 2017","Aug 22, 2017",3/2,"Nov 28, 1997"
19,CELG,106.76,42.26,15.30,0.87,8.76,12.64,9.54%,37.19%,4.83,169.18,10.80,1.48,147.17,96.93,140.52,0.78054,,,,2/1,"Jun 26, 2014"
20,CERN,24.39,37.18,26.46,1.75,4.98,5.60,10.43%,16.00%,1.37,12.48,13.14,0.90,73.86,47.01,69.63,0.31589999999999996,,,,2/1,"Jul 1, 2013"
21,CHTR,105.64,102.38,,,2.59,2.52,1.92%,2.51%,14.62,136.21,142.03,1.42,408.83,241.50,375.32,0.17814,,,,,
22,CHKP,19.47,26.43,21.01,2.65,10.77,5.45,10.65%,21.66%,0.89347,,21.85,0.68,119.20,75.65,112.81,0.12703,,,,3/2,"Feb 13, 2001"
23,CTAS,16.42,34.63,25.07,2.17,2.90,6.95,10.20%,21.18%,1.12,110.73,21.85,0.91,152.48,102.07,139.06,0.08663,31.89%,"Dec 2, 2016","Nov 2, 2016",3/2,"Mar 8, 2000"
24,CSCO,165.74,17.62,13.13,1.34,3.45,2.53,6.35%,14.81%,14.72,50.98,13.25,1.52,34.60,29.12,32.70,4.95,57.89%,"Oct 25, 2017","Oct 4, 2017",2/1,"Mar 23, 2000"
25,CTXS,12.34,27.45,16.43,2.07,3.59,6.55,8.47%,25.98%,0.98712,74.25,12.44,1.47,87.99,65.56,77.30,0.1507,,,,12558/10000,"Feb 1, 2017"
26,CTSH,43.93,23.86,17.10,1.43,3.11,4.19,10.94%,18.55%,2.78,9.45,17.77,1.10,74.76,49.35,71.89,0.5870599999999999,4.81%,"Aug 31, 2017","Aug 18, 2017",2/1,"Mar 10, 2014"
27,CMCSA,169.73,18.14,16.15,1.92,2.02,3.09,6.29%,17.44%,27.79,110.94,11.67,1.27,42.18,30.02,38.52,4.67,29.72%,"Jul 26, 2017","Oct 3, 2017",2/1,"Feb 21, 2017"
28,COST,70.11,27.75,22.74,2.48,0.54,7.08,7.39%,23.19%,5.35,60.10,22.56,1.03,183.18,142.11,159.80,0.43019999999999997,32.12%,"Sep 1, 2017","Aug 16, 2017",2/1,"Jan 14, 2000"
29,CSX,48.25,27.63,19.57,1.53,4.18,4.16,6.89%,15.37%,5.2,101.93,12.69,1.38,55.48,30.01,51.82,0.9107799999999999,38.74%,"Dec 15, 2017","Aug 29, 2017",3/1,"Jun 16, 2011"
30,CTRP,28.9,788.43,36.31,50.97,8.16,2.58,0.80%,1.51%,0.37374,57.51,21.38,1.95,60.65,39.71,52.94,0.38999,0.00%,,"Jun 10, 2008",2/1,"Dec 2, 2015"
31,XRAY,13.36,-16.99,19.60,3.04,3.48,1.84,2.91%,-10.14%,0.8238,22.12,31.67,1.46,65.68,52.54,57.75,0.22776,0.00%,"Oct 13, 2017","Sep 28, 2017",2/1,"Jul 18, 2006"
32,DISCA,10.79,10.21,7.73,0.76,1.64,1.98,8.48%,20.00%,2.48,143.38,9.69,1.68,30.25,19.01,21.46,0.15127000000000002,,,,1957/1000,"Aug 7, 2014"
33,DISCK,10.75,9.68,7.27,0.59,1.63,1.88,8.48%,20.00%,2.48,143.38,9.69,1.43,29.18,17.97,20.30,0.15127000000000002,,,,2/1,"Aug 7, 2014"
34,DISH,22.55,22.50,20.59,-5.06,1.53,4.31,4.93%,22.70%,3.05,308.63,11.24,1.15,66.50,47.48,54.34,0.22012,0.00%,"Dec 28, 2012","Dec 12, 2012",2/1,"Mar 23, 2000"
35,DLTR,21.67,23.41,17.77,1.57,1.02,3.70,6.83%,17.31%,2.36,98.31,24.75,0.48,92.15,65.63,84.47,0.2303,,,,2/1,"Jun 27, 2012"
36,EBAY,41.05,5.75,17.20,2.97,4.48,3.58,5.80%,82.87%,2.88,99.93,10.70,1.68,39.28,27.28,37.65,1.01,,,,2376/1000,"Jul 20, 2015"
37,EA,36.62,31.76,23.35,1.87,7.29,8.17,12.71%,28.55%,1.58,22.09,14.52,0.74,122.79,73.74,118.49,0.30705,,,,2/1,"Nov 18, 2003"
38,EXPE,22.76,70.64,22.95,1.41,2.41,5.39,2.37%,6.01%,1.19,55.32,27.85,1.01,161.00,111.88,145.22,0.11383,50.47%,"Sep 14, 2017","Aug 22, 2017",1/2,"Dec 21, 2011"
