,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,52.69,200,52.74,300,52.63,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,52.69,300,52.74,300,52.69,100
51,0.4,0.18,0.22,0.0,09:31:00,52.58,400,52.64,200,52.61,100
56,0.30000000000000004,0.07,0.23,3.0,09:31:03,52.59,1200,52.62,100,52.59,200
81,0.43000000000000005,0.17,0.26,20.080000000000002,09:31:20,52.6,200,52.64,200,52.6148,500
122,0.32,0.12,0.2,34.120000000000005,09:31:34,52.62,200,52.65,100,52.65,100
127,0.6000000000000001,0.27,0.33,36.23000000000001,09:31:36,52.69,100,52.72,100,52.67,100
202,2.2199999999999998,2.03,0.19,0.0,09:32:00,52.7,200,52.74,100,52.74,100
209,1.96,1.75,0.21,3.8,09:32:03,52.7,200,52.74,100,52.7399,100
302,0.39,0.22,0.17,33.60999999999999,09:32:33,52.6,400,52.65,200,52.625,500
405,0.5700000000000001,0.28,0.29,8.06,09:33:08,52.7,200,52.73,100,52.7,100
433,0.26,0.07,0.19,17.909999999999997,09:33:17,52.7,200,52.73,100,52.7183,300
509,2.14,1.95,0.19,9.370000000000001,09:34:09,52.54,100,52.58,100,52.56,100
522,0.33,0.07,0.26,20.459999999999997,09:34:20,52.55,100,52.57,100,52.55,100
535,0.39,0.08,0.31,26.039999999999996,09:34:26,52.52,200,52.56,200,52.54,100
618,0.34,0.07,0.27,0.0,09:35:00,52.51,100,52.55,300,52.51,100
621,0.33,0.07,0.26,1.1800000000000002,09:35:01,52.48,100,52.51,100,52.5,200
622,3.44,3.13,0.31,4.62,09:35:04,52.47,300,52.5,100,52.48,100
641,0.4,0.18,0.22,17.36,09:35:17,52.52,200,52.55,100,52.53,100
647,0.43000000000000005,0.16,0.27,19.599999999999998,09:35:19,52.56,200,52.59,100,52.57,100
748,0.4,0.22,0.18,53.57,09:35:53,52.54,100,52.56,200,52.5539,200
778,0.39,0.21,0.18,14.140000000000002,09:36:14,52.52,100,52.54,100,52.52,100
790,0.38,0.09,0.29,22.240000000000002,09:36:22,52.57,100,52.59,100,52.58,100
805,0.65,0.28,0.37,28.220000000000006,09:36:28,52.64,100,52.64,200,52.64,100
809,0.42,0.12,0.3,29.950000000000006,09:36:29,52.63,100,52.65,200,52.6499,1000
814,0.5800000000000001,0.19,0.39,32.25,09:36:32,52.61,200,52.64,200,52.62,100
870,0.35000000000000003,0.08,0.27,55.94,09:36:55,52.64,200,52.67,400,52.66,100
875,0.42000000000000004,0.08,0.34,0.42000000000000004,09:37:00,52.67,200,52.69,100,52.68,200
909,0.6000000000000001,0.26,0.34,22.15,09:37:22,52.69,100,52.71,100,52.71,100
918,0.49,0.14,0.35,26.169999999999998,09:37:26,52.76,100,52.78,400,52.76,100
931,0.5,0.07,0.43,32.660000000000004,09:37:32,52.76,100,52.79,200,52.775,100
939,0.47000000000000003,0.13,0.34,36.34000000000001,09:37:36,52.76,300,52.79,200,52.77,100
959,0.48,0.21,0.27,44.07999999999999,09:37:44,52.81,100,52.84,200,52.8,600
965,0.42,0.18,0.24,46.14999999999999,09:37:46,52.86,200,52.87,400,52.86,100
979,0.35000000000000003,0.07,0.28,52.18999999999998,09:37:52,52.82,100,52.84,100,52.83,100
989,0.36,0.07,0.29,56.32999999999998,09:37:56,52.78,300,52.82,400,52.78,100
993,0.39,0.12,0.27,57.94999999999998,09:37:57,52.79,100,52.82,300,52.795,500
1002,0.42,0.07,0.35,0.0,09:38:00,52.79,200,52.81,100,52.79,100
1011,0.56,0.27,0.29,4.200000000000001,09:38:04,52.81,300,52.85,200,52.84,100
1028,0.34,0.08,0.26,15.91,09:38:15,52.83,200,52.87,300,52.8469,300
1051,0.47,0.17,0.3,28.009999999999998,09:38:28,52.77,100,52.79,100,52.748999999999995,1000
1055,0.55,0.24,0.31,30.16,09:38:30,52.75,200,52.78,400,52.7717,1200
1071,0.39,0.13,0.26,36.050000000000004,09:38:36,52.73,100,52.74,100,52.75,100
1137,0.31,0.08,0.23,4.06,09:39:04,52.84,200,52.87,200,52.85,100
1142,0.37,0.18,0.19,5.859999999999999,09:39:05,52.83,100,52.85,300,52.8611,200
1161,0.37,0.09,0.28,18.160000000000004,09:39:18,52.81,100,52.84,500,52.82,100
1172,0.31,0.07,0.24,22.020000000000003,09:39:22,52.8,300,52.83,200,52.81,100
1226,0.27,0.08,0.19,43.95000000000002,09:39:43,52.73,300,52.76,200,52.729,1000
1245,0.42000000000000004,0.22,0.2,50.06000000000002,09:39:50,52.7,300,52.73,300,52.73,100
1261,0.35,0.17,0.18,0.0,09:40:00,52.71,300,52.74,200,52.72,100
1434,0.97,0.67,0.3,8.629999999999999,09:41:08,52.63,200,52.65,100,52.6388,200
1519,0.38,0.08,0.3,42.32000000000001,09:41:42,52.59,500,52.61,200,52.6,200
1667,0.41000000000000003,0.13,0.28,0.89,09:43:00,52.43,300,52.46,300,52.41,8045
1700,0.31,0.1,0.21,16.570000000000004,09:43:16,52.49,300,52.51,100,52.49,100
1725,0.36,0.09,0.27,28.59,09:43:28,52.46,100,52.49,200,52.46,100
1741,0.4,0.08,0.32,34.69,09:43:34,52.46,400,52.5,200,52.47,100
1783,0.29,0.08,0.21,50.660000000000004,09:43:50,52.49,300,52.5,200,52.495,200
1794,0.33,0.14,0.19,54.82,09:43:54,52.42,300,52.46,400,52.44,100
1831,0.59,0.35,0.24,13.620000000000001,09:44:13,52.46,100,52.49,100,52.475,100
1933,0.41000000000000003,0.18,0.23,53.88000000000001,09:44:53,52.43,200,52.46,200,52.45,100
1972,1.42,1.15,0.27,12.809999999999999,09:45:12,52.51,100,52.54,100,52.525,500
2353,0.37,0.07,0.3,42.419999999999995,09:47:42,52.42,200,52.44,100,52.442,800
2378,0.44,0.21,0.23,2.0500000000000003,09:48:02,52.41,300,52.45,300,52.43,100
2544,0.45,0.18,0.27,10.529999999999998,09:49:10,52.48,200,52.5,100,52.4876,200
2610,0.32,0.08,0.24,43.96000000000001,09:49:43,52.52,300,52.54,100,52.5396,500
2639,0.27,0.07,0.2,54.110000000000035,09:49:54,52.51,200,52.54,300,52.5214,100
2689,0.3,0.08,0.22,23.8,09:50:23,52.53,100,52.55,400,52.5433,101
2742,0.39,0.21,0.18,43.98000000000001,09:50:43,52.49,200,52.5,400,52.505,100
2751,5.26,5.09,0.17,52.030000000000015,09:50:52,52.49,100,52.5,100,52.4921,500
2804,0.38,0.16,0.22,16.029999999999998,09:51:16,52.42,100,52.44,400,52.42,100
2959,0.41000000000000003,0.22,0.19,22.080000000000002,09:52:22,52.47,400,52.49,200,52.4899,2000
3281,0.23,0.07,0.16,28.1,09:54:28,52.46,500,52.47,300,52.465,100
