,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,156.77,100,156.8,400,156.78,100
12,0.35,0.16,0.19,4.76,09:30:04,156.77,300,156.8,400,156.7701,2000
16,0.32,0.08,0.24,6.53,09:30:06,156.77,300,156.8,100,156.77,100
22,0.3,0.08,0.22,8.47,09:30:08,156.82,300,156.83,100,156.83,100
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,156.78,200,156.82,800,156.82,150
32,0.43,0.21,0.22,12.59,09:30:12,156.72,100,156.76,400,156.75,100
46,0.35000000000000003,0.08,0.27,0.0,09:31:00,156.69,100,156.72,100,156.72,100
51,0.4,0.18,0.22,1.98,09:31:01,156.62,200,156.66,500,156.64,100
56,0.30000000000000004,0.07,0.23,4.9799999999999995,09:31:04,156.64,200,156.67,100,156.66,100
59,0.33,0.1,0.23,6.17,09:31:06,156.64,600,156.67,100,156.6674,500
64,2.08,1.88,0.2,9.670000000000002,09:31:09,156.64,600,156.67,100,156.655,200
65,0.31,0.07,0.24,9.980000000000002,09:31:09,156.69,200,156.7,100,156.6968,100
69,0.42,0.21,0.21,12.030000000000003,09:31:12,156.68,600,156.71,500,156.7,100
75,0.89,0.62,0.27,16.62,09:31:16,156.69,600,156.72,400,156.69,100
77,1.79,1.43,0.36,18.84,09:31:18,156.74,100,156.76,1100,156.76,100
79,1.12,0.88,0.24,20.220000000000002,09:31:20,156.74,100,156.76,1100,156.74,100
88,0.39,0.2,0.19,24.270000000000007,09:31:24,156.76,500,156.8,1500,156.8,100
94,0.27,0.07,0.2,26.170000000000005,09:31:26,156.81,500,156.83,100,156.8138,175
103,0.26,0.08,0.18,29.490000000000006,09:31:29,156.78,100,156.81,600,156.81,100
108,0.27,0.08,0.19,31.340000000000007,09:31:31,156.84,300,156.85,6200,156.84,195
110,0.5,0.28,0.22,32.230000000000004,09:31:32,156.85,200,156.86,200,156.8599,300
117,0.3,0.08,0.22,34.38,09:31:34,156.86,500,156.88,700,156.87,100
122,0.32,0.12,0.2,36.10000000000001,09:31:36,156.83,200,156.86,300,156.845,100
127,0.6000000000000001,0.27,0.33,38.210000000000015,09:31:38,156.8,200,156.84,500,156.825,500
133,0.26,0.07,0.19,40.170000000000016,09:31:40,156.8,200,156.83,100,156.8375,100
148,0.4,0.08,0.32,46.14000000000002,09:31:46,156.71,200,156.75,900,156.724,500
163,0.43,0.24,0.19,52.29000000000002,09:31:52,156.7,600,156.75,500,156.73,100
169,0.27,0.07,0.2,54.020000000000024,09:31:54,156.7,200,156.72,100,156.71,100
182,0.33,0.07,0.26,58.26000000000002,09:31:58,156.69,600,156.71,100,156.7001,250
193,0.41000000000000003,0.21,0.2,2.27,09:32:02,156.74,300,156.75,100,156.745,100
202,2.2199999999999998,2.03,0.19,15.0,09:32:15,156.76,400,156.81,400,156.7826,200
258,0.39,0.22,0.17,34.55999999999999,09:32:34,156.77,400,156.81,100,156.784,500
264,0.24000000000000002,0.07,0.17,36.509999999999984,09:32:36,156.83,500,156.88,600,156.86,3000
276,0.24000000000000002,0.07,0.17,40.38999999999998,09:32:40,156.83,200,156.86,200,156.832,100
325,0.25,0.07,0.18,56.56999999999999,09:32:56,156.79,500,156.83,400,156.8125,100
349,0.41000000000000003,0.21,0.2,5.44,09:33:05,156.83,200,156.85,300,156.85,116
354,2.19,1.96,0.23,12.57,09:33:12,156.76,100,156.79,600,156.7601,253
356,2.15,1.91,0.24,14.98,09:33:14,156.73,100,156.77,600,156.7367,400
359,0.35,0.18,0.17,15.84,09:33:15,156.73,200,156.76,100,156.7408,800
375,0.32,0.15,0.17,23.920000000000005,09:33:23,156.7,300,156.73,300,156.72899999999998,200
393,0.35,0.18,0.17,29.870000000000005,09:33:29,156.67,100,156.69,300,156.684,500
399,0.38,0.21,0.17,31.950000000000006,09:33:31,156.66,300,156.67,400,156.6678,400
405,0.5700000000000001,0.28,0.29,33.96,09:33:33,156.67,100,156.68,100,156.67,500
433,0.26,0.07,0.19,43.81000000000001,09:33:43,156.67,200,156.7,300,156.6965,200
440,0.45,0.25,0.2,46.19000000000002,09:33:46,156.67,300,156.7,300,156.6893,2330
452,0.26,0.07,0.19,49.95000000000001,09:33:49,156.68,300,156.7,100,156.6865,200
458,0.27,0.09,0.18,52.11000000000001,09:33:52,156.67,200,156.69,100,156.68,100
470,0.41000000000000003,0.19,0.22,56.35000000000001,09:33:56,156.63,100,156.66,400,156.63,100
475,0.32,0.09,0.23,58.21000000000001,09:33:58,156.66,100,156.68,200,156.6688,300
481,0.24000000000000002,0.07,0.17,0.24000000000000002,09:34:00,156.69,300,156.71,100,156.702,1000
492,0.34,0.14,0.2,4.010000000000001,09:34:04,156.62,100,156.64,100,156.6356,500
499,0.38,0.19,0.19,6.22,09:34:06,156.6,300,156.62,1500,156.6,100
503,0.44,0.22,0.22,8.04,09:34:08,156.62,100,156.64,100,156.62,100
508,1.78,1.57,0.21,11.239999999999998,09:34:11,156.63,300,156.66,500,156.6301,5000
511,0.48,0.27,0.21,14.19,09:34:14,156.66,100,156.69,300,156.6816,100
513,2.17,1.87,0.3,16.61,09:34:16,156.66,500,156.69,200,156.6733,1000
515,1.4000000000000001,1.06,0.34,21.779999999999998,09:34:21,156.69,500,156.72,700,156.7125,118
516,0.42000000000000004,0.2,0.22,22.2,09:34:22,156.72,500,156.74,100,156.725,265
535,0.39,0.08,0.31,30.049999999999994,09:34:30,156.69,300,156.7,100,156.68200000000002,200
566,0.33,0.08,0.25,42.08999999999999,09:34:42,156.64,300,156.66,400,156.65,100
588,0.29000000000000004,0.07,0.22,50.01999999999999,09:34:50,156.65,500,156.67,500,156.656,2000
614,0.38,0.08,0.3,0.0,09:35:00,156.64,200,156.66,400,156.6401,317
618,0.34,0.07,0.27,5.17,09:35:05,156.64,100,156.65,2300,156.6599,5000
621,0.33,0.07,0.26,6.3500000000000005,09:35:06,156.61,200,156.63,300,156.61,100
623,1.67,1.41,0.26,11.46,09:35:11,156.61,200,156.62,300,156.6199,1100
641,0.4,0.18,0.22,22.53,09:35:22,156.69,300,156.71,100,156.7025,100
663,0.29000000000000004,0.07,0.22,31.039999999999996,09:35:31,156.74,400,156.75,300,156.7498,100
674,0.44999999999999996,0.21,0.24,34.75,09:35:34,156.72,300,156.74,400,156.7201,250
689,0.28,0.07,0.21,40.66000000000001,09:35:40,156.75,100,156.76,300,156.755,100
701,0.26,0.08,0.18,44.800000000000004,09:35:44,156.71,300,156.73,1200,156.727,500
720,0.24000000000000002,0.07,0.17,50.64000000000001,09:35:50,156.75,300,156.76,300,156.7515,300
741,0.23,0.07,0.16,56.81000000000002,09:35:56,156.75,200,156.77,300,156.7686,1000
759,0.38,0.21,0.17,0.0,09:36:00,156.79,300,156.8,200,156.7964,900
765,0.44000000000000006,0.17,0.27,2.13,09:36:02,156.78,2900,156.8,200,156.79,200
772,0.24000000000000002,0.07,0.17,9.8,09:36:09,156.8,100,156.81,200,156.805,200
774,2.31,2.11,0.2,12.360000000000001,09:36:12,156.79,100,156.8,1400,156.8001,100
778,0.39,0.21,0.18,14.140000000000002,09:36:14,156.76,300,156.77,100,156.7693,2000
780,0.43,0.19,0.24,18.330000000000002,09:36:18,156.72,600,156.74,100,156.7279,600
790,0.38,0.09,0.29,22.240000000000002,09:36:22,156.74,100,156.75,100,156.7443,1000
822,0.30000000000000004,0.07,0.23,35.88999999999999,09:36:35,156.76,300,156.77,200,156.7588,300
846,0.75,0.21,0.54,46.32999999999999,09:36:46,156.74,100,156.75,200,156.7435,1000
875,0.42000000000000004,0.08,0.34,0.0,09:37:00,156.79,100,156.8,600,156.795,100
893,0.28,0.07,0.21,9.77,09:37:09,156.79,400,156.8,400,156.7999,100
902,0.39,0.14,0.25,18.529999999999998,09:37:18,156.71,100,156.72,200,156.715,100
914,0.41000000000000003,0.21,0.2,23.889999999999997,09:37:23,156.75,200,156.77,200,156.765,300
934,0.35000000000000003,0.07,0.28,33.71,09:37:33,156.74,300,156.77,600,156.7567,100
939,0.47000000000000003,0.13,0.34,35.92,09:37:35,156.73,500,156.75,400,156.7413,100
944,0.43,0.08,0.35,37.949999999999996,09:37:37,156.73,500,156.75,300,156.7391,200
948,0.46,0.19,0.27,39.559999999999995,09:37:39,156.73,500,156.75,300,156.7429,900
979,0.35000000000000003,0.07,0.28,51.769999999999975,09:37:51,156.83,300,156.85,500,156.8437,1000
1007,0.48000000000000004,0.2,0.28,4.16,09:38:04,156.73,100,156.74,200,156.7354,400
1028,0.34,0.08,0.26,17.89,09:38:17,156.67,200,156.69,500,156.67700000000002,100
1039,0.49,0.07,0.42,24.03,09:38:24,156.72,200,156.74,600,156.7205,140
1071,0.39,0.13,0.26,38.029999999999994,09:38:38,156.65,600,156.67,400,156.6575,170
1080,0.46,0.23,0.23,42.17999999999999,09:38:42,156.62,200,156.64,500,156.645,200
1108,0.35000000000000003,0.08,0.27,53.76999999999998,09:38:53,156.67,300,156.68,400,156.675,100
1117,0.62,0.27,0.35,57.899999999999984,09:38:57,156.63,200,156.65,300,156.632,500
1118,0.37,0.13,0.24,58.26999999999998,09:38:58,156.63,100,156.64,200,156.6334,1000
1123,0.44999999999999996,0.21,0.24,0.44999999999999996,09:39:00,156.63,200,156.64,400,156.6399,1800
1132,0.47,0.23,0.24,4.19,09:39:04,156.62,200,156.63,600,156.6225,100
1181,0.43,0.18,0.25,29.96000000000001,09:39:29,156.61,400,156.62,200,156.6192,140
1187,0.34,0.08,0.26,32.19000000000001,09:39:32,156.61,400,156.62,200,156.6125,1000
1197,0.53,0.17,0.36,36.18000000000002,09:39:36,156.6,100,156.61,700,156.6001,1000
1202,0.47,0.18,0.29,38.08000000000003,09:39:38,156.57,800,156.58,300,156.5799,200
1211,0.45,0.2,0.25,42.32000000000003,09:39:42,156.6,700,156.61,800,156.6039,106
1216,0.49,0.22,0.27,44.52000000000004,09:39:44,156.59,100,156.6,800,156.59,100
1226,0.27,0.08,0.19,48.140000000000036,09:39:48,156.57,300,156.58,200,156.57,200
1232,0.28,0.07,0.21,50.140000000000036,09:39:50,156.57,300,156.58,100,156.58,100
1256,0.5800000000000001,0.3,0.28,58.28000000000003,09:39:58,156.58,300,156.6,700,156.5868,300
