,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,153.86,100,154.2,200,154.16,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,153.91,100,154.12,100,154.05,100
46,0.35000000000000003,0.08,0.27,0.0,09:31:00,153.86,100,154.07,100,153.98,200
69,0.42,0.21,0.21,12.030000000000003,09:31:12,153.86,100,154.04,100,153.95,100
138,0.38,0.07,0.31,42.140000000000015,09:31:42,153.86,100,154.02,100,154.01,100
186,0.29,0.08,0.21,0.0,09:32:00,153.87,100,154.0,300,153.935,100
201,4.77,4.56,0.21,12.78,09:32:12,154.0,200,154.05,100,154.0,100
320,0.69,0.28,0.41,54.9,09:32:54,153.88,100,153.98,200,153.89,100
325,0.25,0.07,0.18,56.56999999999999,09:32:56,153.8,100,153.93,200,153.88,100
332,0.25,0.07,0.18,58.52,09:32:58,153.8,100,153.89,200,153.85,100
343,2.23,1.98,0.25,0.0,09:33:00,153.79,100,153.88,100,153.84,200
350,3.75,3.46,0.29,5.78,09:33:05,153.78,200,153.87,100,153.83,300
359,0.35,0.18,0.17,12.43,09:33:12,153.78,100,153.88,100,153.8375,100
365,0.42000000000000004,0.23,0.19,16.55,09:33:16,153.78,100,153.88,100,153.8056,400
370,0.66,0.28,0.38,18.680000000000003,09:33:18,153.77,100,153.87,100,153.77,100
375,0.32,0.15,0.17,20.510000000000005,09:33:20,153.7,100,153.87,100,153.71,100
412,0.47000000000000003,0.27,0.2,32.56,09:33:32,153.63,100,153.72,200,153.7,100
418,0.42,0.21,0.21,34.89000000000001,09:33:34,153.52,100,153.69,100,153.61,140
446,0.25,0.07,0.18,44.66000000000001,09:33:44,153.52,100,153.63,200,153.6,300
480,0.28,0.11,0.17,0.0,09:34:00,153.69,100,153.89,100,153.69,358
499,0.38,0.19,0.19,6.22,09:34:06,153.6,100,153.76,100,153.76,100
503,0.44,0.22,0.22,8.04,09:34:08,153.6,100,153.86,100,153.64,100
511,0.48,0.27,0.21,14.19,09:34:14,153.55,200,153.73,400,153.68,100
516,0.42000000000000004,0.2,0.22,22.2,09:34:22,153.56,200,153.92,100,153.731,100
522,0.33,0.07,0.26,24.469999999999995,09:34:24,153.63,100,153.92,100,153.73,100
628,0.45,0.22,0.23,0.0,09:35:00,153.7,100,153.89,500,153.7775,100
657,0.54,0.28,0.26,12.129999999999999,09:35:12,153.72,100,153.92,100,153.82,150
663,0.29000000000000004,0.07,0.22,14.419999999999998,09:35:14,153.74,100,153.92,100,153.852,250
686,0.6200000000000001,0.28,0.34,22.700000000000003,09:35:22,153.75,100,153.92,100,153.835,100
779,3.7600000000000002,3.33,0.43,0.0,09:36:00,154.01,100,154.07,200,154.025,100
828,0.26,0.08,0.18,20.180000000000003,09:36:20,153.98,200,154.19,200,154.09,100
833,0.39,0.16,0.23,22.240000000000006,09:36:22,153.98,200,154.19,100,154.08,100
875,0.42000000000000004,0.08,0.34,0.0,09:37:00,153.99,100,154.19,100,154.1159,125
901,2.69,2.4,0.29,18.139999999999997,09:37:18,154.08,100,154.2,200,154.14,100
902,0.39,0.14,0.25,18.529999999999998,09:37:18,153.93,100,154.17,500,154.045,100
944,0.43,0.08,0.35,37.949999999999996,09:37:37,153.93,100,154.1,200,154.02,157
954,0.47,0.21,0.26,41.829999999999984,09:37:41,154.1,100,154.17,100,154.11,200
959,0.48,0.21,0.27,43.65999999999998,09:37:43,153.95,100,154.16,200,154.1,100
1039,0.49,0.07,0.42,24.03,09:38:24,154.0,200,154.15,100,154.075,100
1075,0.30000000000000004,0.07,0.23,39.77999999999999,09:38:39,154.0,500,154.14,100,154.07,100
1181,0.43,0.18,0.25,15.56,09:39:15,154.1,100,154.17,200,154.1375,100
1262,0.25,0.07,0.18,0.0,09:40:00,153.98,100,154.09,200,153.9801,100
1277,0.46,0.2,0.26,7.97,09:40:07,153.95,100,154.13,500,153.97,100
1329,0.41000000000000003,0.2,0.21,33.349999999999994,09:40:33,153.9,100,153.96,600,153.94,100
1330,0.38,0.19,0.19,33.73,09:40:33,153.9,100,153.96,600,153.93,100
1368,0.32,0.07,0.25,47.80999999999998,09:40:47,153.91,100,153.99,700,153.92,100
1422,0.4,0.21,0.19,0.0,09:41:00,153.75,200,154.0,800,153.855,300
1439,3.9699999999999998,3.65,0.32,11.89,09:41:11,153.74,300,153.96,100,153.96,148
1482,0.45999999999999996,0.24,0.22,26.24000000000001,09:41:26,153.63,500,153.8,100,153.79,100
1487,0.31,0.12,0.19,27.920000000000012,09:41:27,153.64,500,153.8,100,153.72,200
1523,0.47,0.09,0.38,42.17000000000001,09:41:42,153.77,100,153.95,500,153.81,100
1561,0.38,0.08,0.3,0.0,09:42:00,153.72,100,153.94,100,153.825,133
1568,0.38,0.07,0.31,6.08,09:42:06,153.74,300,153.96,100,153.845,100
1622,0.33,0.07,0.26,29.84000000000001,09:42:29,153.79,100,153.96,100,153.865,100
1637,0.4,0.18,0.22,35.910000000000004,09:42:35,153.81,100,153.96,100,153.885,100
1715,0.32,0.08,0.24,19.889999999999997,09:43:19,153.98,100,154.09,100,154.035,100
1892,0.38,0.12,0.26,40.16,09:44:40,153.87,100,153.98,200,153.925,100
1985,0.5700000000000001,0.28,0.29,9.25,09:45:09,153.93,100,154.08,200,153.9675,500
1990,0.34,0.17,0.17,11.040000000000001,09:45:11,153.93,400,154.08,200,153.9301,240
2001,0.5800000000000001,0.27,0.31,15.49,09:45:15,153.95,300,154.08,100,153.9701,500
2036,0.5,0.21,0.29,29.44,09:45:29,153.95,100,154.07,200,154.015,150
2093,0.32,0.07,0.25,0.0,09:46:00,153.91,100,154.0,200,153.91,100
2120,0.46,0.14,0.32,18.470000000000002,09:46:18,154.0,100,154.11,100,154.0475,334
2158,0.32999999999999996,0.09,0.24,32.27,09:46:32,153.99,100,154.15,800,154.06,660
2168,0.45999999999999996,0.21,0.25,36.17000000000001,09:46:36,153.99,300,154.11,100,153.991,500
2233,0.25,0.07,0.18,0.0,09:47:00,154.02,100,154.18,100,154.0525,100
2267,0.36,0.18,0.18,18.11,09:47:18,154.05,100,154.19,100,154.12,100
2309,0.32999999999999996,0.09,0.24,34.39,09:47:34,154.2,200,154.28,100,154.22,100
2315,0.25,0.07,0.18,36.14000000000001,09:47:36,154.2,100,154.34,1100,154.2305,100
2373,0.39,0.2,0.19,0.0,09:48:00,154.24,100,154.33,100,154.285,100
2378,0.44,0.21,0.23,2.0500000000000003,09:48:02,154.24,400,154.33,100,154.3292,100
2397,0.59,0.38,0.21,9.46,09:48:09,154.25,100,154.33,100,154.32,185
2398,0.35000000000000003,0.07,0.28,9.81,09:48:09,154.24,400,154.33,100,154.29,100
2409,0.31,0.08,0.23,15.780000000000003,09:48:15,154.23,200,154.31,200,154.23,500
2414,3.29,3.03,0.26,20.97,09:48:20,154.25,100,154.33,100,154.31,170
2417,0.29000000000000004,0.07,0.22,21.859999999999996,09:48:21,154.25,100,154.33,300,154.25,100
2458,0.34,0.17,0.17,35.73,09:48:35,154.3,200,154.44,500,154.34,100
2485,0.34,0.07,0.27,45.93,09:48:45,154.32,100,154.43,100,154.39,100
2524,0.51,0.2,0.31,0.0,09:49:00,154.34,100,154.43,500,154.35,100
2543,2.41,1.99,0.42,11.760000000000002,09:49:11,154.32,200,154.43,200,154.37,100
2554,0.4,0.21,0.19,21.66,09:49:21,154.34,100,154.42,100,154.41,100
2586,0.54,0.24,0.3,35.779999999999994,09:49:35,154.32,100,154.42,100,154.33,100
2649,0.45999999999999996,0.22,0.24,0.0,09:50:00,154.32,500,154.47,100,154.4,100
2684,0.37,0.17,0.2,22.240000000000002,09:50:22,154.33,100,154.4,100,154.3999,200
2932,1.1,0.85,0.25,2.47,09:52:02,154.39,300,154.46,500,154.42,100
2941,3.5,3.25,0.25,10.5,09:52:10,154.44,100,154.5,100,154.48,100
2953,0.25,0.07,0.18,15.7,09:52:15,154.4,200,154.48,100,154.44,100
3014,0.5,0.18,0.32,35.970000000000006,09:52:35,154.43,100,154.5,300,154.43,100
3085,0.29000000000000004,0.09,0.2,0.0,09:53:00,154.44,200,154.5,300,154.47,100
3111,0.29000000000000004,0.09,0.2,15.86,09:53:15,154.45,200,154.52,100,154.5,119
3165,0.26,0.08,0.18,33.72999999999999,09:53:33,154.47,300,154.56,100,154.53,100
3201,0.36,0.2,0.16,45.88999999999996,09:53:45,154.47,200,154.55,100,154.545,100
3214,0.24000000000000002,0.07,0.17,49.78999999999997,09:53:49,154.47,200,154.56,200,154.54,200
3237,2.25,2.07,0.18,0.0,09:54:00,154.47,300,154.56,200,154.475,100
3317,0.39,0.21,0.18,36.690000000000005,09:54:36,154.47,300,154.56,400,154.4925,100
3342,0.33,0.17,0.16,44.57000000000002,09:54:44,154.48,100,154.56,400,154.55,100
3360,0.41000000000000003,0.21,0.2,50.61000000000003,09:54:50,154.51,400,154.56,300,154.56,100
3392,0.29,0.08,0.21,7.65,09:55:07,154.55,300,154.63,100,154.59,100
3469,0.52,0.24,0.28,39.85000000000001,09:55:39,154.5,200,154.59,100,154.555,100
3526,2.38,2.05,0.33,0.0,09:56:00,154.51,100,154.59,200,154.51,100
3572,0.4,0.07,0.33,22.059999999999995,09:56:22,154.5,200,154.55,100,154.52,100
3581,0.48000000000000004,0.2,0.28,26.159999999999997,09:56:26,154.5,200,154.54,500,154.5322,100
3677,1.35,1.06,0.29,8.18,09:57:08,154.46,100,154.49,200,154.4736,275
3708,0.26,0.08,0.18,21.219999999999995,09:57:21,154.44,100,154.47,100,154.45,100
3718,0.37,0.17,0.2,25.359999999999992,09:57:25,154.44,100,154.47,100,154.455,100
3795,0.33999999999999997,0.12,0.22,0.0,09:58:00,154.42,200,154.45,300,154.435,100
3807,0.37,0.18,0.19,3.9699999999999998,09:58:03,154.45,100,154.48,300,154.465,100
3812,0.26,0.07,0.19,8.059999999999999,09:58:08,154.45,100,154.49,100,154.46,100
4003,0.54,0.24,0.3,30.139999999999993,09:59:30,154.24,100,154.34,300,154.27,150
4045,0.4,0.19,0.21,44.150000000000006,09:59:44,154.27,200,154.34,300,154.305,100
4094,0.32,0.07,0.25,0.0,10:00:00,154.28,100,154.38,100,154.335,100
4099,0.39,0.07,0.32,2.0100000000000002,10:00:02,154.28,200,154.38,100,154.3325,100
4159,0.5,0.24,0.26,36.15999999999999,10:00:36,154.27,200,154.34,200,154.30100000000002,350
4179,0.56,0.25,0.31,44.36999999999998,10:00:44,154.29,100,154.36,100,154.36,100
4190,0.54,0.08,0.46,50.549999999999976,10:00:50,154.3,100,154.39,400,154.38,100
4245,0.29000000000000004,0.07,0.22,17.759999999999998,10:01:17,154.28,100,154.37,300,154.325,140
4250,0.29000000000000004,0.07,0.22,19.519999999999996,10:01:19,154.14,500,154.25,300,154.28,100
4286,0.3,0.12,0.18,31.57,10:01:31,154.18,300,154.25,300,154.24,140
4337,0.36,0.19,0.17,47.68000000000003,10:01:47,154.26,200,154.34,300,154.3,100
4360,0.26,0.08,0.18,1.9700000000000002,10:02:01,154.26,200,154.32,200,154.295,100
4421,0.27,0.07,0.2,34.07,10:02:34,154.29,200,154.4,200,154.345,700
4478,0.34,0.08,0.26,54.06000000000003,10:02:54,154.31,100,154.4,100,154.355,100
4608,0.24000000000000002,0.07,0.17,37.790000000000006,10:03:37,154.34,400,154.45,300,154.395,100
4671,1.4,1.13,0.27,0.0,10:04:00,154.37,400,154.44,200,154.405,658
4748,0.44,0.21,0.23,36.34,10:04:36,154.42,300,154.49,200,154.4642,700
4769,0.5,0.28,0.22,44.480000000000004,10:04:44,154.42,300,154.49,200,154.49,100
4952,2.39,2.14,0.25,18.880000000000003,10:06:18,154.43,100,154.47,200,154.4556,500
4956,0.25,0.08,0.17,22.000000000000004,10:06:22,154.4,100,154.47,200,154.445,100
5026,0.28,0.08,0.2,46.050000000000026,10:06:46,154.4,200,154.45,200,154.425,100
5084,1.94,1.74,0.2,0.0,10:07:00,154.31,100,154.4,100,154.341,120
5273,0.34,0.07,0.27,24.1,10:08:24,154.17,100,154.21,100,154.2201,200
