,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,88.91,200,89.15,700,88.96,100
12,0.35,0.16,0.19,4.76,09:30:04,88.91,100,89.14,400,88.91,100
51,0.4,0.18,0.22,0.0,09:31:00,88.92,200,89.14,500,89.03,175
69,0.42,0.21,0.21,10.05,09:31:10,88.92,200,89.14,600,88.935,100
138,0.38,0.07,0.31,40.16000000000001,09:31:40,89.0,200,89.14,500,89.0,100
182,0.33,0.07,0.26,56.280000000000015,09:31:56,89.01,200,89.14,500,89.0616,200
187,0.24000000000000002,0.07,0.17,0.0,09:32:00,89.01,100,89.08,100,89.01,100
209,1.96,1.75,0.21,18.56,09:32:18,88.91,100,89.02,200,88.92,100
241,0.26,0.09,0.17,28.159999999999993,09:32:28,88.89,200,88.94,300,88.94,100
264,0.24000000000000002,0.07,0.17,36.26999999999998,09:32:36,88.82,200,88.9,100,88.83,200
343,2.23,1.98,0.25,0.0,09:33:00,88.77,100,88.88,300,88.81,100
370,0.66,0.28,0.38,18.680000000000003,09:33:18,88.73,100,88.78,200,88.73,100
381,0.41000000000000003,0.22,0.19,22.490000000000006,09:33:22,88.75,100,88.82,100,88.76,100
452,0.26,0.07,0.19,46.540000000000006,09:33:46,88.72,100,88.81,200,88.7205,180
486,0.25,0.07,0.18,0.0,09:34:00,88.57,200,88.63,100,88.57,100
492,0.34,0.14,0.2,1.87,09:34:01,88.62,100,88.68,100,88.64,100
508,1.78,1.57,0.21,9.100000000000001,09:34:09,88.61,100,88.68,200,88.67,100
509,2.14,1.95,0.19,11.240000000000002,09:34:11,88.63,100,88.72,100,88.68,100
513,2.17,1.87,0.3,14.470000000000002,09:34:14,88.62,300,88.72,100,88.63,100
546,0.45,0.2,0.25,31.939999999999994,09:34:31,88.55,200,88.6,400,88.56,100
550,0.46,0.26,0.2,33.36,09:34:33,88.55,200,88.6,100,88.6,100
561,0.26,0.08,0.18,37.86999999999999,09:34:37,88.64,100,88.66,200,88.65,100
566,0.33,0.08,0.25,39.94999999999999,09:34:39,88.63,100,88.67,200,88.66,100
623,1.67,1.41,0.26,11.46,09:35:11,88.59,100,88.64,100,88.61,100
653,0.44,0.22,0.22,26.840000000000003,09:35:26,88.61,200,88.67,100,88.645,100
772,0.24000000000000002,0.07,0.17,0.0,09:36:00,88.57,100,88.63,200,88.5729,180
795,0.33,0.1,0.23,14.259999999999998,09:36:14,88.54,600,88.61,200,88.54,100
805,0.65,0.28,0.37,18.419999999999995,09:36:18,88.55,100,88.61,200,88.5762,1000
809,0.42,0.12,0.3,20.149999999999995,09:36:20,88.55,100,88.61,200,88.55,100
850,0.34,0.08,0.26,38.21999999999999,09:36:38,88.51,200,88.56,300,88.5101,100
874,0.45,0.2,0.25,0.0,09:37:00,88.51,300,88.56,100,88.535,100
878,0.5900000000000001,0.07,0.52,2.18,09:37:02,88.59,100,88.62,300,88.59,200
897,1.12,0.75,0.37,12.52,09:37:12,88.56,200,88.61,300,88.58,100
901,2.69,2.4,0.29,18.56,09:37:18,88.52,100,88.58,200,88.53,100
1039,0.49,0.07,0.42,0.0,09:38:00,88.59,100,88.62,200,88.62,100
1108,0.35000000000000003,0.08,0.27,29.740000000000002,09:38:29,88.57,300,88.58,300,88.575,300
1226,0.27,0.08,0.19,39.890000000000015,09:39:39,88.55,100,88.63,200,88.5948,283
1551,0.41000000000000003,0.09,0.32,3.7700000000000005,09:42:03,88.59,100,88.62,100,88.6192,100
1667,0.41000000000000003,0.13,0.28,2.25,09:43:02,88.67,100,88.72,100,88.7,100
1700,0.31,0.1,0.21,17.930000000000003,09:43:17,88.68,100,88.71,300,88.69,100
1705,0.32,0.09,0.23,22.1,09:43:22,88.74,400,88.77,300,88.74,100
1746,0.31,0.08,0.23,38.160000000000004,09:43:38,88.74,300,88.79,200,88.77,100
1927,0.27,0.07,0.2,21.740000000000002,09:44:21,88.8,100,88.85,200,88.8,100
1969,5.109999999999999,4.93,0.18,0.0,09:45:00,88.8,300,88.84,300,88.82,1005
1970,1.2,0.89,0.31,1.2,09:45:01,88.76,100,88.82,100,88.805,100
2001,0.5800000000000001,0.27,0.31,16.689999999999998,09:45:16,88.78,100,88.84,200,88.79,100
2030,0.38,0.2,0.18,28.209999999999997,09:45:28,88.81,100,88.85,300,88.84,100
2036,0.5,0.21,0.29,30.639999999999997,09:45:30,88.84,200,88.85,100,88.85,100
2152,0.38,0.08,0.3,19.450000000000003,09:46:19,88.89,100,88.93,100,88.9,100
2209,0.53,0.27,0.26,39.32999999999999,09:46:39,88.93,200,88.98,400,88.95,100
2215,0.39,0.21,0.18,41.25999999999999,09:46:41,88.96,100,89.02,900,88.98,200
2239,0.28,0.07,0.21,0.0,09:47:00,88.99,300,89.03,300,89.02,100
2284,0.28,0.08,0.2,22.24,09:47:22,89.04,100,89.08,300,89.08,100
2295,0.44999999999999996,0.09,0.36,26.159999999999997,09:47:26,89.04,100,89.08,200,89.0799,140
2309,0.32999999999999996,0.09,0.24,32.37,09:47:32,89.08,300,89.12,100,89.1,100
2321,0.4,0.2,0.2,36.010000000000005,09:47:36,89.1,200,89.14,100,89.12,100
2343,0.5900000000000001,0.27,0.32,44.35,09:47:44,89.1,200,89.14,100,89.13,100
2367,0.33,0.14,0.19,53.91999999999999,09:47:53,89.1,300,89.14,100,89.11,100
2371,0.41000000000000003,0.2,0.21,55.48999999999999,09:47:55,89.12,100,89.18,900,89.14,123
2389,0.31,0.09,0.22,1.7100000000000002,09:48:01,89.13,200,89.18,100,89.17,100
2403,0.31,0.07,0.24,7.55,09:48:07,89.14,100,89.17,100,89.155,100
2417,0.29000000000000004,0.07,0.22,17.64,09:48:17,89.14,200,89.18,100,89.16,1005
2423,0.37,0.14,0.23,19.51,09:48:19,89.18,200,89.21,100,89.165,100
2447,0.42000000000000004,0.23,0.19,27.679999999999996,09:48:27,89.18,200,89.22,100,89.19,100
2464,0.47,0.22,0.25,33.90999999999998,09:48:33,89.18,200,89.22,200,89.2,100
2544,0.45,0.18,0.27,12.21,09:49:12,89.18,300,89.22,200,89.1952,143
2559,0.37,0.09,0.28,23.630000000000003,09:49:23,89.2,200,89.23,100,89.215,100
2581,0.44,0.2,0.24,33.63999999999999,09:49:33,89.22,100,89.24,100,89.24,100
2590,0.35000000000000003,0.07,0.28,37.529999999999994,09:49:37,89.21,100,89.24,100,89.225,100
2695,0.28,0.07,0.21,0.0,09:50:00,89.18,300,89.2,100,89.18,100
2716,0.67,0.22,0.45,8.200000000000001,09:50:08,89.19,100,89.23,100,89.1988,340
2804,0.38,0.16,0.22,16.029999999999998,09:51:16,89.19,200,89.23,200,89.21,100
2880,0.34,0.07,0.27,46.009999999999984,09:51:46,89.21,200,89.24,300,89.211,1000
2902,0.4,0.2,0.2,54.13999999999998,09:51:54,89.22,100,89.24,300,89.23,100
2911,0.32,0.08,0.24,58.019999999999975,09:51:58,89.21,200,89.23,200,89.22,100
2928,0.42000000000000004,0.19,0.23,4.2700000000000005,09:52:04,89.26,100,89.29,100,89.27,100
2959,0.41000000000000003,0.22,0.19,22.080000000000002,09:52:22,89.23,200,89.26,100,89.26,100
3071,0.4,0.17,0.23,0.0,09:53:00,89.28,200,89.31,200,89.3,100
3088,0.42,0.18,0.24,9.83,09:53:09,89.28,200,89.31,200,89.295,100
3106,0.75,0.54,0.21,20.21,09:53:20,89.3,100,89.35,200,89.31,1800
3195,0.39,0.22,0.17,49.97999999999996,09:53:49,89.3,200,89.33,200,89.3297,163
3201,0.36,0.2,0.16,51.829999999999956,09:53:51,89.32,200,89.35,300,89.33,100
3220,0.23,0.07,0.16,57.54999999999996,09:53:57,89.32,100,89.34,100,89.34,200
3267,0.23,0.07,0.16,23.840000000000007,09:54:23,89.3,200,89.32,200,89.32,200
3367,0.36,0.18,0.18,55.900000000000034,09:54:55,89.31,200,89.34,400,89.3273,594
3378,0.35,0.12,0.23,0.0,09:55:00,89.33,200,89.34,200,89.335,100
3392,0.29,0.08,0.21,9.809999999999999,09:55:09,89.31,200,89.34,400,89.3176,100
3459,0.33,0.08,0.25,38.15,09:55:38,89.32,100,89.34,300,89.325,100
3548,0.27,0.07,0.2,0.0,09:56:00,89.25,100,89.29,100,89.2899,100
3554,0.52,0.22,0.3,2.21,09:56:02,89.25,100,89.29,200,89.29,100
3586,0.36,0.09,0.27,16.169999999999998,09:56:16,89.25,200,89.28,200,89.265,100
3628,0.32,0.07,0.25,30.070000000000007,09:56:30,89.22,200,89.26,100,89.25,200
3667,3.57,3.32,0.25,0.0,09:57:00,89.2,200,89.24,100,89.2236,100
3875,0.35,0.12,0.23,38.230000000000004,09:58:38,89.15,300,89.21,300,89.2099,150
3879,0.32,0.09,0.23,39.95,09:58:39,89.11,200,89.16,100,89.15,100
4385,0.24000000000000002,0.07,0.17,17.639999999999993,10:02:17,89.12,100,89.15,200,89.115,100
4907,0.42000000000000004,0.22,0.2,46.269999999999975,10:05:46,89.19,200,89.22,300,89.205,100
5163,0.31,0.13,0.18,35.18,10:07:35,89.21,300,89.23,800,89.21799999999999,100
5250,0.43000000000000005,0.23,0.2,0.0,10:08:00,89.17,300,89.2,200,89.1898,500
5722,3.47,3.24,0.23,20.97,10:14:20,89.18,200,89.21,200,89.2004,127
6253,0.53,0.22,0.31,38.61999999999999,10:17:38,89.32,100,89.33,300,89.3211,100
6291,4.31,3.94,0.37,0.0,10:18:00,89.34,200,89.37,300,89.35,100
6313,0.48,0.25,0.23,12.560000000000004,10:18:12,89.36,200,89.38,300,89.37,100
6483,0.36,0.14,0.22,23.74000000000001,10:20:23,89.35,100,89.36,200,89.36,100
6559,0.6000000000000001,0.07,0.53,10.14,10:21:10,89.39,100,89.4,300,89.39,100
6563,0.71,0.23,0.48,12.68,10:21:12,89.35,200,89.38,100,89.38,100
6674,0.7,0.24,0.46,29.939999999999998,10:22:29,89.36,200,89.39,200,89.3739,112
6798,0.42000000000000004,0.19,0.23,37.279999999999994,10:23:37,89.39,200,89.41,300,89.4,100
6961,0.45000000000000007,0.17,0.28,0.0,10:25:00,89.38,200,89.4,300,89.3906,110
6997,0.43,0.14,0.29,24.12,10:25:24,89.4,200,89.42,300,89.41,100
7067,0.32,0.07,0.25,56.31999999999996,10:25:56,89.41,300,89.43,100,89.42,200
7112,0.42000000000000004,0.1,0.32,0.0,10:26:00,89.42,100,89.44,200,89.43,100
7185,37.42,37.15,0.27,0.0,10:27:00,89.43,1800,89.46,200,89.45,100
