,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,113.59,200,113.78,100,113.685,100
22,0.3,0.08,0.22,8.47,09:30:08,113.68,100,113.78,100,113.77,200
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,113.75,200,114.15,200,113.8,100
51,0.4,0.18,0.22,0.0,09:31:00,113.66,100,114.12,200,113.89,100
227,0.36,0.19,0.17,0.0,09:32:00,113.74,200,114.03,200,113.76,100
354,2.19,1.96,0.23,0.0,09:33:00,113.78,100,113.98,100,113.88,100
381,0.41000000000000003,0.22,0.19,13.330000000000002,09:33:13,113.87,300,113.99,200,113.8762,260
486,0.25,0.07,0.18,0.0,09:34:00,113.93,100,114.1,100,113.99,100
492,0.34,0.14,0.2,1.87,09:34:01,113.96,200,114.11,1100,114.0,100
502,0.6799999999999999,0.49,0.19,5.460000000000001,09:34:05,113.92,200,114.11,1100,113.98,100
522,0.33,0.07,0.26,22.33,09:34:22,113.94,200,114.11,1100,114.02,100
632,0.29000000000000004,0.07,0.22,12.329999999999998,09:35:12,113.94,100,114.06,200,113.97,100
657,0.54,0.28,0.26,22.4,09:35:22,113.94,100,114.05,200,113.945,100
714,0.44,0.26,0.18,42.57,09:35:42,113.94,300,114.06,200,113.94,100
774,2.31,2.11,0.2,0.0,09:36:00,113.89,100,113.95,200,113.91,100
785,0.42,0.21,0.21,7.850000000000001,09:36:07,113.87,100,113.96,100,113.93,100
939,0.47000000000000003,0.13,0.34,8.03,09:37:08,113.9,100,113.97,100,113.915,100
948,0.46,0.19,0.27,11.67,09:37:11,113.9,100,113.97,100,113.9,100
965,0.42,0.18,0.24,17.840000000000007,09:37:17,113.93,100,113.97,100,113.96,100
1090,0.55,0.22,0.33,46.02999999999998,09:38:46,113.96,200,114.0,100,113.975,100
1113,0.51,0.21,0.3,56.069999999999986,09:38:56,114.01,100,114.08,200,114.06,100
1137,0.31,0.08,0.23,0.0,09:39:00,114.03,200,114.09,100,114.03,100
1142,0.37,0.18,0.19,1.8000000000000003,09:39:01,113.99,100,114.05,100,114.05,150
1181,0.43,0.18,0.25,21.710000000000004,09:39:21,113.99,200,114.1,100,114.04,100
1391,0.49,0.22,0.27,55.879999999999995,09:40:55,113.85,200,113.98,200,113.86,100
1417,0.42000000000000004,0.22,0.2,0.0,09:41:00,113.86,300,113.96,200,113.87,100
1469,0.56,0.23,0.33,24.05,09:41:24,113.89,300,113.95,100,113.95,100
1482,0.45999999999999996,0.24,0.22,28.220000000000006,09:41:28,113.9,300,113.95,100,113.92,100
1487,0.31,0.12,0.19,29.90000000000001,09:41:29,113.9,300,113.98,100,113.925,100
1581,0.4,0.16,0.24,7.760000000000001,09:42:07,114.0,200,114.02,100,114.01,100
1788,0.29000000000000004,0.07,0.22,51.800000000000004,09:43:51,113.92,200,114.01,200,113.9675,100
1804,0.33999999999999997,0.15,0.19,0.0,09:44:00,113.92,100,113.99,200,113.9466,118
1831,0.59,0.35,0.24,13.620000000000001,09:44:13,113.92,100,113.99,200,113.9201,100
1916,0.46,0.27,0.19,48.13000000000002,09:44:48,113.92,200,113.99,200,113.9504,129
2115,0.34,0.08,0.26,4.74,09:46:04,114.06,200,114.09,200,114.07,100
2227,0.25,0.07,0.18,0.0,09:47:00,114.0,100,114.03,300,114.015,100
2544,0.45,0.18,0.27,0.45,09:49:00,113.98,200,114.04,200,113.9977,200
2673,0.45,0.12,0.33,0.0,09:50:00,113.98,200,114.04,200,114.0322,125
2706,0.30000000000000004,0.07,0.23,16.02,09:50:16,113.98,200,114.04,200,114.035,100
3009,0.43000000000000005,0.15,0.28,33.99,09:52:33,113.94,200,113.99,300,113.965,100
3513,0.42000000000000004,0.23,0.19,0.0,09:56:00,113.8,200,113.89,1300,113.8192,100
4982,0.5,0.2,0.3,0.0,10:06:00,113.93,100,113.95,100,113.9499,500
5273,0.34,0.07,0.27,0.0,10:08:00,113.91,200,113.96,300,113.9255,100
5372,0.28,0.07,0.21,0.0,10:09:00,113.99,200,114.0,400,113.995,100
5381,3.4,3.07,0.33,10.88,10:09:10,113.98,300,113.99,100,113.985,100
5426,0.26,0.08,0.18,31.74000000000001,10:09:31,113.98,300,114.0,300,113.9864,132
5462,168.17,168.0,0.17,0.0,10:12:00,114.12,300,114.17,200,114.13,100
5484,0.23,0.07,0.16,6.210000000000001,10:12:06,114.11,400,114.13,100,114.12,200
5508,0.28,0.07,0.21,14.27,10:12:14,114.09,100,114.13,200,114.1,100
5534,0.44,0.24,0.2,24.31000000000001,10:12:24,114.09,100,114.12,100,114.09,200
5658,0.37,0.17,0.2,32.98000000000002,10:13:32,114.2,200,114.25,300,114.17,100
5671,0.27,0.08,0.19,37.23000000000003,10:13:37,114.23,300,114.28,100,114.24,100
5703,0.31000000000000005,0.14,0.17,0.0,10:14:00,114.25,300,114.28,200,114.273,1000
5715,0.36,0.17,0.19,4.010000000000001,10:14:04,114.15,200,114.21,100,114.2,100
5719,2.74,2.5,0.24,12.81,10:14:12,114.15,200,114.21,100,114.155,100
5779,0.38,0.21,0.17,36.05000000000002,10:14:36,114.15,100,114.21,100,114.18,100
5813,0.23,0.07,0.16,46.290000000000035,10:14:46,114.14,100,114.17,100,114.16,100
5865,3.1599999999999997,2.82,0.34,0.0,10:15:00,114.14,200,114.19,200,114.15,100
5939,0.24000000000000002,0.07,0.17,27.169999999999998,10:15:27,114.19,200,114.21,100,114.19,100
6291,4.31,3.94,0.37,0.0,10:18:00,114.08,100,114.12,100,114.11,100
7005,0.43,0.08,0.35,17.5,10:25:17,114.04,300,114.11,300,114.068,150
7263,1.57,1.36,0.21,0.0,10:28:00,114.07,500,114.09,300,114.08,100
7312,0.39,0.22,0.17,22.490000000000002,10:28:22,114.05,200,114.06,300,114.055,200
7376,0.45,0.23,0.22,44.66000000000001,10:28:44,114.06,200,114.08,300,114.0694,132
7439,3.2600000000000002,2.93,0.33,0.0,10:29:00,114.07,200,114.1,200,114.075,100
7589,4.29,4.05,0.24,9.370000000000001,10:30:09,114.07,200,114.12,200,114.089,398
7649,0.37,0.14,0.23,35.650000000000006,10:30:35,114.07,100,114.12,200,114.095,100
7782,0.4,0.18,0.22,0.0,10:31:00,114.09,100,114.14,300,114.115,100
8186,0.5800000000000001,0.27,0.31,26.0,10:36:26,114.04,200,114.09,300,114.0528,100
8523,0.61,0.08,0.53,33.95,10:40:33,113.94,200,113.96,200,113.9546,100
8690,0.94,0.31,0.63,20.06,10:42:20,113.94,200,113.95,100,113.9401,300
8800,0.66,0.21,0.45,17.860000000000003,10:43:17,113.93,300,113.96,200,113.9414,250
8943,1.17,0.63,0.54,14.149999999999999,10:45:14,113.91,100,113.94,100,113.9355,200
9352,0.8500000000000001,0.2,0.65,32.24,10:49:32,113.88,200,113.89,200,113.8899,374
9391,0.6000000000000001,0.2,0.4,15.579999999999997,10:50:15,113.82,100,113.87,100,113.83,100
9649,0.5700000000000001,0.07,0.5,2.3600000000000003,10:53:02,113.9,200,113.91,100,113.905,100
9735,2.1799999999999997,1.65,0.53,0.0,10:54:00,113.9,100,113.94,200,113.926,168
10338,0.8200000000000001,0.07,0.75,0.8200000000000001,11:05:00,113.84,100,113.85,300,113.85,100
10492,0.43,0.12,0.31,21.59,11:06:21,113.81,200,113.82,100,113.8175,100
10496,0.62,0.23,0.39,23.98,11:06:23,113.79,300,113.81,300,113.81,100
10557,0.43000000000000005,0.09,0.34,0.0,11:07:00,113.81,200,113.86,200,113.8318,100
10643,0.78,0.28,0.5,0.0,11:08:00,113.81,200,113.84,200,113.8115,103
10696,0.56,0.07,0.49,0.0,11:09:00,113.79,100,113.81,200,113.7964,135
10877,0.5800000000000001,0.07,0.51,58.18000000000002,11:10:58,113.84,200,113.86,300,113.84,100
10930,0.5900000000000001,0.19,0.4,18.009999999999998,11:11:18,113.83,300,113.86,100,113.8389,140
11079,0.63,0.12,0.51,15.420000000000002,11:13:15,113.81,600,113.82,200,113.82,100
11093,0.6000000000000001,0.14,0.46,24.800000000000004,11:13:24,113.8,100,113.81,100,113.805,100
11186,0.44,0.07,0.37,36.849999999999994,11:14:36,113.78,100,113.8,300,113.8107,150
11193,0.57,0.08,0.49,40.809999999999995,11:14:40,113.77,100,113.78,300,113.78,100
11400,0.63,0.14,0.49,33.96000000000001,11:18:33,113.73,200,113.74,200,113.74,100
11473,0.6100000000000001,0.07,0.54,0.0,11:19:00,113.72,100,113.74,300,113.7287,100
11487,0.6100000000000001,0.07,0.54,9.979999999999999,11:19:09,113.72,100,113.74,300,113.72,100
11569,0.64,0.09,0.55,0.0,11:20:00,113.7,200,113.72,100,113.69,100
11626,0.64,0.21,0.43,0.0,11:21:00,113.7,100,113.71,100,113.7,100
11690,0.5900000000000001,0.07,0.52,0.0,11:22:00,113.69,100,113.71,100,113.705,100
11727,0.46,0.07,0.39,21.630000000000003,11:22:21,113.67,100,113.69,100,113.68,100
11769,0.79,0.34,0.45,14.979999999999997,11:23:14,113.67,100,113.69,100,113.67,100
11952,0.6,0.17,0.43,12.06,11:25:12,113.77,200,113.78,100,113.79,200
12074,0.61,0.3,0.31,0.0,11:29:00,113.83,200,113.85,100,113.845,200
12289,0.44,0.07,0.37,0.0,11:32:00,113.77,100,113.79,200,113.7867,300
12291,0.6000000000000001,0.28,0.32,1.1800000000000002,11:32:01,113.77,100,113.79,200,113.7845,1458
12341,0.61,0.19,0.42,33.209999999999994,11:32:33,113.74,200,113.76,200,113.75,100
12451,0.43999999999999995,0.09,0.35,45.43,11:33:45,113.72,200,113.73,300,113.73,100
12459,0.61,0.08,0.53,50.040000000000006,11:33:50,113.7,400,113.71,300,113.7001,200
12480,0.59,0.08,0.51,6.359999999999999,11:34:06,113.7,100,113.73,200,113.71,100
12595,0.58,0.08,0.5,16.15,11:36:16,113.68,100,113.69,100,113.6801,100
13316,0.38,0.21,0.17,0.0,11:46:00,113.72,100,113.74,200,113.7293,102
13951,0.24,0.08,0.16,22.12,11:50:22,113.69,200,113.7,200,113.695,100
13970,0.33,0.17,0.16,28.11,11:50:28,113.69,100,113.71,300,113.7088,355
14229,0.4,0.2,0.2,0.0,11:52:00,113.66,100,113.67,100,113.66,100
14383,1.7,1.51,0.19,12.729999999999999,11:53:12,113.66,100,113.67,100,113.6601,199
14626,0.56,0.27,0.29,30.179999999999996,11:54:30,113.68,100,113.69,100,113.6889,100
14662,0.26,0.08,0.18,0.0,11:55:00,113.68,200,113.69,100,113.6833,150
15336,0.41000000000000003,0.21,0.2,37.910000000000004,11:59:37,113.65,100,113.67,100,113.65,100
15581,1.71,1.42,0.29,4.47,12:01:04,113.58,100,113.59,200,113.59,100
15584,3.4099999999999997,3.09,0.32,8.87,12:01:08,113.54,100,113.56,100,113.55,100
15588,0.30000000000000004,0.13,0.17,15.170000000000002,12:01:15,113.6,200,113.66,100,113.63,105
15727,3.92,3.68,0.24,0.0,12:02:00,113.6,100,113.61,100,113.61,100
15778,0.25,0.07,0.18,26.219999999999995,12:02:26,113.6,100,113.61,200,113.605,100
15797,0.24000000000000002,0.07,0.17,32.13999999999999,12:02:32,113.58,200,113.61,200,113.6,100
15875,0.36,0.18,0.18,0.0,12:03:00,113.54,100,113.6,300,113.58,100
15911,2.04,1.72,0.32,16.999999999999996,12:03:16,113.56,200,113.57,100,113.56,100
16103,0.37,0.2,0.17,34.18,12:04:34,113.56,100,113.57,200,113.565,500
16241,0.25,0.08,0.17,17.909999999999997,12:05:17,113.61,200,113.67,200,113.6166,2294
16307,0.39,0.19,0.2,39.93,12:05:39,113.63,300,113.66,100,113.645,100
16390,0.24000000000000002,0.07,0.17,0.0,12:06:00,113.63,300,113.65,600,113.64,100
16673,0.32,0.14,0.18,0.0,12:08:00,113.61,100,113.63,400,113.6176,140
17427,0.27,0.07,0.2,51.870000000000005,12:12:51,113.68,200,113.69,500,113.6848,607
17635,0.31,0.13,0.18,13.690000000000001,12:14:13,113.67,100,113.69,100,113.6771,249
17677,0.32,0.12,0.2,27.85000000000001,12:14:27,113.67,200,113.69,100,113.6776,230
18408,0.38,0.21,0.17,9.729999999999999,12:19:09,113.73,100,113.75,100,113.736,100
18444,0.23,0.07,0.16,25.909999999999993,12:19:25,113.73,200,113.75,200,113.7368,200
18738,0.5700000000000001,0.28,0.29,0.0,12:21:00,113.73,300,113.76,200,113.7301,135
18741,0.36,0.14,0.22,3.44,12:21:03,113.73,300,113.76,200,113.7345,100
20347,0.6100000000000001,0.28,0.33,0.0,12:32:00,113.78,200,113.79,100,113.785,100
20689,0.30000000000000004,0.13,0.17,0.0,12:34:00,113.77,100,113.79,200,113.7759,163
20986,0.28,0.08,0.2,7.14,12:36:07,113.76,200,113.78,200,113.7667,325
22217,0.27,0.08,0.19,19.780000000000005,12:47:19,113.74,100,113.77,100,113.7561,100
23028,0.23,0.07,0.16,20.110000000000003,12:52:20,113.76,600,113.78,200,113.755,100
23266,2.0,1.76,0.24,0.0,12:54:00,113.76,500,113.78,400,113.7664,100
23328,0.28,0.08,0.2,26.75000000000001,12:54:26,113.76,500,113.78,400,113.7668,105
23609,0.35,0.18,0.17,13.94,12:56:13,113.85,200,113.88,200,113.8631,120
23892,1.23,0.99,0.24,0.0,12:58:00,113.85,200,113.87,200,113.8593,103
24621,1.6400000000000001,1.36,0.28,0.0,13:04:00,113.74,200,113.77,300,113.757,250
25024,0.49,0.24,0.25,40.070000000000014,13:09:40,113.73,100,113.74,300,113.735,100
25103,0.3,0.08,0.22,19.789999999999996,13:10:19,113.72,100,113.74,400,113.7276,178
25235,3.9499999999999997,3.57,0.38,0.0,13:11:00,113.7,200,113.72,200,113.7124,127
25384,0.28,0.08,0.2,0.0,13:12:00,113.7,200,113.73,300,113.715,100
25698,0.61,0.14,0.47,13.79,13:15:13,113.74,300,113.75,300,113.745,300
26459,0.8099999999999999,0.24,0.57,0.0,13:24:00,113.71,300,113.73,200,113.7113,133
26462,0.59,0.08,0.51,1.83,13:24:01,113.71,300,113.72,100,113.7226,100
27080,1.01,0.21,0.8,0.0,13:37:00,113.7,200,113.71,300,113.7033,247
27138,1.01,0.07,0.94,43.59999999999999,13:38:43,113.71,200,113.72,300,113.7199,165
27268,1.8,0.81,0.99,19.8,13:42:19,113.71,300,113.72,300,113.7101,584
27381,1.19,0.21,0.98,35.60999999999999,13:44:35,113.73,400,113.74,300,113.7331,100
27423,1.2100000000000002,0.09,1.12,10.620000000000001,13:45:10,113.74,100,113.75,500,113.7401,200
27591,0.97,0.08,0.89,17.6,13:48:17,113.69,200,113.7,300,113.6944,156
27668,0.99,0.24,0.75,0.0,13:50:00,113.69,200,113.7,300,113.6929,717
27716,1.23,0.29,0.94,0.0,13:51:00,113.68,200,113.69,300,113.6888,230
28006,0.82,0.13,0.69,27.199999999999996,13:56:27,113.7,200,113.71,300,113.7058,187
28144,1.39,0.18,1.21,8.57,13:59:08,113.69,100,113.7,300,113.6968,195
28175,1.02,0.08,0.94,0.0,14:00:00,113.68,200,113.7,300,113.6878,200
28282,0.8200000000000001,0.07,0.75,2.8200000000000003,14:02:02,113.7,100,113.72,200,113.7143,300
28505,1.19,0.16,1.03,31.580000000000002,14:06:31,113.76,100,113.77,300,113.7693,762
28641,1.1900000000000002,0.07,1.12,24.210000000000008,14:09:24,113.77,200,113.78,300,113.7732,223
28812,0.82,0.08,0.74,31.199999999999992,14:12:31,113.75,600,113.76,200,113.7535,137
29292,0.6,0.23,0.37,0.0,14:21:00,113.71,100,113.72,200,113.7176,100
29478,0.57,0.21,0.36,0.0,14:23:00,113.72,100,113.73,200,113.725,100
31068,0.43000000000000005,0.09,0.34,14.17,14:43:14,113.75,200,113.76,300,113.7556,250
31115,0.76,0.07,0.69,6.379999999999999,14:44:06,113.75,200,113.76,300,113.7543,300
31408,0.42,0.07,0.35,40.36,14:47:40,113.81,400,113.82,300,113.8156,138
31482,0.43,0.07,0.36,32.03,14:48:32,113.79,300,113.8,200,113.795,100
31563,0.5800000000000001,0.07,0.51,25.199999999999996,14:49:25,113.79,200,113.8,300,113.7931,200
32074,0.79,0.28,0.51,11.82,14:56:11,113.78,100,113.8,400,113.7912,100
32540,0.78,0.14,0.64,52.58000000000002,15:01:52,113.76,400,113.77,400,113.765,100
32780,0.61,0.08,0.53,1.8399999999999999,15:05:01,113.82,100,113.83,300,113.821,105
32916,0.7699999999999999,0.08,0.69,26.420000000000005,15:06:26,113.81,300,113.82,500,113.814,275
32927,0.79,0.24,0.55,0.0,15:07:00,113.81,200,113.82,500,113.8131,530
32935,0.8400000000000001,0.18,0.66,13.22,15:07:13,113.81,200,113.82,500,113.815,300
33055,0.5700000000000001,0.07,0.5,41.970000000000006,15:08:41,113.83,200,113.84,100,113.8399,109
33114,0.75,0.22,0.53,13.19,15:09:13,113.88,100,113.89,200,113.885,100
33229,0.45,0.13,0.32,29.98,15:10:29,113.86,200,113.88,300,113.8664,129
33693,0.5900000000000001,0.07,0.52,2.1800000000000006,15:16:02,113.84,300,113.86,300,113.85799999999999,195
33784,0.63,0.19,0.44,0.0,15:17:00,113.85,100,113.87,400,113.8661,108
34133,2.18,1.56,0.62,0.0,15:21:00,113.87,200,113.88,100,113.8766,123
34462,0.83,0.23,0.6,12.58,15:25:12,113.89,200,113.9,300,113.8932,100
34555,0.5700000000000001,0.07,0.5,10.02,15:26:10,113.9,200,113.91,300,113.9034,300
34693,0.6000000000000001,0.2,0.4,52.07000000000003,15:27:52,113.93,100,113.95,300,113.93700000000001,450
34709,0.58,0.09,0.49,1.81,15:28:01,113.92,300,113.94,200,113.9301,180
35309,0.44,0.13,0.31,11.459999999999999,15:35:11,113.85,200,113.87,300,113.8699,107
35390,3.1700000000000004,2.74,0.43,3.7500000000000004,15:36:03,113.85,200,113.86,500,113.855,100
35560,0.6000000000000001,0.07,0.53,0.6000000000000001,15:38:00,113.87,400,113.88,200,113.8799,100
35884,0.79,0.2,0.59,52.02000000000001,15:41:52,113.84,300,113.85,400,113.8499,200
36089,0.62,0.2,0.42,16.209999999999997,15:44:16,113.83,600,113.84,400,113.835,100
36268,0.61,0.08,0.53,19.389999999999993,15:46:19,113.8,300,113.81,500,113.8021,307
36427,0.6,0.23,0.37,12.6,15:48:12,113.86,300,113.87,200,113.865,200
36678,0.62,0.09,0.53,18.219999999999995,15:51:18,113.83,100,113.84,200,113.831,100
36949,0.8200000000000001,0.17,0.65,44.23000000000002,15:54:44,113.83,600,113.84,300,113.8326,539
37072,0.44,0.13,0.31,16.669999999999998,15:56:16,113.82,700,113.83,400,113.825,100
37098,0.55,0.2,0.35,31.030000000000005,15:56:31,113.83,400,113.84,700,113.8365,160
37172,0.6799999999999999,0.08,0.6,32.260000000000005,15:57:32,113.82,300,113.83,1300,113.8201,100
