,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,119.47,200,119.75,100,119.5932,302
16,0.32,0.08,0.24,6.53,09:30:06,119.47,200,119.74,100,119.605,500
32,0.43,0.21,0.22,12.59,09:30:12,119.42,100,119.64,100,119.42,100
206,0.24000000000000002,0.07,0.17,0.0,09:32:00,119.2,100,119.44,400,119.29,100
354,2.19,1.96,0.23,0.0,09:33:00,119.24,100,119.43,100,119.3578,250
356,2.15,1.91,0.24,2.41,09:33:02,119.16,100,119.38,300,119.24,100
514,3.77,3.6,0.17,0.0,09:34:00,119.3,100,119.42,100,119.39,100
516,0.42000000000000004,0.2,0.22,1.8200000000000003,09:34:01,119.2,100,119.41,200,119.3,100
535,0.39,0.08,0.31,9.67,09:34:09,119.16,100,119.37,500,119.2,100
618,0.34,0.07,0.27,0.0,09:35:00,119.02,100,119.18,100,119.16,100
625,2.72,2.35,0.37,9.81,09:35:09,119.03,500,119.14,400,119.13,100
628,0.45,0.22,0.23,11.45,09:35:11,119.05,500,119.17,100,119.14,100
632,0.29000000000000004,0.07,0.22,13.509999999999998,09:35:13,119.18,100,119.26,100,119.19,100
707,0.25,0.07,0.18,41.50999999999999,09:35:41,119.44,100,119.61,300,119.43,100
751,0.4,0.23,0.17,0.0,09:36:00,119.46,200,119.54,200,119.46,100
822,0.30000000000000004,0.07,0.23,38.13999999999999,09:36:38,119.31,500,119.42,100,119.37,100
833,0.39,0.16,0.23,42.389999999999986,09:36:42,119.31,300,119.34,100,119.31,200
842,0.52,0.21,0.31,46.46999999999999,09:36:46,119.26,100,119.34,100,119.34,100
850,0.34,0.08,0.26,50.269999999999996,09:36:50,119.41,100,119.54,300,119.44,100
902,0.39,0.14,0.25,0.0,09:37:00,119.18,100,119.32,100,119.26,100
954,0.47,0.21,0.26,23.299999999999997,09:37:23,119.49,100,119.52,200,119.49,100
970,0.46,0.2,0.26,29.32,09:37:29,119.27,700,119.52,200,119.265,100
984,0.41,0.12,0.29,35.10999999999999,09:37:35,119.27,100,119.52,200,119.275,200
989,0.36,0.07,0.29,37.379999999999995,09:37:37,119.29,100,119.52,200,119.40899999999999,125
993,0.39,0.12,0.27,39.0,09:37:39,119.29,100,119.52,100,119.295,100
1047,0.48,0.19,0.29,24.060000000000002,09:38:24,119.33,100,119.5,100,119.4405,200
1226,0.27,0.08,0.19,13.83,09:39:13,119.08,700,119.31,100,119.09,100
1395,0.34,0.08,0.26,0.0,09:41:00,119.15,100,119.21,200,119.15,100
1445,0.36,0.07,0.29,24.229999999999997,09:41:24,118.99,200,119.06,200,119.0,300
1451,0.31,0.08,0.23,26.179999999999996,09:41:26,118.83,500,119.06,200,118.99,100
1487,0.31,0.12,0.19,38.04999999999999,09:41:38,118.82,500,118.99,300,118.93,100
1488,0.57,0.22,0.35,38.61999999999999,09:41:38,118.82,500,118.98,300,118.83,100
1498,0.41000000000000003,0.22,0.19,42.42999999999999,09:41:42,118.82,500,118.98,200,118.86,100
1519,0.38,0.08,0.3,50.46999999999999,09:41:50,118.83,100,118.97,100,118.9,100
1523,0.47,0.09,0.38,52.29999999999999,09:41:52,118.84,200,118.97,200,118.9025,100
1561,0.38,0.08,0.3,12.06,09:42:12,118.75,500,118.88,200,118.84,100
1572,0.38,0.07,0.31,19.99,09:42:19,118.75,500,118.88,400,118.85,100
1599,0.33,0.08,0.25,31.689999999999994,09:42:31,118.8,400,118.91,100,118.81,100
1618,0.43000000000000005,0.15,0.28,40.029999999999994,09:42:40,118.75,100,118.9,100,118.8,100
1701,0.37,0.17,0.2,2.47,09:43:02,118.77,100,118.9,200,118.77,100
1703,1.58,1.25,0.33,5.550000000000001,09:43:05,118.77,100,118.9,100,118.835,100
1710,0.44,0.12,0.32,8.270000000000001,09:43:08,118.64,100,118.84,100,118.7,100
1721,0.32,0.08,0.24,12.390000000000004,09:43:12,118.65,100,118.84,100,118.68,100
1767,0.37,0.18,0.19,30.26,09:43:30,118.65,200,118.82,100,118.75,5000
1778,0.48,0.21,0.27,34.36000000000001,09:43:34,118.65,100,118.82,200,118.735,100
1832,0.35,0.1,0.25,0.0,09:44:00,118.63,100,118.8,200,118.715,100
1852,0.33,0.07,0.26,9.83,09:44:09,118.62,300,118.79,100,118.69,100
1858,0.36000000000000004,0.08,0.28,12.229999999999999,09:44:12,118.62,200,118.79,100,118.71,100
1868,0.33999999999999997,0.12,0.22,16.089999999999996,09:44:16,118.62,100,118.79,100,118.66,100
1892,0.38,0.12,0.26,26.189999999999994,09:44:26,118.6,200,118.78,100,118.6,100
1909,0.31,0.11,0.2,31.799999999999994,09:44:31,118.61,300,118.78,100,118.62,100
1921,0.41000000000000003,0.17,0.24,36.07999999999999,09:44:36,118.66,100,118.79,100,118.61,100
1970,1.2,0.89,0.31,12.739999999999998,09:45:12,118.58,200,118.69,200,118.6175,100
1973,1.24,0.86,0.38,15.999999999999998,09:45:15,118.54,100,118.69,100,118.58,100
1990,0.34,0.17,0.17,23.78,09:45:23,118.5,100,118.61,100,118.59,100
1994,0.43000000000000005,0.15,0.28,25.32,09:45:25,118.5,100,118.61,100,118.53,100
2001,0.5800000000000001,0.27,0.31,28.230000000000004,09:45:28,118.46,100,118.58,200,118.52,300
2025,0.35000000000000003,0.08,0.27,37.95000000000002,09:45:37,118.45,300,118.58,300,118.455,200
2041,0.5700000000000001,0.25,0.32,44.12000000000002,09:45:44,118.46,400,118.57,200,118.515,200
2046,0.41000000000000003,0.15,0.26,45.80000000000002,09:45:45,118.44,100,118.5,100,118.45,100
2056,0.51,0.28,0.23,49.86000000000002,09:45:49,118.44,100,118.52,300,118.5,100
2309,0.32999999999999996,0.09,0.24,34.39,09:47:34,118.68,100,118.75,200,118.675,100
2414,3.29,3.03,0.26,0.0,09:48:00,118.73,100,118.88,200,118.7375,200
2429,0.25,0.07,0.18,4.87,09:48:04,118.8,100,118.88,200,118.87,100
2458,0.34,0.17,0.17,14.759999999999998,09:48:14,118.85,200,118.93,100,118.88,100
2649,0.45999999999999996,0.22,0.24,0.0,09:50:00,118.89,300,119.0,200,118.945,100
2695,0.28,0.07,0.21,25.92,09:50:25,118.87,100,119.1,100,119.03,200
2751,5.26,5.09,0.17,52.030000000000015,09:50:52,118.88,300,119.11,200,118.89,100
2911,0.32,0.08,0.24,0.0,09:51:00,118.89,100,118.99,300,118.91,100
3111,0.29000000000000004,0.09,0.2,7.59,09:53:07,118.89,100,118.94,100,118.905,100
3116,0.44,0.23,0.21,9.599999999999998,09:53:09,118.85,300,118.94,100,118.94,100
3140,0.34,0.17,0.17,17.43999999999999,09:53:17,118.85,300,118.94,300,118.895,200
3403,1.42,0.92,0.5,14.739999999999995,09:55:14,118.9,100,118.94,200,118.92,100
3414,0.55,0.18,0.37,20.269999999999992,09:55:20,118.91,400,118.98,100,118.96,100
3469,0.52,0.24,0.28,42.010000000000005,09:55:42,119.0,300,119.12,400,119.0012,100
3572,0.4,0.07,0.33,1.83,09:56:01,119.03,400,119.12,300,119.0975,100
3667,3.57,3.32,0.25,0.0,09:57:00,119.03,400,119.12,200,119.0808,100
3724,0.56,0.27,0.29,27.21999999999999,09:57:27,119.02,100,119.09,200,119.02,100
3747,0.29000000000000004,0.07,0.22,35.279999999999994,09:57:35,118.99,300,119.08,200,118.995,100
3845,0.37,0.2,0.17,5.89,09:58:05,119.01,300,119.12,200,119.075,100
3864,0.28,0.07,0.21,11.859999999999998,09:58:11,119.01,500,119.12,100,119.015,100
3918,0.32,0.12,0.2,31.85000000000001,09:58:31,119.03,100,119.13,400,119.08,100
3943,0.39,0.21,0.18,4.31,09:59:04,118.99,300,119.08,300,119.035,100
4104,3.3400000000000003,2.95,0.39,6.98,10:00:06,119.05,100,119.14,200,119.095,100
4112,0.43,0.18,0.25,10.25,10:00:10,119.23,200,119.34,200,119.23,100
4174,0.31,0.07,0.24,42.109999999999985,10:00:42,119.23,300,119.33,100,119.28,100
4179,0.56,0.25,0.31,44.36999999999998,10:00:44,119.25,200,119.32,100,119.285,100
4206,0.5,0.12,0.38,0.0,10:01:00,119.2,300,119.3,200,119.25,100
4392,0.27,0.09,0.18,0.0,10:02:00,119.25,100,119.28,100,119.27,100
4433,0.29000000000000004,0.07,0.22,13.93,10:02:13,119.28,200,119.34,100,119.32,100
4499,0.30000000000000004,0.1,0.2,0.0,10:03:00,119.28,300,119.36,200,119.36,100
4818,0.37,0.17,0.2,1.9100000000000001,10:05:01,119.32,300,119.39,100,119.33,100
4962,0.31,0.15,0.16,16.09,10:06:16,119.25,200,119.3,100,119.2775,100
5069,0.29000000000000004,0.09,0.2,51.960000000000015,10:06:51,119.17,1000,119.25,200,119.22,100
5326,0.33,0.08,0.25,12.06,10:08:12,119.12,1000,119.21,100,119.17,100
5367,0.28,0.07,0.21,25.970000000000002,10:08:25,119.12,1000,119.2,200,119.199,300
5381,3.4,3.07,0.33,0.0,10:09:00,119.12,1000,119.2,100,119.12,100
5396,0.28,0.08,0.2,10.91,10:09:10,119.14,1000,119.23,200,119.1975,100
5462,168.17,168.0,0.17,0.0,10:12:00,119.13,200,119.21,100,119.115,100
5792,0.37,0.2,0.17,23.13999999999999,10:14:23,119.17,600,119.24,300,119.205,100
5990,0.39,0.18,0.21,24.099999999999994,10:15:24,119.21,600,119.24,300,119.225,100
6018,0.26,0.08,0.18,9.29,10:16:09,119.21,600,119.24,300,119.21,100
6026,1.61,1.35,0.26,14.669999999999998,10:16:14,119.25,200,119.32,100,119.255,100
6345,0.39,0.17,0.22,10.23,10:19:10,119.04,100,119.16,100,119.1,100
6441,0.44,0.22,0.22,5.580000000000001,10:20:05,119.08,100,119.15,100,119.145,100
6551,0.47000000000000003,0.08,0.39,5.989999999999998,10:21:05,119.14,200,119.18,100,119.1475,100
6569,0.64,0.28,0.36,16.099999999999998,10:21:16,119.19,100,119.27,200,119.215,200
6684,0.38,0.08,0.3,43.41000000000001,10:22:43,119.09,100,119.22,200,119.18,100
6757,0.43,0.21,0.22,3.69,10:23:03,119.09,300,119.18,300,119.1292,154
6798,0.42000000000000004,0.19,0.23,19.910000000000007,10:23:19,119.09,300,119.18,200,119.135,100
6833,0.27,0.07,0.2,31.58000000000001,10:23:31,119.14,100,119.22,100,119.1775,300
