,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,50.65,200,50.8,600,50.66,10377
252,0.24000000000000002,0.07,0.17,0.0,09:32:00,50.7,200,50.79,700,50.745,100
295,0.33999999999999997,0.18,0.16,14.040000000000003,09:32:14,50.7,100,50.77,400,50.74,100
320,0.69,0.28,0.41,22.569999999999997,09:32:22,50.72,100,50.77,100,50.7475,100
343,2.23,1.98,0.25,0.0,09:33:00,50.74,200,50.8,900,50.78,100
352,0.35,0.18,0.17,6.39,09:33:06,50.78,100,50.83,100,50.805,200
417,0.39,0.2,0.19,34.470000000000006,09:33:34,50.78,100,50.83,100,50.7876,200
464,0.39,0.17,0.22,50.95,09:33:50,50.81,100,50.86,100,50.835,100
614,0.38,0.08,0.3,0.0,09:35:00,50.72,100,50.8,100,50.76,100
618,0.34,0.07,0.27,5.17,09:35:05,50.71,100,50.8,200,50.755,200
657,0.54,0.28,0.26,28.75,09:35:28,50.73,100,50.84,100,50.8,100
882,0.47000000000000003,0.08,0.39,0.0,09:37:00,50.76,600,50.83,100,50.795,100
944,0.43,0.08,0.35,34.0,09:37:34,50.79,100,50.83,100,50.81,100
949,0.4,0.09,0.31,36.01,09:37:36,50.81,100,50.85,100,50.83,100
954,0.47,0.21,0.26,37.87999999999999,09:37:37,50.83,100,50.87,100,50.845,100
964,0.35000000000000003,0.07,0.28,41.359999999999985,09:37:41,50.84,100,50.87,100,50.855,100
979,0.35000000000000003,0.07,0.28,47.81999999999998,09:37:47,50.85,100,50.88,100,50.85,300
994,0.36,0.07,0.29,53.939999999999976,09:37:53,50.86,100,50.9,500,50.88,100
1166,0.45,0.13,0.32,0.0,09:39:00,50.82,200,50.9,100,50.86,100
1285,0.43,0.19,0.24,6.04,09:40:06,50.81,100,50.84,200,50.825,200
1347,0.38,0.17,0.21,32.11,09:40:32,50.77,200,50.8,200,50.785,200
1463,0.27,0.07,0.2,0.0,09:41:00,50.77,200,50.8,200,50.7714,100
1577,0.48,0.17,0.31,2.12,09:42:02,50.76,200,50.77,100,50.77,200
1654,0.45999999999999996,0.15,0.31,34.1,09:42:34,50.73,200,50.77,200,50.75,100
1703,1.58,1.25,0.33,11.54,09:43:11,50.7,200,50.75,100,50.73,100
1730,0.3,0.08,0.22,21.980000000000004,09:43:21,50.7,200,50.75,400,50.72,100
1767,0.37,0.18,0.19,36.25,09:43:36,50.71,100,50.74,100,50.725,200
1794,0.33,0.14,0.19,46.339999999999996,09:43:46,50.71,100,50.74,100,50.727,118
1841,0.39,0.18,0.21,0.0,09:44:00,50.69,100,50.71,300,50.7,100
1858,0.36000000000000004,0.08,0.28,8.06,09:44:08,50.67,100,50.69,200,50.69,100
1951,0.39,0.2,0.19,0.0,09:45:00,50.63,100,50.67,200,50.64,100
1970,1.2,0.89,0.31,12.739999999999998,09:45:12,50.63,200,50.67,200,50.63,100
1972,1.42,1.15,0.27,14.759999999999998,09:45:14,50.63,200,50.67,300,50.65,200
2005,0.43,0.07,0.36,30.040000000000006,09:45:30,50.65,600,50.69,100,50.665,100
2112,2.15,1.73,0.42,0.0,09:46:00,50.67,100,50.68,200,50.67,200
2115,0.34,0.08,0.26,1.28,09:46:01,50.66,100,50.69,100,50.68,100
2145,0.32,0.14,0.18,17.160000000000004,09:46:17,50.66,100,50.69,100,50.6726,200
2357,0.47000000000000003,0.27,0.2,3.92,09:47:03,50.66,300,50.69,200,50.675,200
2383,0.44,0.26,0.18,0.0,09:48:00,50.68,100,50.69,200,50.685,300
2414,3.29,3.03,0.26,17.17,09:48:17,50.7,300,50.72,100,50.7001,745
2490,0.33999999999999997,0.13,0.21,44.13999999999999,09:48:44,50.68,100,50.71,200,50.6878,2803
2528,0.48000000000000004,0.2,0.28,0.0,09:49:00,50.7,200,50.71,200,50.71,100
2616,0.33,0.07,0.26,46.06000000000002,09:49:46,50.64,100,50.65,200,50.645,200
2737,0.42,0.24,0.18,36.85999999999999,09:50:36,50.63,300,50.64,400,50.635,100
2785,0.33,0.13,0.2,0.0,09:51:00,50.61,100,50.64,600,50.62,100
2791,0.26,0.07,0.19,1.8699999999999999,09:51:01,50.61,300,50.63,200,50.6232,900
2794,2.9,2.59,0.31,5.32,09:51:05,50.61,100,50.62,100,50.61,100
3080,0.26,0.07,0.19,1.7,09:53:01,50.58,100,50.61,100,50.6,100
3085,0.29000000000000004,0.09,0.2,3.8600000000000003,09:53:03,50.58,200,50.6,100,50.58,100
3093,3.09,2.82,0.27,12.129999999999999,09:53:12,50.57,100,50.6,100,50.59,100
3354,0.44999999999999996,0.21,0.24,23.99,09:54:23,50.61,400,50.64,600,50.625,300
4602,0.4,0.23,0.17,30.14,10:03:30,50.64,400,50.66,200,50.6599,117
4934,0.28,0.08,0.2,0.0,10:06:00,50.69,200,50.7,100,50.695,200
4954,2.28,2.11,0.17,19.560000000000006,10:06:19,50.7,300,50.73,200,50.715,200
5141,0.39,0.17,0.22,19.69999999999999,10:07:19,50.7,500,50.72,300,50.714,125
5546,0.32,0.12,0.2,0.0,10:13:00,50.64,500,50.66,300,50.6417,500
6001,0.26,0.08,0.18,0.0,10:16:00,50.7,200,50.72,200,50.705,100
6442,0.36,0.15,0.21,5.940000000000001,10:20:05,50.73,400,50.74,200,50.735,100
7472,0.34,0.07,0.27,26.070000000000007,10:29:26,50.75,200,50.77,300,50.7699,200
7600,1.82,1.57,0.25,16.419999999999998,10:30:16,50.72,100,50.76,200,50.7406,112
8156,2.7600000000000002,2.24,0.52,12.75,10:36:12,50.72,200,50.74,300,50.7283,300
9430,0.5800000000000001,0.26,0.32,31.759999999999998,10:50:31,50.65,100,50.67,400,50.6699,247
9554,3.45,2.83,0.62,0.0,10:52:00,50.65,300,50.67,400,50.6567,100
10521,3.98,3.41,0.57,7.779999999999999,11:07:07,50.69,100,50.7,400,50.6925,200
10615,0.63,0.27,0.36,10.26,11:08:10,50.73,100,50.75,1100,50.7425,100
12171,0.6,0.08,0.52,0.0,11:30:00,50.65,500,50.66,500,50.655,100
12489,0.62,0.18,0.44,0.0,11:34:00,50.68,200,50.7,300,50.6822,527
12655,0.58,0.22,0.36,31.760000000000005,11:37:31,50.72,100,50.74,400,50.736000000000004,163
12940,0.3,0.09,0.21,22.07,11:42:22,50.76,100,50.79,200,50.7603,500
13049,1.2,0.9,0.3,3.7299999999999995,11:43:03,50.77,300,50.78,200,50.7793,260
13275,0.25,0.08,0.17,41.9,11:45:41,50.79,600,50.8,1100,50.79,100
13916,0.23,0.07,0.16,18.04,11:50:18,50.76,400,50.77,300,50.766999999999996,100
15164,0.25,0.08,0.17,17.2,11:58:17,50.77,100,50.78,200,50.7766,390
15909,1.04,0.87,0.17,16.79,12:03:16,50.81,200,50.82,600,50.82,100
15933,0.31,0.08,0.23,28.09,12:03:28,50.81,200,50.82,600,50.8193,200
16031,0.42000000000000004,0.22,0.2,0.0,12:04:00,50.82,400,50.84,100,50.84,100
16195,3.0,2.78,0.22,0.0,12:05:00,50.83,100,50.84,400,50.8365,200
16407,0.33,0.14,0.19,25.719999999999985,12:06:25,50.81,200,50.83,400,50.8198,100
16646,0.43000000000000005,0.23,0.2,0.0,12:08:00,50.76,300,50.78,300,50.7746,600
16679,0.4,0.18,0.22,19.839999999999996,12:08:19,50.76,200,50.78,600,50.7633,500
16797,0.36,0.18,0.18,0.0,12:09:00,50.76,200,50.78,800,50.765,100
17185,0.35,0.17,0.18,25.91,12:11:25,50.75,100,50.76,400,50.7525,100
17427,0.27,0.07,0.2,51.870000000000005,12:12:51,50.75,300,50.76,200,50.7565,321
18451,0.44000000000000006,0.27,0.17,0.0,12:19:00,50.77,300,50.78,200,50.775,100
20598,0.29000000000000004,0.07,0.22,36.53,12:33:36,50.75,800,50.76,300,50.751000000000005,1208
21001,0.31,0.13,0.18,15.270000000000003,12:36:15,50.75,500,50.76,200,50.7733,394
21856,0.31,0.13,0.18,0.0,12:44:00,50.79,200,50.8,600,50.799,158
22365,0.33,0.14,0.19,23.730000000000004,12:48:23,50.77,200,50.78,100,50.778999999999996,104
23412,0.33999999999999997,0.16,0.18,10.129999999999999,12:55:10,50.75,300,50.76,200,50.753,146
24152,0.37,0.21,0.16,0.0,13:01:00,50.86,400,50.88,200,50.87,150
