,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,141.8,400,142.36,900,142.36,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,141.81,100,142.36,900,142.1,100
133,0.26,0.07,0.19,0.0,09:31:00,141.84,300,142.32,1900,142.075,100
138,0.38,0.07,0.31,1.9700000000000002,09:31:01,141.84,400,142.32,200,142.26,100
148,0.4,0.08,0.32,5.97,09:31:05,141.86,100,142.28,200,141.8401,100
152,0.74,0.21,0.53,8.2,09:31:08,141.87,100,142.28,200,142.27,100
163,0.43,0.24,0.19,12.119999999999997,09:31:12,141.87,500,142.28,200,141.8701,200
197,2.11,1.93,0.18,0.0,09:32:00,141.9,100,142.25,1000,142.235,200
206,0.24000000000000002,0.07,0.17,10.920000000000002,09:32:10,141.99,500,142.24,100,142.115,200
234,0.23,0.07,0.16,20.96,09:32:20,142.03,200,142.23,1100,142.1025,200
241,0.26,0.09,0.17,23.2,09:32:23,142.03,400,142.23,1100,142.125,200
246,0.36,0.18,0.18,25.039999999999996,09:32:25,142.03,500,142.23,1100,142.13,100
252,0.24000000000000002,0.07,0.17,27.129999999999992,09:32:27,142.2,100,142.58,100,142.53,100
276,0.24000000000000002,0.07,0.17,35.19,09:32:35,142.28,100,142.81,100,142.57,100
289,0.30000000000000004,0.14,0.16,39.21000000000001,09:32:39,142.63,100,142.93,100,142.9,100
295,0.33999999999999997,0.18,0.16,41.170000000000016,09:32:41,142.66,200,143.0,700,143.0,150
302,0.39,0.22,0.17,43.41000000000002,09:32:43,142.67,100,142.95,100,142.94,100
343,2.23,1.98,0.25,0.0,09:33:00,142.28,300,142.55,200,142.54,100
370,0.66,0.28,0.38,18.680000000000003,09:33:18,142.39,600,142.73,200,142.72,100
412,0.47000000000000003,0.27,0.2,32.56,09:33:32,141.99,300,142.38,500,142.38,320
427,0.41000000000000003,0.17,0.24,38.59,09:33:38,142.12,100,142.56,100,142.39,200
433,0.26,0.07,0.19,40.400000000000006,09:33:40,142.12,100,142.54,100,142.5,100
475,0.32,0.09,0.23,54.800000000000004,09:33:54,142.12,100,142.56,200,142.49,100
540,0.35,0.13,0.22,3.66,09:34:03,142.13,400,142.4,500,142.4,300
653,0.44,0.22,0.22,26.840000000000003,09:35:26,142.3,300,142.4,300,142.325,300
727,0.38,0.21,0.17,53.05000000000001,09:35:53,142.13,100,142.39,100,142.195,100
733,0.35,0.19,0.16,54.79000000000001,09:35:54,142.13,100,142.39,100,142.34,100
741,0.23,0.07,0.16,56.81000000000002,09:35:56,142.13,100,142.37,100,142.25,100
759,0.38,0.21,0.17,0.0,09:36:00,142.13,100,142.37,100,142.31,100
774,2.31,2.11,0.2,12.360000000000001,09:36:12,142.13,100,142.35,100,142.24,100
779,3.7600000000000002,3.33,0.43,17.900000000000002,09:36:17,142.13,100,142.33,100,142.23,276
800,0.44000000000000006,0.17,0.27,26.140000000000008,09:36:26,142.13,300,142.4,200,142.375,100
814,0.5800000000000001,0.19,0.39,32.25,09:36:32,142.37,200,142.65,100,142.65,100
822,0.30000000000000004,0.07,0.23,35.88999999999999,09:36:35,142.37,300,142.63,100,142.505,100
885,0.46,0.08,0.38,0.0,09:37:00,142.37,100,142.54,100,142.455,100
914,0.41000000000000003,0.21,0.2,18.26,09:37:18,142.32,400,142.5,100,142.37,100
918,0.49,0.14,0.35,20.12,09:37:20,142.32,400,142.5,100,142.41,100
984,0.41,0.12,0.29,48.00999999999998,09:37:48,142.32,100,142.4,500,142.365,100
1002,0.42,0.07,0.35,0.0,09:38:00,142.19,200,142.39,100,142.295,100
1007,0.48000000000000004,0.2,0.28,2.18,09:38:02,142.19,200,142.39,100,142.29,100
1015,1.01,0.75,0.26,6.53,09:38:06,142.19,200,142.38,800,142.285,100
1142,0.37,0.18,0.19,4.0,09:39:04,142.21,100,142.38,200,142.3,100
1368,0.32,0.07,0.25,41.53999999999998,09:40:41,142.48,100,142.58,100,142.51,100
1533,0.41000000000000003,0.17,0.24,56.15999999999999,09:41:56,142.4,100,142.55,100,142.55,100
1566,0.41000000000000003,0.09,0.32,4.41,09:42:04,142.41,100,142.52,100,142.48,100
1637,0.4,0.18,0.22,35.910000000000004,09:42:35,142.41,100,142.55,100,142.52,100
1642,0.36,0.07,0.29,37.78,09:42:37,142.41,100,142.55,100,142.4912,100
1662,0.4,0.1,0.3,0.0,09:43:00,142.22,100,142.42,100,142.225,100
1757,0.29000000000000004,0.07,0.22,42.02000000000001,09:43:42,142.23,200,142.46,200,142.46,100
1815,0.33,0.07,0.26,0.0,09:44:00,142.24,100,142.44,100,142.43,100
1969,5.109999999999999,4.93,0.18,7.34,09:45:07,142.24,100,142.51,100,142.245,100
2358,0.36000000000000004,0.08,0.28,50.3,09:47:50,142.14,400,142.45,100,142.155,100
2363,0.47,0.17,0.3,52.499999999999986,09:47:52,142.14,400,142.45,100,142.145,100
2383,0.44,0.26,0.18,0.0,09:48:00,142.14,600,142.45,100,142.44,100
2658,0.41000000000000003,0.15,0.26,4.050000000000001,09:50:04,142.36,100,142.47,100,142.415,100
2684,0.37,0.17,0.2,22.240000000000002,09:50:22,142.13,500,142.34,100,142.135,100
2751,5.26,5.09,0.17,52.030000000000015,09:50:52,142.12,100,142.32,100,142.16,100
3018,0.36,0.07,0.29,31.279999999999994,09:52:31,142.24,400,142.36,1000,142.2923,200
3042,0.57,0.21,0.36,39.44,09:52:39,142.24,400,142.35,100,142.33,100
3085,0.29000000000000004,0.09,0.2,0.0,09:53:00,142.12,100,142.24,100,142.21,100
3087,3.0,2.81,0.19,3.47,09:53:03,142.12,100,142.23,100,142.12,100
3134,0.24000000000000002,0.07,0.17,23.900000000000006,09:53:23,142.0,100,142.16,100,142.07,100
3152,0.4,0.23,0.17,29.709999999999997,09:53:29,142.0,100,142.16,100,142.005,100
3207,0.38,0.22,0.16,47.72999999999996,09:53:47,142.08,200,142.36,1000,142.17,100
3227,0.39,0.22,0.17,0.0,09:54:00,142.08,200,142.35,100,142.11,100
3434,0.39,0.19,0.2,23.84,09:55:23,142.24,800,142.43,200,142.335,100
3519,0.47,0.22,0.25,0.0,09:56:00,142.26,400,142.39,200,142.32,100
3533,0.45,0.23,0.22,9.22,09:56:09,142.09,100,142.18,100,142.18,100
3538,1.61,1.37,0.24,12.05,09:56:12,142.0,100,142.13,100,142.09,100
3554,0.52,0.22,0.3,19.340000000000003,09:56:19,141.95,100,142.12,200,141.97,100
3568,0.55,0.21,0.34,25.56,09:56:25,141.86,100,142.11,100,141.95,100
