,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,53.64,1700,53.68,100,53.666000000000004,500
22,0.3,0.08,0.22,8.47,09:30:08,53.64,1700,53.68,100,53.6672,2401
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,53.6,200,53.66,100,53.64,570
37,0.44,0.21,0.23,14.589999999999998,09:30:14,53.59,100,53.66,300,53.6348,200
42,0.32,0.07,0.25,16.54,09:30:16,53.59,100,53.62,600,53.6179,181
51,0.4,0.18,0.22,0.0,09:31:00,53.53,500,53.58,200,53.54,100
56,0.30000000000000004,0.07,0.23,3.0,09:31:03,53.53,600,53.58,200,53.595,100
69,0.42,0.21,0.21,10.05,09:31:10,53.55,400,53.58,200,53.5581,600
75,0.89,0.62,0.27,14.64,09:31:14,53.58,100,53.59,100,53.58,100
77,1.79,1.43,0.36,16.86,09:31:16,53.58,300,53.6,200,53.59,200
110,0.5,0.28,0.22,30.250000000000007,09:31:30,53.55,21600,53.6,200,53.571999999999996,350
122,0.32,0.12,0.2,34.120000000000005,09:31:34,53.59,200,53.61,300,53.6,100
133,0.26,0.07,0.19,38.19000000000001,09:31:38,53.65,100,53.66,100,53.65,100
138,0.38,0.07,0.31,40.16000000000001,09:31:40,53.65,300,53.66,100,53.66,100
144,0.46,0.18,0.28,42.48000000000002,09:31:42,53.63,200,53.66,400,53.6565,200
163,0.43,0.24,0.19,50.31000000000002,09:31:50,53.55,20500,53.56,100,53.55,880
169,0.27,0.07,0.2,52.04000000000002,09:31:52,53.55,20500,53.6,800,53.57,100
182,0.33,0.07,0.26,56.280000000000015,09:31:56,53.55,20600,53.59,100,53.56,100
193,0.41000000000000003,0.21,0.2,0.0,09:32:00,53.61,200,53.63,200,53.62,100
197,2.11,1.93,0.18,2.9299999999999997,09:32:02,53.63,200,53.65,200,53.63,300
202,2.2199999999999998,2.03,0.19,12.73,09:32:12,53.6,200,53.62,300,53.61,100
214,0.33999999999999997,0.18,0.16,17.919999999999998,09:32:17,53.61,300,53.62,100,53.615,100
241,0.26,0.09,0.17,26.129999999999995,09:32:26,53.6,100,53.61,900,53.605,100
252,0.24000000000000002,0.07,0.17,30.059999999999988,09:32:30,53.5,12100,53.52,200,53.51,100
270,0.36,0.2,0.16,36.26999999999998,09:32:36,53.52,100,53.54,200,53.53,100
343,2.23,1.98,0.25,3.41,09:33:03,53.58,100,53.59,100,53.5838,600
412,0.47000000000000003,0.27,0.2,35.970000000000006,09:33:35,53.5,200,53.52,300,53.48,100
418,0.42,0.21,0.21,38.30000000000001,09:33:38,53.5,200,53.51,100,53.49,100
423,0.28,0.07,0.21,40.030000000000015,09:33:40,53.49,200,53.5,200,53.5,100
433,0.26,0.07,0.19,43.81000000000001,09:33:43,53.49,100,53.5,200,53.493,100
458,0.27,0.09,0.18,52.11000000000001,09:33:52,53.45,200,53.46,100,53.45,200
464,0.39,0.17,0.22,54.36000000000001,09:33:54,53.43,100,53.45,300,53.43,400
475,0.32,0.09,0.23,58.21000000000001,09:33:58,53.45,200,53.46,200,53.46,100
480,0.28,0.11,0.17,0.0,09:34:00,53.43,600,53.44,400,53.44,100
492,0.34,0.14,0.2,4.010000000000001,09:34:04,53.46,200,53.48,300,53.47,100
511,0.48,0.27,0.21,14.19,09:34:14,53.53,200,53.55,200,53.5391,342
513,2.17,1.87,0.3,16.61,09:34:16,53.51,100,53.52,200,53.52,100
531,0.51,0.17,0.34,28.27999999999999,09:34:28,53.56,500,53.57,100,53.5699,200
539,0.42,0.18,0.24,31.589999999999993,09:34:31,53.57,500,53.58,400,53.5758,1100
614,0.38,0.08,0.3,0.0,09:35:00,53.52,300,53.54,200,53.5297,100
623,1.67,1.41,0.26,11.46,09:35:11,53.52,700,53.53,200,53.525,200
628,0.45,0.22,0.23,16.62,09:35:16,53.5,300,53.52,200,53.515,200
636,0.43,0.22,0.21,20.59,09:35:20,53.51,400,53.52,100,53.5101,200
653,0.44,0.22,0.22,26.840000000000003,09:35:26,53.52,200,53.53,100,53.5264,100
686,0.6200000000000001,0.28,0.34,39.32000000000001,09:35:39,53.53,400,53.54,100,53.5356,100
771,2.1,1.83,0.27,9.56,09:36:09,53.47,200,53.49,100,53.479,100
778,0.39,0.21,0.18,14.140000000000002,09:36:14,53.49,600,53.51,400,53.4904,930
785,0.42,0.21,0.21,20.21,09:36:20,53.47,200,53.48,100,53.4856,100
790,0.38,0.09,0.29,22.240000000000002,09:36:22,53.47,100,53.48,500,53.4777,500
814,0.5800000000000001,0.19,0.39,32.25,09:36:32,53.47,300,53.49,200,53.4763,500
882,0.47000000000000003,0.08,0.39,0.0,09:37:00,53.49,200,53.5,500,53.495,100
901,2.69,2.4,0.29,14.19,09:37:14,53.41,1400,53.42,100,53.42,100
905,0.42000000000000004,0.1,0.32,15.8,09:37:15,53.41,1600,53.42,100,53.41,170
918,0.49,0.14,0.35,21.8,09:37:21,53.4,1000,53.41,600,53.4,100
922,0.43,0.08,0.35,23.94,09:37:23,53.39,100,53.4,700,53.3964,200
926,0.53,0.1,0.43,25.900000000000006,09:37:25,53.39,100,53.4,700,53.39,100
931,0.5,0.07,0.43,28.290000000000003,09:37:28,53.37,100,53.38,700,53.3638,200
934,0.35000000000000003,0.07,0.28,29.760000000000005,09:37:29,53.39,200,53.4,100,53.38,100
970,0.46,0.2,0.26,43.899999999999984,09:37:43,53.41,200,53.42,400,53.4164,1000
984,0.41,0.12,0.29,49.68999999999997,09:37:49,53.4,200,53.42,400,53.4047,100
998,0.48,0.21,0.27,0.0,09:38:00,53.4,300,53.42,400,53.4099,350
1028,0.34,0.08,0.26,17.89,09:38:17,53.38,200,53.39,4500,53.385,100
1075,0.30000000000000004,0.07,0.23,39.77999999999999,09:38:39,53.35,5300,53.36,300,53.36,100
1104,0.45,0.18,0.27,52.10999999999998,09:38:52,53.36,300,53.37,200,53.37,100
1113,0.51,0.21,0.3,56.069999999999986,09:38:56,53.35,400,53.36,400,53.3588,100
1117,0.62,0.27,0.35,57.899999999999984,09:38:57,53.33,300,53.35,200,53.34,100
1127,0.44,0.18,0.26,2.0300000000000002,09:39:02,53.33,200,53.34,400,53.33,180
1132,0.47,0.23,0.24,4.19,09:39:04,53.33,400,53.35,300,53.3301,100
1137,0.31,0.08,0.23,8.25,09:39:08,53.35,200,53.36,200,53.35,100
1149,0.26,0.07,0.19,14.660000000000002,09:39:14,53.32,100,53.33,200,53.335,120
1157,0.61,0.37,0.24,18.53,09:39:18,53.33,200,53.34,100,53.3365,300
1177,0.36,0.15,0.21,28.120000000000008,09:39:28,53.31,200,53.32,100,53.31,100
1187,0.34,0.08,0.26,32.19000000000001,09:39:32,53.31,200,53.32,100,53.32,100
1197,0.53,0.17,0.36,36.18000000000002,09:39:36,53.31,200,53.32,200,53.3193,100
1211,0.45,0.2,0.25,42.32000000000003,09:39:42,53.31,500,53.32,400,53.315,200
1216,0.49,0.22,0.27,44.52000000000004,09:39:44,53.26,100,53.27,200,53.29,100
1220,0.29000000000000004,0.07,0.22,45.92000000000004,09:39:45,53.28,200,53.3,200,53.28,100
1238,0.38,0.19,0.19,52.20000000000004,09:39:52,53.26,200,53.27,100,53.27,100
1256,0.5800000000000001,0.3,0.28,58.28000000000003,09:39:58,53.29,200,53.3,200,53.3,100
1308,0.42,0.18,0.24,26.049999999999997,09:40:26,53.32,400,53.33,100,53.325,200
1337,0.48,0.21,0.27,36.419999999999995,09:40:36,53.3,900,53.32,300,53.3036,700
1346,0.45,0.19,0.26,39.949999999999996,09:40:39,53.31,200,53.32,400,53.3101,1000
1430,0.3,0.08,0.22,14.68,09:41:14,53.29,200,53.3,200,53.3092,200
1439,3.9699999999999998,3.65,0.32,22.02,09:41:22,53.3,300,53.31,600,53.3099,200
1528,0.33,0.07,0.26,54.33,09:41:54,53.31,200,53.32,200,53.3156,1000
1595,0.7,0.24,0.46,31.999999999999993,09:42:31,53.26,800,53.27,500,53.265,400
1606,0.48,0.22,0.26,36.20999999999999,09:42:36,53.26,900,53.27,500,53.26,500
1622,0.33,0.07,0.26,43.80999999999999,09:42:43,53.27,600,53.28,300,53.275,100
1662,0.4,0.1,0.3,0.0,09:43:00,53.3,100,53.31,300,53.305,100
1730,0.3,0.08,0.22,31.82,09:43:31,53.37,100,53.38,400,53.375,250
1783,0.29,0.08,0.21,52.02000000000001,09:43:52,53.4,400,53.42,200,53.405,200
1815,0.33,0.07,0.26,4.07,09:44:04,53.39,500,53.4,100,53.395,200
1970,1.2,0.89,0.31,12.739999999999998,09:45:12,53.35,300,53.36,200,53.365,100
1981,0.5,0.2,0.3,20.28,09:45:20,53.33,300,53.34,400,53.339,350
2025,0.35000000000000003,0.08,0.27,37.95000000000002,09:45:37,53.39,600,53.4,200,53.3981,5000
2036,0.5,0.21,0.29,42.18000000000002,09:45:42,53.4,400,53.42,500,53.4056,131
2046,0.41000000000000003,0.15,0.26,45.80000000000002,09:45:45,53.45,100,53.46,300,53.4511,900
2098,0.31,0.08,0.23,4.01,09:46:04,53.41,1000,53.42,200,53.4197,300
2124,0.31,0.09,0.22,21.930000000000003,09:46:21,53.53,400,53.54,100,53.531000000000006,100
2174,0.43000000000000005,0.23,0.2,40.140000000000015,09:46:40,53.66,100,53.68,400,53.68,100
2180,0.28,0.08,0.2,42.00000000000002,09:46:42,53.65,100,53.67,200,53.6525,400
2197,0.34,0.14,0.2,48.090000000000025,09:46:48,53.66,700,53.67,100,53.67,100
2209,0.53,0.27,0.26,52.00000000000003,09:46:52,53.74,200,53.75,200,53.74,100
2221,0.44,0.22,0.22,56.23000000000003,09:46:56,53.73,400,53.74,200,53.7386,500
2227,0.25,0.07,0.18,0.0,09:47:00,53.7,100,53.71,300,53.71,100
2255,0.26,0.08,0.18,10.06,09:47:10,53.61,200,53.63,100,53.6396,430
2263,1.56,1.22,0.34,18.969999999999995,09:47:18,53.62,800,53.64,200,53.6339,1400
2279,0.5,0.21,0.29,24.439999999999994,09:47:24,53.67,800,53.7,200,53.7,150
2295,0.44999999999999996,0.09,0.36,30.199999999999992,09:47:30,53.73,700,53.74,100,53.7399,283
2300,0.54,0.2,0.34,32.56999999999999,09:47:32,53.72,100,53.73,200,53.73,100
2321,0.4,0.2,0.2,40.05,09:47:40,53.74,300,53.76,100,53.75,100
2347,0.42,0.21,0.21,50.059999999999995,09:47:50,53.75,300,53.77,100,53.7586,200
2358,0.36000000000000004,0.08,0.28,54.33999999999999,09:47:54,53.75,400,53.77,200,53.76,100
2368,0.33,0.1,0.23,58.28999999999998,09:47:58,53.76,300,53.78,100,53.77,100
2409,0.31,0.08,0.23,15.780000000000003,09:48:15,53.77,200,53.78,200,53.7744,300
2414,3.29,3.03,0.26,20.97,09:48:20,53.78,400,53.79,100,53.78,100
2417,0.29000000000000004,0.07,0.22,21.859999999999996,09:48:21,53.78,400,53.79,100,53.79,100
2439,0.6100000000000001,0.27,0.34,29.459999999999994,09:48:29,53.79,200,53.8,100,53.8,100
2440,0.24000000000000002,0.07,0.17,29.699999999999992,09:48:29,53.81,100,53.83,100,53.81100000000001,1200
2447,0.42000000000000004,0.23,0.19,31.899999999999995,09:48:31,53.8,200,53.83,300,53.8212,1000
2458,0.34,0.17,0.17,35.73,09:48:35,53.8,300,53.83,200,53.8186,200
2474,0.5900000000000001,0.25,0.34,42.129999999999995,09:48:42,53.81,200,53.83,100,53.81,100
2485,0.34,0.07,0.27,45.93,09:48:45,53.79,200,53.82,200,53.7975,100
2502,0.25,0.07,0.18,51.68,09:48:51,53.81,400,53.83,200,53.82,100
2508,0.30000000000000004,0.07,0.23,53.71000000000001,09:48:53,53.81,400,53.83,100,53.8299,113
2517,0.44,0.2,0.24,57.170000000000016,09:48:57,53.83,100,53.84,200,53.84,100
2524,0.51,0.2,0.31,0.0,09:49:00,53.83,400,53.85,200,53.83,100
2543,2.41,1.99,0.42,11.760000000000002,09:49:11,53.83,900,53.85,300,53.8408,400
2547,0.38,0.18,0.2,13.720000000000002,09:49:13,53.81,100,53.83,300,53.821999999999996,500
2549,4.069999999999999,3.78,0.29,18.07,09:49:18,53.81,100,53.83,300,53.8143,559
2569,0.66,0.23,0.43,28.150000000000002,09:49:28,53.82,500,53.84,100,53.8386,200
2695,0.28,0.07,0.21,25.92,09:50:25,53.8,100,53.81,200,53.8054,100
2700,0.27,0.07,0.2,28.060000000000002,09:50:28,53.8,200,53.81,200,53.8092,200
2720,0.59,0.24,0.35,36.040000000000006,09:50:36,53.79,100,53.81,200,53.7988,200
2742,0.39,0.21,0.18,43.98000000000001,09:50:43,53.78,100,53.8,300,53.7913,110
2767,0.33,0.08,0.25,58.02000000000001,09:50:58,53.78,200,53.8,300,53.7864,2000
2785,0.33,0.13,0.2,0.0,09:51:00,53.78,400,53.8,1300,53.7874,1400
2796,0.33,0.13,0.2,5.930000000000001,09:51:05,53.79,400,53.8,1300,53.795,100
2864,0.34,0.08,0.26,35.699999999999996,09:51:35,53.77,200,53.78,200,53.775,100
2896,0.30000000000000004,0.07,0.23,47.679999999999986,09:51:47,53.76,100,53.77,300,53.765,100
2907,0.25,0.07,0.18,51.729999999999976,09:51:51,53.75,300,53.76,400,53.755,100
2946,0.25,0.07,0.18,13.11,09:52:13,53.74,400,53.75,200,53.745,100
2948,0.29000000000000004,0.07,0.22,13.66,09:52:13,53.74,400,53.75,100,53.7453,200
2953,0.25,0.07,0.18,15.7,09:52:15,53.74,300,53.75,400,53.7442,500
2959,0.41000000000000003,0.22,0.19,17.81,09:52:17,53.72,200,53.73,400,53.725,100
3030,0.39,0.22,0.17,41.860000000000014,09:52:41,53.73,500,53.74,600,53.735,100
3042,0.57,0.21,0.36,46.14000000000001,09:52:46,53.71,500,53.72,200,53.715,100
3047,0.41000000000000003,0.18,0.23,47.91000000000001,09:52:47,53.71,500,53.72,300,53.72,100
3088,0.42,0.18,0.24,9.83,09:53:09,53.71,400,53.72,300,53.7107,100
3183,0.28,0.1,0.18,45.63999999999997,09:53:45,53.69,300,53.7,200,53.69,100
3214,0.24000000000000002,0.07,0.17,55.72999999999997,09:53:55,53.69,400,53.7,100,53.695,100
3241,1.1800000000000002,0.92,0.26,11.89,09:54:11,53.68,1300,53.69,300,53.685,200
3274,0.24000000000000002,0.07,0.17,27.850000000000005,09:54:27,53.67,400,53.68,500,53.675,100
3336,0.38,0.21,0.17,47.87000000000002,09:54:47,53.66,300,53.67,300,53.667,225
3377,0.33999999999999997,0.13,0.21,1.79,09:55:01,53.66,100,53.67,1100,53.665,100
3479,0.27,0.07,0.2,48.01000000000002,09:55:48,53.65,5100,53.66,1100,53.651,113
3500,0.47,0.22,0.25,56.16000000000002,09:55:56,53.65,5100,53.66,1000,53.655,100
3554,0.52,0.22,0.3,24.080000000000002,09:56:24,53.66,100,53.67,200,53.6601,100
3568,0.55,0.21,0.34,30.299999999999997,09:56:30,53.67,600,53.68,100,53.6793,370
3700,0.33,0.14,0.19,27.92,09:57:27,53.59,300,53.6,300,53.5913,175
3858,0.35,0.16,0.19,33.99000000000001,09:58:33,53.64,200,53.66,200,53.6488,200
3875,0.35,0.12,0.23,40.150000000000006,09:58:40,53.63,100,53.64,300,53.645,200
3918,0.32,0.12,0.2,55.99,09:58:55,53.6,200,53.61,200,53.607,500
4133,0.46,0.18,0.28,24.220000000000006,10:00:24,53.63,1200,53.64,300,53.635,100
4145,0.45000000000000007,0.17,0.28,30.170000000000005,10:00:30,53.61,500,53.62,200,53.6144,151
4206,0.5,0.12,0.38,0.0,10:01:00,53.6,100,53.61,200,53.608999999999995,100
4210,0.35000000000000003,0.07,0.28,1.6,10:01:01,53.6,600,53.61,100,53.6085,100
4279,0.45,0.23,0.22,33.49000000000001,10:01:33,53.6,300,53.61,700,53.6061,100
4293,0.44000000000000006,0.27,0.17,37.600000000000016,10:01:37,53.6,300,53.61,700,53.6099,500
4342,0.28,0.1,0.18,53.47000000000005,10:01:53,53.61,200,53.62,400,53.6158,600
4438,0.32,0.08,0.24,40.00000000000001,10:02:40,53.65,300,53.66,700,53.6554,100
4589,0.36,0.2,0.16,37.86,10:03:37,53.69,300,53.7,600,53.691,100
4595,0.27,0.1,0.17,39.790000000000006,10:03:39,53.69,200,53.7,700,53.6911,300
4683,2.75,2.41,0.34,19.63,10:04:19,53.76,400,53.77,200,53.7658,5000
4685,0.29000000000000004,0.09,0.2,20.18,10:04:20,53.76,500,53.77,200,53.7651,400
4707,0.39,0.11,0.28,28.380000000000003,10:04:28,53.78,300,53.79,200,53.785,200
4742,0.5700000000000001,0.27,0.3,42.279999999999994,10:04:42,53.78,200,53.79,100,53.7859,100
4782,0.74,0.2,0.54,58.709999999999994,10:04:58,53.85,400,53.86,400,53.858999999999995,161
4785,0.46,0.08,0.38,0.0,10:05:00,53.86,300,53.87,100,53.869,1082
4793,0.42000000000000004,0.09,0.33,4.1000000000000005,10:05:04,53.86,200,53.87,200,53.8661,150
4806,0.38,0.19,0.19,9.870000000000001,10:05:09,53.86,400,53.87,200,53.865,100
4812,0.49,0.2,0.29,14.160000000000002,10:05:14,53.84,200,53.85,800,53.86,100
4818,0.37,0.17,0.2,16.070000000000004,10:05:16,53.83,200,53.84,300,53.845,100
4822,2.16,1.81,0.35,21.390000000000004,10:05:21,53.86,200,53.87,300,53.87,100
4850,0.3,0.08,0.22,31.759999999999998,10:05:31,53.87,400,53.88,300,53.879,100
4857,0.4,0.22,0.18,34.0,10:05:34,53.89,300,53.9,200,53.9,100
4869,0.26,0.08,0.18,37.82999999999999,10:05:37,53.92,300,53.94,500,53.93,100
4875,0.24000000000000002,0.07,0.17,39.71999999999999,10:05:39,53.93,100,53.93,100,53.9206,716
4882,0.33,0.07,0.26,42.00999999999999,10:05:42,53.92,200,53.93,200,53.925,135
4912,0.42,0.24,0.18,54.039999999999964,10:05:54,53.93,400,53.94,1100,53.94,100
4928,0.37,0.19,0.18,0.0,10:06:00,53.91,400,53.92,200,53.915,100
4935,0.26,0.07,0.19,2.21,10:06:02,53.92,200,53.93,1600,53.92,100
4952,2.39,2.14,0.25,18.880000000000003,10:06:18,53.94,500,53.95,200,53.9499,100
4956,0.25,0.08,0.17,22.000000000000004,10:06:22,53.9,400,53.92,200,53.9199,12987
4982,0.5,0.2,0.3,30.209999999999994,10:06:30,53.9,600,53.91,300,53.91,100
4994,0.45999999999999996,0.22,0.24,34.25999999999999,10:06:34,53.88,400,53.89,200,53.89,100
4999,0.37,0.17,0.2,36.12999999999999,10:06:36,53.87,100,53.88,1100,53.88,100
5020,0.45,0.25,0.2,44.01000000000001,10:06:44,53.87,100,53.88,800,53.8725,200
5056,0.38,0.22,0.16,55.98000000000003,10:06:55,53.85,600,53.87,700,53.8542,500
5085,0.23,0.07,0.16,0.0,10:07:00,53.84,100,53.85,300,53.85,100
5187,0.31,0.12,0.19,42.80000000000002,10:07:42,53.81,200,53.82,1800,53.815,100
5207,0.31,0.12,0.19,48.75000000000002,10:07:48,53.81,200,53.82,1800,53.8199,355
5214,0.27,0.09,0.18,51.08000000000002,10:07:51,53.81,200,53.82,1800,53.8175,1000
5300,0.34,0.07,0.27,29.89999999999999,10:08:29,53.8,500,53.81,300,53.805,100
5310,0.31,0.07,0.24,34.239999999999995,10:08:34,53.79,1000,53.8,400,53.797,150
5366,0.37,0.07,0.3,53.66999999999999,10:08:53,53.79,1000,53.8,500,53.7901,200
5372,0.28,0.07,0.21,56.11999999999998,10:08:56,53.79,1000,53.8,100,53.7907,100
5379,0.32,0.09,0.23,4.750000000000001,10:09:04,53.8,600,53.81,100,53.8025,100
5463,0.26,0.1,0.16,0.26,10:12:00,53.76,1000,53.77,300,53.7627,375
5471,0.38,0.21,0.17,2.5,10:12:02,53.76,1000,53.77,300,53.769,272
5586,0.33,0.08,0.25,24.289999999999996,10:13:24,53.73,200,53.74,700,53.7361,200
5760,0.26,0.09,0.17,34.16,10:14:34,53.66,600,53.67,600,53.6665,100
5837,0.30000000000000004,0.07,0.23,58.18000000000001,10:14:58,53.63,500,53.64,1000,53.6395,1000
5866,0.30000000000000004,0.07,0.23,16.84,10:15:16,53.66,300,53.67,100,53.6699,121
5907,0.37,0.18,0.19,33.849999999999994,10:15:33,53.65,300,53.67,200,53.6662,1000
5976,0.23,0.07,0.16,53.87000000000003,10:15:53,53.68,600,53.69,100,53.6899,200
5990,0.39,0.18,0.21,57.95000000000003,10:15:57,53.68,1100,53.69,100,53.6892,100
6003,1.88,1.71,0.17,2.1999999999999997,10:16:02,53.71,700,53.73,200,53.7181,400
6018,0.26,0.08,0.18,11.49,10:16:11,53.71,500,53.72,300,53.7139,200
6026,1.61,1.35,0.26,16.87,10:16:16,53.73,200,53.74,400,53.7372,900
6062,0.28,0.09,0.19,30.01,10:16:30,53.73,400,53.74,400,53.7385,100
6117,0.39,0.2,0.19,48.03000000000002,10:16:48,53.75,300,53.76,300,53.7499,100
6160,1.41,1.18,0.23,12.950000000000001,10:17:12,53.74,200,53.75,1400,53.7467,200
6170,0.32,0.09,0.23,18.14,10:17:18,53.73,300,53.74,200,53.7334,1800
6340,0.37,0.17,0.2,8.44,10:19:08,53.69,200,53.7,300,53.6969,100
6411,0.36000000000000004,0.08,0.28,34.42,10:19:34,53.72,400,53.73,200,53.7199,100
6416,0.44,0.21,0.23,36.239999999999995,10:19:36,53.72,500,53.73,100,53.723,2464
6417,0.38,0.17,0.21,36.62,10:19:36,53.72,300,53.73,200,53.7262,125
6422,0.46,0.2,0.26,38.32,10:19:38,53.72,200,53.73,200,53.7256,100
6440,4.45,4.13,0.32,9.14,10:20:09,53.74,400,53.75,300,53.748999999999995,100
6499,0.43,0.19,0.24,33.92000000000001,10:20:33,53.77,400,53.78,400,53.778999999999996,100
6555,0.43,0.11,0.32,8.11,10:21:08,53.72,200,53.73,400,53.7253,100
6573,0.47,0.1,0.37,18.409999999999993,10:21:18,53.72,100,53.73,400,53.729,100
6577,0.56,0.28,0.28,20.389999999999993,10:21:20,53.72,300,53.73,300,53.7242,4000
6606,0.8400000000000001,0.2,0.64,36.88999999999999,10:21:36,53.71,200,53.72,200,53.7101,1500
6612,0.6000000000000001,0.27,0.33,0.0,10:22:00,53.71,400,53.72,100,53.7147,100
6618,0.62,0.23,0.39,3.84,10:22:03,53.71,200,53.72,300,53.7153,1000
6637,2.21,1.94,0.27,19.19,10:22:19,53.7,1000,53.71,700,53.7001,100
6677,0.47000000000000003,0.08,0.39,39.77000000000001,10:22:39,53.72,400,53.73,200,53.7258,100
6695,0.32,0.07,0.25,47.62,10:22:47,53.7,400,53.71,200,53.708999999999996,500
6730,0.48,0.07,0.41,8.1,10:23:08,53.71,100,53.72,400,53.7146,191
6757,0.43,0.21,0.22,27.990000000000002,10:23:27,53.73,300,53.74,600,53.7357,100
6789,0.66,0.22,0.44,40.28,10:23:40,53.74,400,53.75,500,53.7456,1000
6871,3.49,3.25,0.24,19.4,10:24:19,53.77,600,53.78,900,53.7767,405
6957,0.61,0.25,0.36,58.350000000000016,10:24:58,53.77,300,53.78,700,53.7699,5000
7005,0.43,0.08,0.35,28.04,10:25:28,53.78,400,53.79,600,53.7893,200
7034,0.33,0.08,0.25,41.72999999999999,10:25:41,53.76,300,53.77,600,53.7601,3000
7075,0.51,0.27,0.24,0.0,10:26:00,53.76,300,53.77,1100,53.7679,150
7085,0.53,0.22,0.31,4.18,10:26:04,53.75,400,53.76,500,53.75899999999999,5000
7162,0.44,0.08,0.36,46.03999999999999,10:26:46,53.73,200,53.74,700,53.736999999999995,200
7179,0.4,0.15,0.25,53.879999999999995,10:26:53,53.73,400,53.74,900,53.7323,100
7233,0.45,0.23,0.22,17.25,10:27:17,53.74,400,53.75,700,53.7493,100
7336,0.34,0.07,0.27,29.870000000000005,10:28:29,53.7,400,53.71,1300,53.705,100
7359,0.44,0.24,0.2,38.07000000000001,10:28:38,53.7,800,53.71,1300,53.7058,1000
7465,0.37,0.19,0.18,21.989999999999995,10:29:21,53.71,500,53.72,800,53.7164,1000
7510,0.45999999999999996,0.24,0.22,37.980000000000004,10:29:37,53.69,800,53.7,300,53.6935,200
7801,0.33,0.13,0.2,40.100000000000016,10:31:40,53.7,500,53.71,300,53.7054,100
7856,0.27,0.07,0.2,20.61000000000001,10:33:20,53.8,600,53.81,100,53.8056,185
