,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,182.27,400,182.7,300,182.4889,140
12,0.35,0.16,0.19,4.76,09:30:04,182.27,500,182.7,300,182.485,200
16,0.32,0.08,0.24,6.53,09:30:06,182.27,500,182.7,300,182.28,100
22,0.3,0.08,0.22,8.47,09:30:08,182.27,300,182.7,300,182.3,100
32,0.43,0.21,0.22,12.59,09:30:12,182.38,300,182.7,300,182.4,100
51,0.4,0.18,0.22,0.0,09:31:00,182.62,100,182.88,200,182.62,100
88,0.39,0.2,0.19,22.290000000000006,09:31:22,182.46,300,182.7,100,182.47,100
94,0.27,0.07,0.2,24.190000000000005,09:31:24,182.5,100,182.7,500,182.46,300
122,0.32,0.12,0.2,34.120000000000005,09:31:34,182.5,100,182.7,500,182.5001,110
144,0.46,0.18,0.28,42.48000000000002,09:31:42,182.42,100,182.58,100,182.51,100
206,0.24000000000000002,0.07,0.17,0.0,09:32:00,182.41,100,182.58,100,182.41,100
209,1.96,1.75,0.21,2.6799999999999997,09:32:02,182.42,100,182.57,100,182.545,200
258,0.39,0.22,0.17,18.44000000000001,09:32:18,182.51,300,182.63,100,182.52,100
289,0.30000000000000004,0.14,0.16,28.290000000000003,09:32:28,182.61,200,182.76,3200,182.61,100
302,0.39,0.22,0.17,32.49,09:32:32,182.61,300,182.76,3300,182.73,100
315,0.3,0.08,0.22,36.46,09:32:36,182.62,100,182.74,100,182.63,100
352,0.35,0.18,0.17,0.61,09:33:00,182.44,200,182.61,200,182.44,100
362,2.69,2.48,0.21,9.819999999999999,09:33:09,182.46,200,182.61,200,182.609,181
440,0.45,0.25,0.2,37.000000000000014,09:33:37,182.27,200,182.37,400,182.27,200
446,0.25,0.07,0.18,38.88000000000001,09:33:38,182.24,100,182.36,100,182.25,100
464,0.39,0.17,0.22,45.17,09:33:45,182.01,1000,182.35,300,182.02,100
467,0.25,0.07,0.18,46.2,09:33:46,182.01,1000,182.35,300,182.01,100
515,1.4000000000000001,1.06,0.34,0.0,09:34:00,182.06,100,182.27,200,182.06,100
546,0.45,0.2,0.25,12.3,09:34:12,182.18,100,182.37,400,182.36,100
586,0.47000000000000003,0.27,0.2,27.529999999999998,09:34:27,182.18,200,182.36,100,182.19,116
614,0.38,0.08,0.3,0.0,09:35:00,182.29,200,182.49,100,182.39,100
621,0.33,0.07,0.26,6.3500000000000005,09:35:06,182.29,200,182.49,100,182.4883,343
653,0.44,0.22,0.22,26.840000000000003,09:35:26,182.4,100,182.66,100,182.445,100
707,0.25,0.07,0.18,46.68000000000001,09:35:46,182.45,200,182.59,100,182.53799999999998,100
714,0.44,0.26,0.18,48.92000000000001,09:35:48,182.45,100,182.58,100,182.5121,100
779,3.7600000000000002,3.33,0.43,3.7600000000000002,09:36:03,182.5,200,182.67,200,182.54,100
898,1.7399999999999998,1.38,0.36,0.0,09:37:00,182.6,100,182.72,300,182.66,100
993,0.39,0.12,0.27,43.68999999999999,09:37:43,182.63,200,182.76,3200,182.745,200
1065,0.28,0.07,0.21,0.0,09:38:00,182.65,300,182.75,100,182.75,100
1080,0.46,0.23,0.23,6.35,09:38:06,182.65,200,182.75,100,182.6919,300
1104,0.45,0.18,0.27,16.28,09:38:16,182.65,800,182.75,300,182.655,100
1132,0.47,0.23,0.24,0.0,09:39:00,182.73,100,182.88,700,182.81,100
1139,0.33,0.08,0.25,4.89,09:39:04,182.82,200,182.94,300,182.865,100
1142,0.37,0.18,0.19,5.859999999999999,09:39:05,182.83,100,182.93,100,182.93,100
1148,2.41,2.17,0.24,10.21,09:39:10,182.83,600,182.93,100,182.91,100
1157,0.61,0.37,0.24,14.34,09:39:14,182.86,100,182.95,400,182.915,100
1251,0.28,0.08,0.2,52.01000000000001,09:39:52,182.86,200,182.95,200,182.896,107
1256,0.5800000000000001,0.3,0.28,54.09000000000001,09:39:54,182.86,200,182.95,200,182.8924,1000
1261,0.35,0.17,0.18,0.0,09:40:00,182.82,100,182.9,100,182.83,100
1277,0.46,0.2,0.26,8.22,09:40:08,182.84,100,182.99,200,182.85,100
1295,0.29000000000000004,0.07,0.22,21.419999999999995,09:40:21,182.81,100,182.85,200,182.82,100
1303,0.33,0.07,0.26,24.11,09:40:24,182.83,100,182.92,100,182.86,200
1336,0.44,0.2,0.24,35.94,09:40:35,182.84,200,182.94,200,182.89,100
1383,0.43,0.21,0.22,54.159999999999975,09:40:54,182.85,100,182.97,100,182.9,200
1493,0.38,0.21,0.17,0.0,09:41:00,182.87,200,182.98,500,182.96,100
1503,0.3,0.08,0.22,3.829999999999999,09:41:03,183.0,200,183.1,100,183.05,600
1514,0.49,0.2,0.29,8.109999999999998,09:41:08,183.0,600,183.1,500,183.06,200
1523,0.47,0.09,0.38,11.92,09:41:11,183.0,600,183.1,500,183.1,150
1547,0.47,0.22,0.25,0.0,09:42:00,183.06,200,183.16,100,183.16,100
1572,0.38,0.07,0.31,19.99,09:42:19,183.06,400,183.18,100,183.19,200
1577,0.48,0.17,0.31,22.11,09:42:22,183.25,300,183.36,200,183.3116,750
