,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,1006.49,200,1007.13,100,1006.82,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,1006.49,200,1007.13,200,1006.89,100
12,0.35,0.16,0.19,4.76,09:30:04,1006.49,200,1007.13,200,1007.07,100
16,0.32,0.08,0.24,6.53,09:30:06,1006.49,200,1007.13,400,1006.8847,280
22,0.3,0.08,0.22,8.47,09:30:08,1006.49,200,1007.13,400,1006.81,100
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,1006.49,200,1007.13,400,1007.13,100
46,0.35000000000000003,0.08,0.27,0.0,09:31:00,1006.7,200,1007.23,200,1006.965,200
51,0.4,0.18,0.22,1.98,09:31:01,1006.7,200,1007.23,400,1006.918,200
59,0.33,0.1,0.23,6.17,09:31:06,1006.71,100,1007.23,600,1007.0036,100
64,2.08,1.88,0.2,9.670000000000002,09:31:09,1006.47,200,1007.12,300,1006.7625,100
65,0.31,0.07,0.24,9.980000000000002,09:31:09,1006.47,100,1006.97,100,1006.47,100
75,0.89,0.62,0.27,16.62,09:31:16,1006.47,100,1006.96,100,1006.6575,100
77,1.79,1.43,0.36,18.84,09:31:18,1006.3,200,1006.58,200,1006.3,100
80,1.4100000000000001,1.07,0.34,21.630000000000003,09:31:21,1006.3,200,1006.58,200,1006.58,100
81,0.43000000000000005,0.17,0.26,22.060000000000002,09:31:22,1006.3,100,1006.72,300,1006.51,100
99,0.27,0.07,0.2,28.040000000000003,09:31:28,1006.3,100,1006.72,400,1006.5034,150
110,0.5,0.28,0.22,32.230000000000004,09:31:32,1006.3,100,1006.72,300,1006.375,100
117,0.3,0.08,0.22,34.38,09:31:34,1006.3,100,1006.72,400,1006.3001,500
122,0.32,0.12,0.2,36.10000000000001,09:31:36,1006.3,200,1006.72,400,1006.515,100
133,0.26,0.07,0.19,40.170000000000016,09:31:40,1006.44,100,1006.82,100,1006.73,100
138,0.38,0.07,0.31,42.140000000000015,09:31:42,1006.44,200,1006.82,100,1006.53,100
148,0.4,0.08,0.32,46.14000000000002,09:31:46,1006.44,300,1006.82,200,1006.62,100
152,0.74,0.21,0.53,48.37000000000002,09:31:48,1006.31,100,1006.72,100,1006.29,100
156,0.48,0.21,0.27,50.20000000000002,09:31:50,1006.31,200,1006.72,100,1006.4548,200
176,0.33,0.16,0.17,56.30000000000002,09:31:56,1006.23,1100,1006.72,200,1006.27,100
182,0.33,0.07,0.26,58.26000000000002,09:31:58,1006.23,1100,1006.72,200,1006.23,100
186,0.29,0.08,0.21,0.0,09:32:00,1006.23,1000,1006.72,100,1006.26,100
187,0.24000000000000002,0.07,0.17,0.24000000000000002,09:32:00,1006.24,100,1006.5,100,1006.37,300
193,0.41000000000000003,0.21,0.2,2.27,09:32:02,1006.24,200,1006.5,100,1006.25,100
197,2.11,1.93,0.18,5.2,09:32:05,1006.24,100,1006.4,200,1006.24,100
202,2.2199999999999998,2.03,0.19,15.0,09:32:15,1005.8,100,1006.4,300,1006.02,432
206,0.24000000000000002,0.07,0.17,16.12,09:32:16,1005.8,100,1006.4,300,1006.1,100
209,1.96,1.75,0.21,18.8,09:32:18,1005.8,100,1006.4,300,1006.09,100
221,0.26,0.08,0.18,22.34,09:32:22,1005.8,200,1006.4,300,1006.064,100
227,0.36,0.19,0.17,24.189999999999998,09:32:24,1005.0,2300,1005.88,200,1005.37,100
234,0.23,0.07,0.16,26.159999999999997,09:32:26,1005.0,2300,1005.88,200,1005.45,100
246,0.36,0.18,0.18,30.23999999999999,09:32:30,1005.0,2200,1005.88,300,1005.1,100
252,0.24000000000000002,0.07,0.17,32.32999999999999,09:32:32,1005.0,2400,1005.88,300,1005.875,100
258,0.39,0.22,0.17,34.55999999999999,09:32:34,1005.0,2400,1005.88,200,1005.01,100
264,0.24000000000000002,0.07,0.17,36.509999999999984,09:32:36,1005.0,2400,1005.87,100,1005.7,100
270,0.36,0.2,0.16,38.53999999999998,09:32:38,1005.0,2400,1005.87,100,1005.43,200
276,0.24000000000000002,0.07,0.17,40.38999999999998,09:32:40,1005.0,2400,1005.69,100,1005.615,100
283,0.25,0.09,0.16,42.359999999999985,09:32:42,1004.67,200,1005.66,100,1005.09,100
289,0.30000000000000004,0.14,0.16,44.40999999999999,09:32:44,1004.67,200,1005.66,100,1004.78,200
302,0.39,0.22,0.17,48.61,09:32:48,1004.67,200,1005.66,100,1005.0,100
309,0.25,0.07,0.18,50.54,09:32:50,1004.67,200,1005.59,300,1005.13,100
315,0.3,0.08,0.22,52.58,09:32:52,1004.67,200,1005.59,300,1005.1668,150
325,0.25,0.07,0.18,56.56999999999999,09:32:56,1004.67,300,1005.4,100,1004.79,100
338,0.3,0.08,0.22,0.0,09:33:00,1004.7,200,1005.32,100,1005.15,100
343,2.23,1.98,0.25,3.41,09:33:03,1004.93,200,1005.32,300,1005.1424,100
344,0.36,0.18,0.18,3.77,09:33:03,1004.94,200,1005.3,200,1005.27,200
349,0.41000000000000003,0.21,0.2,5.44,09:33:05,1004.94,200,1005.3,200,1005.3,100
350,3.75,3.46,0.29,9.190000000000001,09:33:09,1005.18,200,1005.66,300,1005.41,100
352,0.35,0.18,0.17,9.8,09:33:09,1005.41,300,1006.0,500,1005.81,100
354,2.19,1.96,0.23,12.57,09:33:12,1005.45,200,1006.0,600,1005.6460000000001,145
362,2.69,2.48,0.21,19.009999999999998,09:33:19,1005.76,200,1006.29,100,1005.94,100
365,0.42000000000000004,0.23,0.19,19.96,09:33:19,1005.82,200,1006.28,100,1005.82,200
370,0.66,0.28,0.38,22.090000000000003,09:33:22,1005.84,200,1006.29,100,1006.0225,100
405,0.5700000000000001,0.28,0.29,33.96,09:33:33,1005.46,400,1006.29,100,1005.97,100
412,0.47000000000000003,0.27,0.2,35.970000000000006,09:33:35,1005.79,600,1006.29,100,1005.66,100
427,0.41000000000000003,0.17,0.24,42.00000000000001,09:33:42,1005.86,300,1006.23,200,1006.045,100
440,0.45,0.25,0.2,46.19000000000002,09:33:46,1005.37,200,1005.75,300,1005.74,100
446,0.25,0.07,0.18,48.070000000000014,09:33:48,1005.65,200,1006.18,100,1005.8,100
452,0.26,0.07,0.19,49.95000000000001,09:33:49,1005.51,100,1006.18,100,1005.76,100
464,0.39,0.17,0.22,54.36000000000001,09:33:54,1005.7,200,1006.18,100,1006.0,200
513,2.17,1.87,0.3,16.61,09:34:16,1005.61,200,1006.07,200,1005.6,100
522,0.33,0.07,0.26,24.469999999999995,09:34:24,1005.01,100,1006.06,100,1005.57,100
527,0.43,0.21,0.22,26.20999999999999,09:34:26,1005.01,100,1006.06,100,1005.04,200
531,0.51,0.17,0.34,28.27999999999999,09:34:28,1005.13,200,1006.06,100,1005.16,100
552,0.5800000000000001,0.25,0.33,36.55,09:34:36,1005.01,200,1005.98,100,1005.415,100
571,0.32,0.07,0.25,44.09999999999999,09:34:44,1005.12,200,1005.98,100,1005.5166,300
577,0.43,0.14,0.29,46.29999999999999,09:34:46,1005.12,300,1005.85,100,1005.55,100
583,0.31,0.13,0.18,48.12999999999999,09:34:48,1005.12,200,1005.98,100,1005.507,100
600,0.35000000000000003,0.08,0.27,54.38999999999999,09:34:54,1005.13,100,1006.06,100,1005.29,200
604,0.4,0.12,0.28,56.21999999999999,09:34:56,1005.13,200,1006.04,100,1005.65,100
609,0.49,0.2,0.29,58.589999999999996,09:34:58,1005.13,200,1005.99,100,1005.73,100
614,0.38,0.08,0.3,0.0,09:35:00,1005.13,200,1005.99,200,1005.14,110
617,3.8,3.55,0.25,4.83,09:35:04,1005.12,100,1005.87,200,1005.555,100
622,3.44,3.13,0.31,9.790000000000001,09:35:09,1005.12,200,1005.57,300,1005.3403,210
625,2.72,2.35,0.37,14.980000000000002,09:35:14,1005.12,200,1005.57,400,1005.372,200
628,0.45,0.22,0.23,16.62,09:35:16,1005.12,200,1005.57,300,1005.165,100
641,0.4,0.18,0.22,22.53,09:35:22,1005.15,300,1005.83,200,1005.515,150
653,0.44,0.22,0.22,26.840000000000003,09:35:26,1005.16,500,1005.77,100,1005.5,400
662,0.56,0.29,0.27,30.749999999999996,09:35:30,1005.17,300,1005.62,100,1005.395,100
674,0.44999999999999996,0.21,0.24,34.75,09:35:34,1005.18,100,1005.5,100,1005.34,100
684,0.45,0.27,0.18,38.27000000000001,09:35:38,1005.19,100,1005.77,100,1005.4725,400
686,0.6200000000000001,0.28,0.34,39.32000000000001,09:35:39,1005.18,500,1005.83,200,1005.77,100
689,0.28,0.07,0.21,40.66000000000001,09:35:40,1005.18,400,1005.83,200,1005.58,100
695,0.6200000000000001,0.28,0.34,42.92,09:35:42,1005.18,400,1005.76,200,1005.47,200
701,0.26,0.08,0.18,44.800000000000004,09:35:44,1005.18,500,1005.76,200,1005.71,100
707,0.25,0.07,0.18,46.68000000000001,09:35:46,1005.41,100,1006.0,200,1005.78,100
708,0.25,0.08,0.17,46.93000000000001,09:35:46,1005.42,100,1006.0,200,1005.7097,200
714,0.44,0.26,0.18,48.92000000000001,09:35:48,1005.43,200,1006.0,200,1005.98,100
721,0.25,0.07,0.18,50.89000000000001,09:35:50,1005.43,200,1006.0,200,1005.829,500
733,0.35,0.19,0.16,54.79000000000001,09:35:54,1005.43,200,1005.99,100,1005.99,100
748,0.4,0.22,0.18,58.740000000000016,09:35:58,1005.44,100,1005.91,100,1005.625,200
751,0.4,0.23,0.17,0.0,09:36:00,1005.74,200,1006.22,100,1006.08,100
767,1.8299999999999998,1.63,0.2,6.610000000000001,09:36:06,1005.44,100,1006.18,200,1005.84,100
769,0.36000000000000004,0.08,0.28,9.370000000000001,09:36:09,1005.44,200,1006.18,200,1005.805,100
771,2.1,1.83,0.27,11.81,09:36:11,1005.44,200,1005.99,100,1005.9755,100
774,2.31,2.11,0.2,14.610000000000001,09:36:14,1005.47,200,1006.18,100,1005.7605,300
780,0.43,0.19,0.24,20.580000000000002,09:36:20,1005.5,200,1006.18,200,1005.62,100
793,0.28,0.07,0.21,25.630000000000006,09:36:25,1005.52,100,1006.12,200,1005.8425,100
800,0.44000000000000006,0.17,0.27,28.390000000000008,09:36:28,1005.51,100,1005.84,100,1005.51,100
810,0.4,0.12,0.28,32.6,09:36:32,1005.64,200,1006.18,100,1005.96,100
818,0.32,0.14,0.18,36.349999999999994,09:36:36,1005.67,100,1006.16,200,1005.92,100
837,0.67,0.44,0.23,44.24999999999999,09:36:44,1005.56,100,1006.08,400,1005.612,100
850,0.34,0.08,0.26,50.269999999999996,09:36:50,1005.66,100,1006.08,400,1005.87,100
905,0.42000000000000004,0.1,0.32,17.99,09:37:17,1005.42,200,1005.85,100,1005.42,100
914,0.41000000000000003,0.21,0.2,22.13,09:37:22,1005.44,200,1005.85,200,1005.635,100
918,0.49,0.14,0.35,23.99,09:37:23,1005.42,200,1005.84,100,1005.63,100
922,0.43,0.08,0.35,26.13,09:37:26,1005.42,100,1005.85,100,1005.6716,100
934,0.35000000000000003,0.07,0.28,31.950000000000003,09:37:31,1005.47,100,1005.85,100,1005.525,100
937,0.51,0.2,0.31,33.18000000000001,09:37:33,1005.47,200,1005.85,100,1005.6603,200
959,0.48,0.21,0.27,41.899999999999984,09:37:41,1005.55,400,1006.08,200,1006.01,100
965,0.42,0.18,0.24,43.969999999999985,09:37:43,1006.08,100,1006.4,100,1006.39,100
970,0.46,0.2,0.26,46.08999999999998,09:37:46,1005.89,200,1006.5,200,1005.9069999999999,180
979,0.35000000000000003,0.07,0.28,50.00999999999998,09:37:50,1005.94,300,1006.39,100,1006.498,200
989,0.36,0.07,0.29,54.14999999999997,09:37:54,1005.94,300,1006.39,100,1006.169,150
993,0.39,0.12,0.27,55.769999999999975,09:37:55,1005.94,300,1006.39,100,1006.165,100
1002,0.42,0.07,0.35,1.98,09:38:01,1005.94,400,1006.37,100,1006.04,100
1007,0.48000000000000004,0.2,0.28,4.16,09:38:04,1005.94,400,1006.36,100,1006.15,100
1016,4.37,4.13,0.24,12.880000000000003,09:38:12,1005.7,100,1006.35,100,1005.83,100
1028,0.34,0.08,0.26,17.89,09:38:17,1005.61,300,1005.9,100,1005.61,108
1033,0.42000000000000004,0.14,0.28,19.959999999999997,09:38:19,1005.61,200,1005.9,100,1005.69,200
1035,0.55,0.19,0.36,22.27,09:38:22,1005.61,200,1005.89,100,1005.755,100
