,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,62.0,200,62.1,300,62.0,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,62.0,200,62.1,300,62.01,100
12,0.35,0.16,0.19,4.76,09:30:04,61.94,100,62.01,600,62.02,100
22,0.3,0.08,0.22,8.47,09:30:08,61.96,100,62.0,500,61.96,100
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,61.96,100,62.0,500,61.97,100
32,0.43,0.21,0.22,12.59,09:30:12,61.92,200,61.99,100,61.95,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,61.88,1100,61.94,100,61.9062,180
42,0.32,0.07,0.25,16.54,09:30:16,61.86,100,61.91,100,61.88,400
51,0.4,0.18,0.22,1.98,09:31:01,61.95,200,61.97,100,61.955,100
57,0.46,0.23,0.23,5.4399999999999995,09:31:05,61.95,200,61.97,300,61.963,1000
65,0.31,0.07,0.24,9.980000000000002,09:31:09,61.92,200,61.97,300,61.93,100
69,0.42,0.21,0.21,12.030000000000003,09:31:12,61.92,200,61.97,300,61.92,100
127,0.6000000000000001,0.27,0.33,38.210000000000015,09:31:38,61.93,100,61.94,200,61.94,100
200,2.27,2.05,0.22,5.74,09:32:05,61.9,300,61.91,100,61.9,100
206,0.24000000000000002,0.07,0.17,13.850000000000001,09:32:13,61.81,300,61.85,500,61.81,100
226,0.25,0.08,0.17,21.56,09:32:21,61.81,300,61.83,400,61.8233,100
234,0.23,0.07,0.16,23.889999999999997,09:32:23,61.78,300,61.81,100,61.78,200
258,0.39,0.22,0.17,32.28999999999999,09:32:32,61.76,600,61.8,300,61.76,100
276,0.24000000000000002,0.07,0.17,38.11999999999998,09:32:38,61.72,100,61.78,100,61.74,140
283,0.25,0.09,0.16,40.08999999999999,09:32:40,61.71,300,61.73,200,61.72,100
287,0.32,0.15,0.17,41.459999999999994,09:32:41,61.71,300,61.73,200,61.71,100
295,0.33999999999999997,0.18,0.16,44.1,09:32:44,61.73,200,61.75,200,61.77,100
300,0.36,0.19,0.17,45.620000000000005,09:32:45,61.75,200,61.77,100,61.75,200
325,0.25,0.07,0.18,54.3,09:32:54,61.71,300,61.75,300,61.742,100
362,2.69,2.48,0.21,15.239999999999998,09:33:15,61.61,500,61.65,200,61.63,100
370,0.66,0.28,0.38,18.32,09:33:18,61.61,300,61.64,100,61.61,100
387,0.42000000000000004,0.22,0.2,24.35,09:33:24,61.61,300,61.63,100,61.62,100
464,0.39,0.17,0.22,50.59,09:33:50,61.66,500,61.7,200,61.6375,100
470,0.41000000000000003,0.19,0.22,52.580000000000005,09:33:52,61.66,300,61.72,200,61.66,100
481,0.24000000000000002,0.07,0.17,0.24000000000000002,09:34:00,61.65,400,61.73,100,61.65,100
486,0.25,0.07,0.18,2.14,09:34:02,61.66,500,61.73,100,61.69,100
492,0.34,0.14,0.2,4.010000000000001,09:34:04,61.67,300,61.73,100,61.67,100
509,2.14,1.95,0.19,13.379999999999999,09:34:13,61.62,100,61.67,200,61.64,100
594,0.38,0.14,0.24,52.279999999999994,09:34:52,61.8,700,61.86,100,61.8448,1400
600,0.35000000000000003,0.08,0.27,54.38999999999999,09:34:54,61.81,700,61.87,300,61.8699,100
614,0.38,0.08,0.3,0.0,09:35:00,61.86,100,61.91,100,61.86,186
622,3.44,3.13,0.31,9.790000000000001,09:35:09,61.7,300,61.77,100,61.7,1000
641,0.4,0.18,0.22,22.53,09:35:22,61.75,300,61.81,900,61.751000000000005,100
647,0.43000000000000005,0.16,0.27,24.77,09:35:24,61.76,100,61.81,100,61.7305,100
668,0.26,0.07,0.19,32.669999999999995,09:35:32,61.78,100,61.83,900,61.82,100
