,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,249.77,200,250.47,100,249.76,100
197,2.11,1.93,0.18,0.0,09:32:00,249.92,400,250.44,200,250.2385,187
201,4.77,4.56,0.21,7.58,09:32:07,249.92,300,250.06,200,249.92,100
234,0.23,0.07,0.16,20.96,09:32:20,249.76,100,250.05,300,249.91,100
276,0.24000000000000002,0.07,0.17,35.19,09:32:35,249.93,100,250.43,300,250.02,100
302,0.39,0.22,0.17,43.41000000000002,09:32:43,249.79,100,250.02,100,249.79,100
359,0.35,0.18,0.17,0.0,09:33:00,249.74,100,250.04,100,249.8,100
440,0.45,0.25,0.2,30.35000000000001,09:33:30,249.68,100,249.84,100,249.68,100
475,0.32,0.09,0.23,42.370000000000005,09:33:42,249.64,100,249.89,100,249.67,200
508,1.78,1.57,0.21,0.0,09:34:00,249.64,100,249.89,100,249.765,100
556,0.47000000000000003,0.28,0.19,27.040000000000003,09:34:27,249.63,100,249.88,200,249.64,100
577,0.43,0.14,0.29,35.06,09:34:35,249.59,100,249.88,200,249.63,100
600,0.35000000000000003,0.08,0.27,43.150000000000006,09:34:43,249.58,100,249.88,200,249.58,100
614,0.38,0.08,0.3,0.0,09:35:00,249.56,100,249.87,100,249.56,100
625,2.72,2.35,0.37,14.980000000000002,09:35:14,249.53,100,249.86,100,249.7135,100
632,0.29000000000000004,0.07,0.22,18.68,09:35:18,249.51,200,249.83,100,249.675,100
636,0.43,0.22,0.21,20.59,09:35:20,249.51,200,249.79,100,249.7609,500
663,0.29000000000000004,0.07,0.22,31.039999999999996,09:35:31,249.51,100,249.76,100,249.635,200
720,0.24000000000000002,0.07,0.17,50.64000000000001,09:35:50,249.46,100,249.72,100,249.5553,300
721,0.25,0.07,0.18,50.89000000000001,09:35:50,249.46,100,249.54,100,249.46,100
733,0.35,0.19,0.16,54.79000000000001,09:35:54,249.46,100,249.85,100,249.505,200
767,1.8299999999999998,1.63,0.2,0.0,09:36:00,249.48,200,249.85,100,249.66,1604
790,0.38,0.09,0.29,17.880000000000003,09:36:17,249.5,100,249.85,100,249.7367,120
866,0.42,0.21,0.21,49.94000000000001,09:36:49,249.53,100,249.85,100,249.7,100
870,0.35000000000000003,0.08,0.27,51.580000000000005,09:36:51,249.54,100,249.85,100,249.695,145
893,0.28,0.07,0.21,9.77,09:37:09,249.62,200,249.85,100,249.62,100
934,0.35000000000000003,0.07,0.28,33.71,09:37:33,249.53,100,249.79,100,249.6808,300
954,0.47,0.21,0.26,41.829999999999984,09:37:41,249.55,100,249.79,100,249.77,100
965,0.42,0.18,0.24,45.72999999999998,09:37:45,249.54,100,249.79,200,249.6772,1403
1055,0.55,0.24,0.31,19.26,09:38:19,249.59,100,249.79,100,249.72,100
1071,0.39,0.13,0.26,25.15,09:38:25,249.59,100,249.79,200,249.69,100
1137,0.31,0.08,0.23,2.1999999999999997,09:39:02,249.75,300,249.88,100,249.85,100
1142,0.37,0.18,0.19,4.0,09:39:04,249.76,300,249.98,100,249.88,100
1147,0.38,0.08,0.3,5.94,09:39:05,249.76,300,250.04,100,250.0,150
1148,2.41,2.17,0.24,8.350000000000001,09:39:08,249.76,300,250.02,100,249.9174,833
1156,0.27,0.07,0.2,11.870000000000001,09:39:11,249.78,400,249.92,100,249.8358,125
1166,0.45,0.13,0.32,18.330000000000002,09:39:18,249.78,400,250.04,300,249.99,200
1181,0.43,0.18,0.25,23.910000000000007,09:39:23,250.01,200,250.26,300,250.11,100
