,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,260.09,100,260.5,300,260.295,200
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,260.09,100,260.5,300,260.3196,200
12,0.35,0.16,0.19,4.76,09:30:04,260.09,200,260.35,300,260.2,100
32,0.43,0.21,0.22,12.59,09:30:12,260.0,2400,260.2,100,260.15,100
42,0.32,0.07,0.25,16.54,09:30:16,260.0,2400,260.5,200,260.0005,100
51,0.4,0.18,0.22,0.0,09:31:00,260.03,100,260.5,200,260.2914,746
56,0.30000000000000004,0.07,0.23,3.0,09:31:03,260.0,1500,260.5,300,260.305,100
64,2.08,1.88,0.2,7.69,09:31:07,260.0,1500,260.5,400,260.2385,700
65,0.31,0.07,0.24,8.0,09:31:08,259.91,100,260.25,200,260.01,100
69,0.42,0.21,0.21,10.05,09:31:10,259.66,500,259.86,200,259.66,100
71,0.37,0.18,0.19,12.790000000000001,09:31:12,259.66,500,259.86,200,259.76,100
75,0.89,0.62,0.27,14.64,09:31:14,259.61,100,259.75,200,259.73,200
77,1.79,1.43,0.36,16.86,09:31:16,259.61,100,260.2,100,259.745,100
80,1.4100000000000001,1.07,0.34,19.650000000000002,09:31:19,259.61,100,260.2,100,259.61,500
105,0.41000000000000003,0.23,0.18,28.370000000000005,09:31:28,259.6,100,259.91,400,259.88,400
117,0.3,0.08,0.22,32.4,09:31:32,259.6,100,259.91,400,259.9,900
148,0.4,0.08,0.32,44.16000000000002,09:31:44,259.74,100,260.45,100,260.12,100
151,0.53,0.21,0.32,45.65000000000001,09:31:45,259.74,100,260.5,100,260.16,100
152,0.74,0.21,0.53,46.390000000000015,09:31:46,259.76,100,260.3,100,260.27,100
186,0.29,0.08,0.21,57.63000000000002,09:31:57,260.0,800,260.4,300,260.31,100
289,0.30000000000000004,0.14,0.16,29.409999999999997,09:32:29,260.08,100,260.32,300,260.11,200
295,0.33999999999999997,0.18,0.16,31.369999999999997,09:32:31,260.08,100,260.31,300,260.1865,100
350,3.75,3.46,0.29,0.0,09:33:00,260.1,100,260.3,400,260.1,100
354,2.19,1.96,0.23,3.38,09:33:03,260.13,100,260.31,100,260.21,100
359,0.35,0.18,0.17,6.649999999999999,09:33:06,260.27,100,260.5,100,260.38,100
362,2.69,2.48,0.21,9.819999999999999,09:33:09,260.27,100,260.5,200,260.2401,380
365,0.42000000000000004,0.23,0.19,10.769999999999998,09:33:10,260.28,100,260.7,100,260.47,100
399,0.38,0.21,0.17,22.759999999999998,09:33:22,260.49,100,260.83,100,260.8,330
417,0.39,0.2,0.19,28.689999999999998,09:33:28,260.55,100,260.86,100,260.7148,400
418,0.42,0.21,0.21,29.11,09:33:29,260.97,100,261.37,100,261.09,100
433,0.26,0.07,0.19,34.620000000000005,09:33:34,260.93,100,261.47,100,261.2702,1000
464,0.39,0.17,0.22,45.17,09:33:45,261.69,200,262.25,100,262.25,100
470,0.41000000000000003,0.19,0.22,47.160000000000004,09:33:47,261.69,100,262.25,100,261.97,100
486,0.25,0.07,0.18,0.0,09:34:00,261.69,100,262.17,200,262.05,100
492,0.34,0.14,0.2,1.87,09:34:01,261.71,100,262.17,100,261.95,100
499,0.38,0.19,0.19,4.080000000000001,09:34:04,261.72,100,262.17,200,262.17,100
503,0.44,0.22,0.22,5.900000000000001,09:34:05,261.73,100,262.17,200,261.972,100
508,1.78,1.57,0.21,9.100000000000001,09:34:09,261.76,100,262.17,100,262.0,100
509,2.14,1.95,0.19,11.240000000000002,09:34:11,261.77,100,262.17,100,262.11,100
