,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,333.22,400,334.06,100,333.83,100
32,0.43,0.21,0.22,12.59,09:30:12,334.0,300,334.41,200,333.5,100
51,0.4,0.18,0.22,0.0,09:31:00,333.95,100,334.27,100,333.95,100
56,0.30000000000000004,0.07,0.23,3.0,09:31:03,333.94,100,334.29,100,333.94,100
64,2.08,1.88,0.2,7.69,09:31:07,333.95,100,334.5,100,334.55,100
69,0.42,0.21,0.21,10.05,09:31:10,333.94,300,334.37,100,334.3184,200
77,1.79,1.43,0.36,16.86,09:31:16,334.0,100,334.37,100,334.0,100
138,0.38,0.07,0.31,40.16000000000001,09:31:40,333.22,100,334.3,100,333.99,100
202,2.2199999999999998,2.03,0.19,0.0,09:32:00,333.23,100,334.3,100,333.65,100
214,0.33999999999999997,0.18,0.16,5.1899999999999995,09:32:05,333.23,300,334.29,100,333.24,6722
295,0.33999999999999997,0.18,0.16,31.369999999999997,09:32:31,333.25,200,334.3,100,333.7475,100
320,0.69,0.28,0.41,39.89999999999999,09:32:39,334.02,100,334.84,100,334.12,100
352,0.35,0.18,0.17,0.0,09:33:00,334.02,100,334.6,100,334.2775,200
365,0.42000000000000004,0.23,0.19,10.159999999999998,09:33:10,334.02,200,334.29,100,334.29,100
370,0.66,0.28,0.38,12.29,09:33:12,333.72,100,334.28,100,334.145,100
417,0.39,0.2,0.19,28.08,09:33:28,333.72,200,334.28,100,333.73,132
492,0.34,0.14,0.2,0.0,09:34:00,333.73,300,334.28,100,333.8,100
527,0.43,0.21,0.22,22.199999999999992,09:34:22,333.75,100,334.27,100,334.01,100
647,0.43000000000000005,0.16,0.27,19.939999999999998,09:35:19,333.73,100,334.1,100,333.915,100
653,0.44,0.22,0.22,22.01,09:35:22,333.92,100,334.5,100,334.13,100
668,0.26,0.07,0.19,27.839999999999993,09:35:27,333.92,100,334.48,100,334.105,100
741,0.23,0.07,0.16,51.980000000000004,09:35:51,333.88,100,334.12,100,333.88,100
774,2.31,2.11,0.2,14.610000000000001,09:36:14,333.95,100,334.41,900,334.375,100
779,3.7600000000000002,3.33,0.43,20.150000000000002,09:36:20,333.95,100,334.41,900,334.4,100
785,0.42,0.21,0.21,22.46,09:36:22,334.11,100,334.49,100,334.255,100
860,0.29,0.08,0.21,54.279999999999994,09:36:54,334.11,100,334.48,1000,334.15,100
870,0.35000000000000003,0.08,0.27,58.19,09:36:58,334.11,100,334.6,100,334.48,100
882,0.47000000000000003,0.08,0.39,0.0,09:37:00,334.13,100,334.59,1000,334.51,100
914,0.41000000000000003,0.21,0.2,19.94,09:37:19,334.38,100,334.8,100,334.58,100
959,0.48,0.21,0.27,39.70999999999999,09:37:39,334.48,100,334.79,800,334.625,100
979,0.35000000000000003,0.07,0.28,47.81999999999998,09:37:47,334.38,100,334.52,100,334.45,100
989,0.36,0.07,0.29,51.95999999999997,09:37:51,334.38,100,334.51,100,334.38,100
998,0.48,0.21,0.27,0.0,09:38:00,334.0,100,334.43,100,334.35,100
1043,0.49,0.08,0.41,26.16,09:38:26,334.0,100,334.48,300,334.1,100
1055,0.55,0.24,0.31,32.14,09:38:32,334.0,100,334.46,500,334.23,100
1117,0.62,0.27,0.35,57.899999999999984,09:38:57,333.58,100,334.34,500,334.295,100
1127,0.44,0.18,0.26,0.0,09:39:00,334.07,100,334.34,500,334.06,100
1132,0.47,0.23,0.24,2.16,09:39:02,334.06,100,334.34,500,334.14,100
1135,0.42000000000000004,0.2,0.22,4.0200000000000005,09:39:04,334.06,100,334.34,100,334.33,200
1142,0.37,0.18,0.19,8.02,09:39:08,334.06,100,334.6,100,334.34,100
1148,2.41,2.17,0.24,12.370000000000001,09:39:12,334.07,100,334.6,100,334.54,100
1149,0.26,0.07,0.19,12.63,09:39:12,334.06,100,334.79,200,334.425,100
1181,0.43,0.18,0.25,27.93000000000001,09:39:27,334.07,100,334.76,500,334.41,200
1197,0.53,0.17,0.36,34.15000000000001,09:39:34,334.42,100,334.76,500,334.585,200
1202,0.47,0.18,0.29,36.05000000000002,09:39:36,333.6,100,334.45,200,334.435,100
1207,0.38,0.07,0.31,38.430000000000014,09:39:38,333.6,100,334.43,200,334.02,100
1216,0.49,0.22,0.27,42.49000000000003,09:39:42,333.63,100,334.42,200,334.015,100
1285,0.43,0.19,0.24,14.009999999999998,09:40:14,333.68,200,334.37,100,333.9112,100
1330,0.38,0.19,0.19,33.73,09:40:33,333.71,100,334.36,200,334.335,100
1387,0.5700000000000001,0.27,0.3,56.18999999999998,09:40:56,333.68,100,334.21,200,333.945,100
1417,0.42000000000000004,0.22,0.2,0.0,09:41:00,334.24,100,334.8,200,334.8,100
1427,0.33,0.13,0.2,4.01,09:41:04,334.23,100,334.79,100,334.79,100
1440,0.31,0.08,0.23,14.179999999999998,09:41:14,334.26,100,334.84,100,334.815,100
1451,0.31,0.08,0.23,18.029999999999998,09:41:18,334.27,100,334.83,100,334.825,100
1482,0.45999999999999996,0.24,0.22,28.220000000000006,09:41:28,334.28,100,334.83,100,334.73,100
1509,0.35,0.15,0.2,38.13000000000001,09:41:38,334.28,100,334.79,100,334.4304,133
1577,0.48,0.17,0.31,15.460000000000003,09:42:15,334.57,100,334.84,100,334.82,400
1586,0.48,0.19,0.29,19.219999999999995,09:42:19,334.57,300,334.84,100,334.705,100
1614,0.42,0.07,0.35,31.64,09:42:31,334.57,300,334.84,100,334.68,100
1632,0.33,0.07,0.26,39.2,09:42:39,334.57,300,334.81,100,334.66,100
1637,0.4,0.18,0.22,41.32,09:42:41,334.57,300,334.81,100,334.775,100
1642,0.36,0.07,0.29,43.19,09:42:43,334.14,100,334.78,100,334.56,100
1648,0.5700000000000001,0.27,0.3,45.54999999999999,09:42:45,334.17,100,334.77,100,334.74,100
1654,0.45999999999999996,0.15,0.31,47.43999999999999,09:42:47,334.15,200,334.77,100,334.465,100
1672,0.46,0.08,0.38,2.11,09:43:02,334.15,100,334.75,100,334.19199999999995,100
1694,0.38,0.12,0.26,13.580000000000002,09:43:13,334.17,100,334.72,100,334.17,100
1703,1.58,1.25,0.33,19.130000000000003,09:43:19,334.15,100,334.7,100,334.16,100
1725,0.36,0.09,0.27,27.7,09:43:27,334.15,100,334.58,100,334.57,100
1752,0.28,0.07,0.21,37.82,09:43:37,334.15,100,334.66,100,334.635,100
1815,0.33,0.07,0.26,0.0,09:44:00,334.15,100,334.7,100,334.22,100
1873,0.36,0.14,0.22,27.989999999999995,09:44:27,334.15,100,334.56,100,334.5,100
1962,0.38,0.08,0.3,0.0,09:45:00,334.15,200,334.66,100,334.64,100
