,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,94.7,200,95.1,800,95.23,200
16,0.32,0.08,0.24,6.53,09:30:06,94.7,200,95.1,800,94.71,100
99,0.27,0.07,0.2,0.0,09:31:00,94.7,200,95.08,100,94.7,100
227,0.36,0.19,0.17,0.0,09:32:00,94.84,100,95.12,100,94.945,100
289,0.30000000000000004,0.14,0.16,20.219999999999988,09:32:20,94.85,200,95.03,100,94.95,600
302,0.39,0.22,0.17,24.419999999999984,09:32:24,94.86,200,95.03,200,94.99,100
309,0.25,0.07,0.18,26.34999999999998,09:32:26,94.91,100,95.12,100,95.08,100
320,0.69,0.28,0.41,30.70999999999998,09:32:30,94.93,100,95.12,100,95.07,100
350,3.75,3.46,0.29,5.78,09:33:05,94.88,100,95.08,600,94.93,100
354,2.19,1.96,0.23,9.16,09:33:09,94.79,200,94.89,100,94.89,100
362,2.69,2.48,0.21,15.6,09:33:15,94.9,100,95.11,100,95.02,100
365,0.42000000000000004,0.23,0.19,16.55,09:33:16,94.91,200,95.1,100,95.1,100
423,0.28,0.07,0.21,36.62000000000001,09:33:36,94.91,100,95.08,100,95.0,600
509,2.14,1.95,0.19,0.0,09:34:00,94.73,200,94.94,100,94.835,142
522,0.33,0.07,0.26,11.09,09:34:11,94.7,200,95.02,200,95.03,100
551,0.47,0.25,0.22,22.589999999999993,09:34:22,94.77,300,95.15,100,94.905,100
588,0.29000000000000004,0.07,0.22,36.63999999999999,09:34:36,94.78,200,95.08,100,94.97,100
623,1.67,1.41,0.26,11.46,09:35:11,95.01,100,95.21,100,95.125,100
624,0.8,0.45,0.35,12.260000000000002,09:35:12,95.02,100,95.3,100,95.3,100
650,0.26,0.07,0.19,25.650000000000002,09:35:25,95.17,200,95.4,100,95.19,100
733,0.35,0.19,0.16,54.79000000000001,09:35:54,94.96,100,95.14,100,95.05,100
800,0.44000000000000006,0.17,0.27,21.78000000000001,09:36:21,95.12,100,95.3,100,95.15,7599
805,0.65,0.28,0.37,23.860000000000007,09:36:23,95.17,100,95.42,100,95.295,300
