,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,34.02,300,34.08,200,34.05,224
32,0.43,0.21,0.22,12.59,09:30:12,34.02,300,34.08,300,34.075,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,34.02,300,34.08,200,34.02,533
65,0.31,0.07,0.24,0.0,09:31:00,34.05,200,34.08,200,34.0391,825
201,4.77,4.56,0.21,0.0,09:32:00,34.09,200,34.1,100,34.08,100
241,0.26,0.09,0.17,15.620000000000001,09:32:15,34.1,200,34.12,200,34.11,100
417,0.39,0.2,0.19,0.0,09:33:00,34.1,300,34.12,100,34.12,200
522,0.33,0.07,0.26,24.469999999999995,09:34:24,34.14,400,34.15,100,34.15,123
571,0.32,0.07,0.25,44.09999999999999,09:34:44,34.15,100,34.17,300,34.16,100
622,3.44,3.13,0.31,0.0,09:35:00,34.12,100,34.14,100,34.155,100
759,0.38,0.21,0.17,0.0,09:36:00,34.12,200,34.15,200,34.13,100
765,0.44000000000000006,0.17,0.27,2.13,09:36:02,34.12,300,34.15,200,34.135,100
889,0.67,0.21,0.46,0.0,09:37:00,34.12,200,34.14,400,34.14,200
1028,0.34,0.08,0.26,15.91,09:38:15,34.08,300,34.1,200,34.1,100
1075,0.30000000000000004,0.07,0.23,37.8,09:38:37,34.07,100,34.08,300,34.07,100
1099,0.58,0.23,0.35,47.92999999999999,09:38:47,34.06,1000,34.08,100,34.0688,507
1103,0.4,0.1,0.3,49.679999999999986,09:38:49,34.09,500,34.1,200,34.09,100
1401,0.29000000000000004,0.1,0.19,0.0,09:41:00,34.14,400,34.15,200,34.145,100
1581,0.4,0.16,0.24,7.349999999999999,09:42:07,34.15,300,34.16,600,34.1603,100
1783,0.29,0.08,0.21,52.02000000000001,09:43:52,34.12,100,34.13,700,34.125,100
2209,0.53,0.27,0.26,47.990000000000016,09:46:47,34.1,800,34.11,100,34.105,100
2403,0.31,0.07,0.24,0.0,09:48:00,34.1,400,34.11,700,34.1001,144
2712,0.5,0.27,0.23,19.53,09:50:19,34.05,400,34.06,400,34.06,100
2801,3.3499999999999996,3.01,0.34,0.0,09:51:00,34.04,600,34.05,300,34.04,100
3094,0.26,0.07,0.19,12.389999999999999,09:53:12,34.03,700,34.04,500,34.03,100
3140,0.34,0.17,0.17,29.570000000000004,09:53:29,34.04,700,34.05,100,34.045,100
3913,0.46,0.18,0.28,0.0,09:58:00,34.05,900,34.06,1100,34.055,100
4107,0.32,0.07,0.25,0.0,10:00:00,34.03,600,34.04,1000,34.035,100
4221,2.69,2.36,0.33,0.0,10:01:00,34.01,800,34.02,500,34.01,100
4337,0.36,0.19,0.17,42.370000000000026,10:01:42,34.02,600,34.03,700,34.025,100
4803,0.44,0.22,0.22,0.0,10:05:00,34.01,800,34.02,400,34.015,100
5256,0.38,0.21,0.17,0.0,10:08:00,34.0,600,34.01,800,34.0,100
5273,0.34,0.07,0.27,5.89,10:08:05,33.99,200,34.0,1100,33.99,100
5420,0.27,0.07,0.2,18.849999999999998,10:09:18,33.98,300,33.99,800,33.995,100
5432,0.28,0.07,0.21,22.81,10:09:22,33.98,1000,33.99,600,33.98,100
5830,0.25,0.07,0.18,35.03999999999998,10:14:35,33.99,700,34.0,900,34.005,100
6547,0.34,0.07,0.27,3.7700000000000005,10:21:03,34.0,700,34.01,1000,34.0035,182
6689,0.37,0.09,0.28,37.21999999999999,10:22:37,33.99,400,34.0,800,33.9985,283
7242,0.39,0.14,0.25,18.16,10:27:18,34.0,600,34.01,600,34.0053,300
7631,0.43,0.22,0.21,31.29,10:30:31,34.02,700,34.03,600,34.0242,156
7934,0.37,0.15,0.22,0.0,10:34:00,33.99,500,34.0,700,33.9976,305
8441,0.84,0.12,0.72,25.83,10:39:25,33.98,800,33.99,1000,33.985,100
8621,0.5900000000000001,0.07,0.52,13.769999999999998,10:41:13,33.97,400,33.98,1000,33.97,100
8657,0.62,0.23,0.39,0.0,10:42:00,33.97,600,33.98,400,33.975,100
8740,0.57,0.09,0.48,53.850000000000016,10:42:53,33.98,400,33.99,1400,33.9805,100
9077,0.6300000000000001,0.07,0.56,27.819999999999993,10:46:27,33.94,600,33.95,800,33.94,100
9083,0.7799999999999999,0.09,0.69,32.39999999999999,10:46:32,33.95,700,33.96,300,33.96,100
9228,0.58,0.08,0.5,0.0,10:48:00,33.96,500,33.97,400,33.965,100
9384,0.5800000000000001,0.07,0.51,0.0,10:50:00,33.95,500,33.96,500,33.955,100
9391,0.6000000000000001,0.2,0.4,8.01,10:50:08,33.95,400,33.96,500,33.95,199
10645,0.6100000000000001,0.07,0.54,21.39,11:08:21,33.99,600,34.0,800,33.9901,101
11126,0.62,0.19,0.43,0.0,11:14:00,33.99,800,34.0,1200,33.9956,100
11151,0.6,0.23,0.37,21.610000000000003,11:14:21,33.99,800,34.0,1000,33.9938,117
12401,0.5900000000000001,0.13,0.46,8.61,11:33:08,33.92,600,33.93,700,33.925,100
12405,0.5900000000000001,0.07,0.52,11.01,11:33:11,33.93,900,33.94,1000,33.93,100
12411,0.43,0.07,0.36,14.619999999999997,11:33:14,33.93,1000,33.94,400,33.935,100
12459,0.61,0.08,0.53,41.19000000000001,11:33:41,33.92,300,33.93,2100,33.92,100
12465,0.5900000000000001,0.07,0.52,0.0,11:34:00,33.91,400,33.92,1100,33.91,100
12502,0.74,0.2,0.54,30.13000000000001,11:34:30,33.91,600,33.92,400,33.915,100
12566,79.02,78.7,0.32,0.0,11:36:00,33.91,600,33.92,600,33.9168,113
12615,0.62,0.14,0.48,0.0,11:37:00,33.9,600,33.91,700,33.9,100
12694,0.58,0.21,0.37,47.98999999999998,11:37:47,33.89,400,33.9,500,33.895,100
12701,0.59,0.15,0.44,51.999999999999986,11:37:51,33.89,300,33.9,700,33.89,100
12908,0.24000000000000002,0.07,0.17,0.0,11:42:00,33.9,600,33.91,700,33.905,100
14447,0.38,0.21,0.17,40.21000000000001,11:53:40,33.92,1300,33.93,600,33.9256,260
14924,0.35000000000000003,0.08,0.27,35.530000000000015,11:56:35,33.94,1100,33.95,500,33.945,100
16587,0.35,0.17,0.18,26.410000000000004,12:07:26,33.93,500,33.94,1000,33.933,153
17434,0.3,0.09,0.21,0.0,12:12:00,33.93,900,33.94,700,33.9329,107
17539,0.23,0.07,0.16,33.79,12:13:33,33.93,800,33.94,800,33.9365,115
18070,0.23,0.07,0.16,0.0,12:17:00,33.93,700,33.94,500,33.9346,159
19112,0.32999999999999996,0.09,0.24,39.65,12:23:39,33.92,1100,33.93,1200,33.9238,122
20942,0.39,0.22,0.17,0.0,12:35:00,33.97,800,33.98,400,33.9766,1000
20974,4.8,4.63,0.17,0.0,12:36:00,33.97,800,33.98,400,33.9799,150
21089,0.44000000000000006,0.27,0.17,43.419999999999995,12:36:43,33.96,900,33.97,1200,33.967,349
21092,0.24000000000000002,0.07,0.17,44.26,12:36:44,33.96,900,33.97,1200,33.9634,255
21508,2.5300000000000002,2.22,0.31,0.0,12:40:00,33.96,500,33.97,800,33.9654,300
23364,0.29000000000000004,0.07,0.22,0.0,12:54:00,33.96,500,33.97,700,33.9695,163
24424,0.26,0.08,0.18,58.15999999999998,13:02:58,33.98,500,33.99,1000,33.989000000000004,150
25177,0.4,0.2,0.2,46.18,13:10:46,33.95,500,33.96,700,33.9534,477
