,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,138.23,300,138.43,300,138.235,100
32,0.43,0.21,0.22,12.59,09:30:12,138.01,100,138.3,100,138.035,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,138.01,100,138.24,200,138.01,100
45,0.32,0.09,0.23,0.0,09:31:00,138.0,200,138.22,100,138.0,100
46,0.35000000000000003,0.08,0.27,0.35000000000000003,09:31:00,137.92,100,138.12,200,137.92,100
51,0.4,0.18,0.22,2.33,09:31:02,137.9,300,138.12,200,137.91,100
56,0.30000000000000004,0.07,0.23,5.329999999999999,09:31:05,137.86,100,138.12,600,137.98,100
59,0.33,0.1,0.23,6.52,09:31:06,137.86,100,138.06,600,137.86,200
65,0.31,0.07,0.24,10.33,09:31:10,137.85,100,138.01,100,137.85,100
80,1.4100000000000001,1.07,0.34,21.98,09:31:21,137.84,100,137.93,200,137.84,100
88,0.39,0.2,0.19,24.620000000000005,09:31:24,137.73,100,137.92,400,137.81,100
94,0.27,0.07,0.2,26.520000000000003,09:31:26,137.68,100,137.87,100,137.69,100
110,0.5,0.28,0.22,32.580000000000005,09:31:32,137.7,100,137.87,200,137.7,100
133,0.26,0.07,0.19,40.52000000000002,09:31:40,137.87,100,137.97,200,137.87,100
144,0.46,0.18,0.28,44.810000000000024,09:31:44,137.87,100,137.97,100,137.875,100
175,0.32,0.14,0.18,56.32000000000002,09:31:56,137.68,100,137.91,100,137.76,100
182,0.33,0.07,0.26,58.61000000000002,09:31:58,137.69,300,137.9,200,137.695,200
201,4.77,4.56,0.21,12.54,09:32:12,137.78,100,137.88,400,137.8155,150
202,2.2199999999999998,2.03,0.19,14.759999999999998,09:32:14,137.78,100,137.88,400,137.83,100
227,0.36,0.19,0.17,23.949999999999996,09:32:23,137.78,100,137.88,300,137.8362,500
246,0.36,0.18,0.18,29.99999999999999,09:32:29,137.98,100,138.07,200,138.02,100
264,0.24000000000000002,0.07,0.17,36.26999999999998,09:32:36,138.04,100,138.14,300,138.07,100
276,0.24000000000000002,0.07,0.17,40.14999999999998,09:32:40,138.04,100,138.14,300,138.08,100
295,0.33999999999999997,0.18,0.16,46.129999999999995,09:32:46,138.04,100,138.13,100,138.13,100
302,0.39,0.22,0.17,48.37,09:32:48,138.01,100,138.13,300,138.04,100
320,0.69,0.28,0.41,54.66,09:32:54,137.99,100,138.13,300,138.125,100
