,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,72.12,800,72.63,900,72.37,468
22,0.3,0.08,0.22,8.47,09:30:08,72.44,300,72.62,100,72.49,100
32,0.43,0.21,0.22,12.59,09:30:12,72.54,100,72.63,700,72.59,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,72.62,100,72.8,100,72.705,100
46,0.35000000000000003,0.08,0.27,0.0,09:31:00,72.75,100,72.98,400,72.97,300
59,0.33,0.1,0.23,6.17,09:31:06,72.89,100,73.06,200,72.91,100
75,0.89,0.62,0.27,16.62,09:31:16,72.89,100,72.9,200,72.89,100
77,1.79,1.43,0.36,18.84,09:31:18,72.89,100,72.95,100,72.9,100
81,0.43000000000000005,0.17,0.26,22.060000000000002,09:31:22,72.84,100,72.95,100,72.87,100
88,0.39,0.2,0.19,24.270000000000007,09:31:24,72.84,100,72.95,100,72.84,100
105,0.41000000000000003,0.23,0.18,30.350000000000005,09:31:30,72.75,200,72.95,100,72.825,200
127,0.6000000000000001,0.27,0.33,38.210000000000015,09:31:38,72.75,100,72.95,100,72.94,100
200,2.27,2.05,0.22,0.0,09:32:00,72.76,300,72.95,100,72.93,100
201,4.77,4.56,0.21,4.77,09:32:04,72.76,300,72.95,100,72.8525,100
202,2.2199999999999998,2.03,0.19,6.989999999999999,09:32:06,72.76,300,72.95,100,72.855,100
315,0.3,0.08,0.22,44.57000000000002,09:32:44,72.86,300,72.95,400,72.95,100
332,0.25,0.07,0.18,50.510000000000026,09:32:50,72.86,300,72.95,400,72.905,100
354,2.19,1.96,0.23,3.38,09:33:03,72.97,200,73.04,100,73.0,100
356,2.15,1.91,0.24,5.789999999999999,09:33:05,73.01,100,73.05,100,73.01,200
359,0.35,0.18,0.17,6.649999999999999,09:33:06,73.01,100,73.08,100,73.05,100
387,0.42000000000000004,0.22,0.2,18.929999999999996,09:33:18,73.01,100,73.08,300,73.02,100
423,0.28,0.07,0.21,30.840000000000003,09:33:30,73.01,100,73.08,200,73.0706,277
426,0.61,0.24,0.37,32.400000000000006,09:33:32,73.01,100,73.08,200,73.0275,100
427,0.41000000000000003,0.17,0.24,32.81,09:33:32,72.99,200,73.08,200,73.035,100
492,0.34,0.14,0.2,0.0,09:34:00,73.02,200,73.08,100,73.08,100
513,2.17,1.87,0.3,12.600000000000001,09:34:12,73.04,300,73.08,100,73.04,100
522,0.33,0.07,0.26,20.459999999999997,09:34:20,73.04,200,73.11,200,73.06,100
556,0.47000000000000003,0.28,0.19,34.26999999999999,09:34:34,73.0,200,73.04,700,73.03,100
600,0.35000000000000003,0.08,0.27,50.37999999999999,09:34:50,72.96,100,73.04,700,72.96,100
607,0.52,0.21,0.31,53.58999999999999,09:34:53,72.92,100,73.04,700,72.975,300
615,0.54,0.21,0.33,0.0,09:35:00,72.92,100,73.04,700,72.98,200
617,3.8,3.55,0.25,4.29,09:35:04,72.88,100,73.02,300,72.92,100
618,0.34,0.07,0.27,4.63,09:35:04,72.87,100,73.02,300,72.88,100
628,0.45,0.22,0.23,16.080000000000002,09:35:16,72.87,100,73.02,700,72.8783,150
632,0.29000000000000004,0.07,0.22,18.14,09:35:18,72.87,200,73.02,300,72.945,100
657,0.54,0.28,0.26,28.21,09:35:28,72.87,300,73.0,300,72.935,100
662,0.56,0.29,0.27,30.209999999999997,09:35:30,72.9,100,72.99,900,72.9634,300
686,0.6200000000000001,0.28,0.34,38.78000000000001,09:35:38,72.96,300,73.02,100,72.99,100
689,0.28,0.07,0.21,40.12000000000001,09:35:40,72.96,300,73.02,100,73.0199,200
751,0.4,0.23,0.17,0.0,09:36:00,73.08,200,73.13,100,73.1,100
765,0.44000000000000006,0.17,0.27,4.380000000000001,09:36:04,73.08,200,73.18,400,73.11,100
774,2.31,2.11,0.2,14.610000000000001,09:36:14,73.12,200,73.17,100,73.17,100
778,0.39,0.21,0.18,16.39,09:36:16,73.1,200,73.16,100,73.14,272
795,0.33,0.1,0.23,26.310000000000006,09:36:26,73.1,300,73.16,100,73.16,100
800,0.44000000000000006,0.17,0.27,28.390000000000008,09:36:28,73.1,300,73.16,100,73.13,300
855,0.35000000000000003,0.07,0.28,52.44,09:36:52,73.16,100,73.2,200,73.1825,200
882,0.47000000000000003,0.08,0.39,0.0,09:37:00,73.16,300,73.2,200,73.19,100
922,0.43,0.08,0.35,23.94,09:37:23,73.15,200,73.2,600,73.18,200
926,0.53,0.1,0.43,25.900000000000006,09:37:25,73.14,300,73.17,100,73.15,100
1018,0.6000000000000001,0.27,0.33,0.0,09:38:00,73.13,100,73.18,500,73.155,100
1039,0.49,0.07,0.42,10.16,09:38:10,73.13,100,73.18,500,73.1452,400
1172,0.31,0.07,0.24,17.959999999999997,09:39:17,73.12,100,73.2,100,73.1301,200
1422,0.4,0.21,0.19,8.04,09:41:08,73.17,200,73.25,4400,73.23,100
1430,0.3,0.08,0.22,12.589999999999998,09:41:12,73.17,200,73.24,700,73.1777,900
1482,0.45999999999999996,0.24,0.22,34.279999999999994,09:41:34,73.18,200,73.22,100,73.21,100
1487,0.31,0.12,0.19,35.959999999999994,09:41:35,73.2,200,73.25,4500,73.25,100
1488,0.57,0.22,0.35,36.529999999999994,09:41:36,73.14,100,73.23,500,73.22,100
1565,2.37,2.09,0.28,4.380000000000001,09:42:04,73.26,100,73.29,200,73.26,100
1566,0.41000000000000003,0.09,0.32,4.790000000000001,09:42:04,73.27,300,73.31,100,73.29,100
1568,0.38,0.07,0.31,6.460000000000001,09:42:06,73.26,100,73.31,500,73.27,189
1581,0.4,0.16,0.24,12.140000000000004,09:42:12,73.28,200,73.31,100,73.31,100
1591,0.39,0.08,0.31,16.300000000000004,09:42:16,73.28,100,73.32,100,73.3,100
1610,0.42000000000000004,0.19,0.23,24.270000000000007,09:42:24,73.27,300,73.32,100,73.32,100
1648,0.5700000000000001,0.27,0.3,40.51999999999999,09:42:40,73.33,200,73.38,200,73.36,200
1654,0.45999999999999996,0.15,0.31,42.40999999999999,09:42:42,73.34,200,73.39,100,73.38,100
1658,0.76,0.29,0.47,44.62999999999999,09:42:44,73.29,100,73.34,100,73.365,100
1672,0.46,0.08,0.38,0.0,09:43:00,73.29,200,73.34,500,73.315,100
1694,0.38,0.12,0.26,11.47,09:43:11,73.32,200,73.4,300,73.33,100
1695,0.45999999999999996,0.21,0.25,11.93,09:43:11,73.37,200,73.4,100,73.4,100
1703,1.58,1.25,0.33,17.02,09:43:17,73.38,200,73.43,100,73.4025,100
1710,0.44,0.12,0.32,19.74,09:43:19,73.38,100,73.43,100,73.42,100
1715,0.32,0.08,0.24,21.599999999999994,09:43:21,73.42,200,73.49,500,73.45,100
1741,0.4,0.08,0.32,31.689999999999994,09:43:31,73.39,200,73.48,200,73.435,100
1767,0.37,0.18,0.19,41.730000000000004,09:43:41,73.39,200,73.47,300,73.47,100
1783,0.29,0.08,0.21,47.660000000000004,09:43:47,73.45,200,73.47,100,73.46,100
1815,0.33,0.07,0.26,0.0,09:44:00,73.4,100,73.47,400,73.4091,1000
1873,0.36,0.14,0.22,27.989999999999995,09:44:27,73.41,100,73.46,100,73.43,100
1909,0.31,0.11,0.2,41.7,09:44:41,73.49,200,73.55,100,73.53,100
1921,0.41000000000000003,0.17,0.24,45.980000000000004,09:44:45,73.5,200,73.54,100,73.52,400
1927,0.27,0.07,0.2,47.73000000000001,09:44:47,73.5,200,73.54,100,73.54,100
1956,0.43000000000000005,0.09,0.34,0.0,09:45:00,73.44,100,73.52,500,73.5,100
1962,0.38,0.08,0.3,2.25,09:45:02,73.45,100,73.52,500,73.51,100
2020,0.47,0.26,0.21,34.12000000000001,09:45:34,73.4,300,73.49,100,73.49,100
2046,0.41000000000000003,0.15,0.26,43.85000000000001,09:45:43,73.4,600,73.48,100,73.44,100
2076,0.34,0.07,0.27,55.92000000000001,09:45:55,73.37,300,73.43,100,73.41,100
2082,0.29000000000000004,0.07,0.22,0.0,09:46:00,73.37,100,73.42,100,73.39,100
2115,0.34,0.08,0.26,15.86,09:46:15,73.37,100,73.45,200,73.407,400
2145,0.32,0.14,0.18,31.740000000000006,09:46:31,73.37,100,73.4,100,73.37,100
2239,0.28,0.07,0.21,3.5999999999999996,09:47:03,73.21,900,73.28,100,73.28,100
2273,0.37,0.2,0.17,21.459999999999994,09:47:21,73.19,200,73.25,500,73.2,100
2304,0.44,0.18,0.26,33.80999999999998,09:47:33,73.24,200,73.28,100,73.245,300
2559,0.37,0.09,0.28,14.279999999999998,09:49:14,73.46,300,73.5,2100,73.48,100
2616,0.33,0.07,0.26,38.390000000000015,09:49:38,73.43,100,73.46,100,73.439,500
2670,3.5799999999999996,3.28,0.3,12.760000000000002,09:50:12,73.39,200,73.44,200,73.415,100
2716,0.67,0.22,0.45,34.120000000000005,09:50:34,73.35,100,73.41,100,73.405,100
2794,2.9,2.59,0.31,9.469999999999999,09:51:09,73.37,500,73.44,300,73.4225,100
2944,0.42000000000000004,0.2,0.22,13.920000000000002,09:52:13,73.41,100,73.46,200,73.4425,100
3227,0.39,0.22,0.17,0.0,09:54:00,73.52,300,73.56,100,73.55,100
3239,0.31,0.12,0.19,7.7299999999999995,09:54:07,73.54,300,73.57,100,73.56,100
3240,2.9800000000000004,2.74,0.24,10.71,09:54:10,73.55,300,73.59,100,73.57,100
3241,1.1800000000000002,0.92,0.26,11.89,09:54:11,73.55,400,73.6,200,73.6,400
3244,3.73,3.54,0.19,18.42,09:54:18,73.55,300,73.6,100,73.59,100
3261,0.45,0.27,0.18,24.060000000000006,09:54:24,73.61,200,73.64,100,73.6075,100
3384,0.4,0.1,0.3,4.3,09:55:04,73.6,200,73.63,100,73.62,100
3390,2.81,2.46,0.35,11.3,09:55:11,73.6,300,73.63,100,73.63,100
3429,0.43,0.18,0.25,28.109999999999992,09:55:28,73.57,300,73.62,200,73.605,100
3434,0.39,0.19,0.2,30.509999999999994,09:55:30,73.57,300,73.62,200,73.595,100
3548,0.27,0.07,0.2,11.799999999999999,09:56:11,73.58,300,73.61,100,73.61,100
3570,0.43,0.13,0.3,21.109999999999996,09:56:21,73.58,100,73.61,100,73.615,100
3586,0.36,0.09,0.27,27.969999999999995,09:56:27,73.56,200,73.58,200,73.58,100
3610,0.25,0.08,0.17,35.82,09:56:35,73.56,200,73.6,200,73.585,100
3753,0.28,0.1,0.18,37.099999999999994,09:57:37,73.61,200,73.65,100,73.65,100
3819,2.66,2.47,0.19,0.0,09:58:00,73.66,200,73.7,100,73.67,100
3820,2.8000000000000003,2.64,0.16,2.8000000000000003,09:58:02,73.66,200,73.72,100,73.7,100
3821,0.39,0.23,0.16,3.1900000000000004,09:58:03,73.66,400,73.72,100,73.678,100
3833,0.24000000000000002,0.07,0.17,7.08,09:58:07,73.68,400,73.75,400,73.74,100
3864,0.28,0.07,0.21,17.1,09:58:17,73.68,300,73.75,400,73.7127,100
3875,0.35,0.12,0.23,21.250000000000007,09:58:21,73.68,200,73.75,400,73.7499,400
3908,0.3,0.09,0.21,33.140000000000015,09:58:33,73.7,200,73.75,100,73.7206,100
3941,2.56,2.22,0.34,0.0,09:59:00,73.72,200,73.77,100,73.75,100
3950,0.25,0.08,0.17,4.630000000000001,09:59:04,73.7,200,73.73,100,73.73,100
3955,0.39,0.22,0.17,7.2,09:59:07,73.66,200,73.7,100,73.71,100
4039,0.32,0.09,0.23,36.63000000000001,09:59:36,73.66,200,73.72,100,73.665,400
4045,0.4,0.19,0.21,38.800000000000004,09:59:38,73.66,200,73.72,100,73.6796,200
4071,0.41000000000000003,0.18,0.23,48.76,09:59:48,73.67,200,73.73,600,73.718,900
4123,2.46,2.22,0.24,17.590000000000003,10:00:17,73.74,200,73.79,100,73.78,100
4125,0.73,0.27,0.46,18.670000000000005,10:00:18,73.75,300,73.79,100,73.79,100
4190,0.54,0.08,0.46,48.53999999999998,10:00:48,73.71,200,73.77,100,73.76,100
4199,0.48000000000000004,0.08,0.4,54.26999999999997,10:00:54,73.71,200,73.76,500,73.71600000000001,100
4202,1.21,0.77,0.44,0.0,10:01:00,73.66,200,73.72,100,73.69,100
