,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,118.33,200,118.56,300,118.63,100
32,0.43,0.21,0.22,12.59,09:30:12,118.38,100,118.52,100,118.54,100
46,0.35000000000000003,0.08,0.27,0.0,09:31:00,118.33,600,118.57,200,118.56,100
156,0.48,0.21,0.27,50.20000000000002,09:31:50,118.38,100,118.56,200,118.51,100
193,0.41000000000000003,0.21,0.2,0.0,09:32:00,118.34,200,118.48,200,118.48,100
221,0.26,0.08,0.18,20.07,09:32:20,118.5,100,118.63,100,118.605,100
302,0.39,0.22,0.17,46.34,09:32:46,118.59,200,118.69,100,118.59,100
332,0.25,0.07,0.18,56.25000000000001,09:32:56,118.64,200,118.7,100,118.68,200
338,0.3,0.08,0.22,0.0,09:33:00,118.65,200,118.7,100,118.67,100
350,3.75,3.46,0.29,9.190000000000001,09:33:09,118.71,100,118.77,100,118.74,200
352,0.35,0.18,0.17,9.8,09:33:09,118.66,100,118.71,100,118.66,100
354,2.19,1.96,0.23,12.57,09:33:12,118.66,100,118.71,100,118.685,100
427,0.41000000000000003,0.17,0.24,42.00000000000001,09:33:42,118.55,100,118.61,100,118.61,100
444,0.43,0.22,0.21,47.430000000000014,09:33:47,118.6,100,118.71,200,118.65,200
458,0.27,0.09,0.18,52.11000000000001,09:33:52,118.5,100,118.66,100,118.6,100
475,0.32,0.09,0.23,58.21000000000001,09:33:58,118.84,200,118.93,100,118.89,478
480,0.28,0.11,0.17,0.0,09:34:00,118.55,100,118.88,100,118.85,100
561,0.26,0.08,0.18,40.00999999999999,09:34:40,118.58,200,118.84,100,118.84,100
577,0.43,0.14,0.29,46.29999999999999,09:34:46,118.58,200,118.81,200,118.695,1000
636,0.43,0.22,0.21,15.759999999999998,09:35:15,118.49,200,118.66,100,118.5,100
751,0.4,0.23,0.17,0.0,09:36:00,118.5,600,118.67,100,118.57,100
846,0.75,0.21,0.54,48.57999999999999,09:36:48,118.5,100,118.59,100,118.55,400
1016,4.37,4.13,0.24,4.37,09:38:04,118.33,100,118.53,100,118.53,100
1018,0.6000000000000001,0.27,0.33,5.359999999999999,09:38:05,118.33,100,118.59,100,118.425,100
1028,0.34,0.08,0.26,9.379999999999999,09:38:09,118.34,100,118.56,100,118.4,100
1043,0.49,0.08,0.41,17.65,09:38:17,118.37,100,118.55,100,118.42,100
1122,0.32999999999999996,0.09,0.24,0.0,09:39:00,118.4,100,118.53,100,118.495,800
1127,0.44,0.18,0.26,2.0300000000000002,09:39:02,118.38,100,118.47,300,118.46,100
1137,0.31,0.08,0.23,8.25,09:39:08,118.43,100,118.52,100,118.52,100
1156,0.27,0.07,0.2,17.92,09:39:17,118.44,100,118.57,100,118.505,100
1261,0.35,0.17,0.18,0.0,09:40:00,118.36,300,118.48,200,118.44,100
1266,0.52,0.28,0.24,2.3200000000000003,09:40:02,118.36,200,118.47,200,118.36,100
1273,0.31,0.09,0.22,6.52,09:40:06,118.36,200,118.47,100,118.463,167
1346,0.45,0.19,0.26,39.949999999999996,09:40:39,118.21,600,118.41,100,118.37,100
1347,0.38,0.17,0.21,40.33,09:40:40,118.1,600,118.39,200,118.22,200
1438,0.28,0.07,0.21,0.0,09:41:00,118.15,100,118.35,200,118.25,100
1519,0.38,0.08,0.3,32.42000000000001,09:41:32,118.15,600,118.35,200,118.3,100
1528,0.33,0.07,0.26,36.280000000000015,09:41:36,118.19,500,118.41,100,118.335,298
1618,0.43000000000000005,0.15,0.28,14.16,09:42:14,118.25,100,118.3,600,118.275,100
1658,0.76,0.29,0.47,30.439999999999998,09:42:30,118.26,400,118.29,100,118.28,100
1662,0.4,0.1,0.3,0.0,09:43:00,118.25,100,118.29,100,118.29,200
1969,5.109999999999999,4.93,0.18,9.59,09:45:09,118.25,200,118.36,300,118.34,100
1970,1.2,0.89,0.31,10.79,09:45:10,118.2,100,118.26,100,118.27,200
2191,0.27,0.08,0.19,32.04999999999999,09:46:32,118.29,200,118.4,200,118.345,100
2284,0.28,0.08,0.2,1.84,09:47:01,118.33,100,118.39,100,118.3875,100
2447,0.42000000000000004,0.23,0.19,0.0,09:48:00,118.34,200,118.39,300,118.365,100
2524,0.51,0.2,0.31,0.0,09:49:00,118.35,100,118.41,100,118.39,100
2538,0.37,0.08,0.29,5.840000000000001,09:49:05,118.35,200,118.41,100,118.38,100
2573,0.37,0.07,0.3,30.040000000000003,09:49:30,118.4,200,118.45,100,118.3975,100
2639,0.27,0.07,0.2,55.79000000000002,09:49:55,118.4,200,118.43,100,118.415,100
2667,0.5499999999999999,0.08,0.47,2.04,09:50:02,118.33,100,118.4,100,118.41,100
2700,0.27,0.07,0.2,21.990000000000002,09:50:21,118.31,100,118.4,700,118.32,100
2731,0.29000000000000004,0.12,0.17,33.839999999999996,09:50:33,118.25,100,118.36,100,118.33,100
3207,0.38,0.22,0.16,0.0,09:53:00,118.28,100,118.33,100,118.3078,1000
