,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,353.95,100,354.56,400,354.0,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,353.95,100,354.56,300,353.955,100
22,0.3,0.08,0.22,8.47,09:30:08,353.95,100,354.56,400,353.97,100
59,0.33,0.1,0.23,0.0,09:31:00,353.97,100,354.56,500,353.99,100
71,0.37,0.18,0.19,8.6,09:31:08,353.6,300,353.95,500,353.75,200
80,1.4100000000000001,1.07,0.34,15.459999999999997,09:31:15,353.2,100,353.95,600,353.46,100
94,0.27,0.07,0.2,20.0,09:31:20,353.2,100,353.94,100,353.21,100
148,0.4,0.08,0.32,39.970000000000006,09:31:39,353.13,100,353.47,100,353.2754,1000
182,0.33,0.07,0.26,52.09,09:31:52,352.96,100,353.46,200,353.0401,100
193,0.41000000000000003,0.21,0.2,0.0,09:32:00,353.02,100,353.46,200,353.24,100
206,0.24000000000000002,0.07,0.17,13.850000000000001,09:32:13,352.9,200,353.45,200,353.08,100
214,0.33999999999999997,0.18,0.16,17.919999999999998,09:32:17,352.9,200,353.45,200,352.925,100
221,0.26,0.08,0.18,20.07,09:32:20,352.91,100,353.45,200,353.18,100
234,0.23,0.07,0.16,23.889999999999997,09:32:23,352.91,100,353.45,300,352.935,100
252,0.24000000000000002,0.07,0.17,30.059999999999988,09:32:30,352.72,100,353.44,300,352.9,100
258,0.39,0.22,0.17,32.28999999999999,09:32:32,352.6,100,353.13,300,352.77,100
264,0.24000000000000002,0.07,0.17,34.23999999999999,09:32:34,352.6,100,353.13,600,352.915,100
338,0.3,0.08,0.22,0.0,09:33:00,352.97,700,353.45,100,353.0,100
343,2.23,1.98,0.25,3.41,09:33:03,352.97,700,353.44,100,352.99,100
344,0.36,0.18,0.18,3.77,09:33:03,352.66,100,353.43,100,352.98,100
412,0.47000000000000003,0.27,0.2,35.970000000000006,09:33:35,352.68,100,353.39,100,353.36,100
440,0.45,0.25,0.2,46.19000000000002,09:33:46,352.73,100,353.33,300,352.74,100
446,0.25,0.07,0.18,48.070000000000014,09:33:48,352.73,100,353.29,100,353.2,100
470,0.41000000000000003,0.19,0.22,56.35000000000001,09:33:56,352.75,100,353.28,100,353.02,100
475,0.32,0.09,0.23,58.21000000000001,09:33:58,352.75,100,353.28,200,352.9853,100
552,0.5800000000000001,0.25,0.33,28.50999999999999,09:34:28,352.68,100,353.14,100,353.14,100
577,0.43,0.14,0.29,38.25999999999999,09:34:38,352.68,100,353.13,100,352.71,100
594,0.38,0.14,0.24,44.239999999999995,09:34:44,352.68,100,353.13,100,353.06,100
622,3.44,3.13,0.31,4.96,09:35:04,352.69,100,353.11,200,352.69,100
625,2.72,2.35,0.37,10.15,09:35:10,352.13,100,352.63,100,352.1301,100
641,0.4,0.18,0.22,17.7,09:35:17,352.0,1000,352.26,100,352.11,100
653,0.44,0.22,0.22,22.01,09:35:22,351.6,100,352.22,200,351.78,147
674,0.44999999999999996,0.21,0.24,29.919999999999995,09:35:29,351.6,100,352.17,100,351.68,100
701,0.26,0.08,0.18,39.96999999999999,09:35:39,351.68,100,352.14,200,352.05,100
714,0.44,0.26,0.18,44.089999999999996,09:35:44,351.52,600,352.13,200,352.13,100
748,0.4,0.22,0.18,53.910000000000004,09:35:53,351.68,100,352.12,100,352.12,200
759,0.38,0.21,0.17,0.0,09:36:00,351.68,100,351.97,200,352.0,100
779,3.7600000000000002,3.33,0.43,17.900000000000002,09:36:17,351.68,200,351.89,100,351.9,100
780,0.43,0.19,0.24,18.330000000000002,09:36:18,351.52,600,352.11,100,351.89,100
866,0.42,0.21,0.21,54.300000000000004,09:36:54,351.52,600,352.0,300,351.8017,192
874,0.45,0.2,0.25,0.0,09:37:00,351.52,600,352.0,300,351.76,600
880,0.46,0.07,0.39,3.2600000000000002,09:37:03,351.52,600,351.98,100,351.54,100
882,0.47000000000000003,0.08,0.39,4.37,09:37:04,351.13,100,351.87,200,351.52,134
885,0.46,0.08,0.38,6.05,09:37:06,351.13,100,351.48,100,351.13,450
922,0.43,0.08,0.35,28.31,09:37:28,350.62,100,351.13,100,350.63,100
926,0.53,0.1,0.43,30.270000000000003,09:37:30,350.57,100,351.11,100,350.62,100
934,0.35000000000000003,0.07,0.28,34.13000000000001,09:37:34,350.57,100,351.07,100,350.7895,100
939,0.47000000000000003,0.13,0.34,36.34000000000001,09:37:36,350.57,100,351.0,200,350.595,100
944,0.43,0.08,0.35,38.370000000000005,09:37:38,350.57,100,350.99,200,350.66,100
954,0.47,0.21,0.26,42.24999999999999,09:37:42,350.26,700,350.93,300,350.325,100
959,0.48,0.21,0.27,44.07999999999999,09:37:44,350.26,700,350.93,300,350.275,100
989,0.36,0.07,0.29,56.32999999999998,09:37:56,350.26,700,350.92,200,350.315,100
1011,0.56,0.27,0.29,0.0,09:38:00,350.02,300,350.46,400,350.44,100
1016,4.37,4.13,0.24,6.7,09:38:06,350.02,300,350.46,600,350.03,100
1018,0.6000000000000001,0.27,0.33,7.6899999999999995,09:38:07,349.24,100,349.74,200,349.465,100
1023,0.39,0.11,0.28,9.709999999999999,09:38:09,349.23,200,349.74,300,349.24,100
1033,0.42000000000000004,0.14,0.28,13.78,09:38:13,349.3,200,349.99,100,349.87,100
1035,0.55,0.19,0.36,16.09,09:38:16,349.9,100,350.53,200,350.11,100
1043,0.49,0.08,0.41,19.98,09:38:19,349.3,100,350.53,200,350.0,100
1055,0.55,0.24,0.31,25.96,09:38:25,349.48,200,350.52,200,349.85,100
1075,0.30000000000000004,0.07,0.23,33.59999999999999,09:38:33,349.23,200,349.98,200,349.76,100
1090,0.55,0.22,0.33,39.84999999999998,09:38:39,349.23,200,349.97,300,349.64,250
1132,0.47,0.23,0.24,0.0,09:39:00,349.34,100,349.97,300,349.5465,359
1142,0.37,0.18,0.19,5.859999999999999,09:39:05,349.34,100,349.9,200,349.86,100
1153,0.8200000000000001,0.52,0.3,12.63,09:39:12,349.67,200,350.51,200,350.055,100
1159,2.5700000000000003,2.24,0.33,17.37,09:39:17,350.0,800,350.5,100,350.02,600
1187,0.34,0.08,0.26,28.00000000000001,09:39:28,349.66,100,350.51,300,350.085,100
1226,0.27,0.08,0.19,43.95000000000002,09:39:43,350.0,100,350.5,200,350.37,100
1261,0.35,0.17,0.18,0.0,09:40:00,350.0,100,350.5,500,350.01,100
1269,2.0100000000000002,1.81,0.2,5.08,09:40:05,350.0,100,350.49,200,350.4899,500
1283,2.42,2.13,0.29,13.54,09:40:13,350.0,300,350.18,500,350.09,100
1291,0.36,0.17,0.19,16.189999999999998,09:40:16,349.89,100,350.29,100,350.1,200
1314,0.45999999999999996,0.21,0.25,28.31,09:40:28,349.9,100,350.47,200,350.185,133
1330,0.38,0.19,0.19,33.98,09:40:33,349.89,200,350.18,200,350.035,100
1368,0.32,0.07,0.25,48.05999999999998,09:40:48,349.43,200,350.0,100,349.89,100
1391,0.49,0.22,0.27,58.19999999999999,09:40:58,349.51,200,350.0,300,349.56,100
1434,0.97,0.67,0.3,0.0,09:41:00,349.51,200,350.0,400,349.755,100
1439,3.9699999999999998,3.65,0.32,5.24,09:41:05,349.33,100,349.93,500,349.52,100
1440,0.31,0.08,0.23,5.55,09:41:05,349.34,100,349.93,500,349.63,200
1463,0.27,0.07,0.2,13.239999999999997,09:41:13,349.23,100,349.93,500,349.58,100
1493,0.38,0.21,0.17,23.6,09:41:23,349.26,100,349.91,300,349.335,100
1497,0.69,0.5,0.19,25.240000000000002,09:41:25,349.26,100,349.91,200,349.585,200
1498,0.41000000000000003,0.22,0.19,25.650000000000002,09:41:25,349.51,200,349.93,100,349.965,100
1509,0.35,0.15,0.2,29.500000000000007,09:41:29,349.51,200,349.93,300,349.51,100
1514,0.49,0.2,0.29,31.71000000000001,09:41:31,349.51,100,349.93,300,349.72,200
1523,0.47,0.09,0.38,35.52000000000001,09:41:35,349.26,200,349.92,300,349.395,100
1538,0.59,0.29,0.3,41.460000000000015,09:41:41,349.32,100,349.92,300,349.82,100
1547,0.47,0.22,0.25,0.0,09:42:00,349.33,200,349.92,300,349.625,100
