,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,35.82,500,35.83,500,35.825,800
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,35.8,9400,35.81,800,35.8001,516
12,0.35,0.16,0.19,4.76,09:30:04,35.77,100,35.78,800,35.78,100
22,0.3,0.08,0.22,8.47,09:30:08,35.78,1100,35.79,200,35.79,100
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,35.78,1200,35.79,600,35.7893,627
37,0.44,0.21,0.23,14.589999999999998,09:30:14,35.76,700,35.77,800,35.77,645
42,0.32,0.07,0.25,16.54,09:30:16,35.75,400,35.76,700,35.76,100
51,0.4,0.18,0.22,2.33,09:31:02,35.74,500,35.75,700,35.745,200
56,0.30000000000000004,0.07,0.23,5.329999999999999,09:31:05,35.73,100,35.74,400,35.74,400
57,0.46,0.23,0.23,5.789999999999999,09:31:05,35.73,100,35.74,400,35.735,1000
59,0.33,0.1,0.23,6.52,09:31:06,35.72,500,35.73,800,35.72,100
65,0.31,0.07,0.24,10.33,09:31:10,35.72,200,35.73,1400,35.73,100
71,0.37,0.18,0.19,15.12,09:31:15,35.7,200,35.71,600,35.7,100
75,0.89,0.62,0.27,16.97,09:31:16,35.63,5800,35.65,300,35.63,1400
77,1.79,1.43,0.36,19.189999999999998,09:31:19,35.61,100,35.62,200,35.61,200
81,0.43000000000000005,0.17,0.26,22.41,09:31:22,35.63,300,35.64,100,35.64,100
87,0.25,0.08,0.17,24.230000000000004,09:31:24,35.63,300,35.64,100,35.635,100
105,0.41000000000000003,0.23,0.18,30.700000000000003,09:31:30,35.62,100,35.63,300,35.62,100
110,0.5,0.28,0.22,32.580000000000005,09:31:32,35.65,1200,35.67,200,35.6691,2000
114,0.25,0.08,0.17,33.70000000000001,09:31:33,35.65,1200,35.67,200,35.67,1200
117,0.3,0.08,0.22,34.730000000000004,09:31:34,35.7,300,35.72,800,35.7088,240
122,0.32,0.12,0.2,36.45000000000001,09:31:36,35.71,200,35.72,100,35.71,100
152,0.74,0.21,0.53,48.72000000000002,09:31:48,35.75,400,35.76,100,35.75,200
156,0.48,0.21,0.27,50.55000000000002,09:31:50,35.75,500,35.76,100,35.755,100
169,0.27,0.07,0.2,54.370000000000026,09:31:54,35.75,700,35.76,2700,35.7533,1200
175,0.32,0.14,0.18,56.32000000000002,09:31:56,35.75,2500,35.76,2700,35.7564,1000
202,2.2199999999999998,2.03,0.19,14.759999999999998,09:32:14,35.69,400,35.7,400,35.69,100
209,1.96,1.75,0.21,18.56,09:32:18,35.67,500,35.68,500,35.68,100
227,0.36,0.19,0.17,23.949999999999996,09:32:23,35.65,200,35.66,100,35.66,100
241,0.26,0.09,0.17,28.159999999999993,09:32:28,35.65,100,35.66,100,35.65,100
302,0.39,0.22,0.17,48.37,09:32:48,35.65,400,35.67,1200,35.6501,2000
359,0.35,0.18,0.17,15.84,09:33:15,35.62,300,35.64,800,35.6313,140
370,0.66,0.28,0.38,22.090000000000003,09:33:22,35.62,300,35.64,1100,35.6275,100
375,0.32,0.15,0.17,23.920000000000005,09:33:23,35.63,400,35.65,1100,35.645,1200
399,0.38,0.21,0.17,31.950000000000006,09:33:31,35.59,100,35.6,500,35.5946,202
405,0.5700000000000001,0.28,0.29,33.96,09:33:33,35.6,200,35.61,300,35.6,200
470,0.41000000000000003,0.19,0.22,56.35000000000001,09:33:56,35.58,200,35.59,100,35.59,100
480,0.28,0.11,0.17,0.0,09:34:00,35.6,400,35.61,500,35.5875,1200
540,0.35,0.13,0.22,31.939999999999994,09:34:31,35.59,500,35.6,1300,35.5932,156
546,0.45,0.2,0.25,34.08,09:34:34,35.59,700,35.6,1900,35.595,100
566,0.33,0.08,0.25,42.08999999999999,09:34:42,35.58,5500,35.59,200,35.5898,100
