,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,157.1,100,157.57,100,157.3598,347
12,0.35,0.16,0.19,4.76,09:30:04,157.1,100,157.57,100,157.335,400
51,0.4,0.18,0.22,0.0,09:31:00,157.11,200,157.55,100,157.352,100
77,1.79,1.43,0.36,16.86,09:31:16,157.11,200,157.29,100,157.29,400
81,0.43000000000000005,0.17,0.26,20.080000000000002,09:31:20,157.12,100,157.29,300,157.1737,200
94,0.27,0.07,0.2,24.190000000000005,09:31:24,157.11,200,157.28,200,157.12,100
122,0.32,0.12,0.2,34.120000000000005,09:31:34,157.13,100,157.3,700,157.1815,400
127,0.6000000000000001,0.27,0.33,36.23000000000001,09:31:36,157.14,100,157.3,700,157.17,100
133,0.26,0.07,0.19,38.19000000000001,09:31:38,157.21,200,157.53,100,157.37,100
148,0.4,0.08,0.32,44.16000000000002,09:31:44,157.21,200,157.52,100,157.489,100
197,2.11,1.93,0.18,0.0,09:32:00,157.22,400,157.5,400,157.49,100
200,2.27,2.05,0.22,2.81,09:32:02,157.23,100,157.51,100,157.5,150
221,0.26,0.08,0.18,17.140000000000004,09:32:17,157.25,200,157.43,700,157.4263,232
258,0.39,0.22,0.17,29.359999999999996,09:32:29,157.25,200,157.43,700,157.412,150
289,0.30000000000000004,0.14,0.16,39.21000000000001,09:32:39,157.25,200,157.43,400,157.43,300
332,0.25,0.07,0.18,53.32000000000002,09:32:53,157.26,200,157.43,400,157.2832,100
338,0.3,0.08,0.22,0.0,09:33:00,157.26,300,157.42,100,157.345,400
354,2.19,1.96,0.23,12.57,09:33:12,157.28,200,157.42,100,157.41,100
359,0.35,0.18,0.17,15.84,09:33:15,157.28,200,157.42,100,157.4099,400
392,0.3,0.09,0.21,29.520000000000003,09:33:29,157.31,200,157.4,200,157.3849,200
412,0.47000000000000003,0.27,0.2,35.970000000000006,09:33:35,157.3,300,157.4,100,157.35,100
423,0.28,0.07,0.21,40.030000000000015,09:33:40,157.3,300,157.4,200,157.3602,990
433,0.26,0.07,0.19,43.81000000000001,09:33:43,157.32,300,157.4,700,157.4,300
450,0.25,0.07,0.18,49.23000000000001,09:33:49,157.35,100,157.55,100,157.45,100
452,0.26,0.07,0.19,49.95000000000001,09:33:49,157.37,300,157.53,100,157.44,200
458,0.27,0.09,0.18,52.11000000000001,09:33:52,157.45,200,157.58,100,157.53,100
470,0.41000000000000003,0.19,0.22,56.35000000000001,09:33:56,157.51,300,157.59,1000,157.55,100
475,0.32,0.09,0.23,58.21000000000001,09:33:58,157.56,300,157.64,300,157.59,200
486,0.25,0.07,0.18,0.0,09:34:00,157.56,300,157.64,300,157.64,100
514,3.77,3.6,0.17,18.240000000000002,09:34:18,157.47,100,157.53,100,157.52,100
515,1.4000000000000001,1.06,0.34,19.64,09:34:19,157.37,100,157.48,100,157.382,200
566,0.33,0.08,0.25,39.94999999999999,09:34:39,157.37,200,157.46,100,157.4096,100
617,3.8,3.55,0.25,0.0,09:35:00,157.22,100,157.33,100,157.28,100
621,0.33,0.07,0.26,1.52,09:35:01,157.22,100,157.32,100,157.23,100
623,1.67,1.41,0.26,6.63,09:35:06,157.14,300,157.24,100,157.22,100
625,2.72,2.35,0.37,10.15,09:35:10,157.14,300,157.24,200,157.24,100
628,0.45,0.22,0.23,11.79,09:35:11,157.14,300,157.24,200,157.15,121
662,0.56,0.29,0.27,25.919999999999995,09:35:25,157.14,400,157.24,200,157.144,150
701,0.26,0.08,0.18,39.96999999999999,09:35:39,157.15,100,157.24,100,157.141,200
727,0.38,0.21,0.17,48.22,09:35:48,157.17,100,157.26,100,157.18,900
765,0.44000000000000006,0.17,0.27,0.0,09:36:00,157.33,200,157.39,100,157.32,100
805,0.65,0.28,0.37,26.090000000000007,09:36:26,157.25,100,157.35,1000,157.34,100
810,0.4,0.12,0.28,28.220000000000006,09:36:28,157.35,100,157.47,200,157.38,100
818,0.32,0.14,0.18,31.970000000000006,09:36:31,157.27,100,157.47,300,157.3568,1000
822,0.30000000000000004,0.07,0.23,33.760000000000005,09:36:33,157.27,100,157.46,400,157.357,1000
860,0.29,0.08,0.21,49.900000000000006,09:36:49,157.29,100,157.46,200,157.46,100
878,0.5900000000000001,0.07,0.52,0.0,09:37:00,157.29,100,157.46,100,157.291,500
885,0.46,0.08,0.38,3.87,09:37:03,157.33,100,157.51,100,157.48,100
897,1.12,0.75,0.37,10.34,09:37:10,157.34,200,157.51,100,157.505,125
902,0.39,0.14,0.25,16.77,09:37:16,157.34,200,157.51,100,157.4144,300
914,0.41000000000000003,0.21,0.2,22.13,09:37:22,157.55,100,157.6,800,157.6,100
931,0.5,0.07,0.43,30.48,09:37:30,157.55,100,157.61,200,157.5802,300
