,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,33.43,600,33.44,1400,33.44,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,33.42,500,33.43,2100,33.425,200
12,0.35,0.16,0.19,4.76,09:30:04,33.4,300,33.41,1000,33.405,100
16,0.32,0.08,0.24,6.53,09:30:06,33.39,200,33.4,1400,33.4,100
22,0.3,0.08,0.22,8.47,09:30:08,33.39,700,33.4,1200,33.395,100
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,33.37,400,33.38,900,33.37,100
32,0.43,0.21,0.22,12.59,09:30:12,33.39,200,33.4,1200,33.391,101
37,0.44,0.21,0.23,14.589999999999998,09:30:14,33.38,600,33.39,1400,33.385,300
51,0.4,0.18,0.22,1.98,09:31:01,33.36,300,33.37,800,33.355,100
56,0.30000000000000004,0.07,0.23,4.9799999999999995,09:31:04,33.36,400,33.37,800,33.36,100
59,0.33,0.1,0.23,6.17,09:31:06,33.36,200,33.37,1600,33.3601,100
65,0.31,0.07,0.24,9.980000000000002,09:31:09,33.36,900,33.37,400,33.365,100
80,1.4100000000000001,1.07,0.34,21.630000000000003,09:31:21,33.37,1100,33.38,200,33.38,100
81,0.43000000000000005,0.17,0.26,22.060000000000002,09:31:22,33.37,600,33.38,700,33.373000000000005,500
94,0.27,0.07,0.2,26.170000000000005,09:31:26,33.39,700,33.4,700,33.39,100
105,0.41000000000000003,0.23,0.18,30.350000000000005,09:31:30,33.41,200,33.42,500,33.415,100
110,0.5,0.28,0.22,32.230000000000004,09:31:32,33.41,700,33.42,400,33.41,100
144,0.46,0.18,0.28,44.46000000000002,09:31:44,33.42,1000,33.43,200,33.42,100
156,0.48,0.21,0.27,50.20000000000002,09:31:50,33.42,800,33.43,400,33.4257,125
209,1.96,1.75,0.21,18.8,09:32:18,33.41,800,33.42,1000,33.4198,177
270,0.36,0.2,0.16,38.53999999999998,09:32:38,33.37,200,33.38,1400,33.375,400
283,0.25,0.09,0.16,42.359999999999985,09:32:42,33.36,300,33.37,1100,33.3699,992
499,0.38,0.19,0.19,4.080000000000001,09:34:04,33.36,1200,33.37,2000,33.3643,151
531,0.51,0.17,0.34,26.139999999999993,09:34:26,33.34,800,33.35,2300,33.34,100
535,0.39,0.08,0.31,27.909999999999997,09:34:27,33.34,2100,33.35,400,33.345,100
539,0.42,0.18,0.24,29.449999999999996,09:34:29,33.34,2300,33.35,300,33.35,200
571,0.32,0.07,0.25,41.95999999999999,09:34:41,33.35,300,33.36,1400,33.3573,884
623,1.67,1.41,0.26,11.46,09:35:11,33.33,1600,33.34,1300,33.335,100
1137,0.31,0.08,0.23,6.22,09:39:06,33.36,3400,33.37,1100,33.3664,1000
1149,0.26,0.07,0.19,12.63,09:39:12,33.33,800,33.34,1800,33.33,1544
1266,0.52,0.28,0.24,2.3200000000000003,09:40:02,33.32,2600,33.33,1600,33.3265,300
1319,0.49,0.28,0.21,30.119999999999997,09:40:30,33.32,2100,33.33,1000,33.325,1100
1362,0.4,0.2,0.2,45.89999999999998,09:40:45,33.33,1200,33.34,1000,33.3301,1023
1457,0.28,0.07,0.21,28.259999999999998,09:41:28,33.38,1400,33.39,900,33.381,1000
1469,0.56,0.23,0.33,32.2,09:41:32,33.37,2000,33.38,600,33.379,900
1736,0.6000000000000001,0.27,0.33,34.43000000000001,09:43:34,33.38,1200,33.39,500,33.3801,129
1788,0.29000000000000004,0.07,0.22,54.05000000000001,09:43:54,33.39,1700,33.4,400,33.3969,200
1804,0.33999999999999997,0.15,0.19,0.0,09:44:00,33.39,1200,33.4,1500,33.3949,100
1868,0.33999999999999997,0.12,0.22,30.06,09:44:30,33.41,2300,33.42,2300,33.4163,500
1886,0.35,0.17,0.18,37.89999999999999,09:44:37,33.41,1800,33.42,1200,33.4167,303
1904,0.4,0.2,0.2,44.07,09:44:44,33.41,1800,33.42,1700,33.4101,115
2087,0.56,0.27,0.29,1.9100000000000001,09:46:01,33.4,900,33.41,2500,33.4125,100
2112,2.15,1.73,0.42,14.58,09:46:14,33.42,3100,33.43,900,33.4233,400
2115,0.34,0.08,0.26,15.86,09:46:15,33.43,2200,33.44,3400,33.43,100
2228,0.44,0.23,0.21,0.0,09:47:00,33.43,1600,33.44,2000,33.434,500
2255,0.26,0.08,0.18,9.62,09:47:09,33.43,1600,33.44,2100,33.435,100
2263,1.56,1.22,0.34,18.529999999999994,09:47:18,33.43,1500,33.44,3300,33.4344,700
2273,0.37,0.2,0.17,21.459999999999994,09:47:21,33.43,1600,33.44,2900,33.4364,544
2289,0.31,0.08,0.23,27.549999999999994,09:47:27,33.43,1700,33.44,2900,33.4301,400
2363,0.47,0.17,0.3,56.09999999999997,09:47:56,33.41,2100,33.42,1600,33.4144,537
2429,0.25,0.07,0.18,25.839999999999996,09:48:25,33.44,1400,33.45,3900,33.45,100
2436,0.25,0.08,0.17,27.939999999999994,09:48:27,33.44,1300,33.45,3800,33.445,198
2474,0.5900000000000001,0.25,0.34,42.129999999999995,09:48:42,33.44,1500,33.45,4600,33.4452,100
2485,0.34,0.07,0.27,45.93,09:48:45,33.44,1500,33.45,4700,33.4401,700
2496,0.41000000000000003,0.21,0.2,49.73,09:48:49,33.44,1500,33.45,5200,33.4499,108
2543,2.41,1.99,0.42,11.760000000000002,09:49:11,33.44,1000,33.45,3100,33.4434,100
2573,0.37,0.07,0.3,30.040000000000003,09:49:30,33.43,900,33.44,2200,33.437,2000
2627,0.30000000000000004,0.07,0.23,51.53000000000001,09:49:51,33.42,700,33.43,2400,33.4264,1600
2682,0.49,0.22,0.27,15.87,09:50:15,33.42,1100,33.43,3100,33.4275,425
2737,0.42,0.24,0.18,40.0,09:50:40,33.4,1300,33.41,3300,33.4001,650
2748,0.25,0.07,0.18,43.78000000000001,09:50:43,33.4,1300,33.41,3300,33.4056,100
2804,0.38,0.16,0.22,16.029999999999998,09:51:16,33.4,1800,33.41,3800,33.4025,100
2870,0.29000000000000004,0.07,0.22,41.98999999999999,09:51:41,33.42,2400,33.43,3200,33.421,100
2939,2.09,1.8,0.29,10.97,09:52:10,33.43,1700,33.44,2200,33.4341,1600
2998,0.28,0.09,0.19,34.19,09:52:34,33.43,2300,33.44,2100,33.4346,200
3024,0.32,0.12,0.2,44.09,09:52:44,33.43,2400,33.44,2800,33.439,225
3042,0.57,0.21,0.36,50.410000000000004,09:52:50,33.43,2100,33.44,2800,33.4337,500
3146,0.36,0.18,0.18,31.550000000000004,09:53:31,33.4,2000,33.41,2500,33.4005,765
3237,2.25,2.07,0.18,5.18,09:54:05,33.39,1900,33.4,2900,33.3942,2975
3330,0.25,0.08,0.17,45.94000000000001,09:54:45,33.38,1400,33.39,2200,33.3835,156
3464,0.28,0.07,0.21,42.15,09:55:42,33.38,1600,33.39,2800,33.3812,5268
3586,0.36,0.09,0.27,38.03999999999999,09:56:38,33.39,2200,33.4,1300,33.3996,4000
3616,0.4,0.22,0.18,47.97,09:56:47,33.39,2900,33.4,1200,33.3945,250
3634,0.4,0.21,0.19,54.139999999999986,09:56:54,33.39,2400,33.4,1200,33.3943,450
3679,3.34,3.09,0.25,20.67,09:57:20,33.39,2700,33.4,1900,33.3974,1230
3724,0.56,0.27,0.29,36.07000000000001,09:57:36,33.37,1900,33.38,3100,33.3743,191
3735,0.42000000000000004,0.23,0.19,40.230000000000004,09:57:40,33.37,1200,33.38,3100,33.3701,400
3814,2.37,2.09,0.28,4.92,09:58:04,33.36,3300,33.37,2100,33.3641,1500
3864,0.28,0.07,0.21,28.810000000000013,09:58:28,33.36,3300,33.37,2300,33.3633,692
3959,1.3099999999999998,1.14,0.17,13.06,09:59:13,33.34,2500,33.35,2600,33.3463,600
4155,0.48,0.17,0.31,36.56,10:00:36,33.37,2500,33.38,2700,33.3737,500
4221,2.69,2.36,0.33,7.699999999999999,10:01:07,33.38,2000,33.39,1400,33.3832,564
4235,0.26,0.07,0.19,16.76,10:01:16,33.38,2900,33.39,1400,33.3842,1271
4317,0.26,0.08,0.18,43.91000000000003,10:01:43,33.38,2400,33.39,3300,33.389,300
4376,0.26,0.07,0.19,13.91,10:02:13,33.37,1300,33.38,2300,33.3735,292
4478,0.34,0.08,0.26,54.06000000000003,10:02:54,33.38,1100,33.39,2300,33.3846,300
4505,0.26,0.07,0.19,1.8600000000000003,10:03:01,33.38,1600,33.39,2300,33.3854,299
4529,0.26,0.08,0.18,11.85,10:03:11,33.38,1500,33.39,2300,33.3839,190
4663,0.42,0.18,0.24,2.02,10:04:02,33.41,3500,33.42,600,33.4156,1000
4748,0.44,0.21,0.23,44.21999999999999,10:04:44,33.42,2400,33.43,800,33.4246,668
4774,0.53,0.2,0.33,54.44999999999999,10:04:54,33.42,2400,33.43,800,33.427,600
4819,2.35,1.95,0.4,18.420000000000005,10:05:18,33.43,2200,33.44,800,33.4361,107
4862,0.39,0.21,0.18,35.669999999999995,10:05:35,33.45,1100,33.46,700,33.46,100
4869,0.26,0.08,0.18,37.82999999999999,10:05:37,33.45,1800,33.46,1400,33.455,100
4952,2.39,2.14,0.25,16.930000000000003,10:06:16,33.46,1500,33.47,1400,33.465,100
4956,0.25,0.08,0.17,20.050000000000004,10:06:20,33.45,4100,33.46,1700,33.459,100
4987,0.26,0.07,0.19,29.71999999999999,10:06:29,33.45,3900,33.46,1900,33.4516,150
5187,0.31,0.12,0.19,42.80000000000002,10:07:42,33.44,2300,33.45,3500,33.4475,100
