,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,53.85,500,53.9,200,53.85,100
69,0.42,0.21,0.21,0.0,09:31:00,53.87,100,53.92,200,53.88,100
75,0.89,0.62,0.27,4.590000000000001,09:31:04,53.87,200,53.92,300,53.91,100
122,0.32,0.12,0.2,24.070000000000004,09:31:24,53.87,300,53.9,300,53.8874,500
126,0.54,0.28,0.26,25.580000000000002,09:31:25,53.87,300,53.9,300,53.87,100
169,0.27,0.07,0.2,41.99000000000001,09:31:41,53.9,300,53.93,100,53.92,100
201,4.77,4.56,0.21,4.77,09:32:04,53.92,400,53.94,200,53.93,100
270,0.36,0.2,0.16,30.529999999999998,09:32:30,53.82,200,53.87,300,53.865,100
276,0.24000000000000002,0.07,0.17,32.38,09:32:32,53.82,100,53.87,500,53.82,100
283,0.25,0.09,0.16,34.35000000000001,09:32:34,53.83,200,53.86,200,53.83,100
343,2.23,1.98,0.25,0.0,09:33:00,53.82,100,53.85,200,53.8301,110
381,0.41000000000000003,0.22,0.19,22.490000000000006,09:33:22,53.83,300,53.85,200,53.84,100
417,0.39,0.2,0.19,34.470000000000006,09:33:34,53.83,600,53.84,100,53.81,100
423,0.28,0.07,0.21,36.62000000000001,09:33:36,53.8,100,53.83,400,53.8,100
464,0.39,0.17,0.22,50.95,09:33:50,53.72,100,53.74,100,53.75,100
470,0.41000000000000003,0.19,0.22,52.940000000000005,09:33:52,53.72,300,53.79,400,53.74,300
503,0.44,0.22,0.22,0.0,09:34:00,53.76,300,53.78,100,53.77,100
511,0.48,0.27,0.21,6.15,09:34:06,53.76,300,53.78,200,53.7799,500
515,1.4000000000000001,1.06,0.34,13.74,09:34:13,53.76,300,53.78,200,53.7733,300
527,0.43,0.21,0.22,18.169999999999995,09:34:18,53.76,100,53.78,300,53.76,100
614,0.38,0.08,0.3,0.0,09:35:00,53.77,400,53.79,200,53.79,100
628,0.45,0.22,0.23,16.62,09:35:16,53.87,500,53.91,400,53.9,100
632,0.29000000000000004,0.07,0.22,18.68,09:35:18,53.84,300,53.86,200,53.86,100
707,0.25,0.07,0.18,46.68000000000001,09:35:46,53.79,400,53.83,200,53.8028,151
774,2.31,2.11,0.2,10.230000000000002,09:36:10,53.83,400,53.86,200,53.8597,100
