,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,151.61,100,152.11,200,151.87,4015
156,0.48,0.21,0.27,0.0,09:31:00,151.9,200,152.0,100,151.9,100
503,0.44,0.22,0.22,0.0,09:34:00,151.56,100,151.82,100,151.7108,100
759,0.38,0.21,0.17,0.0,09:36:00,151.48,200,151.76,100,151.49,100
767,1.8299999999999998,1.63,0.2,4.359999999999999,09:36:04,151.12,200,151.63,100,151.48,100
855,0.35000000000000003,0.07,0.28,50.19,09:36:50,151.59,100,151.88,200,151.77,100
897,1.12,0.75,0.37,0.0,09:37:00,151.57,100,151.88,200,151.69,100
909,0.6000000000000001,0.26,0.34,9.629999999999999,09:37:09,151.69,100,151.86,100,151.86,100
998,0.48,0.21,0.27,0.0,09:38:00,151.69,100,151.87,100,151.71,100
1090,0.55,0.22,0.33,46.02999999999998,09:38:46,151.63,200,151.83,200,151.7,198
1099,0.58,0.23,0.35,49.90999999999998,09:38:49,151.63,100,151.83,200,151.63,192
1137,0.31,0.08,0.23,0.0,09:39:00,151.66,100,151.83,200,151.82,100
1387,0.5700000000000001,0.27,0.3,28.129999999999995,09:40:28,151.62,100,151.77,100,151.67,100
1970,1.2,0.89,0.31,0.0,09:45:00,151.45,100,151.75,300,151.605,100
2538,0.37,0.08,0.29,0.0,09:49:00,151.45,100,151.68,100,151.565,100
2670,3.5799999999999996,3.28,0.3,0.0,09:50:00,151.47,200,151.67,200,151.57,100
2966,0.25,0.08,0.17,0.0,09:52:00,151.45,100,151.62,100,151.56,100
3102,1.28,1.0,0.28,0.0,09:53:00,151.4,100,151.6,300,151.5,100
3121,0.37,0.19,0.18,7.040000000000001,09:53:07,151.4,100,151.59,100,151.42,100
3133,0.29000000000000004,0.09,0.2,11.0,09:53:11,151.4,100,151.58,100,151.41,100
3772,0.26,0.07,0.19,3.83,09:57:03,151.59,100,151.72,100,151.61,100
3812,0.26,0.07,0.19,0.0,09:58:00,151.65,300,151.82,100,151.72,100
3814,2.37,2.09,0.28,4.05,09:58:04,151.69,300,151.88,200,151.81,100
3839,0.37,0.2,0.17,19.850000000000005,09:58:19,151.75,200,151.87,100,151.78,100
4133,0.46,0.18,0.28,0.0,10:00:00,151.68,200,151.77,100,151.74,100
4214,1.22,0.86,0.36,0.0,10:01:00,151.89,100,152.05,600,151.98,100
4235,0.26,0.07,0.19,14.37,10:01:14,151.71,100,151.99,200,151.83,100
4262,0.25,0.07,0.18,23.569999999999997,10:01:23,151.65,100,151.97,100,151.845,100
4608,0.24000000000000002,0.07,0.17,0.0,10:03:00,151.61,200,151.86,200,151.73,100
4774,0.53,0.2,0.33,0.0,10:04:00,151.63,100,151.85,700,151.735,100
5379,0.32,0.09,0.23,0.0,10:09:00,151.69,300,151.82,100,151.7225,100
5534,0.44,0.24,0.2,24.31000000000001,10:12:24,151.72,100,151.8,100,151.76,100
5560,2.4,2.01,0.39,0.0,10:13:00,151.78,100,151.95,100,151.85,100
5853,0.29000000000000004,0.07,0.22,5.38,10:15:05,151.68,100,151.89,200,151.79,100
5983,0.25,0.07,0.18,55.680000000000035,10:15:55,151.68,100,151.81,100,151.75,100
6340,0.37,0.17,0.2,0.0,10:19:00,151.8,100,151.87,100,151.8,100
6459,0.4,0.21,0.19,13.76,10:20:13,151.88,100,151.98,100,151.88,100
6521,0.43,0.22,0.21,38.03000000000001,10:20:38,151.89,400,151.95,300,151.93,100
