,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,54.74,400,54.9,500,54.86,100
12,0.35,0.16,0.19,4.76,09:30:04,54.74,300,54.81,100,54.775,100
22,0.3,0.08,0.22,8.47,09:30:08,54.71,600,54.74,300,54.72,100
32,0.43,0.21,0.22,12.59,09:30:12,54.62,100,54.71,200,54.68,100
42,0.32,0.07,0.25,16.54,09:30:16,54.64,100,54.76,100,54.71,100
51,0.4,0.18,0.22,0.0,09:31:00,54.64,100,54.77,300,54.74,100
69,0.42,0.21,0.21,10.05,09:31:10,54.64,200,54.79,200,54.75,100
77,1.79,1.43,0.36,16.86,09:31:16,54.68,100,54.81,200,54.79,100
99,0.27,0.07,0.2,26.060000000000002,09:31:26,54.68,200,54.86,100,54.78,100
122,0.32,0.12,0.2,34.120000000000005,09:31:34,54.7,200,54.86,200,54.82,100
200,2.27,2.05,0.22,0.0,09:32:00,54.7,300,54.84,100,54.85,100
201,4.77,4.56,0.21,4.77,09:32:04,54.84,300,54.89,200,54.87,100
202,2.2199999999999998,2.03,0.19,6.989999999999999,09:32:06,54.82,100,54.92,100,54.895,100
206,0.24000000000000002,0.07,0.17,8.11,09:32:08,54.92,200,54.98,100,54.95,100
209,1.96,1.75,0.21,10.79,09:32:10,54.95,100,55.0,14200,54.98,190
214,0.33999999999999997,0.18,0.16,12.18,09:32:12,54.96,100,55.01,100,55.0,100
221,0.26,0.08,0.18,14.329999999999998,09:32:14,55.02,100,55.13,100,55.04,100
227,0.36,0.19,0.17,16.18,09:32:16,55.13,200,55.15,100,55.13,200
234,0.23,0.07,0.16,18.15,09:32:18,55.16,100,55.22,100,55.22,100
241,0.26,0.09,0.17,20.389999999999997,09:32:20,55.2,200,55.22,100,55.19,500
252,0.24000000000000002,0.07,0.17,24.31999999999999,09:32:24,55.08,1500,55.2,100,55.17,100
258,0.39,0.22,0.17,26.549999999999994,09:32:26,55.08,1500,55.18,100,55.08,100
264,0.24000000000000002,0.07,0.17,28.499999999999996,09:32:28,54.89,300,55.13,200,55.06,600
295,0.33999999999999997,0.18,0.16,38.36000000000002,09:32:38,55.1,900,55.14,200,55.12,200
