,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,74.23,200,74.47,3100,74.61,120
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,74.26,300,74.46,2800,74.46,100
77,1.79,1.43,0.36,0.0,09:31:00,74.26,500,74.45,1800,74.3664,213
105,0.41000000000000003,0.23,0.18,11.509999999999998,09:31:11,74.29,400,74.45,200,74.44,100
122,0.32,0.12,0.2,17.259999999999998,09:31:17,74.46,200,74.54,100,74.375,100
181,0.34,0.17,0.17,39.09,09:31:39,74.48,600,74.55,100,74.51,100
197,2.11,1.93,0.18,0.0,09:32:00,74.56,100,74.66,100,74.65,100
221,0.26,0.08,0.18,17.140000000000004,09:32:17,74.58,100,74.65,400,74.59,250
375,0.32,0.15,0.17,1.83,09:33:01,74.62,400,74.69,1300,74.69,100
446,0.25,0.07,0.18,25.98000000000001,09:33:25,74.67,200,74.75,200,74.7,100
452,0.26,0.07,0.19,27.860000000000014,09:33:27,74.67,400,74.74,500,74.71,100
458,0.27,0.09,0.18,30.020000000000014,09:33:30,74.68,300,74.74,400,74.74,100
527,0.43,0.21,0.22,24.069999999999993,09:34:24,74.62,100,74.68,100,74.62,100
531,0.51,0.17,0.34,26.139999999999993,09:34:26,74.6,800,74.68,100,74.63,100
604,0.4,0.12,0.28,54.07999999999999,09:34:54,74.63,200,74.73,200,74.68,100
621,0.33,0.07,0.26,0.0,09:35:00,74.75,300,74.77,100,74.75,100
622,3.44,3.13,0.31,3.44,09:35:03,74.75,100,74.78,100,74.77,100
662,0.56,0.29,0.27,24.399999999999995,09:35:24,74.63,200,74.7,100,74.64,100
767,1.8299999999999998,1.63,0.2,4.359999999999999,09:36:04,74.67,100,74.72,500,74.72,100
790,0.38,0.09,0.29,22.240000000000002,09:36:22,74.65,200,74.7,200,74.67,100
878,0.5900000000000001,0.07,0.52,0.0,09:37:00,74.65,100,74.68,200,74.66,100
1108,0.35000000000000003,0.08,0.27,37.879999999999995,09:38:37,74.6,900,74.64,300,74.6228,200
1159,2.5700000000000003,2.24,0.33,15.510000000000002,09:39:15,74.63,100,74.68,300,74.6582,150
1216,0.49,0.22,0.27,38.47000000000001,09:39:38,74.64,100,74.67,2200,74.655,100
1368,0.32,0.07,0.25,41.53999999999998,09:40:41,74.6,900,74.63,400,74.6,100
1391,0.49,0.22,0.27,51.679999999999986,09:40:51,74.58,100,74.61,400,74.595,167
1434,0.97,0.67,0.3,15.299999999999999,09:41:15,74.56,200,74.59,200,74.57,100
1438,0.28,0.07,0.21,16.57,09:41:16,74.56,200,74.59,300,74.575,100
1451,0.31,0.08,0.23,24.699999999999996,09:41:24,74.57,200,74.59,400,74.58,100
1543,0.42000000000000004,0.22,0.2,0.0,09:42:00,74.55,100,74.59,100,74.585,300
1705,0.32,0.09,0.23,16.03,09:43:16,74.55,100,74.58,300,74.565,100
1721,0.32,0.08,0.24,22.15,09:43:22,74.57,200,74.61,600,74.5899,3500
1778,0.48,0.21,0.27,44.120000000000005,09:43:44,74.53,200,74.56,500,74.56,3303
1788,0.29000000000000004,0.07,0.22,47.980000000000004,09:43:47,74.53,100,74.55,100,74.53,100
1810,0.54,0.21,0.33,0.0,09:44:00,74.53,200,74.55,300,74.55,100
1815,0.33,0.07,0.26,1.92,09:44:01,74.53,100,74.55,300,74.54,100
1822,0.36,0.18,0.18,3.9799999999999995,09:44:03,74.51,100,74.54,100,74.525,100
1852,0.33,0.07,0.26,21.649999999999995,09:44:21,74.49,200,74.5,200,74.5,100
1858,0.36000000000000004,0.08,0.28,24.049999999999994,09:44:24,74.43,200,74.48,900,74.48,100
1882,0.46,0.2,0.26,33.959999999999994,09:44:33,74.4,200,74.45,900,74.41,100
1933,0.41000000000000003,0.18,0.23,51.73000000000001,09:44:51,74.44,200,74.48,1100,74.43,100
1970,1.2,0.89,0.31,10.79,09:45:10,74.47,300,74.5,300,74.485,100
2001,0.5800000000000001,0.27,0.31,26.28000000000001,09:45:26,74.47,600,74.5,200,74.47,100
2279,0.5,0.21,0.29,22.419999999999998,09:47:22,74.48,500,74.55,400,74.515,100
2414,3.29,3.03,0.26,0.0,09:48:00,74.52,100,74.54,500,74.52,100
2599,0.44,0.2,0.24,29.93000000000001,09:49:29,74.48,100,74.5,200,74.49,100
2706,0.30000000000000004,0.07,0.23,30.060000000000002,09:50:30,74.42,300,74.46,500,74.42,100
2817,0.38,0.08,0.3,0.0,09:51:00,74.43,100,74.45,300,74.45,100
3554,0.52,0.22,0.3,22.18,09:56:22,74.47,200,74.5,300,74.4999,300
3581,0.48000000000000004,0.2,0.28,34.329999999999984,09:56:34,74.49,400,74.52,100,74.505,300
3784,0.37,0.19,0.18,56.059999999999995,09:57:56,74.5,300,74.52,400,74.5124,100
4112,0.43,0.18,0.25,3.2700000000000005,10:00:03,74.48,200,74.53,100,74.514,500
4373,5.0600000000000005,4.79,0.27,0.0,10:02:00,74.53,200,74.55,700,74.5409,100
5175,0.36,0.15,0.21,24.240000000000006,10:07:24,74.54,500,74.56,400,74.555,100
5268,0.27,0.08,0.19,22.05,10:08:22,74.54,400,74.55,100,74.545,100
5278,0.36000000000000004,0.08,0.28,26.26,10:08:26,74.54,100,74.55,100,74.5492,100
5321,0.29000000000000004,0.07,0.22,42.18000000000001,10:08:42,74.53,400,74.55,200,74.5402,389
6082,0.43,0.24,0.19,38.1,10:16:38,74.53,200,74.54,200,74.535,100
6237,0.4,0.21,0.19,44.140000000000036,10:17:44,74.51,100,74.52,100,74.5142,100
6536,34.309999999999995,34.08,0.23,0.0,10:21:00,74.48,200,74.49,200,74.4828,268
6566,0.43,0.07,0.36,14.299999999999999,10:21:14,74.5,300,74.51,200,74.5054,146
6949,0.52,0.23,0.29,0.0,10:24:00,74.44,300,74.45,100,74.4458,500
7071,0.41000000000000003,0.2,0.21,4.0200000000000005,10:25:04,74.45,200,74.46,300,74.4501,280
7099,0.4,0.08,0.32,2.29,10:26:02,74.47,200,74.48,100,74.475,100
7122,0.42000000000000004,0.15,0.27,14.209999999999999,10:26:14,74.46,300,74.47,100,74.465,100
7750,0.33,0.14,0.19,21.980000000000008,10:31:21,74.47,200,74.48,200,74.4762,200
7969,0.38,0.14,0.24,6.36,10:34:06,74.44,200,74.45,300,74.4466,175
8461,0.7799999999999999,0.08,0.7,41.900000000000006,10:39:41,74.4,200,74.41,100,74.405,100
8580,2.0,1.43,0.57,0.0,10:41:00,74.45,300,74.46,200,74.4547,335
8598,0.59,0.21,0.38,15.009999999999998,10:41:15,74.43,400,74.44,100,74.4302,371
8737,0.63,0.2,0.43,26.210000000000004,10:42:26,74.4,200,74.42,600,74.4001,169
8775,0.6,0.08,0.52,0.0,10:43:00,74.41,300,74.42,600,74.419,100
8829,0.75,0.18,0.57,37.57,10:43:37,74.41,100,74.42,800,74.4179,100
8863,0.6399999999999999,0.07,0.57,11.6,10:44:11,74.39,300,74.4,300,74.4,100
8869,0.78,0.17,0.61,15.959999999999999,10:44:15,74.39,100,74.4,500,74.395,200
8874,0.6100000000000001,0.07,0.54,19.209999999999997,10:44:19,74.38,200,74.39,100,74.39,100
8885,0.59,0.08,0.51,25.769999999999996,10:44:25,74.38,100,74.39,800,74.38,100
8895,0.5800000000000001,0.07,0.51,31.559999999999995,10:44:31,74.37,100,74.38,200,74.37,100
9065,0.5900000000000001,0.07,0.52,22.64,10:46:22,74.35,300,74.36,300,74.36,100
9077,0.6300000000000001,0.07,0.56,30.650000000000002,10:46:30,74.34,400,74.35,200,74.35,100
9086,0.5900000000000001,0.07,0.52,37.21000000000001,10:46:37,74.33,100,74.34,100,74.34,100
9154,0.61,0.21,0.4,32.83999999999999,10:47:32,74.36,300,74.37,700,74.3631,300
9355,0.76,0.07,0.69,50.39000000000001,10:49:50,74.36,100,74.37,300,74.365,300
9510,0.61,0.21,0.4,35.19000000000001,10:51:35,74.37,100,74.38,200,74.3799,100
9529,0.6000000000000001,0.07,0.53,47.170000000000016,10:51:47,74.31,200,74.32,100,74.32,100
9541,0.5900000000000001,0.25,0.34,0.0,10:52:00,74.31,300,74.33,100,74.31,100
9756,118.97,118.36,0.61,0.0,10:56:00,74.35,400,74.36,200,74.355,100
9821,1.79,1.23,0.56,0.0,10:57:00,74.37,200,74.38,300,74.3775,100
10046,0.57,0.21,0.36,33.98000000000001,10:59:33,74.39,200,74.4,200,74.3984,161
10186,4.41,3.86,0.55,18.580000000000002,11:01:18,74.4,200,74.41,100,74.4075,1012
10267,0.6000000000000001,0.07,0.53,8.15,11:04:08,74.32,100,74.33,100,74.33,100
10279,0.7799999999999999,0.08,0.7,16.12,11:04:16,74.32,100,74.33,100,74.329,500
10282,0.7999999999999999,0.08,0.72,18.53,11:04:18,74.32,200,74.33,100,74.3256,300
10306,0.59,0.09,0.5,34.330000000000005,11:04:34,74.3,200,74.31,100,74.3,100
10340,1.56,0.89,0.67,0.0,11:05:00,74.27,300,74.29,100,74.29,100
10350,0.6,0.18,0.42,9.8,11:05:09,74.25,100,74.26,100,74.27,100
10420,3.67,3.37,0.3,0.0,11:06:00,74.27,300,74.28,300,74.28,100
10579,0.44,0.07,0.37,39.85,11:07:39,74.3,300,74.32,200,74.315,100
10901,0.5700000000000001,0.13,0.44,20.18,11:11:20,74.28,300,74.29,200,74.2854,100
10981,0.5900000000000001,0.07,0.52,0.0,11:12:00,74.3,300,74.31,500,74.305,100
11096,0.62,0.24,0.38,37.830000000000005,11:13:37,74.3,200,74.31,600,74.301,100
11168,0.57,0.09,0.48,25.989999999999995,11:14:25,74.32,300,74.33,400,74.325,100
11420,1.38,0.88,0.5,0.0,11:19:00,74.34,200,74.35,300,74.3432,4000
11425,0.79,0.19,0.6,3.81,11:19:03,74.34,300,74.35,200,74.3454,225
11518,0.6100000000000001,0.07,0.54,16.009999999999998,11:20:16,74.34,400,74.35,200,74.345,100
11678,0.63,0.08,0.55,18.07,11:22:18,74.34,100,74.35,400,74.34899999999999,1500
11748,0.77,0.09,0.68,0.0,11:23:00,74.32,400,74.33,300,74.3233,103
11899,0.79,0.07,0.72,54.63000000000002,11:24:54,74.34,200,74.36,300,74.3492,100
12712,0.61,0.2,0.41,1.83,11:38:01,74.34,300,74.35,200,74.3465,100
12825,0.75,0.07,0.68,19.35,11:41:19,74.34,300,74.35,100,74.3401,268
13603,1.68,1.45,0.23,14.59,11:48:14,74.36,300,74.37,400,74.3618,100
13919,0.35,0.18,0.17,0.0,11:50:00,74.35,200,74.36,500,74.3556,200
14906,0.44000000000000006,0.27,0.17,36.07000000000001,11:56:36,74.34,200,74.35,200,74.3468,150
15259,3.34,3.13,0.21,4.63,11:59:04,74.33,700,74.34,200,74.3399,1630
15289,0.36,0.17,0.19,21.760000000000005,11:59:21,74.33,300,74.34,400,74.335,100
17440,0.26,0.07,0.19,52.59000000000002,12:12:52,74.26,200,74.27,200,74.26,200
17451,0.38,0.18,0.2,1.85,12:13:01,74.25,600,74.26,100,74.25,100
17596,0.43,0.24,0.19,0.0,12:14:00,74.24,100,74.25,200,74.24,100
17603,0.26,0.07,0.19,1.92,12:14:01,74.24,100,74.25,200,74.2454,100
17688,0.49,0.19,0.3,36.400000000000006,12:14:36,74.26,300,74.27,400,74.265,200
19757,3.4000000000000004,3.2,0.2,0.0,12:28:00,74.25,400,74.26,200,74.255,100
19930,0.27,0.08,0.19,19.709999999999997,12:29:19,74.27,400,74.28,300,74.275,300
19934,0.48,0.22,0.26,21.949999999999996,12:29:21,74.27,400,74.28,300,74.2792,200
20218,2.15,1.99,0.16,16.94,12:31:16,74.27,300,74.28,600,74.2754,132
20854,0.39,0.21,0.18,16.39,12:35:16,74.27,500,74.28,500,74.2775,100
21208,0.39,0.18,0.21,0.0,12:37:00,74.25,300,74.26,300,74.2546,450
21443,0.25,0.07,0.18,0.0,12:39:00,74.25,300,74.26,300,74.2575,100
21699,0.34,0.17,0.17,6.040000000000002,12:41:06,74.25,400,74.26,400,74.251,100
21787,0.81,0.64,0.17,0.81,12:44:00,74.23,400,74.24,400,74.235,100
21894,3.36,3.13,0.23,12.32,12:45:12,74.25,300,74.26,900,74.2592,100
23967,0.23,0.07,0.16,35.43999999999997,12:58:35,74.28,700,74.29,300,74.285,300
26412,0.62,0.1,0.52,34.209999999999994,13:23:34,74.28,300,74.29,400,74.283,100
26457,0.6,0.15,0.45,0.0,13:24:00,74.28,500,74.29,300,74.2876,230
26600,1.22,0.23,0.99,0.0,13:27:00,74.31,600,74.32,100,74.319,117
26743,1.21,0.19,1.02,0.0,13:30:00,74.31,800,74.32,200,74.3201,200
26764,1.3800000000000001,0.07,1.31,27.359999999999996,13:30:27,74.31,700,74.32,300,74.3197,100
26772,1.4,0.18,1.22,37.56999999999999,13:30:37,74.31,1200,74.32,300,74.3139,400
26832,1.1900000000000002,0.09,1.1,0.0,13:32:00,74.31,800,74.32,300,74.3198,100
26848,1.2000000000000002,0.08,1.12,23.77,13:32:23,74.31,600,74.32,100,74.3127,658
26972,2.62,1.65,0.97,11.379999999999999,13:35:11,74.31,700,74.32,400,74.3175,100
27027,1.39,0.2,1.19,16.18,13:36:16,74.31,600,74.32,400,74.3192,100
27090,1.41,0.21,1.2,9.18,13:37:09,74.29,500,74.3,300,74.2989,100
27302,1.3800000000000001,0.07,1.31,0.0,13:43:00,74.31,400,74.32,500,74.3134,323
27719,1.2,0.21,0.99,0.0,13:51:00,74.33,500,74.34,700,74.3368,193
27724,0.81,0.07,0.74,9.4,13:51:09,74.33,800,74.34,700,74.3301,100
27733,1.2000000000000002,0.09,1.11,20.41,13:51:20,74.33,400,74.34,800,74.3314,106
27891,1.2000000000000002,0.14,1.06,14.400000000000002,13:54:14,74.33,400,74.34,700,74.3344,310
27909,0.81,0.07,0.74,34.02,13:54:34,74.33,800,74.34,300,74.3325,100
28531,1.2000000000000002,0.08,1.12,3.7800000000000002,14:07:03,74.33,600,74.34,300,74.331,100
29056,2.6,1.77,0.83,14.799999999999999,14:17:14,74.34,600,74.35,400,74.3443,182
29185,1.01,0.2,0.81,17.410000000000004,14:19:17,74.31,400,74.32,200,74.3101,100
29546,0.61,0.24,0.37,16.02,14:23:16,74.25,200,74.26,500,74.2558,234
29673,3.62,3.02,0.6,7.4,14:25:07,74.26,100,74.27,300,74.2732,100
29793,0.44,0.07,0.37,19.18,14:26:19,74.28,100,74.29,400,74.27600000000001,100
29898,0.5700000000000001,0.26,0.31,41.97,14:27:41,74.3,200,74.32,300,74.307,100
30144,0.5900000000000001,0.07,0.52,21.22,14:30:21,74.32,200,74.33,200,74.3299,200
30639,0.6,0.17,0.43,12.21,14:38:12,74.36,500,74.37,200,74.3683,133
30672,0.78,0.14,0.64,33.94,14:38:33,74.36,500,74.37,100,74.3647,133
31359,0.6000000000000001,0.07,0.53,0.0,14:47:00,74.38,600,74.39,500,74.385,200
31455,0.5700000000000001,0.14,0.43,22.220000000000002,14:48:22,74.37,600,74.38,200,74.3707,700
32905,0.82,0.25,0.57,35.620000000000005,15:06:35,74.36,600,74.37,300,74.3658,100
33013,0.81,0.07,0.74,16.27,15:08:16,74.36,400,74.37,200,74.3666,425
33061,1.42,1.07,0.35,50.09,15:08:50,74.36,300,74.37,300,74.3699,330
33325,0.5900000000000001,0.19,0.4,0.0,15:12:00,74.36,200,74.37,300,74.3601,141
33713,0.59,0.21,0.38,18.799999999999997,15:16:18,74.35,400,74.36,500,74.3554,404
34632,0.61,0.09,0.52,0.0,15:27:00,74.37,900,74.38,900,74.3746,160
35042,0.61,0.2,0.41,15.79,15:32:15,74.32,900,74.33,1000,74.3243,640
35303,0.5900000000000001,0.19,0.4,13.85,15:35:13,74.31,300,74.32,700,74.3144,180
35570,0.76,0.22,0.54,15.929999999999998,15:38:15,74.31,1000,74.32,800,74.3146,750
35586,0.5900000000000001,0.07,0.52,25.94,15:38:25,74.31,1200,74.32,1000,74.3199,102
35746,0.97,0.31,0.66,12.800000000000002,15:40:12,74.33,600,74.34,200,74.3343,3200
36669,0.6100000000000001,0.07,0.54,9.559999999999999,15:51:09,74.35,1100,74.36,800,74.3599,101
36892,0.76,0.2,0.56,3.37,15:54:03,74.35,700,74.36,1900,74.359,250
37054,3.4,2.83,0.57,5.1899999999999995,15:56:05,74.35,100,74.36,1400,74.3575,200
37152,0.6300000000000001,0.07,0.56,12.839999999999998,15:57:12,74.34,1200,74.35,2300,74.3499,153
