,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,81.52,500,81.95,200,81.55,100
80,1.4100000000000001,1.07,0.34,0.0,09:31:00,81.52,500,81.94,400,81.52,100
122,0.32,0.12,0.2,14.470000000000002,09:31:14,81.5,100,81.69,100,81.53,100
148,0.4,0.08,0.32,24.51000000000001,09:31:24,81.33,100,81.51,100,81.47,100
614,0.38,0.08,0.3,0.0,09:35:00,81.35,100,81.48,100,81.34,100
686,0.6200000000000001,0.28,0.34,39.32000000000001,09:35:39,81.42,100,81.52,100,81.49,100
689,0.28,0.07,0.21,40.66000000000001,09:35:40,81.46,100,81.52,100,81.51,100
714,0.44,0.26,0.18,48.92000000000001,09:35:48,81.58,100,81.83,500,81.57,100
1016,4.37,4.13,0.24,0.0,09:38:00,81.44,100,81.59,100,81.44,100
1113,0.51,0.21,0.3,43.19000000000001,09:38:43,81.37,100,81.51,100,81.465,100
1137,0.31,0.08,0.23,0.0,09:39:00,81.4,300,81.51,100,81.455,100
1216,0.49,0.22,0.27,36.27000000000002,09:39:36,81.34,100,81.39,300,81.4,245
1266,0.52,0.28,0.24,0.0,09:40:00,81.19,100,81.29,200,81.3,100
1277,0.46,0.2,0.26,5.9,09:40:05,81.21,100,81.29,200,81.24,100
1346,0.45,0.19,0.26,37.63,09:40:37,81.2,100,81.29,200,81.29,100
1482,0.45999999999999996,0.24,0.22,0.0,09:41:00,81.18,100,81.28,200,81.18,100
1509,0.35,0.15,0.2,9.91,09:41:09,81.11,100,81.22,100,81.11,100
1514,0.49,0.2,0.29,12.12,09:41:12,81.11,100,81.22,100,81.12,100
1533,0.41000000000000003,0.17,0.24,19.790000000000003,09:41:19,81.03,100,81.13,100,80.97,100
1538,0.59,0.29,0.3,21.87,09:41:21,81.03,100,81.11,100,81.03,100
1547,0.47,0.22,0.25,0.0,09:42:00,81.07,100,81.13,100,81.09,100
1551,0.41000000000000003,0.09,0.32,1.8600000000000003,09:42:01,81.08,100,81.14,200,81.13,100
1568,0.38,0.07,0.31,18.14,09:42:18,81.13,100,81.18,200,81.14,100
1577,0.48,0.17,0.31,22.11,09:42:22,81.16,100,81.3,200,81.21,100
1595,0.7,0.24,0.46,30.089999999999993,09:42:30,81.16,100,81.29,100,81.225,100
1618,0.43000000000000005,0.15,0.28,40.029999999999994,09:42:40,81.22,100,81.27,100,81.22,100
1810,0.54,0.21,0.33,0.0,09:44:00,81.08,100,81.19,100,81.08,100
1815,0.33,0.07,0.26,1.92,09:44:01,81.08,100,81.19,100,81.135,100
1827,0.29000000000000004,0.07,0.22,5.79,09:44:05,81.05,100,81.15,200,81.05,100
