,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,19.21,100,19.25,700,19.22,100
16,0.32,0.08,0.24,6.53,09:30:06,19.19,100,19.23,700,19.21,100
32,0.43,0.21,0.22,12.59,09:30:12,19.16,200,19.23,300,19.18,100
88,0.39,0.2,0.19,0.0,09:31:00,19.2,300,19.21,400,19.2,100
144,0.46,0.18,0.28,20.19,09:31:20,19.21,200,19.26,100,19.25,100
187,0.24000000000000002,0.07,0.17,0.0,09:32:00,19.22,100,19.24,200,19.23,100
295,0.33999999999999997,0.18,0.16,46.129999999999995,09:32:46,19.21,100,19.22,300,19.215,300
315,0.3,0.08,0.22,52.339999999999996,09:32:52,19.21,100,19.22,300,19.2193,100
445,0.39,0.21,0.18,38.63000000000001,09:33:38,19.18,400,19.19,500,19.19,100
452,0.26,0.07,0.19,40.760000000000005,09:33:40,19.18,500,19.19,200,19.187,120
479,0.38,0.12,0.26,50.25000000000001,09:33:50,19.18,600,19.19,100,19.1862,187
486,0.25,0.07,0.18,0.0,09:34:00,19.14,100,19.15,300,19.145,100
499,0.38,0.19,0.19,4.080000000000001,09:34:04,19.15,300,19.17,400,19.16,100
508,1.78,1.57,0.21,9.100000000000001,09:34:09,19.13,400,19.14,600,19.14,100
511,0.48,0.27,0.21,12.050000000000002,09:34:12,19.13,300,19.14,600,19.1344,700
513,2.17,1.87,0.3,14.470000000000002,09:34:14,19.14,600,19.15,100,19.15,100
566,0.33,0.08,0.25,39.94999999999999,09:34:39,19.16,300,19.17,300,19.17,35000
588,0.29000000000000004,0.07,0.22,47.87999999999999,09:34:47,19.12,200,19.13,300,19.12,200
617,3.8,3.55,0.25,0.0,09:35:00,19.12,400,19.13,300,19.13,100
636,0.43,0.22,0.21,15.759999999999998,09:35:15,19.11,600,19.12,400,19.11,100
855,0.35000000000000003,0.07,0.28,52.44,09:36:52,19.13,300,19.14,400,19.135,100
1023,0.39,0.11,0.28,15.890000000000002,09:38:15,19.19,100,19.2,900,19.195,1000
1197,0.53,0.17,0.36,36.18000000000002,09:39:36,19.15,500,19.16,200,19.1575,800
1238,0.38,0.19,0.19,52.20000000000004,09:39:52,19.15,700,19.16,300,19.1562,200
1272,0.46,0.23,0.23,1.1300000000000001,09:40:01,19.13,1000,19.14,400,19.1375,700
1308,0.42,0.18,0.24,20.97,09:40:20,19.08,600,19.09,500,19.08,100
1319,0.49,0.28,0.21,25.04,09:40:25,19.09,400,19.1,300,19.09,200
1330,0.38,0.19,0.19,28.899999999999995,09:40:28,19.1,500,19.11,800,19.1,100
1341,0.44999999999999996,0.21,0.24,32.94,09:40:32,19.1,500,19.11,100,19.1075,300
1395,0.34,0.08,0.26,0.0,09:41:00,19.07,200,19.08,500,19.07,100
1401,0.29000000000000004,0.1,0.19,2.09,09:41:02,19.07,300,19.08,600,19.0875,1600
1438,0.28,0.07,0.21,18.05,09:41:18,19.06,300,19.07,300,19.065,100
1439,3.9699999999999998,3.65,0.32,22.02,09:41:22,19.03,600,19.04,300,19.03,100
1445,0.36,0.07,0.29,24.229999999999997,09:41:24,19.03,600,19.04,400,19.035,300
1456,0.37,0.15,0.22,27.979999999999997,09:41:27,19.05,100,19.06,300,19.04,100
1457,0.28,0.07,0.21,28.259999999999998,09:41:28,19.05,500,19.06,300,19.055,100
