,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,18.17,1200,18.19,200,18.17,100
16,0.32,0.08,0.24,6.53,09:30:06,18.15,3500,18.17,600,18.15,100
32,0.43,0.21,0.22,12.59,09:30:12,18.12,100,18.14,100,18.12,100
71,0.37,0.18,0.19,12.790000000000001,09:31:12,18.14,300,18.16,500,18.16,121
77,1.79,1.43,0.36,16.86,09:31:16,18.14,300,18.16,500,18.14,628
117,0.3,0.08,0.22,32.4,09:31:32,18.16,400,18.18,400,18.18,100
444,0.43,0.22,0.21,43.66000000000001,09:33:43,18.12,400,18.13,100,18.13,100
486,0.25,0.07,0.18,0.0,09:34:00,18.07,600,18.09,400,18.09,100
499,0.38,0.19,0.19,4.080000000000001,09:34:04,18.09,400,18.11,400,18.11,100
527,0.43,0.21,0.22,24.069999999999993,09:34:24,18.1,1300,18.11,300,18.1,100
588,0.29000000000000004,0.07,0.22,47.87999999999999,09:34:47,18.06,300,18.07,300,18.07,100
614,0.38,0.08,0.3,0.0,09:35:00,18.05,800,18.06,100,18.06,100
617,3.8,3.55,0.25,4.83,09:35:04,18.07,300,18.08,500,18.08,100
625,2.72,2.35,0.37,14.980000000000002,09:35:14,18.06,900,18.07,200,18.065,100
628,0.45,0.22,0.23,16.62,09:35:16,18.05,300,18.06,300,18.05,200
632,0.29000000000000004,0.07,0.22,18.68,09:35:18,18.05,800,18.06,100,18.055,100
889,0.67,0.21,0.46,3.92,09:37:03,18.08,300,18.09,400,18.085,100
1039,0.49,0.07,0.42,24.03,09:38:24,18.11,900,18.12,400,18.115,100
1060,0.33,0.08,0.25,34.05999999999999,09:38:34,18.12,500,18.13,400,18.125,200
1117,0.62,0.27,0.35,57.899999999999984,09:38:57,18.11,300,18.12,900,18.1199,200
1137,0.31,0.08,0.23,8.25,09:39:08,18.09,1000,18.1,500,18.095,100
1181,0.43,0.18,0.25,29.96000000000001,09:39:29,18.07,300,18.08,300,18.075,100
