,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,48.25,100,48.37,800,48.37,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,48.25,200,48.37,800,48.31,300
46,0.35000000000000003,0.08,0.27,0.0,09:31:00,48.25,100,48.36,900,48.305,100
64,2.08,1.88,0.2,9.670000000000002,09:31:09,48.26,100,48.35,300,48.27,300
69,0.42,0.21,0.21,12.030000000000003,09:31:12,48.26,100,48.35,300,48.3006,100
75,0.89,0.62,0.27,16.62,09:31:16,48.26,100,48.35,300,48.285,300
77,1.79,1.43,0.36,18.84,09:31:18,48.26,100,48.35,300,48.325,250
87,0.25,0.08,0.17,23.880000000000006,09:31:23,48.26,100,48.35,300,48.2771,150
94,0.27,0.07,0.2,26.170000000000005,09:31:26,48.25,200,48.3,300,48.2625,200
99,0.27,0.07,0.2,28.040000000000003,09:31:28,48.25,100,48.3,400,48.25,100
117,0.3,0.08,0.22,34.38,09:31:34,48.25,100,48.3,400,48.275,500
133,0.26,0.07,0.19,40.170000000000016,09:31:40,48.25,100,48.27,400,48.26,100
148,0.4,0.08,0.32,46.14000000000002,09:31:46,48.25,100,48.27,400,48.2514,200
156,0.48,0.21,0.27,50.20000000000002,09:31:50,48.21,100,48.27,700,48.21,100
169,0.27,0.07,0.2,54.020000000000024,09:31:54,48.16,100,48.2,200,48.18,300
176,0.33,0.16,0.17,56.30000000000002,09:31:56,48.16,100,48.2,200,48.195,100
181,0.34,0.17,0.17,57.93000000000002,09:31:57,48.16,100,48.2,200,48.1628,100
186,0.29,0.08,0.21,0.0,09:32:00,48.14,100,48.2,200,48.2,100
197,2.11,1.93,0.18,5.2,09:32:05,48.15,100,48.2,500,48.15,130
201,4.77,4.56,0.21,12.78,09:32:12,48.0,1000,48.05,200,48.0427,1461
202,2.2199999999999998,2.03,0.19,15.0,09:32:15,47.95,100,48.04,100,48.0,100
206,0.24000000000000002,0.07,0.17,16.12,09:32:16,47.95,100,47.99,100,47.99,100
209,1.96,1.75,0.21,18.8,09:32:18,47.84,200,47.92,500,47.84,100
227,0.36,0.19,0.17,24.189999999999998,09:32:24,47.84,200,47.91,400,47.88,168
234,0.23,0.07,0.16,26.159999999999997,09:32:26,47.92,100,47.95,200,47.94,100
246,0.36,0.18,0.18,30.23999999999999,09:32:30,47.9,1600,47.94,100,47.92,100
276,0.24000000000000002,0.07,0.17,40.38999999999998,09:32:40,47.89,100,47.93,400,47.9,100
325,0.25,0.07,0.18,56.56999999999999,09:32:56,47.96,400,48.01,500,47.98,100
332,0.25,0.07,0.18,58.52,09:32:58,47.96,400,48.01,500,47.995,8500
336,0.29,0.08,0.21,59.830000000000005,09:32:59,47.96,400,48.01,500,47.985,16500
350,3.75,3.46,0.29,9.190000000000001,09:33:09,47.85,200,47.95,500,47.95,100
351,0.26,0.09,0.17,9.450000000000001,09:33:09,47.85,200,47.95,500,47.905,100
354,2.19,1.96,0.23,12.57,09:33:12,47.85,200,47.95,600,47.9499,700
362,2.69,2.48,0.21,19.009999999999998,09:33:19,47.85,200,47.94,200,47.87,1000
365,0.42000000000000004,0.23,0.19,19.96,09:33:19,47.85,300,47.94,100,47.895,100
412,0.47000000000000003,0.27,0.2,35.970000000000006,09:33:35,47.85,200,47.93,400,47.89,10200
423,0.28,0.07,0.21,40.030000000000015,09:33:40,47.81,200,47.89,500,47.8525,100
427,0.41000000000000003,0.17,0.24,42.00000000000001,09:33:42,47.81,1100,47.89,500,47.85,100
446,0.25,0.07,0.18,48.070000000000014,09:33:48,47.81,1200,47.89,600,47.8607,750
458,0.27,0.09,0.18,52.11000000000001,09:33:52,47.88,100,47.91,200,47.91,100
564,0.41000000000000003,0.2,0.21,41.36999999999999,09:34:41,47.84,100,47.88,100,47.86,100
594,0.38,0.14,0.24,52.279999999999994,09:34:52,47.84,200,47.96,300,47.9334,150
618,0.34,0.07,0.27,5.17,09:35:05,47.75,100,47.8,100,47.76,100
621,0.33,0.07,0.26,6.3500000000000005,09:35:06,47.79,100,47.83,100,47.8,100
622,3.44,3.13,0.31,9.790000000000001,09:35:09,47.75,100,47.83,100,47.81,100
625,2.72,2.35,0.37,14.980000000000002,09:35:14,47.76,1800,47.82,200,47.79,100
641,0.4,0.18,0.22,22.53,09:35:22,47.85,100,47.96,200,47.935,100
657,0.54,0.28,0.26,28.75,09:35:28,47.84,1600,47.89,200,47.865,300
690,0.33,0.08,0.25,40.99000000000001,09:35:40,47.84,100,47.89,200,47.882,3000
708,0.25,0.08,0.17,46.93000000000001,09:35:46,47.78,300,47.87,300,47.843,1000
751,0.4,0.23,0.17,0.0,09:36:00,47.81,100,47.87,300,47.821999999999996,200
772,0.24000000000000002,0.07,0.17,12.05,09:36:12,47.83,600,47.86,200,47.845,100
790,0.38,0.09,0.29,24.490000000000002,09:36:24,47.84,300,47.92,100,47.885,100
795,0.33,0.1,0.23,26.310000000000006,09:36:26,47.85,800,47.92,100,47.9072,3000
809,0.42,0.12,0.3,32.2,09:36:32,47.86,100,47.92,200,47.8601,200
818,0.32,0.14,0.18,36.349999999999994,09:36:36,47.83,300,47.91,100,47.875,300
822,0.30000000000000004,0.07,0.23,38.13999999999999,09:36:38,47.84,100,47.91,100,47.894,1000
882,0.47000000000000003,0.08,0.39,4.37,09:37:04,47.93,100,47.94,100,47.96,100
898,1.7399999999999998,1.38,0.36,14.26,09:37:14,47.89,300,47.97,200,47.9368,300
902,0.39,0.14,0.25,18.95,09:37:18,47.92,200,47.97,200,47.9422,200
914,0.41000000000000003,0.21,0.2,24.31,09:37:24,47.93,300,47.96,100,47.93,100
998,0.48,0.21,0.27,0.0,09:38:00,47.9,300,47.95,300,47.925,500
1117,0.62,0.27,0.35,57.899999999999984,09:38:57,47.93,300,47.98,200,47.955,300
1148,2.41,2.17,0.24,14.400000000000002,09:39:14,47.94,100,47.99,200,47.97,100
1308,0.42,0.18,0.24,26.049999999999997,09:40:26,48.01,100,48.02,1000,48.02,100
1356,0.29000000000000004,0.07,0.22,43.81999999999998,09:40:43,47.95,400,48.0,500,47.975,5000
1357,0.29,0.08,0.21,44.10999999999998,09:40:44,47.88,100,47.95,100,47.915,200
1373,0.28,0.08,0.2,50.13999999999998,09:40:50,47.75,200,47.76,200,47.75,100
1378,0.36,0.07,0.29,52.02999999999998,09:40:52,47.75,300,47.76,500,47.755,100
1476,0.26,0.08,0.18,4.22,09:41:04,47.78,100,47.81,300,47.7821,200
1642,0.36,0.07,0.29,51.749999999999986,09:42:51,47.98,300,48.03,200,48.005,100
1680,0.45,0.2,0.25,3.55,09:43:03,48.0,200,48.03,200,48.03,100
1685,0.29000000000000004,0.07,0.22,5.4799999999999995,09:43:05,48.0,200,48.03,300,48.015,100
1692,1.6300000000000001,1.29,0.34,10.64,09:43:10,48.0,200,48.02,200,48.01,100
1787,0.31,0.07,0.24,49.400000000000006,09:43:49,48.02,1200,48.04,100,48.06,100
1815,0.33,0.07,0.26,4.07,09:44:04,47.93,1200,48.0,300,47.965,100
1822,0.36,0.18,0.18,6.13,09:44:06,47.97,200,48.0,300,47.9823,100
1832,0.35,0.1,0.25,13.97,09:44:13,48.0,300,48.03,300,48.025,100
2030,0.38,0.2,0.18,39.75000000000002,09:45:39,47.94,200,47.96,300,47.9455,500
2052,0.39,0.15,0.24,48.11000000000002,09:45:48,47.95,300,47.97,300,47.9564,150
2056,0.51,0.28,0.23,49.86000000000002,09:45:49,47.94,200,47.95,200,47.945,800
2140,0.30000000000000004,0.07,0.23,30.040000000000003,09:46:30,47.84,200,47.89,400,47.83,100
2168,0.45999999999999996,0.21,0.25,39.95000000000002,09:46:39,47.85,100,47.89,300,47.886,100
2519,0.44,0.14,0.3,55.88000000000002,09:48:55,47.83,100,47.86,100,47.8425,100
