,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,89.94,100,90.1,200,89.9403,235
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,89.94,100,90.1,200,89.95,100
22,0.3,0.08,0.22,8.47,09:30:08,89.94,200,90.09,400,89.96,100
32,0.43,0.21,0.22,12.59,09:30:12,89.94,200,90.04,400,90.0311,300
37,0.44,0.21,0.23,14.589999999999998,09:30:14,89.94,200,90.09,600,90.04,100
46,0.35000000000000003,0.08,0.27,0.0,09:31:00,89.95,400,90.09,700,90.02,100
51,0.4,0.18,0.22,1.98,09:31:01,90.06,100,90.23,100,90.125,100
65,0.31,0.07,0.24,9.980000000000002,09:31:09,90.13,200,90.26,100,90.18,100
81,0.43000000000000005,0.17,0.26,22.060000000000002,09:31:22,90.17,100,90.27,100,90.16,100
88,0.39,0.2,0.19,24.270000000000007,09:31:24,90.17,100,90.25,100,90.2,100
105,0.41000000000000003,0.23,0.18,30.350000000000005,09:31:30,89.98,100,90.24,1100,90.07,100
156,0.48,0.21,0.27,50.20000000000002,09:31:50,90.06,100,90.23,400,90.12,100
163,0.43,0.24,0.19,52.29000000000002,09:31:52,90.05,100,90.23,700,90.06,100
186,0.29,0.08,0.21,0.0,09:32:00,89.94,100,90.22,900,89.955,100
214,0.33999999999999997,0.18,0.16,20.189999999999998,09:32:20,90.01,200,90.12,100,90.0,200
258,0.39,0.22,0.17,34.55999999999999,09:32:34,90.12,200,90.18,100,90.1,100
264,0.24000000000000002,0.07,0.17,36.509999999999984,09:32:36,90.14,100,90.3,100,90.36,950
276,0.24000000000000002,0.07,0.17,40.38999999999998,09:32:40,90.15,100,90.37,800,90.26,300
283,0.25,0.09,0.16,42.359999999999985,09:32:42,90.18,100,90.37,800,90.365,100
295,0.33999999999999997,0.18,0.16,46.37,09:32:46,90.18,100,90.36,200,90.2988,200
302,0.39,0.22,0.17,48.61,09:32:48,90.28,100,90.44,100,90.4,100
309,0.25,0.07,0.18,50.54,09:32:50,90.35,200,90.42,200,90.35,100
344,0.36,0.18,0.18,0.0,09:33:00,90.3,200,90.4,100,90.34,100
351,0.26,0.09,0.17,5.68,09:33:05,90.25,300,90.39,100,90.3,100
352,0.35,0.18,0.17,6.029999999999999,09:33:06,90.12,100,90.25,200,90.25,100
362,2.69,2.48,0.21,15.239999999999998,09:33:15,90.25,200,90.36,500,90.28,100
365,0.42000000000000004,0.23,0.19,16.189999999999998,09:33:16,90.25,200,90.36,500,90.305,200
423,0.28,0.07,0.21,36.26000000000001,09:33:36,90.25,200,90.35,500,90.3499,115
446,0.25,0.07,0.18,44.30000000000001,09:33:44,90.37,100,90.47,100,90.44,100
452,0.26,0.07,0.19,46.18000000000001,09:33:46,90.43,100,90.59,300,90.395,100
470,0.41000000000000003,0.19,0.22,52.580000000000005,09:33:52,90.43,100,90.58,200,90.54,100
486,0.25,0.07,0.18,0.0,09:34:00,90.46,100,90.57,100,90.46,100
503,0.44,0.22,0.22,5.900000000000001,09:34:05,90.46,100,90.57,100,90.47,100
508,1.78,1.57,0.21,9.100000000000001,09:34:09,90.46,100,90.57,100,90.515,300
546,0.45,0.2,0.25,31.939999999999994,09:34:31,90.26,200,90.44,100,90.3575,100
618,0.34,0.07,0.27,0.34,09:35:00,90.29,100,90.37,200,90.29,100
623,1.67,1.41,0.26,6.63,09:35:06,90.13,100,90.28,200,90.285,600
625,2.72,2.35,0.37,10.15,09:35:10,90.13,100,90.27,300,90.27,100
628,0.45,0.22,0.23,11.79,09:35:11,90.11,300,90.25,1000,90.24,100
636,0.43,0.22,0.21,15.759999999999998,09:35:15,90.21,200,90.28,200,90.21,100
662,0.56,0.29,0.27,25.919999999999995,09:35:25,90.23,100,90.29,400,90.245,100
727,0.38,0.21,0.17,48.22,09:35:48,90.31,300,90.37,100,90.3436,300
759,0.38,0.21,0.17,0.0,09:36:00,90.32,200,90.41,200,90.35700000000001,1000
772,0.24000000000000002,0.07,0.17,9.8,09:36:09,90.35,200,90.44,100,90.43,100
778,0.39,0.21,0.18,14.140000000000002,09:36:14,90.41,300,90.54,1000,90.42,100
805,0.65,0.28,0.37,28.220000000000006,09:36:28,90.53,200,90.59,100,90.56,100
809,0.42,0.12,0.3,29.950000000000006,09:36:29,90.56,200,90.69,1000,90.59,100
870,0.35000000000000003,0.08,0.27,55.94,09:36:55,90.76,100,90.86,500,90.79,100
875,0.42000000000000004,0.08,0.34,0.0,09:37:00,90.78,400,90.94,1000,90.89,100
882,0.47000000000000003,0.08,0.39,3.9500000000000006,09:37:03,90.79,300,90.93,1000,90.8,100
893,0.28,0.07,0.21,9.77,09:37:09,90.75,200,90.85,100,90.77,100
901,2.69,2.4,0.29,18.139999999999997,09:37:18,90.7,100,90.89,1000,90.74,200
905,0.42000000000000004,0.1,0.32,19.749999999999996,09:37:19,90.75,200,90.88,100,90.82,100
909,0.6000000000000001,0.26,0.34,21.729999999999997,09:37:21,90.75,200,90.88,500,90.8223,200
918,0.49,0.14,0.35,25.749999999999996,09:37:25,90.75,200,90.87,300,90.86,100
922,0.43,0.08,0.35,27.889999999999997,09:37:27,90.79,200,90.88,300,90.88,100
959,0.48,0.21,0.27,43.65999999999998,09:37:43,90.91,200,91.0,100,90.92,100
979,0.35000000000000003,0.07,0.28,51.769999999999975,09:37:51,90.81,100,90.99,100,90.91,100
1007,0.48000000000000004,0.2,0.28,0.0,09:38:00,90.84,100,91.0,300,90.955,200
1011,0.56,0.27,0.29,2.0200000000000005,09:38:02,91.0,100,91.05,100,91.0,100
1016,4.37,4.13,0.24,8.72,09:38:08,90.89,100,91.03,100,90.8852,107
1080,0.46,0.23,0.23,38.019999999999996,09:38:38,90.92,100,91.0,200,90.96,100
1108,0.35000000000000003,0.08,0.27,49.609999999999985,09:38:49,90.93,200,91.11,100,90.93,100
1113,0.51,0.21,0.3,51.90999999999999,09:38:51,90.93,500,91.05,100,91.05,100
1117,0.62,0.27,0.35,53.73999999999999,09:38:53,90.97,100,91.05,100,91.03,100
1122,0.32999999999999996,0.09,0.24,0.0,09:39:00,90.97,400,91.07,100,91.06,100
1135,0.42000000000000004,0.2,0.22,6.05,09:39:06,90.97,500,91.04,100,91.02,100
1142,0.37,0.18,0.19,10.05,09:39:10,91.08,100,91.14,100,91.09,100
1149,0.26,0.07,0.19,14.660000000000002,09:39:14,91.05,100,91.19,300,91.14,100
1152,0.44,0.2,0.24,16.000000000000004,09:39:16,91.05,200,91.18,100,91.19,100
1153,0.8200000000000001,0.52,0.3,16.820000000000004,09:39:16,91.07,100,91.19,100,91.18,100
1159,2.5700000000000003,2.24,0.33,21.560000000000002,09:39:21,91.07,100,91.18,300,91.17,100
1166,0.45,0.13,0.32,24.380000000000006,09:39:24,91.1,100,91.26,300,91.27,100
1172,0.31,0.07,0.24,26.210000000000004,09:39:26,91.1,300,91.26,200,91.26,100
1207,0.38,0.07,0.31,40.46000000000002,09:39:40,91.15,400,91.33,100,91.24,200
