,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,117.55,300,117.88,700,117.55,100
88,0.39,0.2,0.19,0.0,09:31:00,117.56,400,117.84,200,117.825,100
201,4.77,4.56,0.21,0.0,09:32:00,117.59,200,117.78,100,117.77,100
202,2.2199999999999998,2.03,0.19,2.2199999999999998,09:32:02,117.59,200,117.8,100,117.79,100
206,0.24000000000000002,0.07,0.17,3.3400000000000003,09:32:03,117.63,200,117.83,100,117.71,100
234,0.23,0.07,0.16,13.38,09:32:13,117.63,100,117.77,100,117.64,200
264,0.24000000000000002,0.07,0.17,23.730000000000004,09:32:23,117.66,200,117.77,100,117.76,149
309,0.25,0.07,0.18,37.760000000000005,09:32:37,117.66,300,117.77,100,117.73,100
320,0.69,0.28,0.41,42.120000000000005,09:32:42,117.68,100,117.8,100,117.74,200
356,2.15,1.91,0.24,0.0,09:33:00,117.75,100,117.89,100,117.805,500
370,0.66,0.28,0.38,7.11,09:33:07,117.76,100,117.89,100,117.89,100
405,0.5700000000000001,0.28,0.29,18.980000000000004,09:33:18,117.77,200,117.88,100,117.88,100
452,0.26,0.07,0.19,34.970000000000006,09:33:34,117.77,200,117.88,100,117.86,100
511,0.48,0.27,0.21,0.0,09:34:00,117.81,300,117.96,200,117.85,100
513,2.17,1.87,0.3,2.42,09:34:02,117.85,400,117.96,200,117.96,100
556,0.47000000000000003,0.28,0.19,24.09,09:34:24,117.9,200,117.99,100,117.97,100
571,0.32,0.07,0.25,29.91,09:34:29,117.9,200,117.99,100,117.99,100
594,0.38,0.14,0.24,38.09,09:34:38,117.92,200,118.02,100,118.0,100
614,0.38,0.08,0.3,0.0,09:35:00,117.87,300,118.02,200,117.93,100
618,0.34,0.07,0.27,5.17,09:35:05,117.89,100,118.02,200,118.01,100
641,0.4,0.18,0.22,22.53,09:35:22,117.82,100,118.01,200,117.91,100
680,0.33,0.07,0.26,36.78000000000001,09:35:36,117.99,200,118.02,300,118.005,100
701,0.26,0.08,0.18,44.800000000000004,09:35:44,117.99,100,118.06,100,118.06,200
707,0.25,0.07,0.18,46.68000000000001,09:35:46,117.99,100,118.06,100,118.0105,1000
772,0.24000000000000002,0.07,0.17,0.0,09:36:00,118.06,100,118.15,200,118.07,100
774,2.31,2.11,0.2,2.56,09:36:02,118.05,200,118.15,200,118.14,100
779,3.7600000000000002,3.33,0.43,8.1,09:36:08,118.05,100,118.14,200,118.13,200
878,0.5900000000000001,0.07,0.52,0.0,09:37:00,117.83,200,117.98,300,117.905,100
897,1.12,0.75,0.37,10.34,09:37:10,117.88,200,117.98,400,117.98,100
901,2.69,2.4,0.29,16.38,09:37:16,117.87,100,117.98,500,117.92,100
909,0.6000000000000001,0.26,0.34,19.97,09:37:19,117.82,100,117.93,200,117.84,100
944,0.43,0.08,0.35,36.19,09:37:36,117.82,100,117.93,200,117.83,100
987,0.45999999999999996,0.21,0.25,53.28999999999997,09:37:53,117.93,100,118.06,200,117.995,100
1011,0.56,0.27,0.29,6.1800000000000015,09:38:06,117.93,100,118.02,200,117.975,100
1043,0.49,0.08,0.41,26.16,09:38:26,117.94,100,118.03,100,117.9672,300
1159,2.5700000000000003,2.24,0.33,13.309999999999999,09:39:13,117.87,200,118.01,100,117.94,100
1277,0.46,0.2,0.26,8.22,09:40:08,117.79,200,117.88,100,117.835,100
1314,0.45999999999999996,0.21,0.25,28.31,09:40:28,117.79,100,117.87,100,117.8,100
1378,0.36,0.07,0.29,52.02999999999998,09:40:52,117.8,100,117.9,200,117.9,100
1417,0.42000000000000004,0.22,0.2,3.16,09:41:03,117.79,200,117.87,400,117.8431,359
1422,0.4,0.21,0.19,5.140000000000001,09:41:05,117.82,100,117.9,200,117.845,100
1482,0.45999999999999996,0.24,0.22,31.380000000000003,09:41:31,117.81,100,117.89,100,117.82,100
1555,0.30000000000000004,0.07,0.23,6.95,09:42:06,117.89,100,118.01,100,117.9125,100
1595,0.7,0.24,0.46,30.089999999999993,09:42:30,117.81,200,117.94,100,117.875,200
1606,0.48,0.22,0.26,34.29999999999999,09:42:34,117.81,200,117.94,100,117.8646,125
1804,0.33999999999999997,0.15,0.19,0.0,09:44:00,117.93,200,118.07,300,118.007,200
1832,0.35,0.1,0.25,13.97,09:44:13,118.07,200,118.1,300,118.085,100
1837,1.29,1.03,0.26,16.84,09:44:16,117.95,100,118.09,400,118.04,100
