,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,38.34,400,38.36,100,38.35,100
12,0.35,0.16,0.19,4.76,09:30:04,38.34,400,38.36,100,38.36,200
22,0.3,0.08,0.22,8.47,09:30:08,38.34,400,38.36,100,38.3401,2200
37,0.44,0.21,0.23,14.589999999999998,09:30:14,38.38,400,38.4,600,38.39,100
45,0.32,0.09,0.23,0.0,09:31:00,38.38,400,38.4,600,38.4,200
69,0.42,0.21,0.21,12.38,09:31:12,38.41,100,38.42,100,38.41,100
71,0.37,0.18,0.19,15.12,09:31:15,38.41,200,38.43,200,38.42,100
105,0.41000000000000003,0.23,0.18,30.700000000000003,09:31:30,38.42,400,38.43,200,38.43,100
108,0.27,0.08,0.19,31.690000000000005,09:31:31,38.42,400,38.43,200,38.4243,200
122,0.32,0.12,0.2,36.45000000000001,09:31:36,38.43,300,38.45,200,38.4498,100
138,0.38,0.07,0.31,42.490000000000016,09:31:42,38.45,200,38.47,600,38.44,100
142,0.32,0.13,0.19,43.97000000000002,09:31:43,38.45,200,38.47,600,38.45,100
144,0.46,0.18,0.28,44.810000000000024,09:31:44,38.45,200,38.48,200,38.47,464
148,0.4,0.08,0.32,46.49000000000002,09:31:46,38.45,400,38.48,400,38.48,100
156,0.48,0.21,0.27,50.55000000000002,09:31:50,38.48,200,38.49,200,38.49,600
169,0.27,0.07,0.2,54.370000000000026,09:31:54,38.46,600,38.48,100,38.46,627
176,0.33,0.16,0.17,56.65000000000002,09:31:56,38.46,600,38.48,100,38.4676,2000
258,0.39,0.22,0.17,34.55999999999999,09:32:34,38.5,300,38.51,100,38.5,100
264,0.24000000000000002,0.07,0.17,36.509999999999984,09:32:36,38.5,500,38.51,100,38.51,100
330,0.38,0.18,0.2,58.03,09:32:58,38.48,200,38.49,400,38.485,10000
405,0.5700000000000001,0.28,0.29,30.190000000000005,09:33:30,38.43,400,38.45,200,38.445,400
445,0.39,0.21,0.18,44.05000000000001,09:33:44,38.45,600,38.47,500,38.4559,286
508,1.78,1.57,0.21,11.239999999999998,09:34:11,38.46,400,38.47,800,38.465,100
552,0.5800000000000001,0.25,0.33,36.55,09:34:36,38.49,300,38.5,400,38.495,100
623,1.67,1.41,0.26,6.29,09:35:06,38.45,500,38.46,200,38.455,100
774,2.31,2.11,0.2,5.24,09:36:05,38.43,400,38.44,200,38.435,100
810,0.4,0.12,0.28,23.229999999999997,09:36:23,38.42,200,38.43,500,38.425,100
822,0.30000000000000004,0.07,0.23,28.769999999999996,09:36:28,38.42,500,38.43,500,38.4205,500
1015,1.01,0.75,0.26,8.510000000000002,09:38:08,38.46,600,38.47,600,38.4607,100
1033,0.42000000000000004,0.14,0.28,19.959999999999997,09:38:19,38.47,500,38.48,200,38.475,1300
1104,0.45,0.18,0.27,52.10999999999998,09:38:52,38.45,700,38.46,700,38.4525,400
1216,0.49,0.22,0.27,44.070000000000036,09:39:44,38.45,1000,38.46,800,38.451,125
1325,0.33,0.08,0.25,29.75,09:40:29,38.41,500,38.42,7200,38.415,100
1346,0.45,0.19,0.26,37.63,09:40:37,38.4,700,38.41,500,38.405,100
1417,0.42000000000000004,0.22,0.2,8.15,09:41:08,38.38,300,38.39,700,38.38,100
1451,0.31,0.08,0.23,26.179999999999996,09:41:26,38.38,600,38.39,1200,38.385,350
1503,0.3,0.08,0.22,44.209999999999994,09:41:44,38.41,600,38.42,600,38.4199,704
1622,0.33,0.07,0.26,43.80999999999999,09:42:43,38.41,800,38.42,1500,38.4185,405
