,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,57.73,200,57.81,200,57.7751,134
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,57.73,200,57.81,200,57.77,11500
12,0.35,0.16,0.19,4.76,09:30:04,57.68,100,57.71,300,57.73,100
16,0.32,0.08,0.24,6.53,09:30:06,57.67,100,57.71,300,57.68,100
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,57.6,400,57.66,500,57.67,2311
32,0.43,0.21,0.22,12.59,09:30:12,57.6,300,57.7,200,57.66,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,57.6,300,57.71,200,57.7,100
46,0.35000000000000003,0.08,0.27,0.0,09:31:00,57.6,400,57.71,200,57.71,100
201,4.77,4.56,0.21,0.0,09:32:00,57.64,100,57.67,200,57.65,100
202,2.2199999999999998,2.03,0.19,2.2199999999999998,09:32:02,57.56,100,57.6,100,57.59,100
206,0.24000000000000002,0.07,0.17,3.3400000000000003,09:32:03,57.51,100,57.58,200,57.55,100
276,0.24000000000000002,0.07,0.17,27.610000000000003,09:32:27,57.52,100,57.55,300,57.54,100
283,0.25,0.09,0.16,29.58,09:32:29,57.5,200,57.54,100,57.52,168
356,2.15,1.91,0.24,0.0,09:33:00,57.54,200,57.57,100,57.56,200
362,2.69,2.48,0.21,4.03,09:33:04,57.5,300,57.57,200,57.51,100
381,0.41000000000000003,0.22,0.19,10.920000000000002,09:33:10,57.46,200,57.5,100,57.5,100
423,0.28,0.07,0.21,25.050000000000008,09:33:25,57.46,100,57.53,100,57.495,100
446,0.25,0.07,0.18,33.09000000000001,09:33:33,57.46,200,57.53,200,57.46,100
470,0.41000000000000003,0.19,0.22,41.370000000000005,09:33:41,57.46,200,57.53,200,57.47,100
509,2.14,1.95,0.19,13.379999999999999,09:34:13,57.5,200,57.55,200,57.5127,655
514,3.77,3.6,0.17,20.38,09:34:20,57.46,300,57.53,100,57.49,100
516,0.42000000000000004,0.2,0.22,22.2,09:34:22,57.46,400,57.53,400,57.4601,1900
527,0.43,0.21,0.22,26.20999999999999,09:34:26,57.46,400,57.52,900,57.478,830
556,0.47000000000000003,0.28,0.19,38.279999999999994,09:34:38,57.43,200,57.51,800,57.4739,120
561,0.26,0.08,0.18,40.00999999999999,09:34:40,57.43,200,57.49,100,57.45,317
566,0.33,0.08,0.25,42.08999999999999,09:34:42,57.4,400,57.48,100,57.4,100
571,0.32,0.07,0.25,44.09999999999999,09:34:44,57.41,300,57.48,200,57.41,100
594,0.38,0.14,0.24,52.279999999999994,09:34:52,57.4,200,57.45,2100,57.42,100
614,0.38,0.08,0.3,0.0,09:35:00,57.3,400,57.39,100,57.35,100
615,0.54,0.21,0.33,0.54,09:35:00,57.31,100,57.37,100,57.3366,1000
617,3.8,3.55,0.25,4.83,09:35:04,57.25,100,57.3,100,57.25,100
618,0.34,0.07,0.27,5.17,09:35:05,57.25,200,57.31,200,57.355,100
622,3.44,3.13,0.31,9.790000000000001,09:35:09,57.23,100,57.28,500,57.23,100
625,2.72,2.35,0.37,14.980000000000002,09:35:14,56.97,500,57.02,100,56.995,100
628,0.45,0.22,0.23,16.62,09:35:16,56.97,200,57.09,100,57.04,100
632,0.29000000000000004,0.07,0.22,18.68,09:35:18,56.98,100,57.08,100,56.99,100
636,0.43,0.22,0.21,20.59,09:35:20,56.98,100,57.07,200,56.98,200
657,0.54,0.28,0.26,28.75,09:35:28,56.88,200,56.96,400,56.88,100
662,0.56,0.29,0.27,30.749999999999996,09:35:30,56.91,100,57.01,1200,56.97,100
668,0.26,0.07,0.19,32.669999999999995,09:35:32,56.9,100,57.01,500,56.885,100
680,0.33,0.07,0.26,36.78000000000001,09:35:36,56.92,600,57.01,100,56.92,100
686,0.6200000000000001,0.28,0.34,39.32000000000001,09:35:39,56.93,100,57.01,100,57.01,100
707,0.25,0.07,0.18,46.68000000000001,09:35:46,57.08,100,57.11,100,57.07,100
714,0.44,0.26,0.18,48.92000000000001,09:35:48,57.1,100,57.23,1200,57.14,200
759,0.38,0.21,0.17,0.0,09:36:00,57.16,300,57.22,100,57.21,100
771,2.1,1.83,0.27,9.56,09:36:09,57.15,100,57.22,100,57.16,100
790,0.38,0.09,0.29,22.240000000000002,09:36:22,57.23,100,57.3,500,57.27,100
810,0.4,0.12,0.28,30.350000000000005,09:36:30,57.24,100,57.29,1900,57.26,100
822,0.30000000000000004,0.07,0.23,35.88999999999999,09:36:35,57.27,100,57.35,1000,57.29,100
842,0.52,0.21,0.31,44.21999999999999,09:36:44,57.3,400,57.34,100,57.3125,100
855,0.35000000000000003,0.07,0.28,50.19,09:36:50,57.31,300,57.32,100,57.31,100
