,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,148.51,200,148.97,200,148.74,10000
122,0.32,0.12,0.2,0.0,09:31:00,148.51,300,148.92,100,148.87,100
240,0.27,0.09,0.18,15.360000000000001,09:32:15,148.55,100,148.95,100,148.95,110
241,0.26,0.09,0.17,15.620000000000001,09:32:15,148.55,200,148.96,200,148.9,100
350,3.75,3.46,0.29,0.0,09:33:00,148.59,300,148.95,100,148.935,200
440,0.45,0.25,0.2,37.000000000000014,09:33:37,148.64,200,148.93,100,148.7601,650
458,0.27,0.09,0.18,42.92,09:33:42,148.96,200,149.11,100,149.035,100
480,0.28,0.11,0.17,0.0,09:34:00,149.04,100,149.27,100,149.224,200
486,0.25,0.07,0.18,2.14,09:34:02,149.04,200,149.25,100,149.06,100
492,0.34,0.14,0.2,4.010000000000001,09:34:04,149.05,100,149.38,200,149.21,100
499,0.38,0.19,0.19,6.22,09:34:06,149.15,100,149.37,100,149.26,100
508,1.78,1.57,0.21,11.239999999999998,09:34:11,149.22,200,149.36,100,149.36,100
514,3.77,3.6,0.17,20.38,09:34:20,149.22,100,149.39,200,149.4,100
561,0.26,0.08,0.18,40.00999999999999,09:34:40,149.24,100,149.42,100,149.39,100
609,0.49,0.2,0.29,58.589999999999996,09:34:58,149.24,200,149.4,100,149.25,100
614,0.38,0.08,0.3,0.0,09:35:00,149.05,200,149.39,100,149.2425,100
621,0.33,0.07,0.26,6.3500000000000005,09:35:06,149.06,100,149.32,100,149.195,100
632,0.29000000000000004,0.07,0.22,18.68,09:35:18,149.06,300,149.3,100,149.18,100
701,0.26,0.08,0.18,44.800000000000004,09:35:44,149.28,100,149.35,100,149.28,100
727,0.38,0.21,0.17,53.05000000000001,09:35:53,149.29,100,149.41,100,149.31,100
741,0.23,0.07,0.16,56.81000000000002,09:35:56,149.29,200,149.47,100,149.41,100
751,0.4,0.23,0.17,0.0,09:36:00,149.29,100,149.47,100,149.355,200
771,2.1,1.83,0.27,11.81,09:36:11,149.29,100,149.47,100,149.46,100
774,2.31,2.11,0.2,14.610000000000001,09:36:14,149.56,100,149.63,700,149.63,100
779,3.7600000000000002,3.33,0.43,20.150000000000002,09:36:20,149.55,100,149.7,100,149.625,100
814,0.5800000000000001,0.19,0.39,34.5,09:36:34,149.46,100,149.63,100,149.62,100
850,0.34,0.08,0.26,50.269999999999996,09:36:50,149.53,100,149.7,100,149.7,100
891,0.5700000000000001,0.2,0.37,0.0,09:37:00,149.53,100,149.65,100,149.53,120
