,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,46.04,400,46.17,100,46.13,100
175,0.32,0.14,0.18,0.0,09:31:00,46.09,300,46.17,100,46.11,400
200,2.27,2.05,0.22,0.0,09:32:00,46.15,300,46.18,100,46.16,100
201,4.77,4.56,0.21,4.77,09:32:04,46.15,200,46.18,100,46.15,100
206,0.24000000000000002,0.07,0.17,8.11,09:32:08,46.14,200,46.18,100,46.1577,200
209,1.96,1.75,0.21,10.79,09:32:10,46.14,200,46.18,100,46.14,100
221,0.26,0.08,0.18,14.329999999999998,09:32:14,46.18,200,46.19,100,46.18,100
258,0.39,0.22,0.17,26.549999999999994,09:32:26,46.17,200,46.19,100,46.175,100
302,0.39,0.22,0.17,40.60000000000002,09:32:40,46.18,200,46.2,100,46.19,100
381,0.41000000000000003,0.22,0.19,0.0,09:33:00,46.14,200,46.19,100,46.1478,221
464,0.39,0.17,0.22,28.460000000000004,09:33:28,46.13,100,46.2,200,46.2,100
470,0.41000000000000003,0.19,0.22,30.450000000000003,09:33:30,46.18,200,46.22,100,46.21,100
509,2.14,1.95,0.19,0.0,09:34:00,46.22,200,46.27,600,46.25,100
513,2.17,1.87,0.3,3.23,09:34:03,46.26,200,46.29,400,46.27,340
514,3.77,3.6,0.17,7.0,09:34:07,46.23,200,46.29,400,46.29,100
600,0.35000000000000003,0.08,0.27,41.01,09:34:41,46.23,300,46.26,200,46.24,100
604,0.4,0.12,0.28,42.839999999999996,09:34:42,46.23,200,46.28,300,46.2678,100
614,0.38,0.08,0.3,0.0,09:35:00,46.21,100,46.25,100,46.23,100
621,0.33,0.07,0.26,6.3500000000000005,09:35:06,46.21,300,46.25,100,46.22,100
623,1.67,1.41,0.26,11.46,09:35:11,46.21,100,46.23,100,46.2289,100
759,0.38,0.21,0.17,2.25,09:36:02,46.28,200,46.33,1000,46.305,100
765,0.44000000000000006,0.17,0.27,4.380000000000001,09:36:04,46.28,200,46.33,1000,46.3,100
779,3.7600000000000002,3.33,0.43,20.150000000000002,09:36:20,46.26,200,46.32,1000,46.28,100
795,0.33,0.1,0.23,26.310000000000006,09:36:26,46.24,100,46.3,600,46.26,100
855,0.35000000000000003,0.07,0.28,52.44,09:36:52,46.29,200,46.34,1000,46.33,100
860,0.29,0.08,0.21,54.279999999999994,09:36:54,46.31,100,46.36,100,46.34,100
866,0.42,0.21,0.21,56.550000000000004,09:36:56,46.37,100,46.39,200,46.37,218
885,0.46,0.08,0.38,0.0,09:37:00,46.38,100,46.43,1000,46.39,100
897,1.12,0.75,0.37,6.470000000000001,09:37:06,46.36,200,46.42,1000,46.38,100
926,0.53,0.1,0.43,24.220000000000006,09:37:24,46.34,100,46.37,200,46.36,200
939,0.47000000000000003,0.13,0.34,30.290000000000006,09:37:30,46.33,100,46.37,300,46.35,100
998,0.48,0.21,0.27,0.0,09:38:00,46.37,100,46.4,400,46.385,100
1002,0.42,0.07,0.35,1.98,09:38:01,46.37,100,46.41,100,46.4,100
1080,0.46,0.23,0.23,42.17999999999999,09:38:42,46.3,100,46.37,1100,46.3316,100
1135,0.42000000000000004,0.2,0.22,0.0,09:39:00,46.3,200,46.35,200,46.325,100
1148,2.41,2.17,0.24,8.350000000000001,09:39:08,46.37,200,46.39,300,46.375,100
1172,0.31,0.07,0.24,20.16,09:39:20,46.35,300,46.41,200,46.41,100
1245,0.42000000000000004,0.22,0.2,48.20000000000001,09:39:48,46.41,300,46.44,100,46.43,100
1251,0.28,0.08,0.2,50.150000000000006,09:39:50,46.4,200,46.45,1000,46.44,100
1261,0.35,0.17,0.18,0.0,09:40:00,46.4,200,46.45,300,46.425,100
1277,0.46,0.2,0.26,8.22,09:40:08,46.4,200,46.44,200,46.42,100
1373,0.28,0.08,0.2,50.13999999999998,09:40:50,46.44,100,46.47,100,46.45,100
1401,0.29000000000000004,0.1,0.19,0.0,09:41:00,46.45,200,46.5,1000,46.475,100
1434,0.97,0.67,0.3,14.689999999999998,09:41:14,46.44,100,46.48,1000,46.46,100
1456,0.37,0.15,0.22,25.889999999999993,09:41:25,46.45,400,46.5,1000,46.48,100
1554,4.06,3.67,0.39,4.789999999999999,09:42:04,46.47,100,46.5,100,46.485,100
1572,0.38,0.07,0.31,18.129999999999995,09:42:18,46.46,200,46.51,1000,46.51,100
1586,0.48,0.19,0.29,24.00999999999999,09:42:24,46.47,300,46.51,1000,46.49,100
1627,0.44,0.24,0.2,42.22,09:42:42,46.49,100,46.51,200,46.5,100
1648,0.5700000000000001,0.27,0.3,50.33999999999998,09:42:50,46.49,200,46.51,100,46.4991,100
1700,0.31,0.1,0.21,17.930000000000003,09:43:17,46.49,100,46.53,500,46.515,100
1725,0.36,0.09,0.27,29.95,09:43:29,46.49,100,46.53,1000,46.52,190
1921,0.41000000000000003,0.17,0.24,43.92000000000001,09:44:43,46.41,200,46.44,100,46.445,100
2221,0.44,0.22,0.22,58.140000000000036,09:46:58,46.45,200,46.48,200,46.47,100
2315,0.25,0.07,0.18,38.16,09:47:38,46.45,200,46.49,400,46.4528,321
2599,0.44,0.2,0.24,35.85000000000001,09:49:35,46.34,100,46.35,100,46.345,100
2633,0.32,0.08,0.24,47.81000000000003,09:49:47,46.33,100,46.36,200,46.3525,100
2785,0.33,0.13,0.2,0.0,09:51:00,46.36,100,46.37,200,46.365,100
2801,3.3499999999999996,3.01,0.34,10.719999999999999,09:51:10,46.3,300,46.32,100,46.31,600
2827,0.45,0.18,0.27,22.200000000000003,09:51:22,46.36,100,46.37,100,46.3692,200
2985,0.36,0.17,0.19,14.010000000000002,09:52:14,46.44,300,46.47,200,46.443999999999996,500
3214,0.24000000000000002,0.07,0.17,55.72999999999997,09:53:55,46.43,300,46.46,200,46.4431,200
3361,0.32,0.13,0.19,56.11000000000003,09:54:56,46.46,800,46.49,200,46.4601,330
3469,0.52,0.24,0.28,39.85000000000001,09:55:39,46.44,400,46.46,100,46.4682,800
3592,0.36,0.19,0.17,35.72999999999999,09:56:35,46.45,200,46.47,200,46.4574,1000
3670,0.3,0.08,0.22,7.94,09:57:07,46.43,100,46.45,800,46.4408,100
3693,0.29000000000000004,0.07,0.22,23.930000000000003,09:57:23,46.42,700,46.45,800,46.4499,300
3789,0.29000000000000004,0.07,0.22,56.01999999999999,09:57:56,46.43,700,46.47,200,46.4475,282
3807,0.37,0.18,0.19,0.0,09:58:00,46.43,700,46.46,300,46.4467,400
3879,0.32,0.09,0.23,37.900000000000006,09:58:37,46.43,700,46.46,700,46.4597,100
3978,0.26,0.08,0.18,16.520000000000007,09:59:16,46.4,100,46.42,400,46.405,100
4150,0.52,0.23,0.29,33.940000000000005,10:00:33,46.32,100,46.34,200,46.32,100
4155,0.48,0.17,0.31,36.28,10:00:36,46.33,100,46.38,100,46.355,500
4621,0.36,0.15,0.21,45.78,10:03:45,46.34,300,46.37,800,46.369,100
4754,0.51,0.23,0.28,44.36,10:04:44,46.4,300,46.42,100,46.4092,163
4862,0.39,0.21,0.18,31.569999999999997,10:05:31,46.42,100,46.45,200,46.435,100
4956,0.25,0.08,0.17,13.85,10:06:13,46.45,200,46.47,100,46.458,3600
4970,0.24,0.08,0.16,17.899999999999995,10:06:17,46.44,200,46.46,200,46.4425,100
5090,3.37,3.18,0.19,0.0,10:07:00,46.41,100,46.43,400,46.4102,221
