,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,173.5,700,173.56,100,173.54,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,173.62,200,173.66,100,173.62,100
12,0.35,0.16,0.19,4.76,09:30:04,173.61,100,173.66,100,173.64,100
16,0.32,0.08,0.24,6.53,09:30:06,173.8,100,173.85,1000,173.84,100
22,0.3,0.08,0.22,8.47,09:30:08,173.84,600,173.9,100,173.88,100
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,173.85,900,173.91,100,173.9,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,173.79,500,173.83,100,173.8,100
42,0.32,0.07,0.25,16.54,09:30:16,173.71,500,173.77,100,173.7538,100
46,0.35000000000000003,0.08,0.27,0.35000000000000003,09:31:00,173.72,500,173.77,100,173.7481,500
51,0.4,0.18,0.22,2.33,09:31:02,173.65,500,173.68,100,173.65,200
64,2.08,1.88,0.2,10.02,09:31:10,173.64,200,173.65,100,173.6444,200
65,0.31,0.07,0.24,10.33,09:31:10,173.64,200,173.65,200,173.645,300
69,0.42,0.21,0.21,12.38,09:31:12,173.64,700,173.68,300,173.67700000000002,100
71,0.37,0.18,0.19,15.12,09:31:15,173.67,200,173.71,100,173.6792,100
75,0.89,0.62,0.27,16.97,09:31:16,173.74,300,173.77,100,173.7675,850
80,1.4100000000000001,1.07,0.34,21.98,09:31:21,173.79,100,173.82,100,173.7949,1000
81,0.43000000000000005,0.17,0.26,22.41,09:31:22,173.76,800,173.81,100,173.77,100
88,0.39,0.2,0.19,24.620000000000005,09:31:24,173.77,1100,173.81,100,173.7733,200
94,0.27,0.07,0.2,26.520000000000003,09:31:26,173.77,200,173.81,200,173.782,1000
99,0.27,0.07,0.2,28.39,09:31:28,173.72,500,173.78,200,173.73,100
105,0.41000000000000003,0.23,0.18,30.700000000000003,09:31:30,173.7,1300,173.75,100,173.725,100
110,0.5,0.28,0.22,32.580000000000005,09:31:32,173.71,1000,173.75,100,173.7,200
117,0.3,0.08,0.22,34.730000000000004,09:31:34,173.75,100,173.78,100,173.76,100
127,0.6000000000000001,0.27,0.33,38.56000000000002,09:31:38,173.75,300,173.77,200,173.75,400
144,0.46,0.18,0.28,44.810000000000024,09:31:44,173.8,400,173.84,100,173.81,100
148,0.4,0.08,0.32,46.49000000000002,09:31:46,173.79,500,173.83,100,173.8052,100
152,0.74,0.21,0.53,48.72000000000002,09:31:48,173.84,100,173.88,100,173.85,169
163,0.43,0.24,0.19,52.64000000000002,09:31:52,173.84,100,173.88,100,173.8494,1000
175,0.32,0.14,0.18,56.32000000000002,09:31:56,173.82,200,173.85,100,173.8393,250
176,0.33,0.16,0.17,56.65000000000002,09:31:56,173.79,300,173.81,100,173.82,100
186,0.29,0.08,0.21,0.0,09:32:00,173.8,100,173.83,100,173.815,100
193,0.41000000000000003,0.21,0.2,2.27,09:32:02,173.86,100,173.89,100,173.89,100
197,2.11,1.93,0.18,5.2,09:32:05,173.83,500,173.88,100,173.86,100
201,4.77,4.56,0.21,12.78,09:32:12,173.85,100,173.88,200,173.8792,100
202,2.2199999999999998,2.03,0.19,15.0,09:32:15,173.82,300,173.86,300,173.83,100
214,0.33999999999999997,0.18,0.16,20.189999999999998,09:32:20,173.9,100,173.93,200,173.9223,600
227,0.36,0.19,0.17,24.189999999999998,09:32:24,173.92,500,173.96,100,173.96,100
234,0.23,0.07,0.16,26.159999999999997,09:32:26,173.9,500,173.95,100,173.95,100
241,0.26,0.09,0.17,28.399999999999995,09:32:28,173.93,300,173.97,1000,173.9612,250
246,0.36,0.18,0.18,30.23999999999999,09:32:30,173.9,600,173.97,1000,173.93,100
252,0.24000000000000002,0.07,0.17,32.32999999999999,09:32:32,173.95,400,173.99,1400,173.97,200
258,0.39,0.22,0.17,34.55999999999999,09:32:34,174.04,100,174.05,100,174.05,100
264,0.24000000000000002,0.07,0.17,36.509999999999984,09:32:36,174.09,100,174.14,500,174.13,291
270,0.36,0.2,0.16,38.53999999999998,09:32:38,174.07,500,174.12,300,174.08700000000002,1000
276,0.24000000000000002,0.07,0.17,40.38999999999998,09:32:40,174.04,500,174.08,400,174.07,300
281,0.38,0.21,0.17,41.749999999999986,09:32:41,174.02,100,174.06,100,174.02,100
287,0.32,0.15,0.17,43.72999999999999,09:32:43,173.97,1200,174.0,300,173.9886,2000
289,0.30000000000000004,0.14,0.16,44.40999999999999,09:32:44,173.98,200,174.0,100,174.0,100
295,0.33999999999999997,0.18,0.16,46.37,09:32:46,173.99,100,174.01,100,173.99,100
302,0.39,0.22,0.17,48.61,09:32:48,174.03,300,174.09,100,174.08,100
309,0.25,0.07,0.18,50.54,09:32:50,174.05,200,174.09,200,174.09,100
315,0.3,0.08,0.22,52.58,09:32:52,174.03,100,174.06,500,174.0525,900
320,0.69,0.28,0.41,54.9,09:32:54,173.94,100,173.98,200,173.94,100
352,0.35,0.18,0.17,9.8,09:33:09,173.83,500,173.86,100,173.8722,3000
354,2.19,1.96,0.23,12.57,09:33:12,173.83,500,173.88,600,173.8595,800
356,2.15,1.91,0.24,14.98,09:33:14,173.83,500,173.87,500,173.87,100
433,0.26,0.07,0.19,43.81000000000001,09:33:43,173.76,200,173.8,300,173.79,100
440,0.45,0.25,0.2,46.19000000000002,09:33:46,173.76,200,173.8,300,173.78,100
475,0.32,0.09,0.23,58.21000000000001,09:33:58,173.81,100,173.85,100,173.8356,600
492,0.34,0.14,0.2,4.010000000000001,09:34:04,173.8,100,173.84,100,173.8195,140
508,1.78,1.57,0.21,11.239999999999998,09:34:11,173.82,100,173.87,500,173.8383,1500
513,2.17,1.87,0.3,16.61,09:34:16,173.86,400,173.93,1000,173.895,100
514,3.77,3.6,0.17,20.38,09:34:20,173.86,300,173.91,200,173.91,100
527,0.43,0.21,0.22,26.20999999999999,09:34:26,173.88,400,173.9,200,173.8864,2000
551,0.47,0.25,0.22,35.97,09:34:35,173.89,100,173.92,300,173.905,100
552,0.5800000000000001,0.25,0.33,36.55,09:34:36,173.9,100,173.94,900,173.92,300
577,0.43,0.14,0.29,46.29999999999999,09:34:46,173.88,100,173.91,100,173.8839,100
583,0.31,0.13,0.18,48.12999999999999,09:34:48,173.87,300,173.9,300,173.8999,100
614,0.38,0.08,0.3,0.0,09:35:00,173.93,400,173.97,200,173.9699,225
618,0.34,0.07,0.27,5.17,09:35:05,173.94,500,173.98,700,173.9401,300
621,0.33,0.07,0.26,6.3500000000000005,09:35:06,173.94,500,173.98,1000,173.9656,500
628,0.45,0.22,0.23,16.62,09:35:16,173.93,100,173.95,100,173.9306,100
641,0.4,0.18,0.22,22.53,09:35:22,173.95,200,173.98,200,173.965,500
647,0.43000000000000005,0.16,0.27,24.77,09:35:24,173.95,200,173.98,200,173.9581,500
653,0.44,0.22,0.22,26.840000000000003,09:35:26,173.97,500,173.99,300,173.98,100
657,0.54,0.28,0.26,28.75,09:35:28,173.97,2000,174.0,1700,173.985,663
662,0.56,0.29,0.27,30.749999999999996,09:35:30,173.99,200,174.01,1100,174.01,100
689,0.28,0.07,0.21,40.66000000000001,09:35:40,174.02,100,174.04,200,174.0312,1000
690,0.33,0.08,0.25,40.99000000000001,09:35:40,174.03,100,174.05,1100,174.04,100
695,0.6200000000000001,0.28,0.34,42.92,09:35:42,174.0,300,174.03,100,174.0136,200
701,0.26,0.08,0.18,44.800000000000004,09:35:44,174.03,300,174.05,1100,174.035,100
713,0.27,0.07,0.2,48.48000000000001,09:35:48,174.04,200,174.06,100,174.055,100
714,0.44,0.26,0.18,48.92000000000001,09:35:48,174.04,300,174.06,100,174.06,100
733,0.35,0.19,0.16,54.79000000000001,09:35:54,174.0,2000,174.03,200,174.011,200
748,0.4,0.22,0.18,58.740000000000016,09:35:58,174.01,400,174.04,300,174.0233,500
759,0.38,0.21,0.17,2.25,09:36:02,174.04,400,174.06,300,174.046,500
778,0.39,0.21,0.18,16.39,09:36:16,174.06,800,174.1,20400,174.0793,400
785,0.42,0.21,0.21,22.46,09:36:22,174.05,500,174.09,200,174.075,200
795,0.33,0.1,0.23,26.310000000000006,09:36:26,174.0,500,174.03,200,174.0186,100
814,0.5800000000000001,0.19,0.39,34.5,09:36:34,173.92,200,173.97,400,173.94299999999998,200
882,0.47000000000000003,0.08,0.39,4.37,09:37:04,173.91,500,173.95,1200,173.922,500
898,1.7399999999999998,1.38,0.36,14.26,09:37:14,173.83,900,173.87,1000,173.845,100
902,0.39,0.14,0.25,18.95,09:37:18,173.8,200,173.84,1000,173.835,100
905,0.42000000000000004,0.1,0.32,20.169999999999998,09:37:20,173.78,400,173.8,200,173.795,550
914,0.41000000000000003,0.21,0.2,24.31,09:37:24,173.71,100,173.75,500,173.71099999999998,100
918,0.49,0.14,0.35,26.169999999999998,09:37:26,173.71,400,173.75,200,173.71,100
926,0.53,0.1,0.43,30.270000000000003,09:37:30,173.75,200,173.78,200,173.77700000000002,143
948,0.46,0.19,0.27,39.980000000000004,09:37:39,173.75,1700,173.78,300,173.7788,600
949,0.4,0.09,0.31,40.38,09:37:40,173.75,1700,173.78,700,173.7636,100
1002,0.42,0.07,0.35,1.98,09:38:01,173.89,200,173.94,900,173.915,100
1028,0.34,0.08,0.26,17.89,09:38:17,173.85,300,173.9,100,173.8825,100
1035,0.55,0.19,0.36,22.27,09:38:22,173.91,200,173.94,100,173.9205,1000
1039,0.49,0.07,0.42,24.03,09:38:24,173.94,600,173.97,100,173.967,152
1060,0.33,0.08,0.25,34.05999999999999,09:38:34,173.9,200,173.93,300,173.9038,2300
1099,0.58,0.23,0.35,49.90999999999998,09:38:49,173.94,200,173.97,400,173.96900000000002,150
1127,0.44,0.18,0.26,0.0,09:39:00,173.94,200,173.98,400,173.9575,380
1149,0.26,0.07,0.19,12.63,09:39:12,173.96,300,173.99,200,173.9897,100
1156,0.27,0.07,0.2,15.89,09:39:15,174.0,600,174.01,100,174.005,200
1157,0.61,0.37,0.24,16.5,09:39:16,174.03,600,174.04,100,174.0201,195
1161,0.37,0.09,0.28,20.320000000000004,09:39:20,174.02,600,174.04,200,174.03,2071
1166,0.45,0.13,0.32,22.350000000000005,09:39:22,174.02,100,174.04,200,174.0225,100
1177,0.36,0.15,0.21,26.090000000000007,09:39:26,174.0,200,174.02,200,174.0098,135
1197,0.53,0.17,0.36,34.15000000000001,09:39:34,174.01,100,174.03,100,174.0232,400
1207,0.38,0.07,0.31,38.430000000000014,09:39:38,174.01,100,174.03,500,174.0144,5000
1210,0.49,0.19,0.3,39.84000000000002,09:39:39,174.01,100,174.03,500,174.0137,100
1232,0.28,0.07,0.21,48.11000000000003,09:39:48,173.98,200,174.01,700,173.995,100
1261,0.35,0.17,0.18,0.0,09:40:00,173.98,200,174.01,1000,173.9968,143
1269,2.0100000000000002,1.81,0.2,5.08,09:40:05,173.92,200,173.95,400,173.9288,625
1281,1.3,0.91,0.39,10.76,09:40:10,173.99,400,174.02,800,173.9996,2000
1294,4.24,3.94,0.3,21.129999999999995,09:40:21,173.96,200,173.98,200,173.9684,100
1336,0.44,0.2,0.24,35.94,09:40:35,173.94,100,173.96,1000,173.945,225
1337,0.48,0.21,0.27,36.419999999999995,09:40:36,173.94,400,173.96,600,173.9524,2000
1346,0.45,0.19,0.26,39.949999999999996,09:40:39,173.97,400,173.98,100,173.9744,200
1352,0.44,0.24,0.2,42.33999999999999,09:40:42,173.94,300,173.96,100,173.9414,200
1410,0.4,0.2,0.2,6.090000000000001,09:41:06,173.77,1000,173.8,500,173.7899,200
1417,0.42000000000000004,0.22,0.2,8.15,09:41:08,173.64,700,173.69,300,173.69,100
1430,0.3,0.08,0.22,14.68,09:41:14,173.58,400,173.62,700,173.6,100
1434,0.97,0.67,0.3,16.779999999999998,09:41:16,173.57,200,173.61,900,173.58,100
1435,0.28,0.08,0.2,17.06,09:41:17,173.57,200,173.61,900,173.57,100
1438,0.28,0.07,0.21,18.05,09:41:18,173.6,500,173.61,100,173.61,100
1440,0.31,0.08,0.23,22.33,09:41:22,173.61,100,173.63,200,173.6224,150
1443,0.36,0.18,0.18,23.549999999999997,09:41:23,173.61,200,173.63,200,173.6229,100
1451,0.31,0.08,0.23,26.179999999999996,09:41:26,173.56,1300,173.61,400,173.5601,202
1476,0.26,0.08,0.18,34.239999999999995,09:41:34,173.61,700,173.63,200,173.63,100
1487,0.31,0.12,0.19,38.04999999999999,09:41:38,173.61,700,173.63,100,173.6155,106
1503,0.3,0.08,0.22,44.209999999999994,09:41:44,173.68,300,173.69,200,173.68,100
1509,0.35,0.15,0.2,46.279999999999994,09:41:46,173.65,100,173.67,200,173.66,100
1528,0.33,0.07,0.26,54.33,09:41:54,173.65,200,173.67,100,173.6547,119
1554,4.06,3.67,0.39,8.559999999999999,09:42:08,173.63,100,173.66,600,173.6334,250
1560,2.34,2.03,0.31,13.59,09:42:13,173.66,200,173.67,600,173.6588,100
1606,0.48,0.22,0.26,36.20999999999999,09:42:36,173.64,100,173.67,400,173.655,300
1610,0.42000000000000004,0.19,0.23,37.85999999999999,09:42:37,173.65,100,173.66,100,173.6533,100
1614,0.42,0.07,0.35,40.19999999999999,09:42:40,173.66,200,173.67,200,173.6627,200
1622,0.33,0.07,0.26,43.80999999999999,09:42:43,173.68,100,173.69,200,173.6856,200
