,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,127.58,200,127.81,100,127.9,111
42,0.32,0.07,0.25,16.54,09:30:16,127.62,200,127.81,100,127.8,100
46,0.35000000000000003,0.08,0.27,0.0,09:31:00,127.6,100,127.91,100,127.81,100
51,0.4,0.18,0.22,1.98,09:31:01,127.65,100,127.91,100,127.91,100
417,0.39,0.2,0.19,28.689999999999998,09:33:28,127.76,100,127.87,100,127.79,100
423,0.28,0.07,0.21,30.840000000000003,09:33:30,127.77,100,127.87,100,127.77,100
486,0.25,0.07,0.18,0.0,09:34:00,127.83,100,127.99,100,127.87,100
609,0.49,0.2,0.29,56.449999999999996,09:34:56,127.92,100,128.18,100,128.0,100
614,0.38,0.08,0.3,0.0,09:35:00,127.92,100,128.04,100,127.92,100
771,2.1,1.83,0.27,2.44,09:36:02,127.67,600,127.9,100,127.82,100
800,0.44000000000000006,0.17,0.27,19.02,09:36:19,127.68,600,127.85,100,127.69,100
855,0.35000000000000003,0.07,0.28,43.070000000000014,09:36:43,127.59,100,127.75,300,127.62,100
880,0.46,0.07,0.39,0.0,09:37:00,127.57,100,127.73,200,127.595,100
889,0.67,0.21,0.46,5.03,09:37:05,127.43,100,127.62,100,127.57,100
897,1.12,0.75,0.37,9.260000000000002,09:37:09,127.43,100,127.62,100,127.525,100
905,0.42000000000000004,0.1,0.32,16.91,09:37:16,127.45,200,127.61,100,127.47,136
1055,0.55,0.24,0.31,0.0,09:38:00,127.46,100,127.59,100,127.55,100
1060,0.33,0.08,0.25,1.92,09:38:01,127.49,100,127.59,100,127.535,100
1137,0.31,0.08,0.23,0.0,09:39:00,127.54,100,127.69,100,127.59,100
1177,0.36,0.15,0.21,19.87,09:39:19,127.55,100,127.68,100,127.64,100
1202,0.47,0.18,0.29,29.83,09:39:29,127.57,100,127.65,200,127.61,100
1231,0.29,0.08,0.21,41.610000000000014,09:39:41,127.6,200,127.68,100,127.65,100
1238,0.38,0.19,0.19,43.95000000000002,09:39:43,127.61,200,127.73,1200,127.67,100
1482,0.45999999999999996,0.24,0.22,10.190000000000001,09:41:10,127.52,300,127.67,300,127.63,100
1627,0.44,0.24,0.2,20.26,09:42:20,127.53,100,127.58,300,127.53,100
1632,0.33,0.07,0.26,22.029999999999998,09:42:22,127.53,100,127.6,300,127.58,300
1972,1.42,1.15,0.27,2.02,09:45:02,127.52,300,127.61,300,127.52,100
2005,0.43,0.07,0.36,17.300000000000004,09:45:17,127.59,100,127.66,200,127.6,100
2209,0.53,0.27,0.26,0.0,09:46:00,127.6,200,127.71,100,127.7,100
2210,0.26,0.08,0.18,0.26,09:46:00,127.6,100,127.71,100,127.66,100
2347,0.42,0.21,0.21,23.78,09:47:23,127.61,100,127.68,1200,127.645,100
2742,0.39,0.21,0.18,22.110000000000014,09:50:22,127.62,100,127.7,100,127.635,100
2794,2.9,2.59,0.31,0.0,09:51:00,127.48,100,127.6,100,127.54,100
3201,0.36,0.2,0.16,0.0,09:53:00,127.42,100,127.55,200,127.465,100
3349,0.39,0.2,0.19,21.919999999999998,09:54:21,127.46,300,127.56,100,127.51,100
