,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,25.53,200,25.58,100,25.55,100
56,0.30000000000000004,0.07,0.23,0.0,09:31:00,25.54,100,25.55,100,25.54,100
81,0.43000000000000005,0.17,0.26,17.08,09:31:17,25.55,100,25.56,100,25.56,100
175,0.32,0.14,0.18,50.99000000000001,09:31:50,25.57,100,25.58,100,25.58,100
202,2.2199999999999998,2.03,0.19,2.2199999999999998,09:32:02,25.58,200,25.59,300,25.59,100
209,1.96,1.75,0.21,6.0200000000000005,09:32:06,25.58,200,25.59,300,25.585,600
227,0.36,0.19,0.17,11.41,09:32:11,25.59,100,25.6,300,25.6,100
234,0.23,0.07,0.16,13.38,09:32:13,25.6,100,25.61,200,25.61,100
338,0.3,0.08,0.22,0.0,09:33:00,25.56,200,25.57,200,25.57,100
458,0.27,0.09,0.18,52.11000000000001,09:33:52,25.53,300,25.54,200,25.53,100
486,0.25,0.07,0.18,0.0,09:34:00,25.5,300,25.51,300,25.52,100
492,0.34,0.14,0.2,1.87,09:34:01,25.49,300,25.5,500,25.5,100
508,1.78,1.57,0.21,9.100000000000001,09:34:09,25.49,300,25.5,400,25.49,100
509,2.14,1.95,0.19,11.240000000000002,09:34:11,25.48,200,25.49,400,25.480999999999998,100
516,0.42000000000000004,0.2,0.22,20.060000000000002,09:34:20,25.47,500,25.48,400,25.48,100
561,0.26,0.08,0.18,37.86999999999999,09:34:37,25.46,600,25.47,700,25.47,100
566,0.33,0.08,0.25,39.94999999999999,09:34:39,25.45,600,25.46,200,25.46,100
609,0.49,0.2,0.29,56.449999999999996,09:34:56,25.45,500,25.46,400,25.45,137
657,0.54,0.28,0.26,28.75,09:35:28,25.51,100,25.52,1700,25.51,100
785,0.42,0.21,0.21,20.21,09:36:20,25.54,100,25.55,700,25.545,100
884,0.51,0.08,0.43,5.59,09:37:05,25.57,600,25.58,500,25.575,100
1104,0.45,0.18,0.27,36.21999999999999,09:38:36,25.59,200,25.6,1200,25.595,100
1137,0.31,0.08,0.23,2.1999999999999997,09:39:02,25.56,800,25.57,400,25.565,100
1177,0.36,0.15,0.21,22.070000000000004,09:39:22,25.54,100,25.55,800,25.541,300
1197,0.53,0.17,0.36,30.130000000000003,09:39:30,25.55,100,25.56,600,25.555,100
1226,0.27,0.08,0.19,42.09000000000001,09:39:42,25.53,400,25.54,400,25.5333,200
1231,0.29,0.08,0.21,43.81000000000001,09:39:43,25.53,400,25.54,800,25.535,100
2110,0.37,0.1,0.27,0.0,09:46:00,25.52,700,25.53,500,25.525,100
2464,0.47,0.22,0.25,28.319999999999993,09:48:28,25.47,1000,25.48,700,25.475,100
2695,0.28,0.07,0.21,25.92,09:50:25,25.46,700,25.47,800,25.465,100
3367,0.36,0.18,0.18,58.05000000000003,09:54:58,25.48,1900,25.49,400,25.485,100
4159,0.5,0.24,0.26,37.99999999999999,10:00:37,25.5,600,25.51,800,25.505,100
4499,0.30000000000000004,0.1,0.2,0.0,10:03:00,25.51,900,25.52,500,25.515,100
4608,0.24000000000000002,0.07,0.17,41.760000000000005,10:03:41,25.49,300,25.5,700,25.495,100
6972,4.779999999999999,4.47,0.31,0.0,10:25:00,25.54,400,25.55,1000,25.5401,100
8009,0.52,0.24,0.28,0.0,10:34:00,25.54,700,25.55,800,25.5456,170
8299,0.6,0.21,0.39,31.340000000000007,10:37:31,25.56,1100,25.57,800,25.5692,100
8806,0.81,0.17,0.64,40.199999999999996,10:43:40,25.56,1100,25.57,800,25.5615,202
9471,2.39,1.81,0.58,10.01,10:51:10,25.6,600,25.61,1400,25.605,100
9474,0.6100000000000001,0.07,0.54,14.009999999999998,10:51:14,25.61,500,25.62,1200,25.62,100
9686,0.62,0.29,0.33,42.03999999999999,10:53:42,25.62,600,25.63,1200,25.63,100
9703,0.59,0.24,0.35,51.849999999999994,10:53:51,25.63,800,25.64,800,25.64,100
9710,0.58,0.15,0.43,56.019999999999996,10:53:56,25.64,400,25.65,600,25.65,100
9808,0.5800000000000001,0.07,0.51,0.0,10:57:00,25.62,800,25.63,600,25.625,100
10046,0.57,0.21,0.36,25.0,10:59:25,25.63,2000,25.64,600,25.635,100
10078,0.76,0.35,0.41,42.98000000000002,10:59:42,25.64,2300,25.65,400,25.645,300
10385,0.57,0.08,0.49,23.22,11:05:23,25.59,1300,25.6,600,25.5992,100
10840,0.63,0.08,0.55,38.040000000000006,11:10:38,25.65,700,25.66,700,25.655,102
11616,0.76,0.07,0.69,19.790000000000003,11:21:19,25.55,900,25.56,600,25.5554,100
12655,0.58,0.22,0.36,26.779999999999998,11:37:26,25.54,1000,25.55,2400,25.541999999999998,500
15066,0.44999999999999996,0.21,0.24,0.0,11:57:00,25.56,1400,25.57,600,25.5646,115
16179,0.36,0.2,0.16,0.0,12:05:00,25.55,400,25.56,1000,25.5559,200
16375,0.26,0.09,0.17,0.0,12:06:00,25.53,600,25.54,1700,25.5389,100
16402,0.27,0.08,0.19,8.130000000000003,12:06:08,25.53,600,25.54,1000,25.539,865
17017,0.43,0.22,0.21,28.049999999999994,12:10:28,25.54,900,25.55,800,25.5432,263
17760,3.09,2.88,0.21,0.0,12:15:00,25.55,1000,25.56,2400,25.5599,175
17887,0.27,0.07,0.2,50.21000000000002,12:15:50,25.53,400,25.54,2300,25.5301,400
18285,0.23,0.07,0.16,24.65999999999999,12:18:24,25.54,600,25.55,1900,25.5447,100
21208,0.39,0.18,0.21,35.96999999999999,12:37:35,25.57,1100,25.58,1300,25.5767,264
24052,0.26,0.08,0.18,11.339999999999998,13:00:11,25.66,400,25.67,900,25.66,100
24101,0.25,0.07,0.18,27.349999999999998,13:00:27,25.67,800,25.68,1700,25.68,100
24121,0.32,0.14,0.18,0.0,13:01:00,25.68,1500,25.69,300,25.69,100
24198,0.23,0.07,0.16,35.62999999999999,13:01:35,25.7,200,25.71,1000,25.71,100
24211,0.3,0.09,0.21,39.89999999999998,13:01:39,25.71,600,25.72,1000,25.72,100
24240,0.26,0.08,0.18,49.63999999999998,13:01:49,25.69,400,25.7,1400,25.7,100
24271,0.32,0.15,0.17,0.0,13:02:00,25.67,200,25.68,1600,25.67,100
24889,0.24000000000000002,0.07,0.17,42.35999999999999,13:05:42,25.66,700,25.67,900,25.665,200
25078,0.4,0.12,0.28,5.19,13:10:05,25.67,300,25.68,1100,25.675,100
25672,0.6200000000000001,0.07,0.55,8.43,13:15:08,25.69,500,25.7,600,25.695,100
25820,0.64,0.23,0.41,10.63,13:17:10,25.68,200,25.69,2100,25.685,100
26538,1.17,0.22,0.95,7.97,13:25:07,25.72,700,25.73,1500,25.73,100
26578,0.82,0.1,0.72,33.98000000000001,13:26:33,25.71,700,25.72,1200,25.725,100
26600,1.22,0.23,0.99,0.0,13:27:00,25.71,600,25.72,700,25.715,100
26682,1.1800000000000002,0.07,1.11,26.24,13:28:26,25.71,1700,25.72,700,25.7165,365
26778,1.22,0.07,1.15,0.0,13:30:00,25.74,1500,25.75,1200,25.75,600
26779,1.19,0.3,0.89,1.19,13:30:01,25.74,2800,25.75,1100,25.745,100
26789,1.2,0.16,1.04,0.0,13:31:00,25.74,1600,25.75,1200,25.74,600
26802,1.03,0.08,0.95,15.609999999999996,13:31:15,25.74,600,25.75,1100,25.7466,2000
26807,1.2,0.07,1.13,21.799999999999997,13:31:21,25.75,1200,25.76,500,25.76,100
26812,1.2,0.17,1.03,28.589999999999996,13:31:28,25.74,500,25.75,1100,25.755,100
26831,1.23,0.18,1.05,0.0,13:32:00,25.76,800,25.77,600,25.77,200
26939,1.0,0.31,0.69,2.0,13:34:02,25.74,600,25.75,1700,25.7442,2000
26984,1.3800000000000001,0.07,1.31,15.01,13:35:15,25.76,1100,25.77,1400,25.765,238
26998,1.02,0.07,0.95,32.2,13:35:32,25.78,1200,25.79,700,25.78,100
27004,1.42,0.2,1.22,40.010000000000005,13:35:40,25.78,1000,25.79,600,25.79,200
27394,0.99,0.08,0.91,49.429999999999986,13:44:49,25.73,600,25.74,1000,25.735,100
27416,1.0,0.22,0.78,0.0,13:45:00,25.74,900,25.75,900,25.7446,200
