,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,26.19,100,26.25,300,26.2,100
16,0.32,0.08,0.24,6.53,09:30:06,26.19,100,26.25,300,26.24,100
42,0.32,0.07,0.25,16.54,09:30:16,26.18,200,26.21,200,26.195,200
56,0.30000000000000004,0.07,0.23,0.0,09:31:00,26.17,100,26.21,100,26.21,100
64,2.08,1.88,0.2,4.69,09:31:04,26.17,100,26.2,300,26.1827,1000
81,0.43000000000000005,0.17,0.26,17.08,09:31:17,26.19,200,26.22,300,26.22,100
105,0.41000000000000003,0.23,0.18,25.37,09:31:25,26.19,100,26.22,300,26.19,100
122,0.32,0.12,0.2,31.12,09:31:31,26.2,100,26.24,400,26.23,100
167,0.27,0.08,0.19,48.44000000000001,09:31:48,26.18,100,26.22,200,26.2001,100
197,2.11,1.93,0.18,0.0,09:32:00,26.2,200,26.24,100,26.239,100
240,0.27,0.09,0.18,22.939999999999998,09:32:22,26.24,300,26.25,200,26.25,100
283,0.25,0.09,0.16,37.160000000000004,09:32:37,26.17,200,26.18,100,26.18,100
289,0.30000000000000004,0.14,0.16,39.21000000000001,09:32:39,26.18,100,26.19,300,26.175,100
295,0.33999999999999997,0.18,0.16,41.170000000000016,09:32:41,26.16,200,26.17,100,26.17,100
315,0.3,0.08,0.22,47.38000000000002,09:32:47,26.19,100,26.2,500,26.205,200
325,0.25,0.07,0.18,51.37000000000001,09:32:51,26.18,100,26.19,100,26.185,200
350,3.75,3.46,0.29,9.190000000000001,09:33:09,26.21,100,26.22,300,26.215,400
486,0.25,0.07,0.18,0.0,09:34:00,26.14,300,26.15,200,26.16,100
492,0.34,0.14,0.2,1.87,09:34:01,26.13,1200,26.14,200,26.13,100
499,0.38,0.19,0.19,4.080000000000001,09:34:04,26.14,500,26.15,600,26.15,100
