,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,81.5,300,81.58,600,81.52,100
16,0.32,0.08,0.24,6.53,09:30:06,81.47,600,81.53,300,81.53,100
22,0.3,0.08,0.22,8.47,09:30:08,81.47,500,81.52,200,81.48,100
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,81.49,100,81.52,200,81.495,113
37,0.44,0.21,0.23,14.589999999999998,09:30:14,81.48,200,81.52,200,81.5,113
42,0.32,0.07,0.25,16.54,09:30:16,81.48,200,81.52,200,81.5032,1000
45,0.32,0.09,0.23,0.0,09:31:00,81.44,100,81.5,200,81.465,100
46,0.35000000000000003,0.08,0.27,0.35000000000000003,09:31:00,81.44,500,81.5,200,81.44,100
51,0.4,0.18,0.22,2.33,09:31:02,81.44,400,81.5,200,81.49,100
56,0.30000000000000004,0.07,0.23,5.329999999999999,09:31:05,81.44,400,81.5,200,81.4666,998
88,0.39,0.2,0.19,24.620000000000005,09:31:24,81.5,100,81.52,300,81.51,100
117,0.3,0.08,0.22,34.730000000000004,09:31:34,81.36,300,81.45,700,81.405,114
122,0.32,0.12,0.2,36.45000000000001,09:31:36,81.32,100,81.36,100,81.35,100
148,0.4,0.08,0.32,46.49000000000002,09:31:46,81.32,100,81.36,300,81.34,100
186,0.29,0.08,0.21,0.0,09:32:00,81.32,300,81.35,200,81.3254,2000
187,0.24000000000000002,0.07,0.17,0.24000000000000002,09:32:00,81.29,100,81.32,400,81.31,100
193,0.41000000000000003,0.21,0.2,2.27,09:32:02,81.29,100,81.32,400,81.305,117
200,2.27,2.05,0.22,8.01,09:32:08,81.28,100,81.32,100,81.29,100
201,4.77,4.56,0.21,12.78,09:32:12,81.24,100,81.3,900,81.28,100
202,2.2199999999999998,2.03,0.19,15.0,09:32:15,81.22,100,81.28,400,81.24,100
206,0.24000000000000002,0.07,0.17,16.12,09:32:16,81.22,100,81.24,400,81.25,900
209,1.96,1.75,0.21,18.8,09:32:18,81.21,200,81.25,600,81.2425,100
246,0.36,0.18,0.18,30.23999999999999,09:32:30,81.23,400,81.27,200,81.27,400
264,0.24000000000000002,0.07,0.17,36.509999999999984,09:32:36,81.23,200,81.27,200,81.23,100
283,0.25,0.09,0.16,42.359999999999985,09:32:42,81.32,200,81.39,100,81.32,100
295,0.33999999999999997,0.18,0.16,46.37,09:32:46,81.38,300,81.44,200,81.4,100
315,0.3,0.08,0.22,52.58,09:32:52,81.4,200,81.44,100,81.43,100
354,2.19,1.96,0.23,12.57,09:33:12,81.33,200,81.36,300,81.36,100
405,0.5700000000000001,0.28,0.29,33.96,09:33:33,81.17,100,81.22,400,81.21,112
412,0.47000000000000003,0.27,0.2,35.970000000000006,09:33:35,81.15,200,81.19,100,81.17,100
417,0.39,0.2,0.19,37.88000000000001,09:33:37,81.07,200,81.15,100,81.12,100
423,0.28,0.07,0.21,40.030000000000015,09:33:40,81.07,200,81.15,100,81.14,112
427,0.41000000000000003,0.17,0.24,42.00000000000001,09:33:42,81.07,100,81.13,400,81.15,100
452,0.26,0.07,0.19,49.95000000000001,09:33:49,81.08,100,81.17,200,81.09,100
458,0.27,0.09,0.18,52.11000000000001,09:33:52,80.95,300,80.99,100,80.95,200
464,0.39,0.17,0.22,54.36000000000001,09:33:54,80.95,200,80.99,200,80.98,100
475,0.32,0.09,0.23,58.21000000000001,09:33:58,80.99,100,81.04,100,81.0,100
511,0.48,0.27,0.21,10.180000000000001,09:34:10,80.96,100,80.99,300,80.99,100
515,1.4000000000000001,1.06,0.34,17.77,09:34:17,80.9,300,80.91,100,80.91,100
516,0.42000000000000004,0.2,0.22,18.19,09:34:18,80.86,400,80.92,100,80.92,100
522,0.33,0.07,0.26,20.459999999999997,09:34:20,80.86,300,80.91,300,80.86,500
561,0.26,0.08,0.18,35.999999999999986,09:34:35,80.94,200,80.98,100,80.97,100
577,0.43,0.14,0.29,42.289999999999985,09:34:42,80.94,200,80.98,100,80.9577,300
588,0.29000000000000004,0.07,0.22,46.009999999999984,09:34:46,80.97,200,81.0,400,80.9868,500
594,0.38,0.14,0.24,48.26999999999999,09:34:48,80.99,200,81.06,100,81.06,100
604,0.4,0.12,0.28,52.20999999999999,09:34:52,80.97,200,81.01,100,81.01,100
615,0.54,0.21,0.33,0.0,09:35:00,80.97,200,81.03,200,80.976,189
618,0.34,0.07,0.27,4.63,09:35:04,80.88,100,80.94,300,80.88,100
625,2.72,2.35,0.37,14.440000000000001,09:35:14,80.89,200,80.94,100,80.93,100
