,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,991.67,100,992.55,100,992.24,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,991.68,100,992.55,100,992.34,100
12,0.35,0.16,0.19,4.76,09:30:04,991.68,100,992.55,100,992.23,100
32,0.43,0.21,0.22,12.59,09:30:12,991.69,100,992.5,200,992.27,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,991.69,100,992.5,200,992.079,500
59,0.33,0.1,0.23,0.0,09:31:00,991.8,100,992.37,200,992.085,150
65,0.31,0.07,0.24,3.81,09:31:03,991.8,100,992.37,200,992.25,100
75,0.89,0.62,0.27,10.45,09:31:10,991.41,100,992.12,300,991.84,109
77,1.79,1.43,0.36,12.669999999999998,09:31:12,991.72,100,992.38,200,992.48,100
80,1.4100000000000001,1.07,0.34,15.459999999999997,09:31:15,991.78,100,992.89,100,992.38,188
94,0.27,0.07,0.2,20.0,09:31:20,991.65,100,992.38,300,992.31,100
117,0.3,0.08,0.22,28.21,09:31:28,991.8,100,992.38,300,992.1189999999999,102
182,0.33,0.07,0.26,52.09,09:31:52,991.73,100,992.35,100,991.8,100
201,4.77,4.56,0.21,0.0,09:32:00,992.08,100,992.37,100,991.88,100
202,2.2199999999999998,2.03,0.19,2.2199999999999998,09:32:02,991.74,100,992.37,100,991.76,100
241,0.26,0.09,0.17,15.620000000000001,09:32:15,991.76,100,992.38,300,991.86,100
283,0.25,0.09,0.16,29.58,09:32:29,991.8,100,992.34,100,991.93,100
295,0.33999999999999997,0.18,0.16,33.59,09:32:33,991.8,100,992.34,100,992.21,100
309,0.25,0.07,0.18,37.760000000000005,09:32:37,991.8,100,992.34,100,992.07,200
350,3.75,3.46,0.29,0.0,09:33:00,991.87,100,992.32,100,992.29,100
354,2.19,1.96,0.23,3.38,09:33:03,991.84,100,992.3,100,992.065,100
362,2.69,2.48,0.21,9.819999999999999,09:33:09,991.84,100,992.27,100,992.0917,300
365,0.42000000000000004,0.23,0.19,10.769999999999998,09:33:10,991.84,100,992.27,100,992.12,195
375,0.32,0.15,0.17,14.729999999999997,09:33:14,991.84,300,992.15,100,992.0,100
393,0.35,0.18,0.17,20.679999999999996,09:33:20,991.84,300,992.17,100,992.16,100
