,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,1009.18,100,1010.0,1000,1009.918,200
37,0.44,0.21,0.23,14.589999999999998,09:30:14,1009.19,100,1010.0,1000,1009.82,100
46,0.35000000000000003,0.08,0.27,0.0,09:31:00,1009.19,100,1010.0,1000,1009.89,100
56,0.30000000000000004,0.07,0.23,4.9799999999999995,09:31:04,1009.2,100,1010.0,700,1010.0,100
64,2.08,1.88,0.2,9.670000000000002,09:31:09,1009.23,100,1010.0,600,1009.6612,100
77,1.79,1.43,0.36,18.84,09:31:18,1009.61,100,1010.26,500,1010.21,100
80,1.4100000000000001,1.07,0.34,21.630000000000003,09:31:21,1009.61,100,1010.26,500,1009.935,164
105,0.41000000000000003,0.23,0.18,30.350000000000005,09:31:30,1009.67,200,1010.26,600,1010.15,100
117,0.3,0.08,0.22,34.38,09:31:34,1009.67,200,1010.26,600,1009.67,410
133,0.26,0.07,0.19,40.170000000000016,09:31:40,1009.67,200,1010.26,600,1009.955,1000
156,0.48,0.21,0.27,50.20000000000002,09:31:50,1009.69,100,1010.26,700,1010.03,100
163,0.43,0.24,0.19,52.29000000000002,09:31:52,1009.69,100,1010.26,600,1009.81,100
182,0.33,0.07,0.26,58.26000000000002,09:31:58,1009.67,100,1010.2,100,1009.86,100
197,2.11,1.93,0.18,0.0,09:32:00,1009.67,100,1010.26,700,1009.965,500
201,4.77,4.56,0.21,7.58,09:32:07,1010.01,100,1010.26,600,1010.19,100
202,2.2199999999999998,2.03,0.19,9.8,09:32:09,1009.5,400,1010.01,100,1010.0175,100
209,1.96,1.75,0.21,13.600000000000001,09:32:13,1009.51,100,1010.01,100,1009.51,100
241,0.26,0.09,0.17,23.2,09:32:23,1009.76,100,1010.26,500,1009.93,100
246,0.36,0.18,0.18,25.039999999999996,09:32:25,1009.77,100,1010.26,500,1010.16,100
252,0.24000000000000002,0.07,0.17,27.129999999999992,09:32:27,1009.74,100,1010.26,500,1009.8,100
258,0.39,0.22,0.17,29.359999999999996,09:32:29,1009.7,100,1010.26,500,1010.0024,150
264,0.24000000000000002,0.07,0.17,31.31,09:32:31,1010.0,100,1010.26,500,1009.7,100
283,0.25,0.09,0.16,37.160000000000004,09:32:37,1009.67,100,1010.2,100,1009.68,100
352,0.35,0.18,0.17,0.0,09:33:00,1009.71,200,1010.18,100,1009.71,135
387,0.42000000000000004,0.22,0.2,18.319999999999997,09:33:18,1009.71,200,1010.0,100,1009.8095,220
417,0.39,0.2,0.19,28.08,09:33:28,1009.69,200,1009.99,100,1009.85,100
427,0.41000000000000003,0.17,0.24,32.2,09:33:32,1009.5,400,1009.88,100,1009.5,255
433,0.26,0.07,0.19,34.010000000000005,09:33:34,1009.06,200,1009.69,200,1009.01,100
446,0.25,0.07,0.18,38.27000000000001,09:33:38,1009.34,100,1009.69,200,1009.44,200
470,0.41000000000000003,0.19,0.22,46.550000000000004,09:33:46,1009.37,200,1009.69,200,1009.61,100
475,0.32,0.09,0.23,48.410000000000004,09:33:48,1009.33,200,1009.69,400,1009.37,105
508,1.78,1.57,0.21,9.100000000000001,09:34:09,1009.56,100,1009.97,100,1009.6439999999999,120
513,2.17,1.87,0.3,14.470000000000002,09:34:14,1009.64,100,1010.0,300,1009.98,100
516,0.42000000000000004,0.2,0.22,20.060000000000002,09:34:20,1009.67,200,1010.13,100,1010.1,100
546,0.45,0.2,0.25,31.939999999999994,09:34:31,1009.79,300,1010.13,100,1009.905,100
552,0.5800000000000001,0.25,0.33,34.41,09:34:34,1009.75,100,1010.2,100,1010.06,200
555,0.39,0.18,0.21,35.669999999999995,09:34:35,1009.75,100,1010.2,100,1009.75,100
583,0.31,0.13,0.18,45.98999999999999,09:34:45,1009.48,200,1010.1,100,1009.52,100
625,2.72,2.35,0.37,0.0,09:35:00,1009.15,100,1009.68,100,1009.29,100
628,0.45,0.22,0.23,1.64,09:35:01,1009.15,100,1009.67,100,1009.35,100
632,0.29000000000000004,0.07,0.22,3.7,09:35:03,1009.15,200,1009.65,100,1009.41,200
636,0.43,0.22,0.21,5.609999999999999,09:35:05,1009.15,100,1009.65,100,1009.27,100
668,0.26,0.07,0.19,17.689999999999998,09:35:17,1009.25,100,1009.95,100,1009.59,100
690,0.33,0.08,0.25,26.010000000000005,09:35:26,1009.32,200,1010.19,100,1009.365,100
