,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,97.14,100,97.45,200,97.17,8727
87,0.25,0.08,0.17,0.0,09:31:00,96.96,100,97.18,100,97.115,200
214,0.33999999999999997,0.18,0.16,0.0,09:32:00,97.06,100,97.3,100,97.185,100
399,0.38,0.21,0.17,0.0,09:33:00,97.15,100,97.23,100,97.21,100
412,0.47000000000000003,0.27,0.2,4.0200000000000005,09:33:04,97.15,100,97.22,200,97.15,100
423,0.28,0.07,0.21,8.08,09:33:08,97.07,100,97.19,100,97.13,100
540,0.35,0.13,0.22,0.0,09:34:00,97.08,100,97.16,100,97.12,100
600,0.35000000000000003,0.08,0.27,22.449999999999996,09:34:22,97.13,100,97.24,100,97.16,100
623,1.67,1.41,0.26,0.0,09:35:00,97.06,100,97.09,100,97.06,100
759,0.38,0.21,0.17,0.0,09:36:00,97.12,100,97.23,300,97.23,100
931,0.5,0.07,0.43,0.0,09:37:00,97.08,200,97.21,2200,97.08,100
970,0.46,0.2,0.26,15.610000000000005,09:37:15,97.09,100,97.2,100,97.145,3750
989,0.36,0.07,0.29,23.67000000000001,09:37:23,97.09,100,97.18,100,97.135,100
1011,0.56,0.27,0.29,0.0,09:38:00,97.08,100,97.16,100,97.09,200
1015,1.01,0.75,0.26,2.33,09:38:02,97.12,100,97.23,100,97.18,100
1039,0.49,0.07,0.42,17.85,09:38:17,97.17,100,97.29,200,97.24,100
1065,0.28,0.07,0.21,29.65,09:38:29,97.17,100,97.28,300,97.28,110
1137,0.31,0.08,0.23,8.25,09:39:08,97.29,100,97.37,100,97.33,100
1142,0.37,0.18,0.19,10.05,09:39:10,97.3,200,97.44,100,97.37,100
1261,0.35,0.17,0.18,0.0,09:40:00,97.33,100,97.43,700,97.43,204
1283,2.42,2.13,0.29,13.54,09:40:13,97.29,100,97.41,400,97.31,100
1438,0.28,0.07,0.21,7.92,09:41:07,97.24,100,97.4,100,97.27,100
1568,0.38,0.07,0.31,0.0,09:42:00,97.23,100,97.32,200,97.275,300
1577,0.48,0.17,0.31,3.97,09:42:03,97.24,200,97.32,100,97.2405,100
1605,0.39,0.09,0.3,15.680000000000001,09:42:15,97.2,100,97.31,200,97.2,100
1627,0.44,0.24,0.2,25.940000000000005,09:42:25,97.15,100,97.23,100,97.19,100
2389,0.31,0.09,0.22,0.0,09:48:00,97.12,200,97.21,100,97.11,100
2654,0.33,0.08,0.25,0.0,09:50:00,97.12,300,97.19,100,97.155,100
2773,0.29,0.08,0.21,0.0,09:51:00,97.03,100,97.17,200,97.05,100
2791,0.26,0.07,0.19,6.019999999999999,09:51:06,97.03,100,97.15,200,97.03,100
