,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,36.5,300,36.61,200,36.5,14764
110,0.5,0.28,0.22,0.0,09:31:00,36.46,100,36.5,100,36.51,100
122,0.32,0.12,0.2,3.8699999999999997,09:31:03,36.46,100,36.5,100,36.48,100
127,0.6000000000000001,0.27,0.33,5.98,09:31:05,36.51,100,36.59,400,36.54,2700
200,2.27,2.05,0.22,0.0,09:32:00,36.53,300,36.59,100,36.59,100
295,0.33999999999999997,0.18,0.16,38.36000000000002,09:32:38,36.52,100,36.57,300,36.53,100
944,0.43,0.08,0.35,12.200000000000001,09:37:12,36.51,1200,36.54,200,36.52,100
979,0.35000000000000003,0.07,0.28,26.02000000000001,09:37:26,36.51,700,36.54,200,36.5232,200
1161,0.37,0.09,0.28,20.320000000000004,09:39:20,36.53,400,36.55,200,36.55,100
1266,0.52,0.28,0.24,0.0,09:40:00,36.55,100,36.58,1200,36.56,100
1672,0.46,0.08,0.38,0.0,09:43:00,36.49,600,36.51,200,36.49,100
1788,0.29000000000000004,0.07,0.22,49.690000000000005,09:43:49,36.48,300,36.5,400,36.47,100
1852,0.33,0.07,0.26,17.669999999999998,09:44:17,36.46,400,36.48,700,36.46,100
1873,0.36,0.14,0.22,25.929999999999996,09:44:25,36.45,400,36.46,100,36.45,200
1916,0.46,0.27,0.19,42.00000000000002,09:44:42,36.43,400,36.45,200,36.42,100
1970,1.2,0.89,0.31,8.54,09:45:08,36.45,100,36.46,400,36.44,164
1977,1.44,1.19,0.25,14.569999999999999,09:45:14,36.46,200,36.48,400,36.4644,500
2502,0.25,0.07,0.18,51.68,09:48:51,36.45,900,36.46,100,36.455,261
2605,0.43,0.18,0.25,25.830000000000005,09:49:25,36.44,500,36.45,200,36.445,300
2667,0.5499999999999999,0.08,0.47,2.04,09:50:02,36.42,500,36.43,100,36.43,100
2712,0.5,0.27,0.23,26.220000000000002,09:50:26,36.4,200,36.41,300,36.4,100
2725,0.27,0.07,0.2,32.06,09:50:32,36.39,4600,36.4,400,36.38,100
3036,0.37,0.17,0.2,48.03000000000001,09:52:48,36.4,100,36.41,400,36.405,300
3071,0.4,0.17,0.23,0.0,09:53:00,36.38,500,36.39,100,36.39,100
3093,3.09,2.82,0.27,14.209999999999999,09:53:14,36.38,200,36.39,400,36.385,100
3189,0.44,0.23,0.21,47.779999999999966,09:53:47,36.41,400,36.43,300,36.41,100
3240,2.9800000000000004,2.74,0.24,0.0,09:54:00,36.42,300,36.44,400,36.425,100
3693,0.29000000000000004,0.07,0.22,11.11,09:57:11,36.38,200,36.39,300,36.37,100
4159,0.5,0.24,0.26,28.049999999999997,10:00:28,36.44,100,36.45,400,36.4399,100
4347,0.37,0.19,0.18,51.58000000000003,10:01:51,36.43,200,36.44,300,36.4299,125
4797,0.33,0.07,0.26,0.0,10:05:00,36.43,600,36.44,300,36.435,100
5010,0.35,0.09,0.26,38.230000000000004,10:06:38,36.43,600,36.44,400,36.4342,725
5462,168.17,168.0,0.17,0.0,10:12:00,36.51,700,36.52,300,36.5151,275
5608,0.47,0.23,0.24,32.19,10:13:32,36.5,500,36.51,600,36.5075,100
5717,1.59,1.33,0.26,5.8,10:14:05,36.51,300,36.53,400,36.512,200
6105,0.25,0.08,0.17,36.36,10:16:36,36.49,500,36.51,400,36.492,200
6140,0.26,0.07,0.19,48.400000000000006,10:16:48,36.49,1900,36.5,500,36.495,100
6261,0.6,0.18,0.42,42.629999999999995,10:17:42,36.46,2800,36.47,500,36.465,100
6384,0.39,0.17,0.22,24.249999999999996,10:19:24,36.46,400,36.47,100,36.461,900
7233,0.45,0.23,0.22,17.25,10:27:17,36.47,200,36.48,1600,36.4764,100
7465,0.37,0.19,0.18,9.12,10:29:09,36.45,500,36.46,800,36.452,325
7602,1.69,1.39,0.3,16.77,10:30:16,36.45,500,36.46,500,36.4599,1600
7620,0.43,0.21,0.22,24.16,10:30:24,36.45,2700,36.46,800,36.4544,400
7946,0.41000000000000003,0.21,0.2,0.0,10:34:00,36.47,400,36.48,300,36.475,100
8582,3.0200000000000005,2.49,0.53,6.800000000000001,10:41:06,36.45,3300,36.46,800,36.4534,500
8936,4.2,3.76,0.44,8.77,10:45:08,36.48,1400,36.49,1000,36.485,100
9297,0.5800000000000001,0.07,0.51,5.95,10:49:05,36.5,300,36.51,1100,36.505,200
9438,0.6,0.17,0.43,24.140000000000004,10:50:24,36.49,1200,36.5,600,36.4903,100
9689,0.76,0.39,0.37,23.82,10:53:23,36.51,1100,36.52,500,36.515,100
9756,118.97,118.36,0.61,0.0,10:56:00,36.5,500,36.51,200,36.5001,160
9780,0.6,0.11,0.49,16.23,10:56:16,36.49,1200,36.5,500,36.491,100
10020,0.6100000000000001,0.28,0.33,17.22,10:59:17,36.48,400,36.49,300,36.481,200
10175,0.58,0.08,0.5,0.0,11:01:00,36.49,200,36.5,400,36.4925,100
10318,0.77,0.23,0.54,42.48000000000002,11:04:42,36.5,600,36.51,500,36.5016,1550
10441,0.62,0.31,0.31,17.38,11:06:17,36.5,700,36.51,900,36.5046,300
10930,0.5900000000000001,0.19,0.4,25.459999999999997,11:11:25,36.5,900,36.51,400,36.5056,200
11606,0.8,0.24,0.56,26.200000000000006,11:21:26,36.52,500,36.53,400,36.525,200
12156,0.8300000000000001,0.18,0.65,33.42999999999999,11:30:33,36.49,400,36.5,1000,36.4954,274
12526,0.66,0.27,0.39,43.6,11:34:43,36.45,300,36.46,200,36.451,700
14085,0.31,0.12,0.19,13.919999999999998,11:51:13,36.44,400,36.45,300,36.4443,600
14134,0.26,0.07,0.19,30.060000000000002,11:51:30,36.43,700,36.44,600,36.4325,200
14423,0.35,0.17,0.18,31.95,11:53:31,36.42,700,36.43,400,36.4254,770
14851,0.25,0.07,0.18,16.019999999999996,11:56:16,36.41,900,36.42,600,36.415,100
15282,1.96,1.63,0.33,18.800000000000004,11:59:18,36.4,2000,36.41,700,36.4044,130
19766,0.41000000000000003,0.24,0.17,0.66,12:28:00,36.36,400,36.37,900,36.36,100
20075,0.39,0.21,0.18,16.009999999999998,12:30:16,36.34,600,36.35,400,36.35,100
20094,0.26,0.07,0.19,25.76,12:30:25,36.34,100,36.35,600,36.345,100
20422,0.31000000000000005,0.14,0.17,35.90000000000001,12:32:35,36.34,400,36.35,600,36.349000000000004,125
20453,0.24000000000000002,0.07,0.17,45.93000000000003,12:32:45,36.33,1000,36.35,1000,36.34,100
20475,4.539999999999999,4.27,0.27,56.80000000000001,12:32:56,36.33,300,36.34,300,36.33,100
20495,0.33,0.13,0.2,5.82,12:33:05,36.35,400,36.36,400,36.355,100
21252,0.37,0.12,0.25,32.00000000000001,12:37:32,36.39,300,36.4,600,36.3935,230
21651,0.28,0.08,0.2,0.0,12:41:00,36.37,1100,36.38,500,36.371,750
22509,2.99,2.72,0.27,0.0,12:49:00,36.41,400,36.42,800,36.4154,100
25083,0.35,0.09,0.26,0.0,13:10:00,36.33,700,36.34,100,36.330999999999996,8074
25453,0.57,0.08,0.49,47.84000000000002,13:12:47,36.37,500,36.38,100,36.375,100
26236,0.5700000000000001,0.07,0.5,51.60000000000001,13:21:51,36.36,100,36.37,700,36.365,100
26492,1.5999999999999999,0.18,1.42,28.580000000000005,13:24:28,36.36,400,36.37,700,36.3614,200
26636,1.01,0.08,0.93,41.61000000000001,13:27:41,36.33,400,36.34,600,36.3309,200
26703,1.4000000000000001,0.09,1.31,1.4000000000000001,13:29:01,36.33,700,36.34,600,36.335,100
26709,1.01,0.07,0.94,9.41,13:29:09,36.32,300,36.33,1200,36.32,100
26713,1.3599999999999999,0.23,1.13,14.370000000000001,13:29:14,36.28,500,36.29,500,36.29,100
26714,1.24,0.27,0.97,15.610000000000001,13:29:15,36.27,600,36.28,400,36.28,100
26716,1.22,0.17,1.05,18.0,13:29:18,36.27,800,36.28,600,36.27,400
26722,1.3800000000000001,0.08,1.3,25.75,13:29:25,36.28,900,36.29,500,36.2825,100
26737,1.2,0.07,1.13,1.2,13:30:01,36.28,500,36.29,400,36.285,100
26773,1.2000000000000002,0.13,1.07,47.400000000000006,13:30:47,36.28,400,36.29,600,36.2832,190
26801,1.2,0.07,1.13,14.579999999999997,13:31:14,36.27,300,36.28,600,36.275,100
26967,2.39,1.29,1.1,0.0,13:35:00,36.29,600,36.31,900,36.3025,100
27012,1.1800000000000002,0.1,1.08,0.0,13:36:00,36.31,300,36.32,300,36.31,100
27014,1.01,0.08,0.93,2.0300000000000002,13:36:02,36.31,400,36.32,100,36.315,200
27048,1.0,0.23,0.77,40.370000000000005,13:36:40,36.34,200,36.35,300,36.3401,113
27082,1.0,0.24,0.76,27.810000000000002,13:37:27,36.34,200,36.35,600,36.3425,100
27119,1.4200000000000002,0.08,1.34,0.0,13:38:00,36.33,500,36.34,500,36.3357,1380
27208,2.0300000000000002,1.06,0.97,10.020000000000003,13:40:10,36.35,1000,36.36,300,36.3625,100
27315,1.22,0.08,1.14,15.649999999999999,13:43:15,36.35,300,36.36,500,36.353,110
27328,0.98,0.18,0.8,29.24,13:43:29,36.34,700,36.36,700,36.3525,100
27764,4.2,3.55,0.65,0.0,13:52:00,36.32,900,36.33,700,36.3213,200
27916,1.2,0.07,1.13,28.229999999999997,13:54:28,36.32,1100,36.33,1200,36.325,100
28146,1.3800000000000001,0.08,1.3,0.0,13:59:00,36.32,1200,36.33,1200,36.3234,100
28626,0.98,0.08,0.9,0.0,14:09:00,36.33,1800,36.34,1700,36.3313,201
28757,0.81,0.07,0.74,29.159999999999997,14:11:29,36.33,1000,36.34,1700,36.333,235
28963,0.81,0.07,0.74,4.41,14:15:04,36.34,500,36.35,1100,36.348,400
29335,0.6,0.08,0.52,23.44000000000001,14:21:23,36.34,900,36.35,600,36.3499,724
30435,3.58,2.98,0.6,0.0,14:34:00,36.34,700,36.35,800,36.3466,275
30983,0.6,0.08,0.52,17.750000000000004,14:42:17,36.34,5000,36.35,600,36.3405,616
31770,0.98,0.53,0.45,11.39,14:52:11,36.32,1200,36.33,1000,36.3257,170
