,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,80.05,200,80.51,100,80.12,100
69,0.42,0.21,0.21,0.0,09:31:00,80.07,100,80.51,100,80.07,100
71,0.37,0.18,0.19,2.74,09:31:02,80.07,200,80.51,100,80.29,100
138,0.38,0.07,0.31,30.110000000000007,09:31:30,80.08,200,80.51,200,80.105,100
156,0.48,0.21,0.27,38.17,09:31:38,80.08,100,80.51,200,80.295,100
202,2.2199999999999998,2.03,0.19,0.0,09:32:00,80.08,200,80.5,200,80.08,100
241,0.26,0.09,0.17,13.4,09:32:13,80.09,400,80.48,100,80.115,100
246,0.36,0.18,0.18,15.240000000000002,09:32:15,80.09,400,80.48,100,80.285,100
350,3.75,3.46,0.29,0.0,09:33:00,80.1,100,80.35,200,80.1,100
375,0.32,0.15,0.17,14.729999999999997,09:33:14,80.05,200,80.22,100,80.19,100
417,0.39,0.2,0.19,28.689999999999998,09:33:28,80.02,100,80.18,100,80.03,100
503,0.44,0.22,0.22,0.0,09:34:00,80.0,500,80.16,200,80.01,100
522,0.33,0.07,0.26,16.43,09:34:16,80.0,400,80.16,200,80.0,100
617,3.8,3.55,0.25,4.29,09:35:04,79.96,200,80.11,100,80.035,100
622,3.44,3.13,0.31,9.25,09:35:09,79.96,200,80.1,100,79.96,100
647,0.43000000000000005,0.16,0.27,24.23,09:35:24,80.08,300,80.27,100,80.2,100
653,0.44,0.22,0.22,26.300000000000004,09:35:26,80.08,500,80.35,100,80.27,100
657,0.54,0.28,0.26,28.21,09:35:28,80.08,800,80.35,100,80.215,100
701,0.26,0.08,0.18,44.260000000000005,09:35:44,80.22,200,80.38,200,80.3,137
785,0.42,0.21,0.21,7.850000000000001,09:36:07,80.25,100,80.35,300,80.26,100
816,0.5,0.19,0.31,21.009999999999994,09:36:21,80.27,200,80.43,200,80.35,100
822,0.30000000000000004,0.07,0.23,23.529999999999994,09:36:23,80.28,1100,80.46,100,80.28,100
846,0.75,0.21,0.54,33.97,09:36:33,80.3,500,80.47,100,80.385,100
944,0.43,0.08,0.35,0.0,09:37:00,80.33,100,80.47,100,80.4,100
959,0.48,0.21,0.27,5.709999999999999,09:37:05,80.34,300,80.48,100,80.405,100
965,0.42,0.18,0.24,7.7799999999999985,09:37:07,80.34,400,80.48,100,80.3918,148
1137,0.31,0.08,0.23,0.0,09:39:00,80.35,400,80.46,100,80.45,100
1142,0.37,0.18,0.19,1.8000000000000003,09:39:01,80.35,400,80.46,100,80.46,100
1207,0.38,0.07,0.31,32.21,09:39:32,80.37,100,80.49,100,80.48,100
1216,0.49,0.22,0.27,36.27000000000002,09:39:36,80.37,200,80.48,100,80.375,100
1543,0.42000000000000004,0.22,0.2,0.0,09:42:00,80.48,100,80.57,100,80.5,100
1566,0.41000000000000003,0.09,0.32,18.380000000000003,09:42:18,80.49,100,80.61,100,80.6,100
1577,0.48,0.17,0.31,24.02,09:42:24,80.52,200,80.65,100,80.61,100
1586,0.48,0.19,0.29,27.779999999999994,09:42:27,80.53,100,80.62,100,80.53,100
1595,0.7,0.24,0.46,31.999999999999993,09:42:31,80.52,100,80.65,100,80.525,200
1606,0.48,0.22,0.26,36.20999999999999,09:42:36,80.48,400,80.54,100,80.52,100
1804,0.33999999999999997,0.15,0.19,0.0,09:44:00,80.48,200,80.62,100,80.55,100
1832,0.35,0.1,0.25,13.97,09:44:13,80.49,200,80.62,100,80.59,100
1969,5.109999999999999,4.93,0.18,9.59,09:45:09,80.36,700,80.46,100,80.36,100
1970,1.2,0.89,0.31,10.79,09:45:10,80.36,300,80.46,100,80.365,100
2110,0.37,0.1,0.27,0.0,09:46:00,80.5,200,80.56,100,80.56,100
2328,0.3,0.09,0.21,23.099999999999998,09:47:23,80.5,300,80.64,200,80.54,100
2453,0.43000000000000005,0.23,0.2,0.0,09:48:00,80.49,200,80.6,200,80.545,500
2605,0.43,0.18,0.25,23.550000000000008,09:49:23,80.45,100,80.55,100,80.47,100
2654,0.33,0.08,0.25,0.0,09:50:00,80.42,100,80.5,200,80.44,100
2703,0.34,0.14,0.2,26.99,09:50:26,80.38,100,80.48,100,80.42,100
3075,0.6,0.23,0.37,0.0,09:53:00,80.34,300,80.37,100,80.37,100
3085,0.29000000000000004,0.09,0.2,3.8600000000000003,09:53:03,80.3,100,80.35,100,80.355,100
3088,0.42,0.18,0.24,7.75,09:53:07,80.25,200,80.35,200,80.31,100
3201,0.36,0.2,0.16,49.74999999999996,09:53:49,80.28,300,80.38,100,80.34,100
3254,0.35,0.18,0.17,21.920000000000005,09:54:21,80.32,400,80.41,300,80.41,136
3657,0.38,0.09,0.29,0.0,09:57:00,80.33,200,80.37,100,80.38,200
3667,3.57,3.32,0.25,6.92,09:57:06,80.34,100,80.45,100,80.3687,190
3673,3.0,2.75,0.25,12.82,09:57:12,80.34,100,80.45,100,80.43,100
3784,0.37,0.19,0.18,54.12999999999999,09:57:54,80.36,200,80.43,100,80.395,100
4353,0.35,0.18,0.17,0.0,10:02:00,80.32,300,80.4,200,80.3776,141
4373,5.0600000000000005,4.79,0.27,12.71,10:02:12,80.3,200,80.39,100,80.32,100
4381,0.76,0.5,0.26,20.900000000000002,10:02:20,80.3,400,80.38,100,80.335,100
4456,0.42000000000000004,0.23,0.19,45.97000000000003,10:02:45,80.31,100,80.36,100,80.33,100
4462,0.56,0.25,0.31,48.28000000000003,10:02:48,80.27,500,80.34,100,80.315,100
5026,0.28,0.08,0.2,24.04999999999999,10:06:24,80.29,200,80.37,100,80.3575,100
