,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,161.29,200,162.6,100,162.64,100
393,0.35,0.18,0.17,0.0,09:33:00,161.38,200,162.23,100,161.39,100
571,0.32,0.07,0.25,0.0,09:34:00,161.39,200,162.15,100,161.49,100
780,0.43,0.19,0.24,0.0,09:36:00,161.4,200,162.02,100,161.41,100
785,0.42,0.21,0.21,1.8800000000000001,09:36:01,161.35,200,161.98,100,161.4,138
905,0.42000000000000004,0.1,0.32,0.0,09:37:00,161.36,100,161.93,1000,161.645,100
970,0.46,0.2,0.26,28.099999999999998,09:37:28,161.05,200,161.49,100,161.3875,100
1016,4.37,4.13,0.24,0.0,09:38:00,160.62,100,161.41,100,161.015,100
1142,0.37,0.18,0.19,0.0,09:39:00,160.64,200,161.3,100,160.74,100
1319,0.49,0.28,0.21,0.0,09:40:00,160.7,100,161.2,100,160.71,100
1509,0.35,0.15,0.2,0.0,09:41:00,160.38,100,161.15,100,160.84,100
1519,0.38,0.08,0.3,4.1899999999999995,09:41:04,160.36,100,161.12,100,160.6464,150
1610,0.42000000000000004,0.19,0.23,0.0,09:42:00,160.38,200,161.03,200,160.705,100
1815,0.33,0.07,0.26,0.0,09:44:00,160.39,200,160.85,100,160.82,100
1831,0.59,0.35,0.24,9.55,09:44:09,160.4,100,160.83,100,160.49,100
1916,0.46,0.27,0.19,44.06000000000002,09:44:44,160.31,300,160.75,100,160.4,100
1962,0.38,0.08,0.3,0.0,09:45:00,160.33,100,160.72,100,160.7,100
1969,5.109999999999999,4.93,0.18,7.34,09:45:07,160.26,100,160.71,100,160.48,100
1970,1.2,0.89,0.31,8.54,09:45:08,160.28,200,160.72,100,160.64,100
1985,0.5700000000000001,0.28,0.29,17.79,09:45:17,160.31,100,160.68,100,160.495,100
2025,0.35000000000000003,0.08,0.27,33.75,09:45:33,160.34,100,160.64,300,160.465,400
2052,0.39,0.15,0.24,43.910000000000004,09:45:43,160.36,100,160.62,200,160.485,100
2093,0.32,0.07,0.25,0.0,09:46:00,160.38,200,160.6,300,160.59,100
2140,0.30000000000000004,0.07,0.23,26.26,09:46:26,160.66,300,160.93,300,160.92,100
2145,0.32,0.14,0.18,27.960000000000004,09:46:27,160.86,200,161.11,100,161.0,100
2250,0.4,0.21,0.19,0.0,09:47:00,160.92,200,161.32,100,161.125,100
2255,0.26,0.08,0.18,1.9800000000000002,09:47:01,160.93,300,161.31,100,161.12,100
2353,0.37,0.07,0.3,44.399999999999984,09:47:44,160.98,300,161.33,100,161.0793,133
2383,0.44,0.26,0.18,0.0,09:48:00,160.98,300,161.32,100,161.16,100
2409,0.31,0.08,0.23,11.980000000000002,09:48:11,160.98,400,161.33,200,161.155,100
2751,5.26,5.09,0.17,52.030000000000015,09:50:52,161.06,300,161.32,100,161.2024,100
2791,0.26,0.07,0.19,0.0,09:51:00,161.09,300,161.32,100,161.205,100
2953,0.25,0.07,0.18,0.0,09:52:00,161.12,300,161.29,100,161.18,100
