,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,208.77,200,209.89,300,209.88,100
117,0.3,0.08,0.22,0.0,09:31:00,208.84,100,209.78,300,209.31,172
221,0.26,0.08,0.18,0.0,09:32:00,209.3,100,209.77,200,209.535,100
295,0.33999999999999997,0.18,0.16,24.029999999999994,09:32:24,208.77,100,209.74,200,209.14,100
309,0.25,0.07,0.18,28.199999999999985,09:32:28,208.77,100,209.74,300,209.255,100
352,0.35,0.18,0.17,0.0,09:33:00,208.77,100,209.61,300,209.16,100
513,2.17,1.87,0.3,0.0,09:34:00,208.77,100,209.33,200,209.33,500
583,0.31,0.13,0.18,31.519999999999996,09:34:31,208.77,100,209.33,400,209.05,100
625,2.72,2.35,0.37,0.0,09:35:00,208.77,100,209.28,200,209.025,240
800,0.44000000000000006,0.17,0.27,5.9300000000000015,09:36:05,208.9,100,209.22,100,209.21,100
810,0.4,0.12,0.28,10.140000000000002,09:36:10,208.9,100,209.22,100,208.9,100
905,0.42000000000000004,0.1,0.32,0.0,09:37:00,208.91,200,209.22,100,209.0476,300
1137,0.31,0.08,0.23,0.0,09:39:00,208.92,100,209.19,100,209.055,100
1172,0.31,0.07,0.24,17.959999999999997,09:39:17,208.77,300,209.0,100,208.83,200
1261,0.35,0.17,0.18,0.0,09:40:00,208.56,200,208.98,100,208.76,100
1281,1.3,0.91,0.39,10.76,09:40:10,208.56,200,208.98,300,208.57,100
1401,0.29000000000000004,0.1,0.19,0.0,09:41:00,208.56,100,208.95,300,208.61,100
1503,0.3,0.08,0.22,42.12,09:41:42,208.25,100,208.92,100,208.39,100
1600,0.33,0.08,0.25,0.0,09:42:00,208.32,100,208.76,300,208.54,100
1637,0.4,0.18,0.22,15.950000000000001,09:42:15,208.35,100,208.75,200,208.4,100
1642,0.36,0.07,0.29,17.82,09:42:17,208.36,100,208.62,200,208.68,200
1654,0.45999999999999996,0.15,0.31,22.070000000000004,09:42:22,208.33,100,208.62,200,208.56,100
1662,0.4,0.1,0.3,0.0,09:43:00,208.16,100,208.6,100,208.42,100
1710,0.44,0.12,0.32,24.1,09:43:24,208.26,100,208.47,200,208.47,100
1970,1.2,0.89,0.31,0.0,09:45:00,208.33,100,208.62,100,208.335,100
2030,0.38,0.2,0.18,27.01,09:45:27,208.33,100,208.59,100,208.33,100
2107,2.08,1.85,0.23,0.0,09:46:00,208.33,100,208.56,100,208.37,100
2110,0.37,0.1,0.27,1.01,09:46:01,208.09,100,208.29,300,208.14,100
2112,2.15,1.73,0.42,3.46,09:46:03,208.01,100,208.2,100,208.09,150
2414,3.29,3.03,0.26,0.0,09:48:00,207.48,100,208.4,200,207.95,100
2508,0.30000000000000004,0.07,0.23,32.74,09:48:32,207.61,100,208.0,100,207.7621,200
2533,0.51,0.15,0.36,0.0,09:49:00,207.61,100,208.0,100,207.7831,200
2544,0.45,0.18,0.27,8.53,09:49:08,207.61,100,208.0,200,207.9399,100
2565,0.4,0.08,0.32,22.270000000000003,09:49:22,207.61,100,208.01,200,207.905,100
2627,0.30000000000000004,0.07,0.23,47.850000000000016,09:49:47,207.64,1000,208.01,200,208.0,100
2633,0.32,0.08,0.24,49.97000000000002,09:49:49,207.64,1000,208.01,200,207.85,100
2667,0.5499999999999999,0.08,0.47,0.0,09:50:00,207.65,1100,208.01,200,207.8516,240
2725,0.27,0.07,0.2,30.02,09:50:30,207.61,500,207.88,100,207.65,100
2870,0.29000000000000004,0.07,0.22,0.0,09:51:00,207.62,100,207.88,200,207.75,150
2948,0.29000000000000004,0.07,0.22,3.16,09:52:03,207.63,100,207.88,200,207.755,200
3127,0.3,0.09,0.21,0.0,09:53:00,207.66,100,207.9,300,207.89,100
3140,0.34,0.17,0.17,3.87,09:53:03,207.66,100,207.9,300,207.81,100
3214,0.24000000000000002,0.07,0.17,27.950000000000003,09:53:27,207.67,100,207.99,100,207.9,200
3342,0.33,0.17,0.16,0.0,09:54:00,207.72,200,208.01,200,207.99,100
3354,0.44999999999999996,0.21,0.24,4.15,09:54:04,207.49,100,207.78,200,207.61,100
3360,0.41000000000000003,0.21,0.2,6.04,09:54:06,207.49,100,207.78,200,207.635,100
3464,0.28,0.07,0.21,0.0,09:55:00,207.44,200,207.67,200,207.49,100
3673,3.0,2.75,0.25,0.0,09:57:00,207.44,100,207.61,200,207.5175,100
3955,0.39,0.22,0.17,0.0,09:59:00,207.44,100,207.54,400,207.45,100
4088,0.28,0.07,0.21,0.0,10:00:00,207.45,100,207.54,400,207.5,200
4125,0.73,0.27,0.46,22.800000000000008,10:00:22,207.48,100,207.54,100,207.54,100
