,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,113.32,100,113.5,500,113.34,100
42,0.32,0.07,0.25,16.54,09:30:16,113.02,100,113.39,300,113.2,100
71,0.37,0.18,0.19,0.0,09:31:00,113.04,1900,113.38,300,113.06,127
75,0.89,0.62,0.27,1.85,09:31:01,113.05,100,113.37,200,113.21,15000
352,0.35,0.18,0.17,0.0,09:33:00,113.16,100,113.34,100,113.17,100
393,0.35,0.18,0.17,20.069999999999997,09:33:20,113.03,100,113.31,400,113.03,100
458,0.27,0.09,0.18,42.31,09:33:42,112.96,100,113.3,100,113.01,111
492,0.34,0.14,0.2,0.0,09:34:00,112.89,800,113.21,300,112.91,100
515,1.4000000000000001,1.06,0.34,17.77,09:34:17,112.7,100,112.96,100,112.86,100
527,0.43,0.21,0.22,22.199999999999992,09:34:22,112.72,100,112.96,200,112.73,100
540,0.35,0.13,0.22,27.929999999999996,09:34:27,112.7,100,112.84,200,112.72,100
588,0.29000000000000004,0.07,0.22,46.009999999999984,09:34:46,112.68,100,112.75,200,112.7,100
594,0.38,0.14,0.24,48.26999999999999,09:34:48,112.75,200,113.3,100,113.12,100
600,0.35000000000000003,0.08,0.27,50.37999999999999,09:34:50,112.79,200,113.29,200,113.16,100
614,0.38,0.08,0.3,0.0,09:35:00,112.81,100,113.28,100,113.19,100
674,0.44999999999999996,0.21,0.24,34.75,09:35:34,113.5,200,113.72,100,113.72,200
695,0.6200000000000001,0.28,0.34,42.92,09:35:42,113.5,100,113.68,100,113.6,400
767,1.8299999999999998,1.63,0.2,0.0,09:36:00,113.52,100,113.71,200,113.71,100
800,0.44000000000000006,0.17,0.27,21.78000000000001,09:36:21,113.52,100,113.68,100,113.605,200
818,0.32,0.14,0.18,29.740000000000002,09:36:29,113.55,200,113.89,100,113.885,100
922,0.43,0.08,0.35,0.0,09:37:00,113.61,100,113.77,100,113.77,100
934,0.35000000000000003,0.07,0.28,5.819999999999999,09:37:05,113.54,300,113.76,100,113.64,100
1023,0.39,0.11,0.28,0.0,09:38:00,113.55,200,113.76,400,113.76,100
1071,0.39,0.13,0.26,22.139999999999997,09:38:22,113.56,200,113.73,100,113.6346,180
1084,0.41000000000000003,0.17,0.24,27.840000000000003,09:38:27,113.56,300,113.74,100,113.695,200
1137,0.31,0.08,0.23,0.0,09:39:00,113.73,200,113.84,100,113.82,100
1149,0.26,0.07,0.19,6.41,09:39:06,113.73,200,113.89,100,113.8103,100
1202,0.47,0.18,0.29,29.83,09:39:29,113.6,200,113.76,100,113.69,100
1277,0.46,0.2,0.26,5.9,09:40:05,113.6,200,113.75,100,113.675,100
1308,0.42,0.18,0.24,23.730000000000004,09:40:23,113.52,200,113.7,100,113.53,100
1401,0.29000000000000004,0.1,0.19,0.0,09:41:00,113.45,100,113.6,200,113.5225,100
1440,0.31,0.08,0.23,20.239999999999995,09:41:20,113.47,400,113.6,200,113.58,100
1445,0.36,0.07,0.29,22.139999999999993,09:41:22,113.52,400,113.6,200,113.57,100
1451,0.31,0.08,0.23,24.089999999999993,09:41:24,113.62,300,113.75,100,113.63,100
1463,0.27,0.07,0.2,27.929999999999996,09:41:27,113.63,100,113.91,100,113.75,100
1568,0.38,0.07,0.31,0.0,09:42:00,113.66,200,113.79,200,113.66,100
1577,0.48,0.17,0.31,3.97,09:42:03,113.68,100,113.79,200,113.7467,300
1586,0.48,0.19,0.29,7.73,09:42:07,113.68,100,113.79,200,113.735,100
1662,0.4,0.1,0.3,0.0,09:43:00,113.46,1000,113.66,100,113.565,100
1686,0.31,0.07,0.24,10.150000000000004,09:43:10,113.46,100,113.66,100,113.54799999999999,150
1703,1.58,1.25,0.33,21.380000000000003,09:43:21,113.45,100,113.61,100,113.46,100
1752,0.28,0.07,0.21,40.07000000000001,09:43:40,113.46,100,113.62,100,113.5415,100
1831,0.59,0.35,0.24,0.0,09:44:00,113.23,100,113.52,300,113.48,100
1832,0.35,0.1,0.25,0.35,09:44:00,113.23,100,113.52,300,113.51,100
1841,0.39,0.18,0.21,4.52,09:44:04,113.3,100,113.52,300,113.395,100
1868,0.33999999999999997,0.12,0.22,16.439999999999998,09:44:16,113.31,100,113.53,100,113.33,100
1939,0.3,0.08,0.22,42.24,09:44:42,113.32,1100,113.52,400,113.32,100
2061,0.44,0.2,0.24,39.129999999999995,09:45:39,113.42,100,113.52,500,113.42,100
2067,0.47,0.18,0.29,41.46999999999999,09:45:41,113.37,100,113.45,400,113.39,100
2103,0.44999999999999996,0.21,0.24,0.0,09:46:00,113.36,100,113.45,100,113.38,100
