,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,39.33,2900,39.34,1900,39.35,200
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,39.33,3100,39.34,1400,39.34,400
12,0.35,0.16,0.19,4.76,09:30:04,39.33,2900,39.34,2700,39.33,100
32,0.43,0.21,0.22,12.59,09:30:12,39.31,100,39.32,1800,39.32,100
36,0.42000000000000004,0.19,0.23,14.149999999999999,09:30:14,39.31,100,39.32,1800,39.31,100
45,0.32,0.09,0.23,0.0,09:31:00,39.35,300,39.36,100,39.36,100
46,0.35000000000000003,0.08,0.27,0.35000000000000003,09:31:00,39.35,300,39.36,100,39.3575,101
69,0.42,0.21,0.21,12.38,09:31:12,39.37,400,39.38,1000,39.3733,843
75,0.89,0.62,0.27,16.97,09:31:16,39.38,4400,39.39,100,39.39,1100
77,1.79,1.43,0.36,19.189999999999998,09:31:19,39.38,1600,39.39,500,39.389,325
94,0.27,0.07,0.2,26.520000000000003,09:31:26,39.37,1100,39.38,700,39.38,100
105,0.41000000000000003,0.23,0.18,30.700000000000003,09:31:30,39.37,400,39.38,300,39.3728,750
144,0.46,0.18,0.28,44.810000000000024,09:31:44,39.4,400,39.41,100,39.41,200
148,0.4,0.08,0.32,46.49000000000002,09:31:46,39.41,300,39.42,7900,39.42,100
175,0.32,0.14,0.18,56.32000000000002,09:31:56,39.4,100,39.41,200,39.4085,125
176,0.33,0.16,0.17,56.65000000000002,09:31:56,39.39,1100,39.4,800,39.4,100
258,0.39,0.22,0.17,29.359999999999996,09:32:29,39.35,1500,39.36,100,39.345,200
276,0.24000000000000002,0.07,0.17,35.19,09:32:35,39.36,1100,39.37,100,39.37,100
315,0.3,0.08,0.22,47.38000000000002,09:32:47,39.39,900,39.4,600,39.3944,1500
359,0.35,0.18,0.17,15.84,09:33:15,39.36,1900,39.37,700,39.3701,100
614,0.38,0.08,0.3,0.0,09:35:00,39.34,700,39.35,600,39.355,100
625,2.72,2.35,0.37,14.980000000000002,09:35:14,39.32,500,39.33,500,39.3201,100
668,0.26,0.07,0.19,32.669999999999995,09:35:32,39.32,300,39.33,1700,39.325,100
695,0.6200000000000001,0.28,0.34,42.92,09:35:42,39.3,400,39.31,1600,39.305,100
714,0.44,0.26,0.18,48.92000000000001,09:35:48,39.28,300,39.29,1000,39.285,100
733,0.35,0.19,0.16,54.79000000000001,09:35:54,39.29,300,39.3,2000,39.29,100
