,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,146.21,100,146.71,400,146.05,100
144,0.46,0.18,0.28,0.0,09:31:00,146.27,100,146.69,200,146.27,200
270,0.36,0.2,0.16,23.540000000000006,09:32:23,146.27,100,146.65,800,146.46,100
283,0.25,0.09,0.16,27.36,09:32:27,146.08,100,146.24,100,146.16,163
287,0.32,0.15,0.17,28.729999999999997,09:32:28,146.09,300,146.26,200,146.24,100
289,0.30000000000000004,0.14,0.16,29.409999999999997,09:32:29,146.19,100,146.48,100,146.3,100
350,3.75,3.46,0.29,0.0,09:33:00,146.38,100,146.6,200,146.48,100
352,0.35,0.18,0.17,0.61,09:33:00,146.34,300,146.59,200,146.59,300
365,0.42000000000000004,0.23,0.19,10.769999999999998,09:33:10,146.34,100,146.58,700,146.465,200
417,0.39,0.2,0.19,28.689999999999998,09:33:28,146.34,100,146.58,700,146.52,100
515,1.4000000000000001,1.06,0.34,0.0,09:34:00,146.34,200,146.5,400,146.35,100
527,0.43,0.21,0.22,4.43,09:34:04,146.36,100,146.5,500,146.49,100
546,0.45,0.2,0.25,12.3,09:34:12,146.37,200,146.5,400,146.5,100
614,0.38,0.08,0.3,38.510000000000005,09:34:38,146.44,100,146.66,200,146.56,200
618,0.34,0.07,0.27,0.0,09:35:00,146.34,100,146.53,100,146.44,100
628,0.45,0.22,0.23,11.45,09:35:11,146.39,100,146.55,100,146.53,100
632,0.29000000000000004,0.07,0.22,13.509999999999998,09:35:13,146.38,200,146.55,500,146.41,100
657,0.54,0.28,0.26,23.58,09:35:23,146.4,100,146.55,500,146.55,100
680,0.33,0.07,0.26,31.609999999999996,09:35:31,146.48,100,146.67,500,146.54,100
701,0.26,0.08,0.18,39.62999999999999,09:35:39,146.67,200,146.72,100,146.67,100
