,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,365.04,200,365.74,300,365.73,100
65,0.31,0.07,0.24,5.0,09:31:05,365.04,100,365.74,300,365.4,100
71,0.37,0.18,0.19,9.79,09:31:09,365.04,100,365.68,300,365.36,150
80,1.4100000000000001,1.07,0.34,16.65,09:31:16,365.0,500,365.68,300,365.48,100
99,0.27,0.07,0.2,23.06,09:31:23,365.23,100,365.48,100,365.28,100
163,0.43,0.24,0.19,47.31000000000001,09:31:47,365.0,500,365.23,100,365.23,100
201,4.77,4.56,0.21,0.0,09:32:00,364.78,100,365.21,100,365.13,100
206,0.24000000000000002,0.07,0.17,3.3400000000000003,09:32:03,364.78,100,365.21,200,364.82,100
234,0.23,0.07,0.16,13.38,09:32:13,364.78,100,365.21,200,364.995,100
246,0.36,0.18,0.18,17.46,09:32:17,364.78,100,365.21,200,364.78,100
276,0.24000000000000002,0.07,0.17,27.610000000000003,09:32:27,364.27,200,365.13,200,364.7,255
393,0.35,0.18,0.17,0.0,09:33:00,364.4,100,365.12,200,364.76,100
399,0.38,0.21,0.17,2.08,09:33:02,364.28,100,365.12,200,364.39,100
561,0.26,0.08,0.18,0.0,09:34:00,364.0,100,364.56,100,364.41,100
622,3.44,3.13,0.31,0.0,09:35:00,364.0,100,364.39,100,364.38,100
701,0.26,0.08,0.18,35.01,09:35:35,364.0,100,364.83,100,364.13,100
771,2.1,1.83,0.27,0.0,09:36:00,364.41,100,365.19,100,364.56,100
778,0.39,0.21,0.18,4.58,09:36:04,364.41,100,365.09,100,364.7296,100
780,0.43,0.19,0.24,8.77,09:36:08,364.41,100,365.07,100,364.72,100
837,0.67,0.44,0.23,32.43999999999999,09:36:32,364.37,100,364.9,100,364.42,100
842,0.52,0.21,0.31,34.65999999999999,09:36:34,364.36,200,364.88,100,364.37,100
845,0.52,0.16,0.36,36.01999999999999,09:36:36,364.36,200,364.88,100,364.36,100
846,0.75,0.21,0.54,36.76999999999999,09:36:36,364.0,100,364.58,100,364.02,100
