,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,107.91,100,108.46,100,107.955,500
22,0.3,0.08,0.22,8.47,09:30:08,107.9,100,108.19,100,107.99,100
26,0.35000000000000003,0.07,0.28,9.920000000000002,09:30:09,107.9,100,108.19,100,107.9,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,107.86,100,108.24,100,108.0,100
42,0.32,0.07,0.25,16.54,09:30:16,108.54,100,109.24,100,108.75,100
59,0.33,0.1,0.23,0.0,09:31:00,107.98,300,108.53,200,107.95,100
71,0.37,0.18,0.19,8.6,09:31:08,107.95,100,108.52,300,107.975,100
80,1.4100000000000001,1.07,0.34,15.459999999999997,09:31:15,107.64,100,108.37,300,107.995,100
88,0.39,0.2,0.19,18.1,09:31:18,107.6,100,108.22,400,107.925,100
94,0.27,0.07,0.2,20.0,09:31:20,107.65,900,108.22,100,107.935,100
110,0.5,0.28,0.22,26.060000000000002,09:31:26,107.65,900,108.22,100,107.8,200
127,0.6000000000000001,0.27,0.33,32.04,09:31:32,108.13,4600,108.22,100,108.13,100
133,0.26,0.07,0.19,34.0,09:31:34,108.27,100,108.97,100,108.3,100
138,0.38,0.07,0.31,35.97,09:31:35,108.42,5000,108.97,100,108.285,100
148,0.4,0.08,0.32,39.970000000000006,09:31:39,108.42,4400,108.97,200,108.43,100
151,0.53,0.21,0.32,41.46,09:31:41,108.42,4400,108.97,200,108.42,100
156,0.48,0.21,0.27,44.03,09:31:44,107.86,100,108.88,200,108.58,100
202,2.2199999999999998,2.03,0.19,0.0,09:32:00,107.74,100,108.84,200,107.94,120
320,0.69,0.28,0.41,39.89999999999999,09:32:39,108.04,100,108.58,200,108.065,100
375,0.32,0.15,0.17,3.9600000000000004,09:33:03,107.66,100,108.19,100,107.9015,110
399,0.38,0.21,0.17,11.990000000000002,09:33:11,107.76,100,108.17,200,107.965,200
417,0.39,0.2,0.19,17.920000000000005,09:33:17,107.76,100,108.05,100,107.945,100
440,0.45,0.25,0.2,26.23000000000001,09:33:26,107.76,100,108.0,400,107.88,300
446,0.25,0.07,0.18,28.110000000000014,09:33:28,107.76,100,108.0,300,107.9372,140
470,0.41000000000000003,0.19,0.22,36.39000000000002,09:33:36,107.76,100,108.0,300,107.87,200
491,0.27,0.07,0.2,0.0,09:34:00,107.76,100,108.0,300,107.78,100
508,1.78,1.57,0.21,7.57,09:34:07,107.04,100,107.38,200,107.195,100
509,2.14,1.95,0.19,9.71,09:34:09,107.02,100,107.37,100,107.32,100
527,0.43,0.21,0.22,22.539999999999992,09:34:22,107.1,200,107.98,100,107.58,100
535,0.39,0.08,0.31,26.379999999999995,09:34:26,107.02,600,107.98,200,107.021,400
604,0.4,0.12,0.28,52.54999999999998,09:34:52,107.02,600,107.49,200,107.055,200
609,0.49,0.2,0.29,54.91999999999999,09:34:54,107.02,700,107.36,100,107.33,100
614,0.38,0.08,0.3,0.0,09:35:00,107.02,700,107.36,100,107.19,400
625,2.72,2.35,0.37,14.980000000000002,09:35:14,107.2,200,108.22,100,107.395,100
657,0.54,0.28,0.26,28.75,09:35:28,107.21,1100,108.19,100,107.6451,200
686,0.6200000000000001,0.28,0.34,39.32000000000001,09:35:39,107.21,1200,108.01,100,107.265,100
751,0.4,0.23,0.17,0.0,09:36:00,107.21,1300,107.59,200,107.21,100
767,1.8299999999999998,1.63,0.2,6.610000000000001,09:36:06,107.02,200,107.11,200,107.02,100
771,2.1,1.83,0.27,11.81,09:36:11,107.11,100,107.57,100,107.14,300
822,0.30000000000000004,0.07,0.23,38.13999999999999,09:36:38,107.2,400,107.54,200,107.2,100
850,0.34,0.08,0.26,50.269999999999996,09:36:50,107.23,400,107.4,200,107.3125,100
855,0.35000000000000003,0.07,0.28,52.44,09:36:52,107.23,200,107.4,200,107.315,100
860,0.29,0.08,0.21,54.279999999999994,09:36:54,107.23,200,107.4,200,107.25,100
870,0.35000000000000003,0.08,0.27,58.19,09:36:58,107.23,200,107.4,200,107.2725,100
889,0.67,0.21,0.46,3.92,09:37:03,107.55,200,108.06,100,107.59,100
939,0.47000000000000003,0.13,0.34,31.970000000000006,09:37:31,107.55,400,108.04,200,107.56,100
970,0.46,0.2,0.26,43.899999999999984,09:37:43,107.55,400,108.04,100,107.5501,100
1015,1.01,0.75,0.26,0.0,09:38:00,107.55,400,108.04,300,107.57,100
1028,0.34,0.08,0.26,9.379999999999999,09:38:09,107.55,400,108.03,300,107.65,100
1055,0.55,0.24,0.31,23.63,09:38:23,107.55,400,108.0,400,107.55,100
1065,0.28,0.07,0.21,27.319999999999997,09:38:27,107.55,400,107.98,200,107.75,300
1084,0.41000000000000003,0.17,0.24,35.21999999999999,09:38:35,107.26,100,107.51,500,107.26,100
1090,0.55,0.22,0.33,37.51999999999999,09:38:37,107.02,200,107.49,200,107.255,100
1142,0.37,0.18,0.19,0.0,09:39:00,107.02,100,107.44,100,107.07,100
1266,0.52,0.28,0.24,0.0,09:40:00,107.04,600,107.39,500,107.05,100
1291,0.36,0.17,0.19,13.87,09:40:13,107.16,900,107.35,100,107.16,100
1295,0.29000000000000004,0.07,0.22,19.1,09:40:19,107.06,1300,107.26,600,107.24,100
1308,0.42,0.18,0.24,23.730000000000004,09:40:23,107.07,400,107.24,300,107.155,100
1352,0.44,0.24,0.2,40.019999999999996,09:40:40,107.14,300,107.47,100,107.23,100
1362,0.4,0.2,0.2,43.579999999999984,09:40:43,107.5,200,107.76,100,107.52,100
1368,0.32,0.07,0.25,45.73999999999999,09:40:45,107.5,100,107.76,100,107.63,100
1373,0.28,0.08,0.2,47.819999999999986,09:40:47,107.5,100,107.76,200,107.5,100
1396,0.29000000000000004,0.09,0.2,0.0,09:41:00,107.23,200,107.65,300,107.44,200
1410,0.4,0.2,0.2,5.800000000000001,09:41:05,107.23,300,107.53,100,107.23100000000001,200
1438,0.28,0.07,0.21,17.76,09:41:17,107.04,200,107.45,200,107.04,100
1493,0.38,0.21,0.17,40.08999999999999,09:41:40,107.03,300,107.26,200,107.03,200
1514,0.49,0.2,0.29,48.19999999999999,09:41:48,107.03,300,107.18,200,107.15,100
1519,0.38,0.08,0.3,50.179999999999986,09:41:50,107.03,200,107.31,100,107.17,100
1565,2.37,2.09,0.28,9.41,09:42:09,107.0,100,107.14,200,107.0,100
1586,0.48,0.19,0.29,19.219999999999995,09:42:19,107.0,200,107.11,100,107.06,100
1654,0.45999999999999996,0.15,0.31,47.43999999999999,09:42:47,107.0,100,107.03,300,107.015,100
1658,0.76,0.29,0.47,49.65999999999999,09:42:49,107.0,100,107.03,300,107.005,100
1685,0.29000000000000004,0.07,0.22,9.840000000000003,09:43:09,107.04,100,107.13,100,107.08,100
1688,0.46,0.26,0.2,12.310000000000004,09:43:12,106.92,600,107.01,200,106.9108,100
