,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,38.87,600,38.88,100,38.87,100
4,0.32,0.07,0.25,1.8800000000000001,09:30:01,38.87,200,38.88,100,38.875,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,38.82,500,38.88,100,38.8401,4530
12,0.35,0.16,0.19,4.76,09:30:04,38.85,600,38.88,100,38.85,165
22,0.3,0.08,0.22,8.47,09:30:08,38.82,200,38.88,200,38.88,100
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,38.66,100,38.72,100,38.82,100
30,0.48000000000000004,0.2,0.28,11.790000000000001,09:30:11,38.66,100,38.74,300,38.67,100
32,0.43,0.21,0.22,12.59,09:30:12,38.74,400,38.79,100,38.74,1000
45,0.32,0.09,0.23,0.0,09:31:00,38.69,100,38.7,300,38.69,100
51,0.4,0.18,0.22,2.33,09:31:02,38.64,100,38.68,300,38.66,1000
56,0.30000000000000004,0.07,0.23,5.329999999999999,09:31:05,38.65,700,38.7,1600,38.7,34800
59,0.33,0.1,0.23,6.52,09:31:06,38.65,700,38.7,1600,38.65,100
64,2.08,1.88,0.2,10.02,09:31:10,38.75,100,38.78,100,38.75,100
69,0.42,0.21,0.21,12.38,09:31:12,38.75,100,38.82,200,38.785,300
75,0.89,0.62,0.27,16.97,09:31:16,38.67,500,38.79,100,38.695,300
133,0.26,0.07,0.19,40.52000000000002,09:31:40,38.77,400,38.82,100,38.81,100
152,0.74,0.21,0.53,48.72000000000002,09:31:48,38.73,400,38.77,400,38.73,400
169,0.27,0.07,0.2,54.370000000000026,09:31:54,38.71,1100,38.76,300,38.72,100
175,0.32,0.14,0.18,56.32000000000002,09:31:56,38.71,400,38.76,300,38.76,114
200,2.27,2.05,0.22,8.01,09:32:08,38.7,200,38.71,100,38.68,100
201,4.77,4.56,0.21,12.78,09:32:12,38.64,100,38.67,200,38.64,100
202,2.2199999999999998,2.03,0.19,15.0,09:32:15,38.54,200,38.55,100,38.54,100
204,0.39,0.21,0.18,15.63,09:32:15,38.55,100,38.56,200,38.55,100
206,0.24000000000000002,0.07,0.17,16.12,09:32:16,38.51,4300,38.54,200,38.52,100
209,1.96,1.75,0.21,18.8,09:32:18,38.51,4100,38.54,200,38.51,200
234,0.23,0.07,0.16,26.159999999999997,09:32:26,38.53,100,38.55,3000,38.53,100
240,0.27,0.09,0.18,28.139999999999993,09:32:28,38.51,4200,38.53,200,38.5128,100
241,0.26,0.09,0.17,28.399999999999995,09:32:28,38.54,200,38.55,400,38.5496,500
258,0.39,0.22,0.17,34.55999999999999,09:32:34,38.57,600,38.58,200,38.58,200
264,0.24000000000000002,0.07,0.17,36.509999999999984,09:32:36,38.51,100,38.54,100,38.5328,113
270,0.36,0.2,0.16,38.53999999999998,09:32:38,38.5,8000,38.51,100,38.5,100
309,0.25,0.07,0.18,50.54,09:32:50,38.59,100,38.6,100,38.5953,150
315,0.3,0.08,0.22,52.58,09:32:52,38.6,100,38.62,200,38.6184,2000
320,0.69,0.28,0.41,54.9,09:32:54,38.65,100,38.67,200,38.6599,4500
325,0.25,0.07,0.18,56.56999999999999,09:32:56,38.65,100,38.66,100,38.663000000000004,1000
344,0.36,0.18,0.18,3.77,09:33:03,38.57,200,38.59,100,38.57,100
350,3.75,3.46,0.29,9.190000000000001,09:33:09,38.61,200,38.63,100,38.62,100
393,0.35,0.18,0.17,29.870000000000005,09:33:29,38.62,1300,38.63,700,38.63,100
399,0.38,0.21,0.17,31.950000000000006,09:33:31,38.61,200,38.63,400,38.6292,100
405,0.5700000000000001,0.28,0.29,33.96,09:33:33,38.6,900,38.61,700,38.61,100
412,0.47000000000000003,0.27,0.2,35.970000000000006,09:33:35,38.6,100,38.61,300,38.606,2595
417,0.39,0.2,0.19,37.88000000000001,09:33:37,38.58,200,38.6,300,38.59,200
423,0.28,0.07,0.21,40.030000000000015,09:33:40,38.59,300,38.61,500,38.607,100
