,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,78.51,600,78.56,100,78.535,380
20,0.4,0.18,0.22,7.88,09:30:07,78.56,100,78.6,700,78.56,100
32,0.43,0.21,0.22,12.59,09:30:12,78.53,300,78.6,900,78.54,100
56,0.30000000000000004,0.07,0.23,0.0,09:31:00,78.53,300,78.56,100,78.5645,178
59,0.33,0.1,0.23,1.1900000000000002,09:31:01,78.53,200,78.56,100,78.545,100
75,0.89,0.62,0.27,11.639999999999999,09:31:11,78.53,100,78.55,300,78.55,107
80,1.4100000000000001,1.07,0.34,16.65,09:31:16,78.53,200,78.57,100,78.5301,100
99,0.27,0.07,0.2,23.06,09:31:23,78.53,200,78.57,400,78.5699,400
110,0.5,0.28,0.22,27.250000000000004,09:31:27,78.53,200,78.57,400,78.564,101
138,0.38,0.07,0.31,37.160000000000004,09:31:37,78.53,200,78.57,500,78.5675,130
202,2.2199999999999998,2.03,0.19,9.8,09:32:09,78.47,100,78.54,100,78.5,100
209,1.96,1.75,0.21,13.600000000000001,09:32:13,78.44,200,78.52,100,78.48,200
309,0.25,0.07,0.18,45.34000000000002,09:32:45,78.44,300,78.5,100,78.47,100
352,0.35,0.18,0.17,9.8,09:33:09,78.44,600,78.47,200,78.455,100
356,2.15,1.91,0.24,14.98,09:33:14,78.42,500,78.45,100,78.44,300
359,0.35,0.18,0.17,15.84,09:33:15,78.32,100,78.36,100,78.36,100
362,2.69,2.48,0.21,19.009999999999998,09:33:19,78.31,300,78.35,200,78.335,200
370,0.66,0.28,0.38,22.090000000000003,09:33:22,78.28,400,78.32,100,78.3,100
399,0.38,0.21,0.17,31.950000000000006,09:33:31,78.25,100,78.32,200,78.281,194
445,0.39,0.21,0.18,47.820000000000014,09:33:47,78.29,300,78.32,300,78.305,100
446,0.25,0.07,0.18,48.070000000000014,09:33:48,78.32,100,78.33,100,78.33,100
509,2.14,1.95,0.19,0.0,09:34:00,78.26,300,78.31,100,78.28,100
