,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,105.24,200,105.49,200,105.235,100
206,0.24000000000000002,0.07,0.17,0.0,09:32:00,105.26,200,105.41,200,105.39,100
234,0.23,0.07,0.16,10.040000000000001,09:32:10,105.27,200,105.37,200,105.37,100
246,0.36,0.18,0.18,14.120000000000003,09:32:14,105.13,100,105.36,200,105.26,100
252,0.24000000000000002,0.07,0.17,16.210000000000004,09:32:16,104.95,100,105.36,200,104.985,100
370,0.66,0.28,0.38,0.0,09:33:00,104.87,300,105.1,100,104.885,100
464,0.39,0.17,0.22,32.27000000000001,09:33:32,104.83,100,105.09,100,104.965,100
499,0.38,0.19,0.19,0.0,09:34:00,104.83,100,105.09,100,104.8793,100
535,0.39,0.08,0.31,23.829999999999995,09:34:23,104.83,100,105.08,200,104.955,100
561,0.26,0.08,0.18,33.78999999999999,09:34:33,104.83,100,105.07,200,104.85,100
604,0.4,0.12,0.28,49.99999999999999,09:34:49,104.83,100,105.06,100,104.96,5500
657,0.54,0.28,0.26,0.0,09:35:00,105.09,100,105.27,800,105.2,100
759,0.38,0.21,0.17,0.0,09:36:00,105.12,100,105.24,100,105.23,100
767,1.8299999999999998,1.63,0.2,4.359999999999999,09:36:04,104.95,100,105.1,100,105.12,100
828,0.26,0.08,0.18,38.079999999999984,09:36:38,104.98,100,105.24,800,105.1,100
901,2.69,2.4,0.29,0.0,09:37:00,104.83,800,105.05,200,104.945,200
998,0.48,0.21,0.27,0.0,09:38:00,104.82,300,105.04,800,104.87,100
1137,0.31,0.08,0.23,0.0,09:39:00,104.83,200,105.03,200,105.03,100
1197,0.53,0.17,0.36,27.93,09:39:27,104.93,100,105.03,100,105.02,100
1216,0.49,0.22,0.27,36.27000000000002,09:39:36,104.83,100,104.96,800,104.86,100
1336,0.44,0.2,0.24,0.0,09:40:00,104.86,200,104.95,200,104.905,100
1519,0.38,0.08,0.3,0.0,09:41:00,104.93,100,105.06,300,105.0,100
1523,0.47,0.09,0.38,1.8299999999999998,09:41:01,104.87,100,105.03,800,104.93,100
1543,0.42000000000000004,0.22,0.2,0.0,09:42:00,104.93,100,105.01,100,104.98,100
1566,0.41000000000000003,0.09,0.32,18.380000000000003,09:42:18,104.92,200,105.01,100,104.92,100
1577,0.48,0.17,0.31,24.02,09:42:24,104.99,800,105.11,900,105.05,100
1648,0.5700000000000001,0.27,0.3,54.10999999999998,09:42:54,104.85,1200,105.01,100,104.89,100
1700,0.31,0.1,0.21,0.0,09:43:00,104.83,100,104.92,200,104.82,290
1703,1.58,1.25,0.33,3.45,09:43:03,104.83,100,104.92,200,104.8301,100
1705,0.32,0.09,0.23,4.17,09:43:04,104.9,400,105.04,100,104.97,100
1985,0.5700000000000001,0.28,0.29,0.0,09:45:00,104.93,200,105.04,100,105.04,100
2009,0.43,0.21,0.22,9.830000000000002,09:45:09,105.11,100,105.21,800,105.13,100
2107,2.08,1.85,0.23,0.0,09:46:00,105.07,800,105.18,100,105.08,100
2112,2.15,1.73,0.42,3.46,09:46:03,105.18,100,105.29,300,105.18,100
