,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,31.94,100,32.0,100,31.97,200
71,0.37,0.18,0.19,0.0,09:31:00,31.95,800,32.0,100,31.975,200
99,0.27,0.07,0.2,13.27,09:31:13,31.95,800,31.99,100,31.99,200
186,0.29,0.08,0.21,0.0,09:32:00,32.0,700,32.07,100,32.0,150
246,0.36,0.18,0.18,30.23999999999999,09:32:30,31.9,100,31.95,100,31.94,100
332,0.25,0.07,0.18,58.52,09:32:58,31.84,300,31.92,200,31.9,100
350,3.75,3.46,0.29,0.0,09:33:00,31.79,100,31.83,200,31.79,720
356,2.15,1.91,0.24,5.789999999999999,09:33:05,31.76,100,31.83,100,31.795,100
362,2.69,2.48,0.21,9.819999999999999,09:33:09,31.76,100,31.81,600,31.76,100
370,0.66,0.28,0.38,12.899999999999999,09:33:12,31.74,100,31.81,100,31.775,200
412,0.47000000000000003,0.27,0.2,26.779999999999994,09:33:26,31.76,200,31.81,100,31.785,100
486,0.25,0.07,0.18,0.0,09:34:00,31.74,100,31.77,100,31.74,100
509,2.14,1.95,0.19,11.240000000000002,09:34:11,31.74,300,31.78,500,31.75,100
767,1.8299999999999998,1.63,0.2,0.0,09:36:00,31.73,200,31.76,100,31.73,100
1027,0.36000000000000004,0.08,0.28,0.0,09:38:00,31.7,100,31.73,200,31.72,200
1080,0.46,0.23,0.23,24.63000000000001,09:38:24,31.67,400,31.71,200,31.69,100
1122,0.32999999999999996,0.09,0.24,0.0,09:39:00,31.67,100,31.7,300,31.68,100
1127,0.44,0.18,0.26,2.0300000000000002,09:39:02,31.65,500,31.68,1100,31.67,100
1135,0.42000000000000004,0.2,0.22,6.05,09:39:06,31.66,100,31.67,100,31.66,100
1251,0.28,0.08,0.2,56.20000000000003,09:39:56,31.71,200,31.72,200,31.71,100
1519,0.38,0.08,0.3,6.26,09:41:06,31.76,400,31.78,100,31.77,100
1715,0.32,0.08,0.24,25.959999999999997,09:43:25,31.78,400,31.8,300,31.78,200
1909,0.31,0.11,0.2,19.57,09:44:19,31.79,400,31.81,200,31.81,475
1916,0.46,0.27,0.19,21.93,09:44:21,31.79,400,31.81,300,31.8,200
2309,0.32999999999999996,0.09,0.24,36.40999999999999,09:47:36,31.69,200,31.71,300,31.7,200
3047,0.41000000000000003,0.18,0.23,26.180000000000007,09:52:26,31.65,300,31.66,200,31.655,200
3207,0.38,0.22,0.16,14.000000000000007,09:53:14,31.72,200,31.73,100,31.725,500
3505,0.48,0.24,0.24,51.750000000000014,09:55:51,31.8,900,31.82,400,31.82,100
3526,2.38,2.05,0.33,0.0,09:56:00,31.83,500,31.85,300,31.84,100
