,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,30.84,300,30.96,600,31.1,16883
12,0.35,0.16,0.19,4.76,09:30:04,30.84,100,30.96,600,30.85,100
42,0.32,0.07,0.25,16.54,09:30:16,30.84,100,30.96,600,30.9,100
169,0.27,0.07,0.2,0.0,09:31:00,30.88,100,30.95,300,30.89,100
197,2.11,1.93,0.18,2.9299999999999997,09:32:02,30.86,100,30.89,300,30.88,100
202,2.2199999999999998,2.03,0.19,12.73,09:32:12,30.85,100,30.89,300,30.87,100
220,0.37,0.21,0.16,19.81,09:32:19,30.83,200,30.87,100,30.83,100
246,0.36,0.18,0.18,27.96999999999999,09:32:27,30.78,100,30.81,100,30.78,100
264,0.24000000000000002,0.07,0.17,34.23999999999999,09:32:34,30.82,200,30.85,100,30.82,348
343,2.23,1.98,0.25,0.0,09:33:00,30.78,1400,30.8,300,30.79,100
350,3.75,3.46,0.29,5.78,09:33:05,30.72,200,30.75,200,30.73,100
354,2.19,1.96,0.23,9.16,09:33:09,30.71,100,30.74,500,30.725,100
365,0.42000000000000004,0.23,0.19,16.55,09:33:16,30.69,300,30.72,200,30.71,100
370,0.66,0.28,0.38,18.680000000000003,09:33:18,30.68,300,30.72,500,30.7,100
381,0.41000000000000003,0.22,0.19,22.490000000000006,09:33:22,30.72,200,30.75,100,30.74,100
653,0.44,0.22,0.22,0.0,09:35:00,30.65,200,30.68,500,30.67,100
686,0.6200000000000001,0.28,0.34,12.48,09:35:12,30.66,400,30.69,400,30.68,300
689,0.28,0.07,0.21,13.82,09:35:13,30.68,100,30.7,200,30.69,100
1027,0.36000000000000004,0.08,0.28,17.55,09:38:17,30.64,600,30.66,500,30.66,100
1080,0.46,0.23,0.23,42.17999999999999,09:38:42,30.63,400,30.64,200,30.64,100
1108,0.35000000000000003,0.08,0.27,53.76999999999998,09:38:53,30.62,300,30.64,500,30.63,300
1127,0.44,0.18,0.26,0.0,09:39:00,30.6,100,30.61,300,30.62,100
1132,0.47,0.23,0.24,2.16,09:39:02,30.6,500,30.62,700,30.61,117
1187,0.34,0.08,0.26,30.16000000000001,09:39:30,30.62,600,30.63,200,30.625,300
1220,0.29000000000000004,0.07,0.22,43.89000000000003,09:39:43,30.63,200,30.64,200,30.65,100
1269,2.0100000000000002,1.81,0.2,0.0,09:40:00,30.66,100,30.67,200,30.665,100
1519,0.38,0.08,0.3,48.379999999999995,09:41:48,30.71,800,30.73,400,30.72,100
1547,0.47,0.22,0.25,0.0,09:42:00,30.71,800,30.72,400,30.715,600
1721,0.32,0.08,0.24,28.22,09:43:28,30.74,800,30.75,500,30.75,100
