,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,188.78,400,189.13,300,189.13,100
32,0.43,0.21,0.22,12.59,09:30:12,188.78,400,189.08,200,188.89,100
56,0.30000000000000004,0.07,0.23,0.0,09:31:00,188.78,300,189.08,200,189.01,139
59,0.33,0.1,0.23,1.1900000000000002,09:31:01,188.63,1500,188.77,200,188.73,100
94,0.27,0.07,0.2,21.19,09:31:21,188.63,1500,188.77,400,188.77,100
99,0.27,0.07,0.2,23.06,09:31:23,188.63,1500,188.77,400,188.7,100
110,0.5,0.28,0.22,27.250000000000004,09:31:27,188.63,1600,188.77,400,188.644,100
117,0.3,0.08,0.22,29.400000000000002,09:31:29,188.44,100,188.73,200,188.63,100
175,0.32,0.14,0.18,50.99000000000001,09:31:50,188.47,200,188.72,200,188.6291,100
186,0.29,0.08,0.21,0.0,09:32:00,188.48,100,188.72,200,188.6135,100
193,0.41000000000000003,0.21,0.2,2.27,09:32:02,188.47,200,188.71,200,188.485,100
197,2.11,1.93,0.18,5.2,09:32:05,188.49,100,188.7,200,188.6,100
202,2.2199999999999998,2.03,0.19,15.0,09:32:15,188.51,100,188.68,200,188.5867,300
214,0.33999999999999997,0.18,0.16,20.189999999999998,09:32:20,188.55,100,188.68,600,188.55,100
221,0.26,0.08,0.18,22.34,09:32:22,188.48,100,188.67,200,188.52,100
234,0.23,0.07,0.16,26.159999999999997,09:32:26,188.48,100,188.67,200,188.48,100
246,0.36,0.18,0.18,30.23999999999999,09:32:30,188.01,500,188.37,200,188.4,100
252,0.24000000000000002,0.07,0.17,32.32999999999999,09:32:32,188.01,500,188.36,300,188.06,100
258,0.39,0.22,0.17,34.55999999999999,09:32:34,188.01,500,188.32,300,188.1775,100
264,0.24000000000000002,0.07,0.17,36.509999999999984,09:32:36,188.12,200,188.32,300,188.12,100
276,0.24000000000000002,0.07,0.17,40.38999999999998,09:32:40,188.01,500,188.26,200,188.01,100
289,0.30000000000000004,0.14,0.16,44.40999999999999,09:32:44,187.78,100,188.11,200,188.13,200
295,0.33999999999999997,0.18,0.16,46.37,09:32:46,187.79,100,188.09,300,187.8,100
302,0.39,0.22,0.17,48.61,09:32:48,187.79,200,188.07,200,187.86,100
306,0.24000000000000002,0.07,0.17,49.8,09:32:49,187.79,200,188.07,200,187.82,100
309,0.25,0.07,0.18,50.54,09:32:50,188.19,100,188.95,100,188.57,100
332,0.25,0.07,0.18,58.52,09:32:58,188.26,100,188.93,100,188.28,100
338,0.3,0.08,0.22,0.0,09:33:00,188.26,100,188.93,100,188.265,100
343,2.23,1.98,0.25,3.41,09:33:03,188.26,100,188.92,200,188.26,100
393,0.35,0.18,0.17,29.870000000000005,09:33:29,188.27,200,188.85,200,188.27,100
405,0.5700000000000001,0.28,0.29,33.96,09:33:33,188.28,200,188.84,200,188.32,100
417,0.39,0.2,0.19,37.88000000000001,09:33:37,187.87,200,188.68,200,188.16,100
423,0.28,0.07,0.21,40.030000000000015,09:33:40,187.87,100,188.66,200,187.965,100
503,0.44,0.22,0.22,0.0,09:34:00,187.85,100,188.62,400,187.88,100
511,0.48,0.27,0.21,6.15,09:34:06,188.0,100,188.6,200,188.04,100
513,2.17,1.87,0.3,8.57,09:34:08,187.85,100,188.58,100,188.0,100
515,1.4000000000000001,1.06,0.34,13.74,09:34:13,187.85,100,188.57,200,187.855,100
516,0.42000000000000004,0.2,0.22,14.16,09:34:14,187.85,100,188.57,400,187.85,100
561,0.26,0.08,0.18,31.96999999999999,09:34:31,187.85,300,188.54,200,188.3,500
566,0.33,0.08,0.25,34.04999999999999,09:34:34,187.85,300,188.54,300,187.875,100
