,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,57.27,700,57.65,400,58.01,100
209,1.96,1.75,0.21,0.0,09:32:00,57.28,100,57.4,200,57.36,100
221,0.26,0.08,0.18,3.54,09:32:03,57.29,100,57.4,200,57.365,100
227,0.36,0.19,0.17,5.390000000000001,09:32:05,57.29,200,57.4,100,57.4,100
362,2.69,2.48,0.21,0.0,09:33:00,57.33,100,57.54,1100,57.37,100
515,1.4000000000000001,1.06,0.34,0.0,09:34:00,57.33,100,57.46,1200,57.34,100
522,0.33,0.07,0.26,2.6900000000000004,09:34:02,57.33,100,57.45,1200,57.39,200
594,0.38,0.14,0.24,30.499999999999993,09:34:30,57.33,100,57.41,1000,57.38,100
625,2.72,2.35,0.37,0.0,09:35:00,57.28,100,57.4,200,57.33,100
647,0.43000000000000005,0.16,0.27,9.79,09:35:09,57.22,100,57.31,200,57.28,100
674,0.44999999999999996,0.21,0.24,19.77,09:35:19,57.22,500,57.33,1100,57.31,200
774,2.31,2.11,0.2,0.0,09:36:00,57.24,1700,57.32,1100,57.32,100
818,0.32,0.14,0.18,21.739999999999995,09:36:21,57.21,100,57.36,1100,57.315,100
842,0.52,0.21,0.31,31.859999999999996,09:36:31,57.24,200,57.36,1200,57.3,100
882,0.47000000000000003,0.08,0.39,3.9500000000000006,09:37:03,57.23,200,57.3,200,57.285,100
885,0.46,0.08,0.38,5.63,09:37:05,57.19,100,57.29,1300,57.24,100
893,0.28,0.07,0.21,9.77,09:37:09,57.18,300,57.29,1300,57.245,100
897,1.12,0.75,0.37,12.099999999999998,09:37:12,57.19,100,57.29,1300,57.235,100
922,0.43,0.08,0.35,27.889999999999997,09:37:27,57.16,100,57.28,100,57.23,100
926,0.53,0.1,0.43,29.85,09:37:29,57.15,100,57.29,1100,57.22,100
939,0.47000000000000003,0.13,0.34,35.92,09:37:35,57.14,100,57.28,1100,57.15,100
943,0.37,0.07,0.3,37.519999999999996,09:37:37,57.14,100,57.28,1100,57.21,100
944,0.43,0.08,0.35,37.949999999999996,09:37:37,57.13,100,57.28,1100,57.205,100
948,0.46,0.19,0.27,39.559999999999995,09:37:39,57.13,300,57.28,1200,57.14,100
949,0.4,0.09,0.31,39.959999999999994,09:37:39,57.12,100,57.2,1000,57.165,100
954,0.47,0.21,0.26,41.829999999999984,09:37:41,57.12,100,57.2,1000,57.16,100
