,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,114.57,100,114.7,100,114.75,200
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,114.55,100,114.69,100,114.59,189
51,0.4,0.18,0.22,0.0,09:31:00,114.73,100,114.94,300,114.73,100
56,0.30000000000000004,0.07,0.23,3.0,09:31:03,114.59,100,114.99,400,114.71,100
148,0.4,0.08,0.32,44.16000000000002,09:31:44,114.6,200,114.96,300,114.62,100
264,0.24000000000000002,0.07,0.17,0.0,09:32:00,114.65,100,114.93,200,114.64,100
352,0.35,0.18,0.17,0.0,09:33:00,114.54,100,114.76,500,114.66,100
440,0.45,0.25,0.2,36.390000000000015,09:33:36,114.66,100,114.75,100,114.725,200
452,0.26,0.07,0.19,40.150000000000006,09:33:40,114.65,100,114.75,200,114.72,100
492,0.34,0.14,0.2,0.0,09:34:00,114.65,200,114.75,500,114.7,100
509,2.14,1.95,0.19,9.370000000000001,09:34:09,114.65,100,114.74,200,114.65,100
571,0.32,0.07,0.25,40.08999999999998,09:34:40,114.56,100,114.73,100,114.56,100
594,0.38,0.14,0.24,48.26999999999999,09:34:48,114.58,200,114.73,300,114.69,100
625,2.72,2.35,0.37,0.0,09:35:00,114.56,100,114.74,100,114.57,100
674,0.44999999999999996,0.21,0.24,19.77,09:35:19,114.58,600,114.73,100,114.655,100
686,0.6200000000000001,0.28,0.34,24.340000000000003,09:35:24,114.62,600,114.75,200,114.685,100
707,0.25,0.07,0.18,31.70000000000001,09:35:31,114.68,400,114.75,100,114.715,100
741,0.23,0.07,0.16,41.83000000000002,09:35:41,114.72,200,114.76,100,114.74,100
765,0.44000000000000006,0.17,0.27,0.0,09:36:00,114.75,100,114.77,100,114.76,100
771,2.1,1.83,0.27,7.4300000000000015,09:36:07,114.68,100,114.73,100,114.68,100
818,0.32,0.14,0.18,31.970000000000006,09:36:31,114.7,100,114.77,200,114.77,100
866,0.42,0.21,0.21,52.170000000000016,09:36:52,114.7,100,114.77,200,114.7025,105
905,0.42000000000000004,0.1,0.32,0.0,09:37:00,114.7,600,114.79,100,114.735,100
1023,0.39,0.11,0.28,13.91,09:38:13,114.72,200,114.78,200,114.78,100
1149,0.26,0.07,0.19,6.41,09:39:06,114.69,200,114.8,600,114.8,100
1153,0.8200000000000001,0.52,0.3,8.57,09:39:08,114.69,200,114.8,600,114.745,100
1216,0.49,0.22,0.27,36.27000000000002,09:39:36,114.77,100,114.82,100,114.795,100
1232,0.28,0.07,0.21,41.890000000000015,09:39:41,114.79,200,114.85,400,114.83,100
1245,0.42000000000000004,0.22,0.2,46.000000000000014,09:39:46,114.79,200,114.85,100,114.85,100
1266,0.52,0.28,0.24,0.0,09:40:00,114.83,100,114.9,100,114.88,100
1308,0.42,0.18,0.24,23.730000000000004,09:40:23,114.84,100,114.9,100,114.84,100
1533,0.41000000000000003,0.17,0.24,54.06999999999999,09:41:54,114.79,100,114.84,100,114.79,100
1538,0.59,0.29,0.3,56.15,09:41:56,114.79,100,114.84,100,114.7935,190
1566,0.41000000000000003,0.09,0.32,18.380000000000003,09:42:18,114.8,100,114.82,100,114.81,100
1618,0.43000000000000005,0.15,0.28,41.93999999999999,09:42:41,114.71,100,114.8,100,114.7214,500
1676,0.54,0.25,0.29,3.8200000000000003,09:43:03,114.71,100,114.77,600,114.7251,100
1725,0.36,0.09,0.27,27.7,09:43:27,114.59,100,114.69,100,114.61,100
1773,0.29000000000000004,0.07,0.22,45.830000000000005,09:43:45,114.59,100,114.65,200,114.615,100
1815,0.33,0.07,0.26,0.0,09:44:00,114.61,100,114.67,100,114.63,100
1873,0.36,0.14,0.22,27.989999999999995,09:44:27,114.63,100,114.67,100,114.645,100
2005,0.43,0.07,0.36,30.040000000000006,09:45:30,114.63,100,114.71,600,114.67,100
2061,0.44,0.2,0.24,51.87000000000002,09:45:51,114.64,100,114.71,100,114.675,100
2363,0.47,0.17,0.3,50.17999999999997,09:47:50,114.74,200,114.77,100,114.755,100
2599,0.44,0.2,0.24,41.68999999999999,09:49:41,114.63,200,114.7,100,114.665,100
2853,0.48,0.22,0.26,36.11,09:51:36,114.7,100,114.71,200,114.705,100
3568,0.55,0.21,0.34,26.029999999999998,09:56:26,114.7,100,114.74,200,114.7028,110
3778,0.26,0.07,0.19,45.17999999999999,09:57:45,114.73,100,114.75,100,114.7301,100
4014,0.34,0.17,0.17,23.880000000000006,09:59:23,114.76,200,114.78,300,114.765,200
4104,3.3400000000000003,2.95,0.39,9.100000000000001,10:00:09,114.81,200,114.84,200,114.82,200
4117,0.31,0.08,0.23,16.19,10:00:16,114.82,100,114.85,200,114.835,100
4179,0.56,0.25,0.31,46.48999999999999,10:00:46,114.81,200,114.84,400,114.825,100
4190,0.54,0.08,0.46,52.66999999999998,10:00:52,114.85,100,114.88,200,114.86,100
4223,0.41000000000000003,0.18,0.23,10.309999999999999,10:01:10,114.8,200,114.82,200,114.815,200
4404,0.33,0.07,0.26,27.959999999999994,10:02:27,114.86,600,114.89,200,114.875,100
